observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,167813,12674,154,0.9310706038618128,0.9310621561974308,1345619,319,53,7549,10247
2,19,22,1,30,5,2,1,1,167776,11779,191,0.9356065616481165,0.9355971428362141,1345612,358,60,8617,11425
3,10,16,13,9,4,1,2,2,167783,13909,184,0.9248446263453085,0.9248360624400094,1345577,211,95,7549,10388
4,14,24,6,16,3,1,4,1,167778,11811,189,0.9354439001283255,0.9354362801652257,1345217,238,455,6867,9243
5,2,29,29,25,2,1,4,3,167667,14965,300,0.9195360063442374,0.9195254325427966,1345084,350,588,8788,12826
6,4,15,2,28,2,4,2,3,167773,14650,194,0.9211520668202973,0.9211422086012401,1345628,369,44,8681,11958
7,17,6,30,24,5,5,3,5,167828,11691,139,0.9360807050289379,0.936073775091708,1345577,627,95,6225,8406
8,3,6,2,10,2,2,5,2,167478,14690,489,0.9207957732176303,0.920787574523156,1343101,250,2571,7835,9945
9,9,17,5,25,1,5,4,1,167749,13956,218,0.9245922840646631,0.9245842502509223,1345130,257,542,7078,9745
10,1,25,22,22,4,1,2,1,167746,15004,221,0.9193861872510132,0.9193749786587484,1345641,317,31,9532,13596
11,29,1,30,1,5,5,3,5,167702,7793,265,0.9564147001182358,0.956405763582479,1345191,409,481,8779,10840
12,29,1,30,1,5,5,3,5,167702,7793,265,0.9564147001182358,0.956405763582479,1345191,409,481,8779,10840
13,30,1,29,1,5,5,3,5,167701,7427,266,0.9583747797951343,0.9583657913219464,1345175,407,497,8834,10903
14,29,2,30,1,5,5,3,5,167749,7818,218,0.9562979220705186,0.9562897753134753,1345288,416,384,7751,9882
15,26,2,30,4,5,5,3,5,167782,8845,185,0.9508551246841949,0.9508471312662338,1345475,490,197,7593,9696
16,23,9,24,7,4,4,5,4,167752,9378,215,0.9480366804158132,0.948030557569774,1344741,643,931,5618,7427
17,23,9,24,8,4,4,5,4,167752,9379,215,0.948031429848319,0.9480253028802613,1344746,649,926,5619,7432
18,23,9,23,8,4,4,5,4,167752,9379,215,0.948031429848319,0.9480253028802613,1344746,649,926,5619,7432
