observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,167777,14267,190,0.9230563890915648,0.9230466372205807,1345615,274,57,8333,11829
2,8,29,21,7,2,,,,167762,14027,205,0.924244581201433,0.924234960410632,1345468,205,204,8295,11670
3,19,23,11,11,5,,,,167769,11702,198,0.9359972042098423,0.9359910945542617,1344890,808,782,5363,7411
4,4,8,24,3,5,,,,167693,14503,274,0.9218387718594028,0.9218324594005199,1344529,924,1143,5454,7657
5,2,24,12,30,2,,,,167751,14970,216,0.9195568261352335,0.9195458409563626,1345660,330,12,9257,13325
6,19,21,5,14,5,,,,167768,11712,199,0.9359455695723742,0.9359395052589953,1344900,849,772,5375,7356
7,1,1,25,30,4,,,,167664,11669,303,0.9361177155297362,0.9361109471756252,1344378,667,1294,6536,8210
8,30,3,28,1,2,,,,167741,7402,226,0.9585228481821776,0.9585142735596308,1345248,16,424,8296,10401
9,1,29,23,1,4,,,,167278,15126,689,0.918528189235762,0.9185202543504613,1341468,899,4204,6847,9625
10,29,29,26,28,2,,,,167800,7877,167,0.9560011576843577,0.9559922813300685,1345621,238,51,7942,10767
11,26,1,22,9,3,,,,167722,8774,245,0.9512071486913231,0.9511978807452918,1345391,43,281,9445,11242
12,27,29,2,29,1,,,,167790,8944,177,0.9503357127880331,0.9503261653691585,1345646,331,26,8637,11581
13,30,16,30,26,1,,,,167800,7495,167,0.9580445021377297,0.9580358846461923,1345617,229,55,7829,10453
14,25,30,17,1,5,,,,167654,9302,313,0.9483967922834871,0.9483902621820359,1344100,504,1572,5849,7921
15,23,3,9,29,5,,,,167716,9292,251,0.9484740977037579,0.9484680078338653,1344550,544,1122,5846,7387
16,30,30,7,3,5,,,,167714,7527,253,0.9578428962659924,0.957836178200505,1344619,657,1053,6040,8149
17,13,1,23,30,1,,,,167710,11726,257,0.935847124397525,0.9358379545555302,1345381,50,291,9465,11123
18,23,20,30,13,2,,,,167820,9377,147,0.9480691748148715,0.9480609546859018,1345618,231,54,7439,9971
19,29,6,2,26,5,,,,167743,7968,224,0.9554950291678808,0.9554882451501,1344809,990,863,6335,8229
20,13,3,11,3,5,,,,167717,11751,250,0.9357224400765954,0.9357166717241332,1344549,579,1123,5488,6997
21,30,1,24,22,1,,,,167706,7391,261,0.9585697758958907,0.9585602260038051,1345394,33,278,9806,11584
22,24,28,1,2,3,,,,167300,9332,667,0.948097203481608,0.948088515091355,1341378,88,4294,8178,10539
23,30,30,12,30,2,,,,167799,7513,168,0.9579476733664412,0.957938769806831,1345628,255,44,7995,10800
24,25,22,30,12,5,,,,167747,9334,220,0.9482657647268448,0.9482592750211734,1344800,771,872,5793,7872
25,25,7,1,30,5,,,,167737,9458,230,0.9476107736922184,0.9476037209188419,1344846,1244,826,6647,8555
26,30,29,30,13,1,,,,167793,7505,174,0.957988455472061,0.9579795659273133,1345611,225,61,7968,10783
27,24,3,4,30,5,,,,167717,9281,250,0.948532321879218,0.9485261289588669,1344639,674,1033,6012,7512
28,23,2,24,2,2,,,,167770,9286,197,0.9485271511020655,0.9485187380626376,1345444,67,228,8264,10205
29,26,24,3,1,4,,,,167508,8911,459,0.9504002156936661,0.9503937037290956,1342884,542,2788,5944,7899
30,29,22,12,25,3,,,,167804,7870,163,0.9560399603782727,0.9560311977916897,1345623,235,49,7883,10629
31,30,1,6,15,1,,,,167734,7431,233,0.9583647771719331,0.9583555916662686,1345420,122,252,9627,11142
32,22,30,29,28,3,,,,167814,9658,153,0.9465940967464813,0.9465855897250353,1345629,254,43,7593,10319
33,30,20,23,1,5,,,,167645,7495,322,0.9579903694095895,0.9579837230672212,1344062,476,1610,5983,8062
34,22,27,1,10,5,,,,167729,9782,238,0.9459107065797159,0.9459037189342292,1344771,1194,901,6351,8476
35,23,11,11,30,4,,,,167760,9388,207,0.947987385936085,0.9479812663876603,1344807,717,865,5589,7423
36,30,1,29,26,3,,,,167716,7388,251,0.958589347150335,0.958579832707607,1345402,41,270,9653,11541
37,24,30,3,3,2,,,,167761,9343,206,0.9482240856751755,0.9482153527671245,1345168,139,504,7941,10593
38,28,25,12,30,5,,,,167746,8908,221,0.9505085724601721,0.9505019467278955,1344804,803,868,5876,8037
39,23,11,21,7,5,,,,167757,9376,210,0.9480491855085582,0.9480430725553629,1344775,643,897,5585,7415
40,25,4,2,19,1,,,,167781,9288,186,0.9485210215608885,0.9485118566653157,1345573,243,99,8938,11117
41,30,2,29,17,5,,,,167683,7422,284,0.9583953657657789,0.9583886782032273,1344414,502,1258,6415,8112
42,17,30,1,29,2,,,,167775,11749,192,0.9357595165808611,0.9357498512722621,1345621,358,51,8686,11724
43,15,12,11,1,3,,,,167734,11718,233,0.9358991598701724,0.9358917188026685,1344977,28,695,6861,9026
44,25,29,30,4,1,,,,167790,9301,177,0.9484562982042924,0.948447715337709,1345492,132,180,7701,10411
45,15,16,28,30,1,,,,167823,11751,144,0.9357714925004125,0.9357638898497898,1345625,244,47,6910,9222
