observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,167811,12664,156,0.9311202606699498,0.9311116876962103,1345610,242,62,7615,10399
2,5,2,26,19,4,,,,167655,13548,312,0.9265866791703778,0.926580123512413,1344396,703,1276,6149,7952
3,1,30,25,7,1,,,,167699,14997,268,0.919395254707995,0.9193840419937118,1345325,227,347,9677,13601
4,6,10,16,13,2,,,,167773,14359,194,0.9225966421536146,0.9225877921802428,1345604,233,68,7807,10735
5,19,5,9,11,3,,,,167805,11540,162,0.9368434475168917,0.9368358308514068,1345541,143,131,7111,9239
6,24,6,16,18,1,,,,167808,9304,159,0.9484477115409506,0.9484396571171181,1345576,184,96,7521,9770
7,19,6,2,29,5,,,,167765,11741,202,0.9357958116018489,0.9357896401159932,1344861,1026,811,5682,7486
8,25,10,3,21,3,,,,167812,9319,155,0.9483705130532342,0.9483619202938067,1345627,254,45,7977,10423
9,4,15,2,28,2,,,,167766,14566,201,0.9215648684086931,0.9215548461333061,1345623,357,49,8935,12157
10,20,10,16,17,1,,,,167819,11636,148,0.9363580709949111,0.9363503916747473,1345620,228,52,7000,9315
11,30,24,29,27,3,,,,167801,7505,166,0.9579912493330355,0.9579824216185627,1345619,234,53,7915,10708
12,28,3,6,2,2,,,,167754,8777,213,0.9512035968303875,0.9511952052254549,1345278,75,394,8222,10179
13,12,9,25,11,2,,,,167814,12617,153,0.9313597405996568,0.931352034074172,1345619,225,53,7065,9348
14,17,5,25,3,5,,,,167743,11564,224,0.9366920519409739,0.9366863281063097,1344655,546,1017,5235,6943
15,24,6,1,25,4,,,,167738,9493,229,0.947427591019992,0.9474205901840467,1344849,1269,823,6640,8492
16,22,24,3,11,1,,,,167813,9671,154,0.9465256682049432,0.9465170144396443,1345597,249,75,7845,10497
17,26,19,10,2,2,,,,167778,8869,189,0.950726851752162,0.9507184774597064,1345343,75,329,7632,10158
18,10,22,20,27,3,,,,167786,13944,181,0.9246713533082687,0.9246620911330631,1345625,255,47,8066,11235
19,4,22,23,17,4,,,,167732,14864,235,0.9200705066311975,0.92006306473929,1344928,1547,744,6169,9027
20,15,16,13,1,1,,,,167723,11724,244,0.9358633704093465,0.9358558295889989,1344858,8,814,6924,9147
21,1,20,10,16,5,,,,167715,15235,252,0.9182298812036155,0.9182222398060205,1344921,1651,751,6409,9269
22,8,13,23,7,1,,,,167773,13971,194,0.9245298053446863,0.9245212620494789,1345547,206,125,7557,10363
23,9,5,28,25,4,,,,167714,13827,253,0.9252189777961568,0.9252129349172733,1344622,744,1050,5500,7330
24,27,25,6,27,3,,,,167807,8889,160,0.9506325068085222,0.9506237945105629,1345625,240,47,7826,10568
25,25,27,10,4,2,,,,167797,9300,170,0.9484643420772986,0.9484557789964031,1345493,135,179,7718,10387
26,13,25,26,1,3,,,,167705,11847,262,0.9352259615894017,0.9352178115347438,1344736,28,936,7312,9886
27,13,7,4,11,5,,,,167758,11894,209,0.9350105312557302,0.9350047258051029,1344819,837,853,5356,7042
28,10,16,22,11,5,,,,167742,13980,225,0.9244688115365983,0.92446237871478,1344874,1055,798,5604,7803
29,29,8,15,10,2,,,,167794,7851,173,0.9561378036444399,0.9561293139354708,1345598,208,74,7834,10298
30,2,19,16,2,2,,,,167632,14903,335,0.9198235943926494,0.919813666923684,1344585,83,1087,8652,12042
31,28,8,5,15,5,,,,167743,8885,224,0.9506288239967203,0.950622440639122,1344764,737,908,5882,7743
32,8,21,23,8,4,,,,167737,14100,230,0.9238674242507693,0.9238606229205115,1344832,1173,840,5803,8250
33,12,19,20,17,1,,,,167819,12641,148,0.9312406061057386,0.9312325887800711,1345616,234,56,7250,9725
34,26,10,6,2,3,,,,167781,8872,186,0.9507121742563773,0.9507038922971326,1345351,85,321,7686,10046
35,21,1,16,7,4,,,,167627,10961,340,0.9397418637685719,0.9397351003608829,1344222,488,1450,6781,8204
36,6,21,12,29,1,,,,167773,14475,194,0.922020254955997,0.9220103052281327,1345645,296,27,8514,12069
37,11,4,28,27,2,,,,167772,12971,195,0.9295492407562008,0.9295411088384236,1345523,119,149,7569,9864
38,20,25,17,16,2,,,,167825,11666,142,0.9362072585753962,0.9361991118183529,1345622,238,50,7227,9882
39,3,27,28,19,2,,,,167750,14918,217,0.9198132321288377,0.9198024439824434,1345629,313,43,9099,13086
40,11,22,27,27,4,,,,167768,13205,199,0.9283676957613648,0.9283613049841335,1344946,1070,726,5486,7752
41,20,3,5,27,4,,,,167724,11572,243,0.9366423368099365,0.9366364563385754,1344652,660,1020,5596,7133
42,1,4,20,1,1,,,,167553,14369,414,0.922430769383224,0.9224224519746215,1343899,10,1773,7766,10089
43,17,21,20,7,4,,,,167767,11688,200,0.9360679332888605,0.936061944820619,1344835,754,837,5310,7264
44,8,10,23,20,5,,,,167745,14002,222,0.9243605328442941,0.9243543893881631,1344823,1020,849,5352,7452
45,20,18,3,12,2,,,,167820,11678,147,0.9361435415634457,0.9361353206100723,1345606,252,66,7455,9972
46,8,30,12,27,4,,,,167748,14151,219,0.9236189158528263,0.9236116553297257,1345012,1423,660,6049,8807
47,24,16,18,15,1,,,,167817,9328,150,0.9483252396680315,0.9483169997533738,1345624,234,48,7496,9995
48,22,9,1,20,1,,,,167757,9755,210,0.9460633844477616,0.9460537809694377,1345492,298,180,9106,11649
49,29,29,28,12,1,,,,167797,7873,170,0.9560214303042791,0.9560125893993476,1345615,226,57,7920,10724
50,28,13,29,29,5,,,,167743,8879,224,0.9506605028424661,0.9506540411665193,1344768,709,904,5825,7838
51,9,12,26,10,1,,,,167786,13929,181,0.9247462687949144,0.9247377691931014,1345601,230,71,7548,10310
52,17,29,21,18,1,,,,167816,11669,151,0.9361877606069221,0.936179531409512,1345612,242,60,7274,9982
53,19,30,5,16,5,,,,167769,11728,198,0.9358641664026277,0.9358578943395246,1344926,898,746,5478,7608
54,23,21,22,11,2,,,,167820,9378,147,0.9480639260150844,0.948055687749234,1345618,231,54,7454,9993
55,25,25,27,28,3,,,,167815,9310,152,0.9484189833224295,0.9484103864409836,1345628,251,44,7688,10428
56,16,24,20,22,4,,,,167770,11804,197,0.9354759675181243,0.9354698380768557,1344913,861,759,5358,7435
57,27,11,12,3,3,,,,167789,8848,178,0.9508419866760057,0.9508336643209813,1345499,125,173,7648,10095
58,2,14,17,9,3,,,,167749,14833,218,0.9202330137138852,0.9202232956434515,1345566,247,106,8386,11788
59,1,2,25,11,1,,,,167746,13335,221,0.9277026184014576,0.927693916820746,1345291,86,381,8400,10555
60,16,24,7,19,1,,,,167819,11768,148,0.9356827201532606,0.9356746220360337,1345612,239,60,7233,9823
61,2,16,17,20,4,,,,167709,15097,258,0.9189070009723345,0.9188998154699676,1344889,1510,783,6002,8716
62,30,16,10,24,2,,,,167802,7497,165,0.9580344792385327,0.9580258757618575,1345621,230,51,7846,10436
63,14,3,1,29,5,,,,167702,11880,265,0.9350559270520107,0.9350490968676246,1344706,1421,966,6757,8285
64,21,13,6,5,2,,,,167811,11094,156,0.9391377869946786,0.9391297812106625,1345554,171,118,7352,9711
65,17,22,20,9,5,,,,167769,11695,198,0.9360330285437936,0.9360269765964696,1344869,802,803,5334,7341
66,23,17,19,13,2,,,,167820,9372,147,0.9480954196856067,0.9480872671577377,1345621,231,51,7423,9889
67,11,23,1,4,1,,,,167556,13175,411,0.928412974332503,0.9284039883325261,1343612,151,2060,8446,10900
68,2,26,22,15,1,,,,167746,14974,221,0.9195343575280881,0.9195232272541717,1345611,308,61,9395,13501
69,15,15,6,14,2,,,,167818,11759,149,0.9357282731364389,0.9357205954650825,1345619,235,53,6992,9313
70,19,20,2,12,4,,,,167761,11766,206,0.9356660892223911,0.9356597116356186,1344927,1064,745,5696,7736
71,16,26,20,5,1,,,,167807,11748,160,0.9357794338313317,0.9357713950711688,1345495,156,177,7189,9751
72,20,1,18,29,3,,,,167730,11473,237,0.9371528210015204,0.9371439075490663,1345416,64,256,9013,10812
73,12,20,14,17,5,,,,167773,12693,194,0.9309549728154023,0.9309489150972527,1344899,915,773,5383,7348
74,12,29,28,6,1,,,,167801,12656,166,0.9311559138591576,0.9311474126085373,1345523,177,149,7593,10312
75,4,1,3,21,1,,,,167307,14211,660,0.9230884840122577,0.9230792300810888,1341831,276,3841,9574,11225
76,10,26,1,25,2,,,,167760,14027,207,0.9242435428013572,0.9242329599314761,1345595,357,77,9512,12837
77,4,21,19,27,4,,,,167734,14872,233,0.9200320196198608,0.9200246115285037,1344964,1621,708,6098,8986
78,25,9,6,23,5,,,,167754,9329,213,0.9482948284879403,0.9482885770349289,1344791,742,881,5763,7583
79,30,13,12,24,2,,,,167801,7489,166,0.9580770150015238,0.9580684585158576,1345621,230,51,7823,10379
80,28,26,13,23,4,,,,167744,8905,223,0.9505236311743462,0.9505170062664734,1344804,792,868,5875,8036
81,4,28,16,25,2,,,,167760,14648,207,0.9211550370477178,0.9211442876482959,1345655,359,17,9028,13039
82,27,12,1,28,1,,,,167757,9014,210,0.9499537132778226,0.9499437643743619,1345599,335,73,9325,12068
83,10,29,29,18,4,,,,167749,14038,218,0.924182940280072,0.9241758833846773,1344945,1280,727,5982,8560
84,14,9,10,21,4,,,,167761,11821,206,0.9353848933117814,0.9353791076468422,1344823,734,849,5223,7018
85,24,24,3,15,1,,,,167815,9362,152,0.9481459132800882,0.9481371655327713,1345616,258,56,7928,10611
86,17,14,27,11,1,,,,167823,11645,144,0.9363138325928468,0.9363062480791049,1345621,228,51,6865,9200
87,5,23,19,4,1,,,,167721,14473,246,0.9220026270211564,0.9219927242843011,1345208,138,464,8591,12012
88,22,3,25,22,1,,,,167781,9550,186,0.9471461929330602,0.9471380964646406,1345485,87,187,7872,9821
89,3,30,12,12,5,,,,167720,15171,247,0.9185480325261957,0.9185401784324544,1344966,1681,706,6441,9527
90,29,30,23,12,1,,,,167798,7874,169,0.9560164518832553,0.9560076043830946,1345615,226,57,7929,10732
91,24,17,13,28,1,,,,167819,9330,148,0.9483155347464611,0.948307263504464,1345624,234,48,7516,10033
92,15,1,15,2,1,,,,167647,11627,320,0.9363250697327519,0.9363162733456185,1344878,31,794,9173,10670
93,4,20,23,18,5,,,,167730,14862,237,0.9200793200200769,0.9200719836518388,1344926,1524,746,6055,8899
94,12,9,27,7,5,,,,167757,12646,210,0.9311852041483556,0.9311794547571777,1344786,725,886,5203,6974
95,1,30,2,27,3,,,,167740,15046,227,0.9191755673555569,0.9191638641210916,1345634,379,38,10200,14196
