observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,167811,12664,156,0.9311202606699498,0.9311116876962103,1345610,242,62,7615,10399
2,5,2,26,19,4,,,,167655,13548,312,0.9265866791703778,0.926580123512413,1344396,703,1276,6149,7952
3,1,30,25,7,1,,,,167699,14997,268,0.919395254707995,0.9193840419937118,1345325,227,347,9677,13601
4,6,10,16,13,2,,,,167773,14359,194,0.9225966421536146,0.9225877921802428,1345604,233,68,7807,10735
5,19,5,9,11,3,,,,167805,11540,162,0.9368434475168917,0.9368358308514068,1345541,143,131,7111,9239
6,24,6,16,18,1,,,,167808,9304,159,0.9484477115409506,0.9484396571171181,1345576,184,96,7521,9770
7,19,6,2,29,5,,,,167765,11741,202,0.9357958116018489,0.9357896401159932,1344861,1026,811,5682,7486
8,25,10,3,21,3,,,,167812,9319,155,0.9483705130532342,0.9483619202938067,1345627,254,45,7977,10423
9,4,15,2,28,2,,,,167766,14566,201,0.9215648684086931,0.9215548461333061,1345623,357,49,8935,12157
10,20,10,16,17,1,,,,167819,11636,148,0.9363580709949111,0.9363503916747473,1345620,228,52,7000,9315
11,30,22,10,1,2,,,,167701,7474,266,0.958122579997902,0.9581139047981078,1344827,16,845,7907,10523
12,28,22,10,3,2,,,,167783,8852,184,0.9508185461724146,0.9508099707254641,1345467,125,205,7752,10402
13,30,21,11,5,2,,,,167793,7495,174,0.9580420594584108,0.9580333529312772,1345536,157,136,7897,10561
14,29,22,30,1,2,,,,167706,7840,261,0.9561649680759513,0.9561563077154231,1344861,15,811,7853,10505
15,29,22,10,3,2,,,,167782,7856,185,0.9561067986714274,0.9560981284180552,1345467,125,205,7869,10517
16,13,18,7,7,4,,,,167769,11905,198,0.9349594900486435,0.9349536038064569,1344862,809,810,5295,7140
17,13,17,7,7,4,,,,167766,11899,201,0.934988728817489,0.9349828821466782,1344854,800,818,5265,7092
18,14,18,7,6,4,,,,167765,11843,202,0.9352743227909235,0.9352683928553424,1344853,774,819,5321,7193
19,13,17,12,7,4,,,,167766,11891,201,0.9350295836881741,0.9350237353685561,1344845,773,827,5244,7094
20,13,18,7,7,4,,,,167769,11905,198,0.9349594900486435,0.9349536038064569,1344862,809,810,5295,7140
21,24,26,19,11,3,,,,167813,9337,154,0.9482763784344524,0.9482678491541073,1345619,233,53,7611,10346
22,25,26,19,1,3,,,,167720,9281,247,0.948533516962304,0.9485250066432434,1344916,28,756,7668,10323
23,25,26,20,12,3,,,,167811,9310,156,0.9484173884264041,0.9484087676372519,1345619,234,53,7702,10457
24,25,26,20,11,3,,,,167811,9310,156,0.9484173884264041,0.9484087676372519,1345619,234,53,7702,10457
25,22,25,19,11,3,,,,167815,9652,152,0.9466259018372378,0.946617496217443,1345618,232,54,7533,10196
26,30,22,29,1,2,,,,167704,7472,263,0.9581343552275238,0.9581256610664451,1344858,15,814,7891,10546
27,30,21,30,1,2,,,,167704,7473,263,0.9581289906806039,0.9581203229004427,1344861,15,811,7880,10514
28,30,22,13,1,2,,,,167705,7472,262,0.9581347038954985,0.9581260303445116,1344856,16,816,7897,10521
29,29,22,30,1,2,,,,167706,7840,261,0.9561649680759513,0.9561563077154231,1344861,15,811,7853,10505
30,30,21,30,1,2,,,,167704,7473,263,0.9581289906806039,0.9581203229004427,1344861,15,811,7880,10514
31,27,14,27,4,1,,,,167789,8851,178,0.9508261452851063,0.9508177751146691,1345524,141,148,7637,10153
32,27,14,27,4,1,,,,167789,8851,178,0.9508261452851063,0.9508177751146691,1345524,141,148,7637,10153
33,27,15,24,4,1,,,,167791,8852,176,0.9508216378265522,0.9508132462216196,1345521,141,151,7649,10179
34,27,28,27,4,1,,,,167785,8867,182,0.9507401193234523,0.9507314861682451,1345495,131,177,7748,10472
35,27,13,27,4,1,,,,167789,8850,178,0.9508314256900892,0.9508230695345143,1345525,141,147,7631,10136
36,8,20,29,25,2,,,,167785,14025,182,0.9242665003205475,0.9242572315501125,1345642,275,30,8045,11243
37,22,20,24,9,2,,,,167816,9648,151,0.9466472421289388,0.9466390434344645,1345599,211,73,7440,9945
38,22,20,23,22,2,,,,167821,9650,146,0.9466388148256452,0.9466305856282351,1345625,236,47,7451,9982
39,10,20,24,9,2,,,,167785,13939,182,0.9246958068515834,0.9246868076611477,1345560,212,112,7940,10916
40,22,20,24,22,2,,,,167821,9650,146,0.9466388148256452,0.9466305856282351,1345625,236,47,7451,9982
41,17,24,13,15,3,,,,167822,11664,145,0.9362161141725989,0.9362080745880323,1345609,237,63,7156,9752
42,30,24,29,14,5,,,,167732,7538,235,0.9577902370172806,0.9577834876244539,1344761,774,911,6001,8187
43,16,24,29,2,3,,,,167776,11738,191,0.9358162449926948,0.9358083018633574,1345310,81,362,7139,9635
44,30,24,14,15,5,,,,167740,7539,227,0.9577876806144094,0.9577809658465368,1344779,784,893,5991,8145
45,30,24,14,2,3,,,,167762,7483,205,0.9580955827157414,0.9580868662957638,1345348,80,324,7893,10573
46,28,29,4,2,2,,,,167736,8866,231,0.95072643829568,0.9507176872507483,1345104,75,568,7966,10615
47,28,29,5,2,2,,,,167749,8862,218,0.9507525924669793,0.9507439024279191,1345233,74,439,7899,10541
48,28,3,5,2,2,,,,167747,8780,220,0.9511850475005644,0.9511766410563658,1345227,78,445,8265,10197
49,28,29,26,2,2,,,,167759,8850,208,0.9508198319437466,0.9508111517975304,1345338,74,334,7802,10529
50,28,29,9,2,2,,,,167757,8852,210,0.9508084963989243,0.9507998277943593,1345325,74,347,7818,10515
51,1,22,15,6,1,,,,167723,14982,244,0.9194823711651274,0.9194717561435033,1345355,205,317,9261,12876
52,1,22,17,6,1,,,,167723,14982,244,0.9194823711651274,0.9194717553190996,1345355,205,317,9260,12877
53,3,22,15,5,1,,,,167730,14883,237,0.9199754629331011,0.9199654118035856,1345303,178,369,8693,12192
54,1,22,15,6,1,,,,167723,14982,244,0.9194823711651274,0.9194717561435033,1345355,205,317,9261,12876
55,3,22,17,6,1,,,,167741,14890,226,0.9199467888487363,0.9199366800109641,1345404,205,268,8712,12262
56,30,19,12,1,3,,,,167711,7477,256,0.9581099746703078,0.9581013687204216,1344915,27,757,7843,10439
57,30,19,12,1,3,,,,167711,7477,256,0.9581099746703078,0.9581013687204216,1344915,27,757,7843,10439
58,30,19,12,1,3,,,,167711,7477,256,0.9581099746703078,0.9581013687204216,1344915,27,757,7843,10439
59,30,19,12,1,3,,,,167711,7477,256,0.9581099746703078,0.9581013687204216,1344915,27,757,7843,10439
60,30,19,12,1,3,,,,167711,7477,256,0.9581099746703078,0.9581013687204216,1344915,27,757,7843,10439
61,24,17,9,3,2,,,,167804,9318,163,0.9483725738093772,0.9483643553292148,1345492,126,180,7510,9969
62,26,16,9,3,2,,,,167799,8867,168,0.9507455351239111,0.950737241623015,1345490,126,182,7606,10060
63,25,16,9,3,2,,,,167801,9287,166,0.9485342406949515,0.9485259760481838,1345490,126,182,7583,10025
64,26,17,9,3,2,,,,167800,8869,167,0.9507353637746937,0.9507270414196692,1345490,126,182,7615,10095
65,24,17,9,3,2,,,,167804,9318,163,0.9483725738093772,0.9483643553292148,1345492,126,180,7510,9969
66,29,21,11,5,4,,,,167731,7891,236,0.955901587118857,0.9558949564401584,1344687,668,985,5952,8043
67,29,21,11,5,4,,,,167731,7891,236,0.955901587118857,0.9558949564401584,1344687,668,985,5952,8043
68,29,18,11,5,4,,,,167733,7884,234,0.9559396799343456,0.9559331119103258,1344687,647,985,5935,7967
69,29,23,11,5,4,,,,167730,7892,237,0.955895888103248,0.9558892434096871,1344686,671,986,5954,8060
70,29,21,11,5,4,,,,167731,7891,236,0.955901587118857,0.9558949564401584,1344687,668,985,5952,8043
71,27,12,30,1,3,,,,167722,8839,245,0.950863636033787,0.9508553309912395,1344977,27,695,7618,10074
72,26,27,30,8,3,,,,167807,8887,160,0.9506430622436756,0.9506344348592941,1345590,200,82,7722,10465
73,26,12,30,1,3,,,,167731,8852,236,0.9507984437223415,0.9507902112273168,1344978,28,694,7567,9986
74,26,23,30,1,3,,,,167720,8863,247,0.950736089220902,0.950727604458355,1344920,28,752,7662,10292
75,26,12,30,1,3,,,,167731,8852,236,0.9507984437223415,0.9507902112273168,1344978,28,694,7567,9986
76,30,19,13,30,2,,,,167802,7503,165,0.9580023183608148,0.9579935961700116,1345623,242,49,7884,10580
77,30,18,13,30,2,,,,167802,7499,165,0.9580237587060372,0.9580151115359676,1345623,242,49,7854,10489
78,30,19,14,4,2,,,,167788,7490,179,0.9580671195142311,0.9580584698709506,1345506,134,166,7858,10492
79,30,19,13,4,2,,,,167788,7490,179,0.9580671195142311,0.9580584649245285,1345506,134,166,7866,10498
80,30,19,13,18,2,,,,167802,7501,165,0.9580130384134671,0.9580043211690858,1345620,232,52,7881,10574
81,28,25,28,2,3,,,,167763,8846,204,0.9508425030333919,0.9508338847174508,1345347,79,325,7749,10454
82,28,25,10,2,3,,,,167762,8847,205,0.9508368352609804,0.9508282309599015,1345340,80,332,7763,10437
83,28,25,28,2,3,,,,167763,8846,204,0.9508425030333919,0.9508338847174508,1345347,79,325,7749,10454
84,28,23,10,2,3,,,,167763,8847,204,0.9508372216869987,0.9508286363472043,1345340,80,332,7750,10414
85,28,23,28,2,3,,,,167764,8846,203,0.9508428894279288,0.950834290073272,1345347,79,325,7736,10431
86,29,20,12,1,3,,,,167713,7844,254,0.9561461119738752,0.9561375414733467,1344918,27,754,7804,10396
87,29,20,12,1,3,,,,167713,7844,254,0.9561461119738752,0.9561375414733467,1344918,27,754,7804,10396
88,29,20,12,1,3,,,,167713,7844,254,0.9561461119738752,0.9561375414733467,1344918,27,754,7804,10396
89,29,20,12,1,3,,,,167713,7844,254,0.9561461119738752,0.9561375414733467,1344918,27,754,7804,10396
90,29,20,12,1,3,,,,167713,7844,254,0.9561461119738752,0.9561375414733467,1344918,27,754,7804,10396
91,27,21,8,3,2,,,,167785,8863,182,0.9507612379768668,0.9507527260089988,1345466,125,206,7718,10325
92,27,21,8,3,2,,,,167785,8863,182,0.9507612379768668,0.9507527260089988,1345466,125,206,7718,10325
93,27,21,8,3,2,,,,167785,8863,182,0.9507612379768668,0.9507527260089988,1345466,125,206,7718,10325
94,27,21,17,3,2,,,,167787,8860,180,0.950777850939575,0.9507693447425326,1345474,125,198,7689,10318
95,27,21,8,3,2,,,,167785,8863,182,0.9507612379768668,0.9507527260089988,1345466,125,206,7718,10325
