observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,26722,3501,584,0.8858710822532062,0.8858058336417781,215094,286,1165,7968,13721
2,19,23,11,11,5,4,3,5,26710,2364,596,0.9198089166710287,0.9197538065363563,215653,1945,606,7450,11589
3,2,24,12,30,2,4,5,1,26743,4056,563,0.8702814331933793,0.870209322564147,215348,347,911,8324,15164
4,12,26,22,29,4,1,1,3,26663,2513,643,0.9150405304304258,0.9149732560257997,215699,233,560,8937,14147
5,27,10,28,28,3,4,4,1,26429,834,877,0.9693785105997463,0.9693177796022572,213819,115,2440,8910,12771
6,18,24,10,12,4,5,4,5,26631,2288,675,0.921910883678809,0.9218762787560364,213858,2124,2401,4946,7277
7,29,2,28,26,3,1,1,1,26439,896,867,0.9672420340362078,0.9671633324460077,215233,58,1026,11729,16550
8,2,25,28,30,1,4,1,1,26780,4110,526,0.8689636553842001,0.8688858240291061,216015,358,244,9197,16367
9,22,12,17,30,1,4,5,3,26530,2028,776,0.9298018852583118,0.9297429280187165,214211,160,2048,8557,12398
10,13,30,23,19,3,3,5,1,26621,2416,685,0.9178901869432784,0.9178301454763378,214769,230,1490,8365,12626
11,28,20,28,30,2,2,3,4,26525,909,781,0.9669561641678308,0.9668814998978772,215302,355,957,10735,15701
12,5,3,3,1,3,4,4,3,25886,3261,1420,0.889242182631643,0.889202632110453,208038,138,8221,5890,8317
13,30,30,7,3,5,3,1,1,26591,795,715,0.9710273002147208,0.9709564117189436,215595,193,664,10111,14907
14,4,30,1,29,4,5,5,1,26773,3845,533,0.8763161271232819,0.8762391707586772,215456,386,803,8901,16183
15,30,1,1,25,1,2,1,2,26683,1039,623,0.9628097026450474,0.9627184135557983,215989,423,270,15015,19197
16,27,2,23,1,2,3,3,4,26487,974,819,0.9646404131415731,0.9645663242729738,215254,269,1005,10926,15580
17,24,28,1,29,2,3,5,1,26658,2156,648,0.9261446700648698,0.9260712469499036,215349,318,910,11121,15440
18,30,23,29,20,1,2,1,5,26516,819,790,0.9700589952155563,0.9699833513366853,215304,355,955,10920,15907
19,30,12,2,10,3,5,5,5,26714,1026,592,0.9633151252807295,0.9632643663215877,214965,2308,1294,7942,10674
20,26,1,11,29,5,3,1,4,26551,1802,755,0.9371362336519123,0.9370691779949086,215588,698,671,10135,14101
21,28,1,3,13,2,5,1,2,26626,931,680,0.9663915261262531,0.9663171329131359,215760,242,499,11664,15644
