observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,26700,2540,606,0.9143422283650191,0.9142801658602637,215705,701,554,8790,13051
2,19,22,1,30,5,2,1,1,26735,2402,571,0.9187165253512154,0.9186347422727706,216134,431,125,11973,17198
3,10,16,13,9,4,1,2,2,26680,2964,626,0.9014354041120052,0.9013708688080411,215734,237,525,8506,13571
4,14,24,6,16,3,1,4,1,26633,2362,673,0.919609049618766,0.9195489605979945,214848,236,1411,8547,12636
5,2,29,29,25,2,1,4,3,26732,4030,574,0.8709511782537188,0.8708722484051302,215441,369,818,9388,16598
6,4,15,2,28,2,4,2,3,26772,3763,534,0.878622611700134,0.8785555037339162,215961,306,298,8450,14112
7,17,6,30,24,5,5,3,5,26704,2349,602,0.9202544897901513,0.9202009917303476,215598,1870,661,7177,11250
8,3,6,2,10,2,2,5,2,26652,3648,654,0.8813457089455994,0.8812940607298191,214529,269,1730,7269,10861
9,9,17,5,25,1,5,4,1,26706,3044,600,0.8991580115497328,0.8991017791446503,214957,259,1302,7418,11825
10,1,25,22,22,4,1,2,1,26758,4042,548,0.8707417999018552,0.8706618904443493,216004,343,255,9872,16804
11,26,19,10,2,2,2,4,4,26536,1663,770,0.9416226596936818,0.9415655760750254,214347,547,1912,8906,12004
12,27,15,4,22,4,3,4,3,26530,799,776,0.970779997760583,0.9707238509523961,214044,244,2215,7877,11807
13,16,13,1,4,1,4,2,3,26685,2283,621,0.9222471518685484,0.9221773999093306,215255,292,1004,10105,14668
14,28,8,13,23,2,1,2,1,26564,880,742,0.9680320568604044,0.9679575067196451,215554,164,705,10724,15677
15,28,25,20,27,5,1,5,3,26353,759,953,0.9718659324351634,0.9718123773107625,212934,143,3325,7322,11262
16,25,27,10,4,2,3,5,5,26552,2021,754,0.9300937449864543,0.9300367517200767,214473,603,1786,8870,11985
17,1,16,13,7,1,2,5,2,26681,3879,625,0.8749326117268058,0.8748705967758814,214845,267,1414,7915,13041
18,16,22,11,30,5,2,3,2,26646,2219,660,0.9241231304072786,0.9240549429690985,215682,217,577,9260,14339
19,9,2,19,16,1,2,5,2,26462,2725,844,0.9078066154408775,0.9077581485763869,213639,167,2620,7025,10192
20,5,15,30,8,4,4,2,4,26858,3878,448,0.8757834051794412,0.8757407636592404,215758,2859,501,5374,8967
21,12,19,20,17,1,5,2,1,26693,2537,613,0.9144093901242554,0.9143434234499801,215703,233,556,8686,13872
22,2,18,21,1,3,2,4,1,26481,3819,825,0.8756909694802798,0.875631936154555,212957,36,3302,7857,12414
23,21,12,29,5,2,1,5,5,26533,2048,773,0.9291730139552802,0.929118070259016,214196,449,2063,8433,11554
24,8,20,25,17,3,2,1,5,26736,3290,570,0.892044468763763,0.8919846793321263,215755,764,504,8371,12573
25,28,19,11,11,4,5,5,4,26507,940,799,0.9658514118476121,0.965812717295379,213340,1638,2919,5547,8137
26,20,3,5,27,4,1,1,4,26654,2299,652,0.9216440076542026,0.9215857684774545,215805,1145,454,8781,12247
27,1,5,17,21,4,2,4,2,26568,3603,738,0.8822562488169837,0.8822089089782863,213882,217,2377,6131,9955
28,10,23,20,26,4,3,1,2,26683,2973,623,0.901178695666858,0.9011121012820144,215740,244,519,8705,14004
29,8,8,30,12,5,4,4,3,26594,3199,712,0.8941185330727028,0.8940706511203328,214006,221,2253,6032,10069
30,18,15,6,22,2,1,4,1,26606,2145,700,0.9263250249807641,0.9262653734552372,214697,230,1562,8641,12544
31,29,29,28,12,1,5,3,5,26575,1007,731,0.9636835448179027,0.9636142969292928,215295,1435,964,9454,14562
32,29,26,9,12,5,2,1,3,26580,790,726,0.971181699399899,0.9711096410798807,215677,203,582,10090,15153
33,29,21,18,3,4,5,1,3,26528,902,778,0.967203742810141,0.967132255136094,215391,135,868,9877,15033
34,27,23,21,22,2,2,5,5,26459,850,847,0.9688768586404305,0.9688178586023874,214012,394,2247,9070,12407
35,27,28,16,16,4,4,4,4,26466,949,840,0.9654606859126496,0.9654210402837977,213202,1583,3057,5635,8337
36,27,11,12,3,3,1,3,3,26565,894,741,0.9675501913247188,0.9674761928083982,215538,156,721,10605,15561
37,9,18,1,2,5,2,1,3,26586,2978,720,0.9006451473025362,0.900582228828824,213506,214,2753,9276,13231
38,24,7,19,3,1,3,3,4,26564,2039,742,0.929556784357803,0.9294865045510617,215458,404,801,10179,14779
39,22,30,16,10,4,2,3,1,26578,2083,728,0.9282004896294253,0.9281287546754574,215565,182,694,9899,15085
40,1,29,26,21,3,1,1,2,26764,4065,542,0.870132327477182,0.8700494221283271,216035,364,224,10154,17434
41,17,22,20,9,5,4,3,4,26739,2381,567,0.9193803268632761,0.9193271093710749,215630,2096,629,7055,11191
42,13,8,11,23,1,1,1,1,26672,2429,634,0.9176641401543432,0.9175988249675517,215713,218,546,9037,13735
43,26,22,15,3,3,3,1,3,26559,1705,747,0.9403133457296979,0.9402385863520825,215468,145,791,10709,15721
44,12,19,20,2,2,4,3,5,26746,2718,560,0.909083493197339,0.9090347219883305,215437,2129,822,6500,10256
45,20,5,3,20,1,3,5,3,26603,2107,703,0.9275181019959613,0.9274589402748931,214664,224,1595,8901,12441
46,12,20,14,17,5,2,5,5,26596,2431,710,0.9173381603155014,0.9172912817489641,214070,697,2189,6522,9858
47,6,3,4,1,1,4,1,2,26198,3264,1108,0.8905165662322972,0.8904631965678371,211388,59,4871,8068,11223
48,26,1,25,9,1,4,4,5,26391,1732,915,0.9389589513659752,0.9389073364378766,213149,973,3110,8088,10854
49,23,25,9,6,4,5,5,3,26480,1960,826,0.9318260835293405,0.9317740786598282,213605,196,2654,7054,10936
