observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,26700,2540,606,0.9143422283650191,0.9142801658602637,215705,701,554,8790,13051
2,19,22,1,30,5,2,1,1,26735,2402,571,0.9187165253512154,0.9186347422727706,216134,431,125,11973,17198
3,10,16,13,9,4,1,2,2,26680,2964,626,0.9014354041120052,0.9013708688080411,215734,237,525,8506,13571
4,14,24,6,16,3,1,4,1,26633,2362,673,0.919609049618766,0.9195489605979945,214848,236,1411,8547,12636
5,2,29,29,25,2,1,4,3,26732,4030,574,0.8709511782537188,0.8708722484051302,215441,369,818,9388,16598
6,4,15,2,28,2,4,2,3,26772,3763,534,0.878622611700134,0.8785555037339162,215961,306,298,8450,14112
7,17,6,30,24,5,5,3,5,26704,2349,602,0.9202544897901513,0.9202009917303476,215598,1870,661,7177,11250
8,3,6,2,10,2,2,5,2,26652,3648,654,0.8813457089455994,0.8812940607298191,214529,269,1730,7269,10861
9,9,17,5,25,1,5,4,1,26706,3044,600,0.8991580115497328,0.8991017791446503,214957,259,1302,7418,11825
10,1,25,22,22,4,1,2,1,26758,4042,548,0.8707417999018552,0.8706618904443493,216004,343,255,9872,16804
11,29,1,30,1,5,5,3,5,26492,925,814,0.9663400545253327,0.9662686667143306,215226,900,1033,10219,15012
12,29,1,30,1,5,5,3,5,26492,925,814,0.9663400545253327,0.9662686667143306,215226,900,1033,10219,15012
13,30,1,29,1,5,5,3,5,26486,924,820,0.9663630074810494,0.9662909729379466,215213,885,1046,10322,15148
14,29,2,30,1,5,5,3,5,26496,910,810,0.966866150926872,0.9667972311596955,215136,953,1123,9522,14493
15,26,2,30,4,5,5,3,5,26535,1816,771,0.93663629849524,0.9365693664781967,215270,1120,989,9221,14075
16,23,9,22,7,4,4,5,4,26457,2106,849,0.9270842312633113,0.927046544852294,212969,1557,3290,5331,7925
17,23,10,24,8,4,4,5,4,26449,2108,857,0.9269949018609994,0.9269570822992556,212909,1547,3350,5346,7953
18,24,9,24,8,4,4,5,4,26427,2067,879,0.9282324279668875,0.9281940425145555,212828,1457,3431,5400,8072
19,22,9,24,8,4,4,5,4,26468,2119,838,0.9267059224729337,0.9266686450248625,212960,1577,3299,5271,7839
20,22,9,25,7,4,4,5,4,26468,2119,838,0.9267059224729337,0.9266686450248625,212960,1577,3299,5271,7839
21,30,4,17,13,3,3,2,3,26531,789,775,0.9711300115813778,0.9710546007162785,215499,149,760,10912,15858
22,30,5,16,12,3,3,2,3,26538,790,768,0.971107555888634,0.971032363771157,215506,151,753,10883,15812
23,30,5,15,13,3,3,2,3,26541,792,765,0.9710432211370655,0.970968052796504,215523,157,736,10864,15807
24,30,5,16,13,3,3,2,3,26538,790,768,0.971107555888634,0.971032363771157,215506,151,753,10883,15812
25,30,5,18,14,3,3,2,3,26534,790,772,0.971100482951759,0.9710250197774457,215488,149,771,10914,15869
26,26,13,11,19,3,3,1,2,26582,1717,724,0.939986152337023,0.9399118827638662,215621,185,638,10647,15618
27,26,12,11,12,3,3,1,2,26583,1711,723,0.9401844222868592,0.9401104332813048,215619,184,640,10622,15559
28,26,13,11,19,3,3,1,2,26582,1717,724,0.939986152337023,0.9399118827638662,215621,185,638,10647,15618
29,26,13,11,19,3,3,1,2,26582,1717,724,0.939986152337023,0.9399118827638662,215621,185,638,10647,15618
30,26,13,11,19,3,3,1,2,26582,1717,724,0.939986152337023,0.9399118827638662,215621,185,638,10647,15618
31,20,4,18,15,2,2,2,3,26591,2143,715,0.9263400944211272,0.9262695388021666,215535,148,724,10128,14837
32,20,4,17,16,2,3,2,3,26598,2146,708,0.9262677240378281,0.9261972635265293,215556,163,703,10045,14817
33,20,3,19,16,2,2,2,3,26565,2233,741,0.9234167218202347,0.9233460235397812,215521,143,738,10228,14867
34,19,3,18,16,2,2,2,3,26571,2245,735,0.9230592861758229,0.9229892869366841,215542,151,717,10195,14720
35,20,4,18,16,2,2,2,3,26591,2143,715,0.9263400944211272,0.9262695388021666,215535,148,724,10128,14837
36,28,7,14,12,3,3,2,4,26571,894,735,0.9675615090332688,0.9674905444513621,215527,485,732,10381,14923
37,28,7,15,12,3,3,2,4,26571,894,735,0.9675615090332688,0.9674904208114016,215523,474,736,10389,14949
38,28,7,14,12,3,3,2,4,26571,894,735,0.9675615090332688,0.9674905444513621,215527,485,732,10381,14923
39,28,7,14,12,3,3,2,4,26571,894,735,0.9675615090332688,0.9674905444513621,215527,485,732,10381,14923
40,28,7,15,12,3,3,2,4,26571,894,735,0.9675615090332688,0.9674904208114016,215523,474,736,10389,14949
41,13,11,20,14,1,2,1,3,26673,2440,633,0.9173273867948601,0.9172611347975993,215697,226,562,9044,13932
42,13,18,8,14,1,2,1,3,26687,2456,619,0.9168817979362515,0.9168145710854564,215775,242,484,9212,14137
43,13,21,20,14,1,2,1,3,26673,2455,633,0.9168638601711288,0.9167959390344019,215703,229,556,9230,14283
44,12,11,20,10,1,2,1,3,26679,2507,627,0.9152817993440464,0.9152159848420302,215702,230,557,8943,13840
45,12,19,20,14,1,2,1,3,26674,2520,632,0.9148641937369153,0.9147967766707965,215708,232,551,9115,14177
46,30,5,16,10,3,3,3,3,26534,789,772,0.9711353140580017,0.971059988789798,215500,151,759,10898,15840
47,30,5,16,10,3,3,3,3,26534,789,772,0.9711353140580017,0.971059988789798,215500,151,759,10898,15840
48,30,5,17,10,3,3,3,3,26534,789,772,0.9711353140580017,0.9710599507467333,215491,150,768,10898,15848
49,30,5,16,10,3,3,3,3,26534,789,772,0.9711353140580017,0.971059988789798,215500,151,759,10898,15840
