observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,26731,3484,575,0.8863998259763464,0.8863258084384935,215885,285,374,9430,15565
2,8,29,21,7,2,,,,26710,3291,596,0.8919060610209336,0.8918379686904154,215748,250,511,9023,14319
3,19,23,11,11,5,,,,26588,2249,718,0.9229899765260334,0.9229544110158759,213613,1924,2646,5105,7479
4,4,8,24,3,5,,,,26699,3793,607,0.8774403285364799,0.8774130611698209,214057,2291,2202,3675,5734
5,2,24,12,30,2,,,,26758,4044,548,0.8706862665982908,0.8706062192346752,215997,348,262,9806,16833
6,19,21,5,14,5,,,,26660,2272,646,0.922507948239899,0.9224733575832758,214029,2207,2230,5083,7274
7,1,1,25,30,4,,,,26428,2644,878,0.9101591504262885,0.9101225387318503,212898,1393,3361,5525,7699
8,30,3,28,1,2,,,,26446,875,860,0.9679839828408496,0.9679064891179553,215046,21,1213,11293,16296
9,1,29,23,1,4,,,,26442,3970,864,0.8712390296106608,0.8712016808318431,211508,1718,4751,4953,7854
10,29,29,26,28,2,,,,26512,830,794,0.969669305899358,0.9695907089275859,215326,119,933,11115,16528
11,26,1,30,29,2,,,,26421,1794,885,0.9370205576373506,0.9369413044227116,215217,51,1042,12226,16666
12,23,30,1,2,4,,,,26374,2200,932,0.9238268442910066,0.9237894717352735,211280,1837,4979,6008,7859
13,30,19,10,24,4,,,,26504,823,802,0.9698981724021082,0.9698590118223319,213389,1701,2870,5670,8235
14,22,2,15,4,5,,,,26435,2061,871,0.9284495051313212,0.9284131407168039,212926,1382,3333,5364,7647
15,28,24,30,4,2,,,,26509,901,797,0.967202180975426,0.9671244209510784,215262,95,997,11021,16352
16,30,30,7,3,5,,,,26544,833,762,0.969623291999658,0.9695842645706083,213562,1755,2697,5733,8207
17,16,1,29,30,1,,,,26474,2287,832,0.9214148733637524,0.9213404849060183,215401,79,858,11977,15643
18,12,20,1,23,3,,,,26729,2594,577,0.9127927585813583,0.9127208191459174,215968,322,291,10046,15128
