observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,26674,2528,632,0.9146182564305131,0.9145497361155165,215705,234,554,9268,14409
2,5,2,26,19,4,,,,26495,3062,811,0.8977710068927941,0.8977399257088939,213192,1638,3067,4537,6536
3,1,30,25,7,1,,,,26756,4058,550,0.8702881617911101,0.8702081049167283,215856,315,403,10204,16835
4,6,10,16,13,2,,,,26715,3388,591,0.8891052901681562,0.8890422290329512,215754,240,505,8314,13261
5,19,5,9,11,3,,,,26622,2157,684,0.9259974246544468,0.9259285143980366,215688,199,571,9934,14491
6,24,6,16,18,1,,,,26551,2030,755,0.9298033653761973,0.9297301990519182,215478,140,781,10456,15386
7,19,6,2,29,5,,,,26704,2324,602,0.9210321188567392,0.9209979989830421,214328,2521,1931,5207,7175
8,25,10,3,21,3,,,,26662,2080,644,0.9285598858785901,0.9284862915698325,215867,262,392,10810,15476
9,4,15,2,28,2,,,,26754,3705,552,0.88018334027505,0.8801140067895443,215959,304,300,9052,14580
10,20,10,16,17,1,,,,26612,2155,694,0.9260283849343964,0.9259578911354159,215590,182,669,9977,14824
11,30,24,29,27,3,,,,26502,815,804,0.9701729120342881,0.9700939821856995,215293,112,966,11188,16598
12,28,3,6,2,2,,,,26560,980,746,0.9645793112264538,0.9645069010080866,215512,178,747,10845,15227
13,12,9,25,11,2,,,,26672,2506,634,0.9152878324918944,0.9152222842913313,215685,223,574,8929,13784
14,17,5,25,3,5,,,,26564,2217,742,0.9239170130254075,0.9238842531912753,213410,1786,2849,4717,6889
15,24,6,1,25,4,,,,26776,2374,530,0.9197227916485764,0.9196826704814152,214871,3000,1388,6278,8437
16,22,24,3,11,1,,,,26674,2126,632,0.9271424658638894,0.9270689238643459,215849,265,410,10683,15465
17,26,19,10,2,2,,,,26577,1708,729,0.9402655258616359,0.9401920504374558,215521,162,738,10612,15451
18,10,22,20,27,3,,,,26691,2990,615,0.9007035955928256,0.9006362498574532,215736,245,523,8945,14162
19,4,22,23,17,4,,,,26849,4068,457,0.8704552277565281,0.8704206989198849,214968,3530,1291,4364,7261
20,15,16,13,1,1,,,,26538,2354,768,0.9195336982177581,0.9194671561421285,214563,37,1696,9591,13993
21,1,20,10,16,5,,,,26858,4321,448,0.8635585247547227,0.8635243002625976,215041,3523,1218,4304,7197
22,8,13,23,7,1,,,,26707,3263,599,0.8927115004586065,0.8926468510254482,215729,238,530,8704,13595
23,9,5,28,25,4,,,,26638,3117,668,0.8967205973738658,0.8966926594981905,213723,2068,2536,3978,5875
24,27,25,6,27,3,,,,26608,926,698,0.9665289232181985,0.9664547535080866,215726,225,533,10756,15597
25,25,27,10,4,2,,,,26588,2057,718,0.9290584809257879,0.9289850102569909,215599,173,660,10556,15450
26,13,25,26,1,3,,,,26608,2435,698,0.9172559815721454,0.9171890733320176,215279,162,980,9252,14070
27,13,7,4,11,5,,,,26687,2560,619,0.9136823999304304,0.9136525313692191,214189,2375,2070,4316,6281
28,10,16,22,11,5,,,,26708,3171,598,0.8954141038784962,0.895384492107972,214169,2462,2090,4059,6227
29,29,8,15,10,2,,,,26554,802,752,0.9707183330286967,0.9706434547665039,215540,165,719,10726,15746
30,2,19,16,2,2,,,,26700,3924,606,0.8737585755968065,0.8736893800174106,215368,204,891,8933,14551
31,28,8,5,15,5,,,,26588,958,718,0.9653900338402103,0.965353160599702,213798,1940,2461,5477,7754
32,8,21,23,8,4,,,,26771,3504,535,0.8859986986863086,0.8859679979330559,214389,2625,1870,4182,6456
33,12,19,20,17,1,,,,26674,2520,632,0.9148641937369153,0.9147967671600302,215708,232,551,9118,14179
34,26,10,6,2,3,,,,26594,1714,712,0.9401172795776013,0.9400451499268366,215575,190,684,10558,15168
35,21,1,16,7,4,,,,26384,2057,922,0.9284158447197757,0.9283779680934346,212662,1168,3597,5863,7965
36,6,21,12,29,1,,,,26746,3506,560,0.8858321178230244,0.8857571777408514,215926,302,333,9489,15759
37,11,4,28,27,2,,,,26647,2535,659,0.9143069287906319,0.914243006931087,215635,187,624,8992,13442
38,20,25,17,16,2,,,,26613,2179,693,0.9252743523809657,0.925201561731951,215593,190,666,10223,15307
39,3,27,28,19,2,,,,26764,3914,542,0.8743387902736833,0.874257996314922,216000,344,259,9914,16990
40,11,22,27,27,4,,,,26718,2624,588,0.9118372985753525,0.9118062173914523,214172,2462,2087,4308,6536
41,20,3,5,27,4,,,,26614,2232,692,0.923609761514756,0.9235762265531795,213811,1985,2448,5124,7052
42,1,4,20,1,1,,,,26535,3698,771,0.879386076834515,0.87932413796972,214536,34,1723,8874,13025
43,17,21,20,7,4,,,,26622,2274,684,0.9223189972353296,0.9222847632324384,213739,2090,2520,4839,7199
44,8,10,23,20,5,,,,26733,3459,573,0.8871292096575728,0.8871010197465936,214160,2439,2099,3889,5928
45,20,18,3,12,2,,,,26677,2210,629,0.924506972356628,0.9244352041149785,215870,268,389,10389,15092
46,8,30,12,27,4,,,,26795,3531,511,0.8853285578346374,0.8852967062786761,214539,2801,1720,4293,6698
47,24,16,18,15,1,,,,26561,2058,745,0.928942102086054,0.9288679418867083,215484,153,775,10503,15595
