observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,26674,2528,632,0.9146182564305131,0.9145497361155165,215705,234,554,9268,14409
2,5,2,26,19,4,,,,26495,3062,811,0.8977710068927941,0.8977399257088939,213192,1638,3067,4537,6536
3,1,30,25,7,1,,,,26756,4058,550,0.8702881617911101,0.8702081049167283,215856,315,403,10204,16835
4,6,10,16,13,2,,,,26715,3388,591,0.8891052901681562,0.8890422290329512,215754,240,505,8314,13261
5,19,5,9,11,3,,,,26622,2157,684,0.9259974246544468,0.9259285143980366,215688,199,571,9934,14491
6,24,6,16,18,1,,,,26551,2030,755,0.9298033653761973,0.9297301990519182,215478,140,781,10456,15386
7,19,6,2,29,5,,,,26704,2324,602,0.9210321188567392,0.9209979989830421,214328,2521,1931,5207,7175
8,25,10,3,21,3,,,,26662,2080,644,0.9285598858785901,0.9284862915698325,215867,262,392,10810,15476
9,4,15,2,28,2,,,,26754,3705,552,0.88018334027505,0.8801140067895443,215959,304,300,9052,14580
10,20,10,16,17,1,,,,26612,2155,694,0.9260283849343964,0.9259578911354159,215590,182,669,9977,14824
11,30,22,10,1,2,,,,26498,792,808,0.9709669948904959,0.9708922592897958,214978,55,1281,10959,15716
12,28,22,10,3,2,,,,26575,902,731,0.9672929410728416,0.967218476528978,215569,168,690,10742,15659
13,30,21,11,5,2,,,,26555,814,751,0.9703029917706029,0.9702269484395522,215586,179,673,10893,15991
14,29,22,30,1,2,,,,26463,806,843,0.9704162929312857,0.9703384568208087,214900,18,1359,11136,16368
15,29,22,10,3,2,,,,26571,817,735,0.9702275147190061,0.9701526507229626,215575,168,684,10799,15743
16,13,18,30,9,4,,,,26663,2577,643,0.9130751623556743,0.9130433583535439,213987,2330,2272,4428,6688
17,13,26,20,1,4,,,,26514,2481,792,0.9155001066944002,0.9154670615372823,212938,1576,3321,4745,6949
18,14,26,29,1,4,,,,26490,2427,816,0.9170919771589051,0.9170582757589203,212851,1522,3408,4891,7087
19,13,25,30,9,4,,,,26670,2579,636,0.9130391021747927,0.9130067703251389,214027,2355,2232,4503,6799
20,13,26,30,1,4,,,,26508,2480,798,0.9155097885085356,0.915476657754522,212907,1570,3352,4748,6967
21,25,15,5,24,3,,,,26622,2076,684,0.9285612636971681,0.9284885396235167,215736,228,523,10562,15293
22,25,16,6,23,3,,,,26614,2072,692,0.9286631493733076,0.9285903064150789,215730,227,529,10540,15318
23,24,17,7,13,3,,,,26606,2064,700,0.928892228112414,0.9288196371894892,215673,208,586,10404,15265
24,25,16,6,24,3,,,,26614,2072,692,0.9286631493733076,0.9285903064150789,215730,227,529,10540,15318
25,24,16,6,24,3,,,,26614,2075,692,0.9285678897078783,0.9284954509572125,215728,227,531,10459,15233
26,30,20,12,5,2,,,,26555,812,751,0.9703724870988513,0.9702964247462681,215585,178,674,10893,15995
27,30,20,13,5,2,,,,26551,812,755,0.9703653187319868,0.9702891470055925,215567,174,692,10908,16018
28,30,20,13,5,2,,,,26551,812,755,0.9703653187319868,0.9702891470055925,215567,174,692,10908,16018
29,29,20,12,5,2,,,,26560,818,746,0.9701730239299605,0.9700974038280051,215585,178,674,10798,15902
30,30,20,11,5,2,,,,26555,814,751,0.9703029917706029,0.9702269769718507,215585,179,674,10889,15985
31,27,24,19,8,1,,,,26548,905,758,0.9671381410459579,0.9670620977149071,215469,148,790,10804,15991
32,27,24,19,8,1,,,,26548,905,758,0.9671381410459579,0.9670620977149071,215469,148,790,10804,15991
33,27,24,20,8,1,,,,26548,905,758,0.9671381410459579,0.9670620977149071,215469,148,790,10804,15991
34,21,24,21,8,1,,,,26598,2113,708,0.9273120918735553,0.9272385831616935,215546,177,713,10342,15458
35,9,13,19,3,1,,,,26686,3012,620,0.9000288699959798,0.8999649719133502,215611,203,648,8707,13437
36,22,28,14,3,2,,,,26590,2084,716,0.9282065889751817,0.9281331706155986,215504,156,755,10411,15439
37,22,28,14,11,2,,,,26600,2091,706,0.9280159646656178,0.9279421420984717,215581,186,678,10422,15524
38,22,29,14,3,2,,,,26589,2086,717,0.9281399292506672,0.9280663920065069,215502,156,757,10432,15464
39,16,28,14,3,2,,,,26647,2220,659,0.9240949958697146,0.9240254198596712,215551,181,708,9729,14631
40,22,28,14,3,2,,,,26590,2084,716,0.9282065889751817,0.9281331706155986,215504,156,755,10411,15439
41,28,18,8,6,3,,,,26583,906,723,0.9671701350610907,0.9670958559771677,215650,197,609,10708,15620
42,28,18,24,6,3,,,,26514,902,792,0.9671771151755685,0.9670997022941867,215313,116,946,10958,16279
43,27,18,26,6,3,,,,26520,904,786,0.9671193991314888,0.9670426044499093,215318,118,941,10865,16149
44,28,18,24,6,3,,,,26514,902,792,0.9671771151755685,0.9670997022941867,215313,116,946,10958,16279
45,28,18,25,6,3,,,,26513,902,793,0.9671752121817455,0.9670977755234483,215313,116,946,10960,16284
46,30,22,17,15,2,,,,26541,813,765,0.9703126233866509,0.9702359143019671,215529,167,730,10979,16131
47,30,22,12,11,2,,,,26558,813,748,0.9703431166582023,0.9702667499611012,215599,184,660,10933,16059
48,30,22,12,11,2,,,,26558,813,748,0.9703431166582023,0.9702667499611012,215599,184,660,10933,16059
