observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,11303,1690,311,0.8717804745237716,0.8717147523489078,92470,102,521,4269,7093
2,19,23,11,11,5,4,3,5,11311,837,303,0.9319190727442301,0.9318558430640849,92828,1139,163,4470,6824
3,2,24,12,30,2,4,5,1,11317,1899,297,0.8583915606540069,0.8583246895224699,92484,106,507,4169,7217
4,12,26,22,29,4,1,1,3,11289,1365,325,0.893597821612893,0.8935221294591552,92867,90,124,5212,8169
5,27,10,28,28,3,4,4,1,11165,583,449,0.9505913844833517,0.9505190002129391,92030,38,961,5533,7812
6,18,24,10,12,4,5,4,5,11237,879,377,0.9282204798297699,0.9281816932762692,91522,1215,1469,2896,4186
7,29,2,28,26,3,1,1,1,11156,591,458,0.9499043794713029,0.9498137694123725,92732,18,259,7097,9779
8,22,12,17,30,1,4,5,3,11204,737,410,0.9387940468190433,0.9387232933258444,92125,46,866,5392,7636
9,25,16,16,4,1,1,1,5,11236,648,378,0.9459027158082602,0.9458216772996801,92784,202,207,6178,8746
10,28,17,28,19,5,4,5,5,11129,526,485,0.9549363404375084,0.9548918183664213,91013,828,1978,3244,4805
11,30,30,11,3,1,5,5,3,11181,569,433,0.9517947984554722,0.9517213671519623,92099,32,892,5664,7925
12,29,1,30,24,5,2,2,4,11162,587,452,0.9502566765704946,0.950169559710482,92727,76,264,6744,9402
13,24,13,1,29,4,5,5,5,11356,878,258,0.9291745761602409,0.929130517378135,92211,1793,780,3517,4755
14,23,30,27,29,2,1,5,5,11193,741,421,0.938411750897079,0.9383431007358544,92133,206,858,5487,7409
15,24,1,11,1,5,2,1,2,11181,727,433,0.9394124744163224,0.9393299533830026,92632,18,359,6580,8906
16,30,26,24,11,5,5,1,3,11206,599,408,0.9495660603431183,0.9494826683265141,92762,35,229,6022,9000
17,28,2,5,30,3,3,2,3,11221,602,393,0.949417962199272,0.9493328004187598,92859,65,132,6682,9191
18,20,1,24,1,2,5,5,1,11058,721,556,0.9390524554803538,0.9389885401325164,90999,8,1992,5350,6898
19,21,28,12,28,1,5,5,5,11273,815,341,0.933309710130049,0.9332530406218766,92208,1102,783,4405,6116
20,28,17,1,2,5,4,5,2,11039,568,575,0.9510525417975487,0.9509930832897099,90113,46,2878,4597,6417
21,28,17,23,1,4,4,5,4,11098,509,516,0.956135619971845,0.956090532688201,90835,671,2156,3293,4866
22,26,1,1,28,2,3,2,4,11366,822,248,0.9334358256710455,0.9333621719888248,92917,1619,74,6385,7949
23,18,14,30,27,1,3,1,2,11237,922,377,0.9250006173804958,0.9249197549217285,92807,58,184,6044,8727
24,30,29,3,16,3,1,5,2,11229,593,385,0.9501736357913121,0.950095247295704,92445,82,546,6147,8460
25,27,1,27,14,1,1,2,4,11148,608,466,0.9485108685664111,0.9484192392717222,92715,51,276,7478,9889
26,28,30,19,29,4,2,5,4,11094,486,520,0.9579748339475748,0.9579194060538718,91073,179,1918,4051,5982
27,18,2,1,7,1,1,4,1,11231,892,383,0.9271994465368097,0.9271233744861074,92128,91,863,6738,8210
28,30,14,30,2,5,1,1,5,11210,593,404,0.9500628007614064,0.9499814379505395,92753,145,238,6007,8781
29,22,2,28,30,4,4,1,5,11262,786,352,0.9354348916716226,0.9353632301320207,92764,800,227,5246,7734
30,30,16,3,20,3,4,1,2,11262,623,352,0.948013313601996,0.9479274383564529,92898,95,93,6520,9268
31,28,30,12,11,5,3,3,2,11227,584,387,0.9508717665532318,0.9507891991910139,92811,48,180,6014,8911
32,24,2,30,26,1,3,5,3,11126,717,488,0.9398213612965244,0.9397513120025768,91758,35,1233,5506,7560
33,30,2,2,2,2,3,5,1,11117,563,497,0.9519055235694445,0.9518318791530033,91453,28,1538,6122,7948
34,27,12,3,29,3,5,1,3,11267,627,347,0.9477305608828774,0.9476461218331758,92893,90,98,6399,9113
35,26,19,29,1,3,1,2,1,11181,605,433,0.9489448812482177,0.948859043065793,92514,8,477,6455,9264
36,28,20,30,6,5,4,5,5,11129,525,485,0.9550166477877322,0.9549720979193063,91013,821,1978,3250,4808
37,27,6,2,28,5,4,1,1,11308,679,306,0.9439427557318562,0.9438586039213228,92951,118,40,6370,9082
38,30,30,13,22,1,1,2,3,11220,600,394,0.94956956231783,0.9494821767502083,92815,51,176,6533,9431
39,21,27,2,1,2,5,5,3,11175,738,439,0.9385219811506154,0.9384523673483101,91613,53,1378,5512,7513
40,23,1,27,21,2,1,2,4,11161,760,453,0.9367294286294593,0.9366397451484912,92718,60,273,7490,9679
41,28,30,11,23,1,3,5,5,11191,578,423,0.9511384594463663,0.9510686603284686,92153,220,838,5600,7533
42,28,2,29,1,4,4,1,2,11152,580,462,0.9507538168264329,0.9506710826801819,92418,12,573,6198,8929
43,22,5,3,30,5,2,1,1,11278,732,336,0.9396704571207657,0.9395931619871531,92896,89,95,5894,8342
44,21,26,1,3,5,5,3,1,11224,822,390,0.9324303667913895,0.9323580659129935,92085,62,906,5570,7803
45,20,18,26,18,5,5,5,1,11130,679,484,0.9428128520724094,0.9427554135045283,91269,55,1722,3986,6199
46,28,29,30,26,5,1,5,5,11082,486,532,0.9579113694277427,0.9578555523712956,91028,163,1963,4070,6024
47,23,1,4,2,2,2,1,5,11224,779,390,0.935706056245738,0.9356307532547443,92543,646,448,6511,8127
48,21,19,6,28,4,5,2,1,11265,767,349,0.9369042985318922,0.9368271053218554,92865,72,126,5603,8331
49,30,4,22,16,2,5,5,1,11144,562,470,0.9521400937786223,0.952067728039769,91929,30,1062,5569,7810
50,21,28,21,1,1,4,3,4,11248,816,366,0.9330568228950644,0.9329853374052753,92481,816,510,5181,7715
51,27,29,28,21,1,4,1,5,11263,668,351,0.9445133026853596,0.9444364059802708,92765,897,226,5507,8299
52,19,1,2,2,4,2,5,5,11059,737,555,0.9378105824449049,0.9377649299487039,90064,816,2927,4002,4927
53,30,10,7,30,5,5,1,4,11312,636,302,0.947298958574094,0.9472332827281282,92858,1051,133,4776,7088
54,29,12,22,4,3,1,2,1,11202,600,412,0.9494636488154166,0.9493762169188968,92749,29,242,6551,9436
55,24,27,5,12,2,1,5,1,11226,740,388,0.9387103895322001,0.93863524405946,92357,70,634,5832,8110
56,29,9,27,8,5,2,5,1,11065,481,549,0.9582276814787104,0.9581692329408504,90972,32,2019,4111,6308
57,25,30,5,30,1,2,2,3,11252,658,362,0.9452221423243123,0.9451379534506605,92870,78,121,6375,9086
58,21,1,9,23,4,5,5,1,11103,657,511,0.9443671387793569,0.9443124336164644,91109,45,1882,4121,5904
59,30,20,1,3,4,3,1,3,11161,670,453,0.9437153008541719,0.9436389971589789,91375,63,1616,6288,8235
60,20,29,20,14,5,4,5,5,11193,742,421,0.9383346550888706,0.9382944230737489,91294,1097,1697,2975,4342
