observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,11302,1374,312,0.8931026744086811,0.89303221742043,92874,342,117,5175,7604
2,19,22,1,30,5,2,1,1,11311,885,303,0.9283212249145626,0.9282339320047371,92964,129,27,6897,9421
3,10,16,13,9,4,1,2,2,11299,1506,315,0.8840341815074979,0.8839612134929692,92876,91,115,5013,7875
4,14,24,6,16,3,1,4,1,11250,1170,364,0.9069742693415288,0.906903710429702,92428,80,563,5212,7615
5,2,29,29,25,2,1,4,3,11296,1893,318,0.8585217556526695,0.8584493899138163,92498,107,493,4686,7810
6,4,15,2,28,2,4,2,3,11335,1877,279,0.8600125644535221,0.8599415607842734,92925,108,66,4710,7663
7,17,6,30,24,5,5,3,5,11316,1025,298,0.918025126435327,0.9179662238742655,92798,1183,193,4202,6357
8,3,6,2,10,2,2,5,2,11270,1805,344,0.8638808871527804,0.8638213174555861,92158,93,833,4193,6429
9,9,17,5,25,1,5,4,1,11297,1581,317,0.8789579170790307,0.8788922041699465,92476,99,515,4433,7092
10,1,25,22,22,4,1,2,1,11325,1931,289,0.8564518617335041,0.8563733805800998,92931,111,60,5203,8470
11,26,19,10,2,2,2,4,4,11203,584,411,0.9507329715857883,0.9506642009694286,92187,222,804,5521,7422
12,27,15,4,22,4,3,4,3,11190,516,424,0.9560703202963733,0.956006942363754,91694,82,1297,4550,6840
13,16,13,1,4,1,4,2,3,11300,1002,314,0.9195783936511657,0.919497957418261,92765,108,226,6123,8681
14,28,8,13,23,2,1,2,1,11215,598,399,0.9496977733969456,0.949612055669656,92806,41,185,6446,9251
15,28,25,20,27,5,1,5,3,11083,483,531,0.9581601388783223,0.9581005228522299,91050,39,1941,4184,6434
16,25,27,10,4,2,3,5,5,11211,626,403,0.9474719713603333,0.9474033119333292,92224,240,767,5519,7410
17,1,16,13,7,1,2,5,2,11291,1887,323,0.8588454002215002,0.8587774449937474,92355,98,636,4485,7334
18,16,22,11,30,5,2,3,2,11255,976,359,0.9211321045024579,0.9210548556977435,92858,71,133,5572,8337
19,9,2,19,16,1,2,5,2,11155,1476,459,0.884569086788479,0.8845124172803066,91550,50,1441,4195,6116
20,5,15,30,8,4,4,2,4,11412,1922,202,0.8580709194261482,0.8580269996307366,92890,1775,101,2825,4740
21,12,19,20,17,1,5,2,1,11310,1376,304,0.8930432640375979,0.8929693323819884,92870,90,121,5128,7979
22,2,18,21,1,3,2,4,1,11221,1857,393,0.8599310890263566,0.8598673960572302,91722,11,1269,4396,6874
23,21,12,29,5,2,1,5,5,11199,744,415,0.9382210076388063,0.9381545256700135,92117,198,874,5339,7175
24,8,20,25,17,3,2,1,5,11316,1697,298,0.8714657351317134,0.871398382179636,92902,379,89,4776,7269
25,28,19,11,11,4,5,5,4,11165,525,449,0.955214022695851,0.9551704920631835,91174,892,1817,3208,4698
26,20,3,5,27,4,1,1,4,11272,772,342,0.9365704505043456,0.9365028751735572,92877,538,114,5339,7293
27,1,5,17,21,4,2,4,2,11211,1776,403,0.8650770011898571,0.8650208320337843,91788,76,1203,3667,6062
28,10,23,20,26,4,3,1,2,11295,1517,319,0.8832471590642507,0.8831722822991196,92873,92,118,5112,8081
29,8,8,30,12,5,4,4,3,11249,1638,365,0.8746231011216385,0.8745675620385801,91929,89,1062,3517,5994
30,18,15,6,22,2,1,4,1,11225,896,389,0.9268540797267907,0.926782779552594,92340,68,651,5466,7695
31,29,29,28,12,1,5,3,5,11256,656,358,0.9454025015874296,0.945324418862549,92761,856,230,5613,8427
32,29,26,9,12,5,2,1,3,11234,585,380,0.9508332698541673,0.950751842182843,92828,55,163,5951,8788
33,29,21,18,3,4,5,1,3,11211,594,403,0.949989746788033,0.9499076797779148,92734,32,257,5935,8857
34,27,23,21,22,2,2,5,5,11174,584,440,0.9505645199708722,0.9504942853613322,92073,177,918,5592,7580
35,27,28,16,16,4,4,4,4,11163,538,451,0.9541629128679934,0.9541193822353259,91176,910,1815,3184,4698
36,27,11,12,3,3,1,3,3,11220,607,394,0.9490185862160548,0.9489335448906777,92788,38,203,6392,9178
37,9,18,1,2,5,2,1,3,11271,1581,343,0.8786769406357096,0.8786045007706194,92217,80,774,5405,7818
38,24,7,19,3,1,3,3,4,11223,748,391,0.9380751697194717,0.9379933621511829,92765,176,226,6242,8829
39,22,30,16,10,4,2,3,1,11231,749,383,0.9380522990675437,0.9379715014692338,92798,51,193,5898,8720
40,1,29,26,21,3,1,1,2,11328,1935,286,0.8562345332811289,0.8561553849915918,92933,111,58,5257,8542
41,17,22,20,9,5,4,3,4,11323,1040,291,0.9169891205229664,0.9169304403406159,92808,1282,183,4133,6333
