observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,11302,1374,312,0.8931026744086811,0.89303221742043,92874,342,117,5175,7604
2,19,22,1,30,5,2,1,1,11311,885,303,0.9283212249145626,0.9282339320047371,92964,129,27,6897,9421
3,10,16,13,9,4,1,2,2,11299,1506,315,0.8840341815074979,0.8839612134929692,92876,91,115,5013,7875
4,14,24,6,16,3,1,4,1,11250,1170,364,0.9069742693415288,0.906903710429702,92428,80,563,5212,7615
5,2,29,29,25,2,1,4,3,11296,1893,318,0.8585217556526695,0.8584493899138163,92498,107,493,4686,7810
6,4,15,2,28,2,4,2,3,11335,1877,279,0.8600125644535221,0.8599415607842734,92925,108,66,4710,7663
7,17,6,30,24,5,5,3,5,11316,1025,298,0.918025126435327,0.9179662238742655,92798,1183,193,4202,6357
8,3,6,2,10,2,2,5,2,11270,1805,344,0.8638808871527804,0.8638213174555861,92158,93,833,4193,6429
9,9,17,5,25,1,5,4,1,11297,1581,317,0.8789579170790307,0.8788922041699465,92476,99,515,4433,7092
10,1,25,22,22,4,1,2,1,11325,1931,289,0.8564518617335041,0.8563733805800998,92931,111,60,5203,8470
11,27,1,12,1,5,3,1,4,11195,587,419,0.9504492878634546,0.9503696577533771,92765,220,226,6156,8594
12,27,1,13,1,5,3,1,4,11194,588,420,0.9503643884183574,0.9502846934478225,92767,220,224,6159,8601
13,26,1,12,1,5,3,1,4,11201,588,413,0.9504051588816766,0.950325704821412,92759,232,232,6161,8575
14,26,12,11,1,5,3,1,4,11239,584,375,0.9509409568806363,0.9508653666504743,92765,238,226,5648,8158
15,26,21,12,4,5,3,1,4,11233,588,381,0.9505909353246125,0.9505136865198981,92805,233,186,5747,8337
16,22,11,18,7,4,4,2,4,11292,797,322,0.9348069042592823,0.9347387451843777,92792,973,199,4798,7356
17,21,11,18,7,4,4,2,4,11291,812,323,0.9336636561643632,0.9335964977936579,92794,998,197,4726,7248
18,22,12,19,7,4,4,2,4,11294,799,320,0.934669158235003,0.9346010362232169,92791,986,200,4789,7352
19,30,11,19,7,4,4,2,4,11259,635,355,0.947057636014939,0.9469842139772087,92771,816,220,5179,7924
20,22,11,18,7,4,4,2,4,11292,797,322,0.9348069042592823,0.9347387451843777,92792,973,199,4798,7356
21,30,20,8,13,3,2,3,5,11239,615,375,0.9485028525132498,0.9484214155761459,92828,284,163,6252,8789
22,30,19,7,12,3,2,3,5,11242,613,372,0.9486775728301173,0.9485972385207886,92837,335,154,6190,8670
23,30,20,8,12,3,2,3,5,11239,615,375,0.9485028525132498,0.9484214155761459,92828,284,163,6252,8789
24,30,20,8,12,3,2,3,5,11239,615,375,0.9485028525132498,0.9484214155761459,92828,284,163,6252,8789
25,30,20,8,4,3,2,3,5,11239,614,375,0.9485813058839219,0.9484999152757161,92821,273,170,6255,8784
26,27,5,11,3,5,3,1,3,11223,577,391,0.9514016283099418,0.9513213588610704,92799,41,192,5893,8663
27,26,5,12,3,5,3,1,3,11218,575,396,0.9515311185792006,0.9514502097915352,92787,38,204,5927,8732
28,25,7,11,3,5,3,1,3,11234,615,380,0.9484731052067239,0.9483932619837151,92799,41,192,5856,8617
29,26,5,11,3,5,3,1,3,11227,573,387,0.9517407182603329,0.9516606433928335,92799,41,192,5876,8642
30,25,6,11,4,5,3,1,3,11234,617,380,0.948316177426462,0.9482361674194201,92817,47,174,5871,8635
31,19,4,16,19,4,3,1,2,11225,764,389,0.9368609940324669,0.9367836247726175,92797,48,194,5722,8350
32,19,4,15,18,4,3,1,2,11225,764,389,0.9368609940324669,0.9367836247726175,92797,48,194,5722,8350
33,18,3,15,19,4,3,1,2,11224,882,390,0.9278977791299059,0.9278207527039024,92795,44,196,5786,8313
34,19,3,15,19,4,3,1,2,11220,762,394,0.9369801513865971,0.9369026060769348,92793,44,198,5801,8369
35,19,4,15,17,4,3,1,2,11225,764,389,0.9368609940324669,0.9367836247726175,92797,48,194,5722,8350
36,24,8,10,3,5,4,2,3,11239,733,375,0.9393355866020775,0.9392573648905027,92780,43,211,5703,8442
37,28,8,4,3,5,4,2,3,11271,590,343,0.9506530837394548,0.9505762889579419,92775,68,216,5717,8288
38,24,8,10,3,5,4,2,3,11239,733,375,0.9393355866020775,0.9392573648905027,92780,43,211,5703,8442
39,24,8,10,3,5,4,2,3,11239,733,375,0.9393355866020775,0.9392573648905027,92780,43,211,5703,8442
40,28,8,10,3,5,4,2,3,11230,583,384,0.9509679888762996,0.9508885904107127,92783,42,208,5788,8569
41,13,5,27,9,1,5,5,3,11256,1198,358,0.9050268549191136,0.9049635047838333,92185,72,806,4628,6837
