observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,11311,1703,303,0.8710149391652549,0.8709393674666521,92902,102,89,5094,8156
2,8,29,21,7,2,,,,11301,1704,313,0.8708363450302763,0.8707602173848962,92887,91,104,5141,8216
3,19,23,11,11,5,,,,11228,748,386,0.9381088767758733,0.9380698678436618,91393,1139,1598,2913,4210
4,4,8,24,3,5,,,,11337,1872,277,0.8603562240553688,0.8603273055571664,92006,1584,985,1991,3121
5,2,24,12,30,2,,,,11322,1926,292,0.85673294328098,0.8566554443002158,92923,107,68,5099,8364
6,19,21,5,14,5,,,,11266,765,348,0.937063844440415,0.9370254470496585,91609,1265,1382,2921,4144
7,1,1,25,30,4,,,,11145,1342,469,0.8937779581283671,0.8937374759371955,91018,824,1973,3119,4369
8,30,3,28,1,2,,,,11175,589,439,0.9501743049060454,0.9500866506308147,92648,12,343,6677,9460
9,1,29,23,1,4,,,,11237,1882,377,0.8585137024501677,0.8584777512252316,91004,1123,1987,2484,3880
10,29,29,26,28,2,,,,11201,607,413,0.9489059752018788,0.9488175703984987,92764,41,227,6590,9541
11,25,1,23,6,1,,,,11152,645,462,0.9456184592320752,0.945527895502043,92722,18,269,7473,9774
12,21,27,1,28,1,,,,11301,910,313,0.9263828524492871,0.9262901575899416,92967,132,24,7333,10004
13,26,23,28,21,5,,,,11144,538,470,0.9540573119281135,0.9540134569931593,91065,884,1926,3188,4733
14,28,16,1,3,3,,,,11219,667,395,0.9443157561596424,0.9442312244521445,92281,59,710,6776,9123
15,15,2,6,21,3,,,,11245,1062,369,0.9147378131217898,0.9146615650212746,92853,62,138,6010,8229
16,29,1,30,27,5,,,,11070,511,544,0.9558215316284538,0.95577570308244,90749,634,2242,3494,4946
17,24,29,5,1,3,,,,11229,761,385,0.9371181925611393,0.9370350877837033,92674,55,317,6340,8969
18,19,7,24,3,1,,,,11232,790,382,0.9349217236121007,0.9348415004921273,92779,45,212,6075,8658
19,21,4,2,19,4,,,,11300,792,314,0.9352415571689164,0.9352012417617781,91981,1533,1010,3266,4351
20,25,30,24,25,1,,,,11218,654,396,0.9453232705589694,0.9452372655925115,92775,50,216,6408,9282
21,1,7,30,2,1,,,,11274,1865,340,0.8600526376015561,0.8599820323608312,92623,30,368,5028,7620
22,30,29,5,27,4,,,,11234,559,380,0.9528882676162187,0.9528452929303286,91615,1169,1376,3269,4638
23,21,1,25,30,2,,,,11176,766,438,0.9363710093637103,0.9362832068360056,92741,26,250,7243,9476
24,25,6,1,1,4,,,,10747,605,867,0.9462686356896569,0.946229293189379,87084,788,5907,3327,4246
25,3,18,12,23,1,,,,11322,1898,292,0.8585155460923212,0.858440280164446,92917,102,74,4971,8123
26,30,30,6,18,5,,,,11216,550,398,0.953501499622544,0.9534585712655521,91460,1063,1531,3234,4633
27,24,3,30,3,1,,,,11196,743,418,0.9382778126964173,0.9381926323843458,92754,33,237,6506,9193
28,30,7,21,30,5,,,,11116,519,498,0.9554276991520105,0.955383288270279,90979,793,2012,3248,4793
29,24,12,1,4,5,,,,11295,842,319,0.9314280907826965,0.9313857554356004,91680,1539,1311,3434,4569
30,23,23,29,22,3,,,,11220,767,394,0.9365968977105965,0.936511152185968,92776,51,215,6377,9254
31,29,1,1,2,4,,,,10987,613,627,0.9471323105993993,0.9470909574249432,89078,1041,3913,3741,4463
32,15,28,30,30,5,,,,11268,1065,346,0.9147128493289022,0.9146769907617623,91634,1392,1357,2638,3870
33,17,30,3,11,1,,,,11276,994,338,0.9199731089804257,0.9198928302657746,92903,89,88,6011,8664
34,30,8,22,23,1,,,,11197,602,417,0.9492764067043653,0.9491889192131678,92757,31,234,6567,9442
35,17,13,27,1,5,,,,11180,912,434,0.9253097884202197,0.9252724473283402,91100,953,1891,2815,4030
36,30,1,27,24,5,,,,11068,513,546,0.9556488448115382,0.9556029421392874,90753,635,2238,3500,4954
37,27,26,1,2,1,,,,11065,652,549,0.9445204158109218,0.9444404336012187,90719,21,2272,6827,8632
38,24,30,15,30,3,,,,11229,761,385,0.9371181925611393,0.9370322987840368,92789,51,202,6395,9270
39,23,15,26,2,5,,,,11156,682,458,0.9427456918989446,0.9427034028807466,91076,884,1915,3096,4564
40,24,3,4,16,2,,,,11240,756,374,0.9375761154987005,0.9374932794288735,92873,75,118,6538,8940
41,30,24,28,13,5,,,,11122,527,492,0.9548174411716732,0.954772455811605,91010,818,1981,3271,4855
42,23,1,6,30,2,,,,11207,752,407,0.9376594908007798,0.9375742548940306,92838,51,153,7125,9199
43,29,14,1,1,2,,,,10779,584,835,0.94818622768081,0.9481095904175506,88213,14,4778,6479,8271
44,23,2,30,3,2,,,,11185,757,429,0.9371250661894325,0.9370401638507497,92756,35,235,6615,9163
45,27,29,1,22,5,,,,11357,725,257,0.9407221618469532,0.9406770097028518,92217,1757,774,3586,4873
46,20,2,26,3,2,,,,11191,775,423,0.9357837136339615,0.9357012945242176,92762,36,229,6454,8895
47,12,30,4,30,1,,,,11297,1378,317,0.8927767038782087,0.8926990659107501,92914,107,77,5483,8379
48,5,14,1,6,5,,,,11385,1891,229,0.8597150442959021,0.8596841151235215,92305,1921,686,2160,3338
49,5,23,29,19,4,,,,11385,1890,229,0.8597786702391975,0.859745971302909,92297,1929,694,2166,3529
50,22,3,5,23,5,,,,11232,702,382,0.9416814782521211,0.9416420616256062,91426,1085,1565,3077,4254
51,30,21,24,30,5,,,,11122,529,492,0.9546568059425283,0.954611774253562,91017,827,1974,3273,4860
52,26,1,2,2,3,,,,11102,597,512,0.9491079137920716,0.9490263656656123,91490,61,1501,6812,8801
53,22,30,28,4,5,,,,11180,692,434,0.9421210701416721,0.9420789479075073,91164,942,1827,3100,4546
54,26,30,1,18,2,,,,11289,709,325,0.9415094843173494,0.9414162149796673,92932,121,59,7303,10066
55,23,1,28,17,4,,,,11093,663,521,0.9438312760142803,0.9437873284215298,90794,665,2197,3456,4743
56,27,1,30,23,5,,,,11082,515,532,0.9555639482846929,0.9555188702668285,90770,657,2221,3448,4865
57,30,27,4,2,1,,,,11221,605,393,0.9491818477113391,0.9490971584855876,92540,30,451,6609,9140
58,22,26,17,30,5,,,,11194,702,420,0.9414349102970809,0.9413932884150158,91228,1015,1763,3069,4492
59,22,8,18,1,5,,,,11158,672,456,0.9435398218115153,0.943498227726789,91011,807,1980,3088,4489
60,30,11,2,26,4,,,,11307,621,307,0.9484369705042561,0.9483931063035222,92026,1530,965,3458,4734
61,30,21,28,5,5,,,,11122,526,492,0.9548977790599039,0.9548527844340561,91005,812,1986,3274,4856
62,22,1,1,30,5,,,,11352,932,262,0.9251381350545206,0.9250932608838078,92190,1782,801,3903,4843
63,27,29,13,27,1,,,,11226,609,388,0.9488968419130762,0.9488105311758908,92815,53,176,6440,9315
64,30,7,3,2,2,,,,11243,610,371,0.9489189093382804,0.9488351096273727,92703,66,288,6585,9044
65,19,12,30,28,5,,,,11208,745,406,0.9382047208238253,0.9381658138151896,91287,1077,1704,2892,4199
66,28,1,30,28,5,,,,11075,513,539,0.955687180071312,0.9556415183093314,90759,636,2232,3487,4928
67,25,29,6,2,2,,,,11241,655,373,0.9453876922145334,0.9453043279952681,92784,54,207,6340,8997
68,30,11,1,22,1,,,,11292,731,322,0.939839298466394,0.939743545899773,92943,127,48,7647,10334
69,19,28,30,16,5,,,,11210,757,404,0.9372956720518667,0.9372560145150816,91337,1130,1654,2935,4280
70,20,2,16,4,5,,,,11162,713,452,0.9403712621463919,0.9403318269883176,91107,895,1884,3039,4256
71,28,2,27,6,5,,,,11095,513,519,0.9557964597195756,0.955751928382709,90856,717,2135,3325,4806
72,30,27,2,30,1,,,,11287,645,327,0.9464481570800393,0.9463559069781157,92964,123,27,7163,9956
73,22,30,30,19,5,,,,11183,703,431,0.9412855959651732,0.9412436127177028,91189,1006,1802,3084,4531
74,26,14,3,1,1,,,,11154,585,460,0.9503685084991267,0.9502889803126251,91726,11,1265,6377,8583
75,20,9,14,28,5,,,,11201,725,413,0.9397001281905005,0.9396609617400354,91278,1038,1713,2927,4227
76,30,27,30,15,5,,,,11120,529,494,0.9546457422971593,0.9546007013424134,91010,827,1981,3274,4861
77,27,1,3,1,1,,,,10968,559,646,0.9513615538211462,0.9512830634019623,90317,11,2674,7171,8471
78,20,2,23,30,4,,,,11154,706,460,0.9408624825813069,0.9408227045893867,91011,845,1980,3091,4293
79,25,26,3,30,4,,,,11286,639,328,0.9469089957193606,0.94686775373426,91811,1397,1180,3192,4451
80,20,17,23,1,4,,,,11156,705,458,0.9409534027324423,0.9409130502621855,90989,835,2002,3020,4355
81,30,14,30,1,5,,,,11096,510,518,0.9560440317900151,0.9559986109383046,90855,684,2136,3309,4902
82,24,1,1,27,5,,,,11347,922,267,0.92583979960672,0.925794564070602,92174,1784,817,3905,4882
83,29,30,20,30,1,,,,11204,606,410,0.9490025478397572,0.9489143839466473,92777,43,214,6565,9515
84,24,29,1,5,5,,,,11324,859,290,0.9303609544169141,0.9303177017576354,91902,1635,1089,3471,4668
85,19,3,25,15,5,,,,11180,720,434,0.9399476050673097,0.9399091428160958,91141,944,1850,2933,4151
86,28,18,25,4,5,,,,11128,521,486,0.9553325377952149,0.9552878582058743,91010,796,1981,3260,4822
87,25,30,4,30,1,,,,11260,665,354,0.9447275643983697,0.9446429122357367,92895,91,96,6437,9136
88,20,1,16,20,4,,,,11128,705,486,0.9407690837984483,0.9407281939129732,90956,765,2035,3318,4413
89,28,2,1,1,2,,,,10664,568,950,0.9487848365250132,0.9487110253245388,87233,14,5758,6604,7966
90,30,12,28,30,1,,,,11202,600,412,0.9494636488154166,0.9493760594006432,92760,35,231,6556,9453
91,28,8,30,3,5,,,,11122,522,492,0.9552192658501812,0.9551749383604663,90977,779,2014,3240,4784
92,25,28,3,29,1,,,,11267,669,347,0.9444606506861947,0.9443758132079693,92897,94,94,6490,9156
93,29,1,13,26,5,,,,11106,508,508,0.9562596865851559,0.9562149143380191,90914,711,2077,3437,4832
94,21,30,12,1,5,,,,11171,699,443,0.9415181611613433,0.9414769006446835,91079,872,1912,3088,4453
95,22,23,29,23,4,,,,11185,700,429,0.9415316029691285,0.9414901478710965,91191,1010,1800,3048,4474
96,30,1,23,3,5,,,,11072,514,542,0.9555899248784799,0.9555441148640254,90768,639,2223,3488,4944
97,26,28,1,27,4,,,,11360,740,254,0.9395977595225254,0.9395525610495259,92275,1819,716,3612,4878
98,21,11,30,30,5,,,,11185,714,429,0.9404454608897448,0.9404048489776585,91191,1001,1800,2999,4383
99,28,30,29,13,1,,,,11202,609,412,0.9487543893229982,0.9486669388949192,92762,38,229,6524,9438
100,20,24,14,2,5,,,,11198,725,416,0.9396802167021068,0.9396401700025775,91282,1014,1709,2985,4322
101,28,5,25,30,5,,,,11118,517,496,0.9555996005012644,0.9555555695164973,90952,773,2039,3227,4752
102,30,30,1,3,1,,,,11217,689,397,0.9425923685059697,0.9425058631874123,92110,71,881,7138,9336
103,20,1,9,1,4,,,,11145,706,469,0.940803257737041,0.9407629793930211,91031,812,1960,3302,4347
104,21,25,29,7,4,,,,11187,719,427,0.940071393998064,0.9400302724680986,91225,1022,1766,3033,4438
105,25,29,12,26,5,,,,11184,584,430,0.9506226986668843,0.9505801038779588,91245,982,1746,3130,4597
106,28,9,12,1,4,,,,11126,503,488,0.9567707482349703,0.9567266709213051,90960,704,2031,3260,4757
107,20,30,26,29,5,,,,11193,743,421,0.9382575719473308,0.9382171731481759,91293,1101,1698,2983,4360
108,29,19,1,27,1,,,,11296,733,318,0.939712329564834,0.9396163638852817,92959,130,32,7619,10357
109,27,1,28,22,1,,,,11143,606,471,0.9486391459438291,0.94854678465255,92715,14,276,7515,9968
110,30,30,25,3,1,,,,11202,605,412,0.9490694848997809,0.9489812561462136,92747,29,244,6598,9522
111,30,23,15,2,5,,,,11142,517,472,0.9557303505717056,0.9556859860188721,91096,808,1895,3260,4788
112,28,1,30,29,2,,,,11155,595,459,0.9495815201476427,0.9494905950522052,92728,18,263,7280,9813
113,26,30,3,27,2,,,,11256,626,358,0.9477427959422867,0.9476570133545398,92898,96,93,6553,9258
114,25,1,2,4,2,,,,11224,653,390,0.9454384951152905,0.9453548343910773,92413,67,578,7327,9029
115,20,30,27,15,5,,,,11193,743,421,0.9382575719473308,0.9382171731481759,91293,1101,1698,2983,4360
116,29,29,12,29,5,,,,11156,528,458,0.954924417509801,0.9548802197410007,91162,893,1829,3237,4770
117,26,1,25,1,1,,,,11143,605,471,0.9487182980114633,0.9486267243114522,92673,8,318,7507,9883
118,30,9,1,12,4,,,,11345,730,269,0.9402624612747789,0.9402168643732556,92200,1732,791,3683,4921
