observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,11291,1373,323,0.8930633552163253,0.8929860415511535,92874,93,117,5428,8344
2,5,2,26,19,4,,,,11232,1584,382,0.878051526114841,0.8780183546237917,91302,1055,1689,2518,3580
3,1,30,25,7,1,,,,11324,1941,290,0.8558054047844691,0.8557258951295267,92916,104,75,5357,8581
4,6,10,16,13,2,,,,11317,1756,297,0.8676139351815649,0.8675426628047072,92886,94,105,4927,7692
5,19,5,9,11,3,,,,11241,784,373,0.9354419403534058,0.9353622546486505,92824,53,167,6089,8600
6,24,6,16,18,1,,,,11223,743,391,0.9384595315980655,0.9383750369536861,92779,40,212,6382,9119
7,19,6,2,29,5,,,,11305,797,309,0.9348970910269727,0.9348588974833679,91899,1503,1092,3033,4122
8,25,10,3,21,3,,,,11261,659,353,0.9452000523758842,0.9451157059839788,92892,88,99,6507,9103
9,4,15,2,28,2,,,,11321,1857,293,0.8611273382258084,0.86105337877286,92925,107,66,5073,7982
10,20,10,16,17,1,,,,11232,783,382,0.9354558764985035,0.9353745878138735,92799,53,192,6106,8773
11,30,24,29,27,3,,,,11202,606,412,0.9489906913857197,0.9489023329112376,92764,41,227,6586,9536
12,28,3,6,2,2,,,,11217,591,397,0.950261434143333,0.9501772823327996,92804,54,187,6533,9082
13,12,9,25,11,2,,,,11293,1354,321,0.8944001191160701,0.8943262059920198,92859,86,132,5279,7977
14,17,5,25,3,5,,,,11220,925,394,0.9246455113487462,0.9246098102998599,91386,1139,1605,2711,3853
15,24,6,1,25,4,,,,11351,880,263,0.9289889398673832,0.9289449552115142,92214,1807,777,3565,4747
16,22,24,3,11,1,,,,11267,778,347,0.9360787878082946,0.9359956089046216,92894,90,97,6377,8977
17,26,19,10,2,2,,,,11223,605,391,0.9491936547888482,0.9491090674866726,92774,42,217,6345,9129
18,10,22,20,27,3,,,,11291,1517,323,0.8832051013288361,0.8831289458861171,92873,92,118,5315,8219
19,4,22,23,17,4,,,,11377,1928,237,0.8572711695568894,0.8572390080358191,92292,1922,699,2111,3471
20,15,16,13,1,1,,,,11223,1076,391,0.9135308051085443,0.9134549924996714,92420,11,571,5711,8182
21,1,20,10,16,5,,,,11403,1997,211,0.8532446192387468,0.8532121704785082,92375,1995,616,2126,3502
22,8,13,23,7,1,,,,11306,1685,308,0.8721437023757546,0.8720716516734085,92885,91,106,4938,7776
23,9,5,28,25,4,,,,11283,1564,331,0.879948589726992,0.8799185408036756,91703,1354,1288,2203,3243
24,27,25,6,27,3,,,,11241,615,373,0.9485147445482129,0.9484293140600917,92865,74,126,6438,9220
25,25,27,10,4,2,,,,11238,650,376,0.9457589804182952,0.9456747174184064,92801,45,190,6330,9094
26,13,25,26,1,3,,,,11261,1245,353,0.9017341225608896,0.9016574667660711,92716,59,275,5604,8273
27,13,7,4,11,5,,,,11305,1226,309,0.9034849504421922,0.9034525943397498,91823,1452,1168,2483,3492
28,10,16,22,11,5,,,,11327,1531,287,0.8826380490480881,0.8826062025635248,91922,1593,1069,2259,3437
29,29,8,15,10,2,,,,11208,599,406,0.949577824206101,0.9494908370670031,92779,39,212,6516,9388
30,2,19,16,2,2,,,,11314,1907,300,0.8578451814637506,0.857771472186852,92804,74,187,4950,7955
31,28,8,5,15,5,,,,11225,548,389,0.9537104220795221,0.9536683461742554,91492,1084,1499,3198,4541
32,8,21,23,8,4,,,,11366,1739,248,0.8692805758697012,0.8692490351558655,92146,1741,845,2128,3404
33,12,19,20,17,1,,,,11294,1362,320,0.8938549254619649,0.8937792889029048,92868,90,123,5347,8163
34,26,10,6,2,3,,,,11239,604,375,0.9493665539827106,0.9492829581189547,92811,55,180,6352,9022
35,21,1,16,7,4,,,,11118,694,496,0.9415618510777404,0.9415199512222865,90910,736,2081,3372,4522
36,6,21,12,29,1,,,,11320,1781,294,0.8660220973341515,0.865946127207025,92909,103,82,5126,8199
37,11,4,28,27,2,,,,11268,1468,346,0.8862977796934927,0.8862238109747647,92835,67,156,5441,7983
38,20,25,17,16,2,,,,11230,796,384,0.9344503468200399,0.9343676960658055,92804,59,187,6164,8920
39,3,27,28,19,2,,,,11320,1913,294,0.8575354793941496,0.8574574337323877,92925,106,66,5115,8423
40,11,22,27,27,4,,,,11325,1529,289,0.8827518473482369,0.882718935299017,91954,1623,1037,2325,3552
41,20,3,5,27,4,,,,11239,734,375,0.9392586550691887,0.9392207209674134,91545,1158,1446,2995,4094
42,1,4,20,1,1,,,,11227,1781,387,0.8649380745324388,0.8648664778532942,92364,11,627,5284,7727
43,17,21,20,7,4,,,,11248,950,366,0.923002186057809,0.9229651970655552,91557,1282,1434,2758,3992
44,8,10,23,20,5,,,,11346,1708,268,0.8710806743850382,0.871051579837023,91992,1610,999,2018,3140
45,20,18,3,12,2,,,,11264,798,350,0.9345360174694517,0.934454552735009,92897,91,94,6225,8792
46,8,30,12,27,4,,,,11368,1753,246,0.868392145359434,0.8683594464231454,92218,1865,773,2187,3529
47,24,16,18,15,1,,,,11225,756,389,0.937474423025207,0.9373892612446948,92782,47,209,6363,9191
48,22,9,1,20,1,,,,11300,879,314,0.9286882483953419,0.9285968507451436,92944,126,47,7355,9864
49,29,29,28,12,1,,,,11201,606,413,0.9489847616820608,0.9488967923703229,92762,38,229,6572,9494
50,28,13,29,29,5,,,,11128,525,486,0.9550111480902351,0.954966727942724,91004,819,1987,3241,4794
51,9,12,26,10,1,,,,11299,1587,315,0.8785776047077266,0.8785050351217216,92873,92,118,5056,7832
52,17,29,21,18,1,,,,11254,985,360,0.9204596573017627,0.9203787114509788,92835,71,156,5947,8736
53,19,30,5,16,5,,,,11265,774,349,0.9363700594322764,0.936331291410335,91630,1292,1361,2942,4184
54,23,21,22,11,2,,,,11221,767,393,0.9366037534263955,0.9365190734664236,92780,49,211,6327,9139
55,25,25,27,28,3,,,,11208,653,406,0.9453393454486566,0.9452526270171678,92771,48,220,6460,9359
56,16,24,20,22,4,,,,11260,957,354,0.9225772515063573,0.9225405126901532,91604,1354,1387,2743,3965
57,27,11,12,3,3,,,,11222,607,392,0.9490304193763902,0.9489453595194538,92789,38,202,6389,9180
58,2,14,17,9,3,,,,11317,1904,297,0.8580726461574388,0.8579991036645734,92909,104,82,4884,7937
59,1,2,25,11,1,,,,11217,1602,397,0.8766774261619865,0.8765961930720343,92764,37,227,6262,8767
60,16,24,7,19,1,,,,11266,985,348,0.9205556999115887,0.9204761068646298,92880,81,111,5887,8590
61,2,16,17,20,4,,,,11389,1975,225,0.8544526971265661,0.8544223424325221,92270,1899,721,1989,3276
62,30,16,10,24,2,,,,11224,599,390,0.9496717946461661,0.9495855209720993,92823,52,168,6478,9311
63,14,3,1,29,5,,,,11343,1199,271,0.9057415534389912,0.9057051574566333,92170,1755,821,3015,3928
64,21,13,6,5,2,,,,11249,780,365,0.9358024075137056,0.9357206277427557,92855,64,136,6198,8826
65,17,22,20,9,5,,,,11243,951,371,0.922888757551878,0.9228516944333872,91544,1284,1447,2760,4000
66,23,17,19,13,2,,,,11224,763,390,0.9369308003479266,0.936846361298225,92790,50,201,6305,9113
67,11,23,1,4,1,,,,11291,1504,323,0.8840861363454849,0.8840083964544505,92685,87,306,5803,8390
68,2,26,22,15,1,,,,11322,1930,292,0.8564788898605367,0.856400909059232,92923,109,68,5169,8416
69,15,15,6,14,2,,,,11275,1090,339,0.9129569440598284,0.9128796303946566,92878,80,113,5695,8344
70,19,20,2,12,4,,,,11324,816,290,0.9335931960809531,0.9335532883681182,92075,1617,916,3128,4307
71,16,26,20,5,1,,,,11256,982,358,0.9206970337458038,0.9206176816091151,92802,54,189,5872,8564
72,20,1,18,29,3,,,,11191,781,423,0.9353238321615668,0.9352399212613036,92770,37,221,6814,9056
73,12,20,14,17,5,,,,11321,1369,293,0.893635226956983,0.8936018886819006,91884,1576,1107,2375,3598
74,12,29,28,6,1,,,,11289,1370,325,0.8932513589859234,0.8931745827359697,92859,81,132,5416,8286
75,4,1,3,21,1,,,,11286,1749,328,0.867714649046867,0.8676405691387835,92556,96,435,6214,7995
76,10,26,1,25,2,,,,11303,1536,311,0.8820476803620899,0.881966243424986,92966,123,25,5783,8789
77,4,21,19,27,4,,,,11375,1928,239,0.8572470725483488,0.8572151334059893,92286,1914,705,2101,3447
78,25,9,6,23,5,,,,11229,592,385,0.9502524359262952,0.9502115553065998,91457,1087,1534,3099,4412
79,30,13,12,24,2,,,,11222,595,392,0.9499751966910862,0.9498888766881212,92810,45,181,6487,9316
80,28,26,13,23,4,,,,11164,533,450,0.9545682297393662,0.9545243562728527,91175,899,1816,3216,4735
81,4,28,16,25,2,,,,11317,1870,297,0.8602459496151432,0.8601675240564167,92921,106,70,5201,8464
