observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,11291,1373,323,0.8930633552163253,0.8929860415511535,92874,93,117,5428,8344
2,5,2,26,19,4,,,,11232,1584,382,0.878051526114841,0.8780183546237917,91302,1055,1689,2518,3580
3,1,30,25,7,1,,,,11324,1941,290,0.8558054047844691,0.8557258951295267,92916,104,75,5357,8581
4,6,10,16,13,2,,,,11317,1756,297,0.8676139351815649,0.8675426628047072,92886,94,105,4927,7692
5,19,5,9,11,3,,,,11241,784,373,0.9354419403534058,0.9353622546486505,92824,53,167,6089,8600
6,24,6,16,18,1,,,,11223,743,391,0.9384595315980655,0.9383750369536861,92779,40,212,6382,9119
7,19,6,2,29,5,,,,11305,797,309,0.9348970910269727,0.9348588974833679,91899,1503,1092,3033,4122
8,25,10,3,21,3,,,,11261,659,353,0.9452000523758842,0.9451157059839788,92892,88,99,6507,9103
9,4,15,2,28,2,,,,11321,1857,293,0.8611273382258084,0.86105337877286,92925,107,66,5073,7982
10,20,10,16,17,1,,,,11232,783,382,0.9354558764985035,0.9353745878138735,92799,53,192,6106,8773
11,30,22,8,1,4,,,,11156,522,458,0.9554052850458006,0.9553614671739649,91143,804,1848,3299,4729
12,28,22,9,24,4,,,,11185,543,429,0.9538859873849964,0.9538429385728694,91319,980,1672,3190,4646
13,30,21,9,24,4,,,,11176,540,438,0.9540753084354052,0.9540319260552117,91300,966,1691,3218,4682
14,29,22,8,1,4,,,,11159,523,455,0.9553414881376362,0.9552977073289189,91144,811,1847,3295,4725
15,30,21,8,24,4,,,,11195,547,419,0.9536230007564245,0.9535800446020937,91382,1014,1609,3220,4636
16,13,24,6,3,5,,,,11296,1222,318,0.903685783589015,0.9036514816728517,91790,1411,1201,2550,3702
17,13,26,12,1,5,,,,11222,1179,392,0.906077062572768,0.9060417136235074,91168,1057,1823,2645,3815
18,25,26,12,1,5,,,,11151,562,463,0.9521800833744628,0.9521369141072007,91057,795,1934,3193,4659
19,13,25,12,2,5,,,,11285,1214,329,0.9041526123080128,0.9041181806709349,91644,1328,1347,2555,3716
20,13,26,6,1,5,,,,11225,1183,389,0.905817567938335,0.9057822931153114,91245,1088,1746,2655,3807
21,22,17,21,6,3,,,,11223,762,391,0.9370006295094669,0.9369164776989336,92778,43,213,6302,9082
22,22,17,30,6,3,,,,11222,762,392,0.9369938045856087,0.9369097361670919,92775,43,216,6301,9073
23,22,17,20,6,3,,,,11223,762,391,0.9370006295094669,0.9369164776989336,92778,43,213,6302,9082
24,22,18,21,7,3,,,,11225,763,389,0.9369376287506719,0.9368534584085793,92783,50,208,6302,9084
25,23,18,19,6,3,,,,11219,760,395,0.9371267238570964,0.9370415806081435,92770,41,221,6348,9189
26,30,22,5,11,4,,,,11235,556,379,0.9531315482724861,0.9530886477128331,91610,1153,1381,3267,4630
27,30,21,5,11,4,,,,11235,556,379,0.9531315482724861,0.9530886477128331,91610,1153,1381,3267,4630
28,30,21,5,10,4,,,,11235,556,379,0.9531315482724861,0.9530886477128331,91610,1153,1381,3267,4630
29,28,21,5,13,4,,,,11244,561,370,0.952786077324471,0.9527434640039861,91623,1164,1368,3240,4599
30,30,21,5,11,4,,,,11235,556,379,0.9531315482724861,0.9530886477128331,91610,1153,1381,3267,4630
31,27,14,14,4,2,,,,11215,611,399,0.9486743090707306,0.9485886284065596,92769,33,222,6419,9247
32,27,28,14,4,2,,,,11215,610,399,0.9487529587726021,0.9486666480354167,92767,33,224,6452,9315
33,27,15,11,4,2,,,,11223,608,391,0.9489576938882154,0.9488725877023809,92797,39,194,6386,9185
34,27,28,11,4,2,,,,11223,608,391,0.9489576938882154,0.9488719483635869,92795,39,196,6418,9254
35,27,13,11,22,2,,,,11227,609,387,0.9489027651467768,0.9488175755689258,92817,49,174,6383,9194
36,8,24,8,26,4,,,,11368,1745,246,0.8689125293701301,0.8688806365566688,92185,1822,806,2140,3442
37,17,23,8,25,4,,,,11264,956,350,0.9226827262391177,0.9226459874229137,91696,1375,1295,2759,3965
38,8,23,8,26,4,,,,11367,1745,247,0.8689011805498226,0.8688694823177333,92174,1816,817,2133,3421
39,16,23,9,26,4,,,,11270,958,344,0.922581722567315,0.9225451968640422,91677,1377,1314,2737,3942
40,16,23,8,26,4,,,,11273,958,341,0.9226052611333811,0.9225687632274473,91715,1395,1276,2742,3939
41,25,19,18,20,5,,,,11168,581,446,0.9507674757157573,0.9507247604716966,91136,933,1855,3128,4610
42,25,19,1,21,5,,,,11356,769,258,0.9373674140182489,0.9373233459703633,92208,1772,783,3513,4756
43,29,19,1,20,5,,,,11350,721,264,0.9409825681942917,0.9409371473425813,92198,1734,793,3634,4902
44,25,19,1,20,5,,,,11356,769,258,0.9373674140182489,0.9373233459703633,92208,1772,783,3513,4756
45,25,30,1,20,5,,,,11357,770,257,0.937298316213767,0.937253868268917,92222,1786,769,3528,4797
46,28,25,10,23,4,,,,11183,538,431,0.9542737092174496,0.9542305306844078,91314,962,1677,3199,4660
47,28,27,10,23,4,,,,11182,539,432,0.9541883766851041,0.9541451425573846,91317,964,1674,3203,4666
48,28,12,10,24,4,,,,11182,531,432,0.9548271627919687,0.9547842900296545,91292,938,1699,3183,4627
49,28,1,10,23,4,,,,11124,517,490,0.9556323375536706,0.9555880934559722,91044,750,1947,3447,4775
50,28,25,10,23,4,,,,11183,538,431,0.9542737092174496,0.9542305306844078,91314,962,1677,3199,4660
51,1,6,14,30,3,,,,11312,1860,302,0.8608277705230412,0.860756998498283,92875,85,116,4885,7638
52,1,1,14,30,3,,,,11263,1406,351,0.8905035618561185,0.8904258775597618,92819,59,172,6058,8384
53,20,1,13,29,3,,,,11195,776,419,0.935734787936335,0.9356513681223919,92774,37,217,6790,9003
54,19,3,15,17,3,,,,11216,778,398,0.9357271574451044,0.9356463598467945,92788,44,203,6224,8720
55,26,4,14,17,3,,,,11214,595,400,0.9499284207672954,0.9498430829369704,92782,37,209,6421,9210
56,28,9,7,14,4,,,,11212,543,402,0.954035761875669,0.953993546983708,91405,1019,1586,3187,4556
57,29,12,3,14,4,,,,11276,582,338,0.9513107097540563,0.9512684485331971,91733,1295,1258,3290,4561
58,29,25,7,15,4,,,,11210,547,404,0.9537065238290509,0.953663641800957,91419,1047,1572,3224,4628
59,29,11,7,14,4,,,,11207,540,407,0.9542468968030559,0.9542043761403673,91389,1017,1602,3209,4589
60,29,25,7,15,4,,,,11210,547,404,0.9537065238290509,0.953663641800957,91419,1047,1572,3224,4628
61,23,8,10,23,4,,,,11212,683,402,0.9430264656357186,0.9429860205076654,91324,1016,1667,3032,4365
62,23,7,10,28,4,,,,11209,680,405,0.9432406277611814,0.9432003494171616,91314,1011,1677,3019,4347
63,24,9,10,23,4,,,,11200,687,414,0.9426387488490549,0.942597414206158,91327,1018,1664,3079,4461
64,23,9,10,22,4,,,,11215,685,399,0.9428901959597387,0.9428496211107709,91342,1027,1649,3034,4379
65,24,7,10,22,4,,,,11194,682,420,0.9429893284002036,0.9429483180595934,91298,1003,1693,3063,4426
66,26,13,3,2,4,,,,11242,571,372,0.9519841612597829,0.9519423540621254,91478,1095,1513,3263,4512
67,26,11,4,9,4,,,,11272,576,342,0.9517601483367839,0.9517191379961738,91691,1259,1300,3169,4426
68,26,11,24,9,4,,,,11140,529,474,0.9547562114862144,0.9547130051558337,91029,852,1962,3150,4663
69,26,29,3,25,4,,,,11285,598,329,0.950106166050101,0.9500643403208842,91798,1371,1193,3228,4514
70,26,11,3,2,4,,,,11239,568,375,0.9522042439554221,0.9521626498706959,91468,1090,1523,3252,4489
71,28,16,26,19,5,,,,11129,526,485,0.9549363404375084,0.9548918183664213,91013,828,1978,3244,4805
72,28,27,27,8,5,,,,11129,529,485,0.9546954994029401,0.9546507734847013,91025,830,1966,3257,4827
73,28,24,26,9,5,,,,11130,528,484,0.9547812838848704,0.9547366135613093,91022,828,1969,3253,4821
74,28,16,24,18,5,,,,11129,526,485,0.9549363404375084,0.9548917905690825,91019,828,1972,3245,4808
75,28,27,27,18,1,,,,11202,610,412,0.9486756481177231,0.9485879104504757,92764,41,227,6531,9469
76,30,16,23,19,5,,,,11121,525,493,0.954972624289846,0.9549277593849129,91005,816,1986,3264,4842
77,30,16,25,19,5,,,,11121,525,493,0.954972624289846,0.9549277593849129,91005,816,1986,3264,4842
78,30,15,24,19,5,,,,11121,526,493,0.9548922665833215,0.9548474387415069,91003,816,1988,3264,4838
79,30,16,24,16,5,,,,11121,525,493,0.954972624289846,0.9549277593849129,91005,816,1986,3264,4842
80,30,16,24,5,5,,,,11121,524,493,0.9550529955223035,0.9550081213515907,91001,808,1990,3265,4843
