observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,276099,26427,496,0.9142127586418584,0.9142062505196237,2207540,75,921,10355,14862
2,19,23,11,11,5,4,3,5,276276,20003,319,0.933726620840804,0.9337215586760192,2208288,726,173,8333,11560
3,2,24,12,30,2,4,5,1,276031,30439,564,0.9024381073813436,0.9024304261155571,2207547,117,914,12312,17541
4,12,26,22,29,4,1,1,3,276252,21981,343,0.9276419656344131,0.927636213333668,2208289,46,172,9480,13136
5,27,10,28,28,3,4,4,1,276135,11060,460,0.9621998515591517,0.9621938833719672,2207669,13,792,10500,13629
6,18,24,10,12,4,5,4,5,276173,20731,422,0.9314503560262265,0.9314459993240254,2207420,780,1041,7222,9949
7,29,2,28,26,3,1,1,1,276136,11059,459,0.9622033360861095,0.9621963265643352,2208236,6,225,13057,16007
8,15,14,21,29,1,4,3,4,276290,21521,305,0.9290597682451681,0.929054904888585,2208262,590,199,8189,11106
9,25,21,29,19,5,2,3,4,276186,12089,409,0.9588413332250156,0.9588348548802209,2208263,96,198,11058,14794
10,25,16,16,4,1,1,1,5,276197,12096,398,0.9588208028465276,0.9588142763323447,2208220,85,241,11387,14904
11,28,20,28,30,2,2,3,4,276191,11123,404,0.9620040597754885,0.9619972959175935,2208264,81,197,11733,15446
12,1,5,3,1,3,3,2,5,273304,28940,3291,0.9057868826347386,0.9057813238873529,2184180,537,24281,10635,12694
13,4,30,1,29,4,5,5,1,276047,29041,548,0.9065042890384134,0.9064962872272444,2207568,158,893,13241,18273
14,30,30,7,3,5,3,1,1,276145,10273,450,0.9647946132915084,0.9647878017021287,2207984,33,477,11902,15555
15,6,23,30,3,5,2,5,2,275937,27836,658,0.9099940955601147,0.9099873163755962,2206345,29,2116,10963,15481
16,8,8,14,20,1,2,4,3,276124,25146,471,0.9180371471840386,0.9180315853713282,2207389,46,1072,9366,12701
17,20,30,30,5,5,4,4,1,276097,15821,498,0.9467972358021222,0.946792043142086,2207114,21,1347,8730,11858
18,26,30,2,28,3,5,1,4,276247,11974,348,0.959229341395878,0.9592228240776692,2208382,1346,79,11363,14883
19,3,26,2,2,1,5,4,5,275609,30554,986,0.9019456124920494,0.9019396105862932,2203519,1907,4942,9980,13706
20,26,2,7,2,5,3,5,3,275900,11397,695,0.9610462425216738,0.9610409219938074,2206199,10,2262,10007,12150
21,17,19,13,23,4,1,2,3,276261,20642,334,0.9317502338304855,0.931744866009038,2208296,37,165,8973,12258
22,5,2,26,8,1,5,4,4,275934,25786,661,0.91606231377659,0.9160569350075544,2206565,775,1896,9671,12283
23,22,10,1,1,1,4,3,5,274197,12746,2398,0.9562697455122838,0.9562642178560486,2191701,624,16760,10354,12623
24,21,29,30,4,5,1,5,5,276056,14137,539,0.9521764960556157,0.9521710896986578,2207022,71,1439,9198,12346
25,5,29,7,12,1,4,5,1,276096,28127,499,0.9091961667391796,0.9091887885026346,2207526,75,935,11780,16849
26,30,1,28,5,2,3,5,5,275949,10215,646,0.9649490220427397,0.9649423536478138,2206941,133,1520,12893,15228
27,26,30,1,24,5,1,3,2,276159,11759,436,0.9599135240473182,0.9599062679858575,2208208,137,253,12901,16570
28,23,14,8,1,5,5,1,4,276136,12544,459,0.9573485906691308,0.9573428987990725,2207491,592,970,9846,12998
29,29,17,30,30,5,5,4,1,275998,11038,597,0.9622449309022947,0.962239357266189,2206903,33,1558,9521,12728
30,28,1,7,30,2,3,2,4,276162,11142,433,0.9619358847346102,0.9619289216306098,2208292,549,169,13816,15901
