observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,276248,22023,347,0.9275125481185241,0.9275065834345678,2208287,128,174,9952,13621
2,19,22,1,30,5,2,1,1,276208,20165,387,0.9332062605852662,0.9331994494337902,2208341,186,120,11886,15554
3,10,16,13,9,4,1,2,2,276228,23449,367,0.923174532216528,0.9231684641873391,2208190,31,271,9930,13857
4,14,24,6,16,3,1,4,1,276229,21672,366,0.9285792467585835,0.9285737957354657,2207914,53,547,9126,12448
5,2,29,29,25,2,1,4,3,276018,30408,577,0.9025228380608821,0.902514360248578,2207534,123,927,13820,19360
6,4,15,2,28,2,4,2,3,276189,28934,406,0.9068684526054035,0.9068612276350934,2208327,138,134,12137,16499
7,17,6,30,24,5,5,3,5,276266,20686,329,0.9316162148283401,0.9316114775879731,2208248,365,213,8141,10818
8,3,6,2,10,2,2,5,2,275954,28233,641,0.9088341416059986,0.9088280306622639,2206258,93,2203,11197,13955
9,9,17,5,25,1,5,4,1,276177,25069,418,0.9182851654537222,0.9182793273238855,2207782,84,679,9565,13332
10,1,25,22,22,4,1,2,1,276133,31089,462,0.9006016970252647,0.9005926893496917,2208323,123,138,15019,20570
11,26,19,10,2,2,2,4,4,276118,11590,477,0.9604580735030546,0.960451893808466,2207535,102,926,10932,14112
12,27,15,4,22,4,3,4,3,276056,11003,539,0.9623715163466082,0.9623659072403168,2207215,62,1246,9887,12809
13,16,13,1,4,1,4,2,3,275790,21359,805,0.9294059889615726,0.9294002410398627,2204555,68,3906,10406,13126
14,28,8,13,23,2,1,2,1,276208,11078,387,0.9621552321788897,0.962148793683316,2208269,14,192,11470,14703
15,28,25,20,27,5,1,5,3,276015,11011,580,0.9623370801309181,0.9623313492874459,2206987,39,1474,9831,13087
16,25,27,10,4,2,3,5,5,276136,12096,459,0.9588080191594935,0.9588016121929739,2207746,121,715,11197,14631
17,1,16,13,7,1,2,5,2,275991,30829,604,0.9012966358659181,0.9012892843414884,2207029,53,1432,12429,16788
18,16,22,11,30,5,2,3,2,276261,21140,334,0.9302190737791095,0.9302135693317612,2208315,47,146,9155,12570
19,9,2,19,16,1,2,5,2,275996,24332,599,0.9204366374574984,0.9204311540295195,2206885,15,1576,9940,12522
20,5,15,30,8,4,4,2,4,276218,28317,377,0.9086829824177026,0.908677065465231,2208174,1457,287,9533,13512
21,12,19,20,17,1,5,2,1,276271,22006,324,0.9275714590380663,0.9275659852439649,2208292,40,169,9114,12500
22,2,18,21,1,3,2,4,1,275573,30097,1022,0.9032559404893991,0.9032490794169208,2203689,4,4772,11526,15668
23,21,12,29,5,2,1,5,5,276166,14170,429,0.9520956923639351,0.9520902098117633,2207672,70,789,9639,12520
24,8,20,25,17,3,2,1,5,276216,25302,379,0.9176015616793515,0.9175949042320137,2208302,290,159,10924,15203
25,28,19,11,11,4,5,5,4,276051,11114,544,0.9620057040580777,0.9620005687634037,2207058,694,1403,8803,11727
26,20,3,5,27,4,1,1,4,276233,15880,362,0.9466432517539938,0.946637738548575,2208282,485,179,10074,12590
27,1,5,17,21,4,2,4,2,276030,28843,565,0.9070760806899761,0.9070703910094355,2206889,43,1572,9914,12993
28,10,23,20,26,4,3,1,2,276237,23483,358,0.9230746096589058,0.9230679894333679,2208304,73,157,10622,15118
29,8,8,30,12,5,4,4,3,276065,25079,530,0.9182179510453612,0.9182128078684236,2207046,20,1415,8487,11745
30,18,15,6,22,2,1,4,1,276218,20637,377,0.9317530320479217,0.9317479808307251,2207851,42,610,8645,11535
31,29,29,28,12,1,5,3,5,276210,11269,385,0.9615286875378837,0.9615221286188398,2208265,740,196,11147,14978
32,29,26,9,12,5,2,1,3,276185,11116,410,0.9620258508504465,0.9620191837692311,2208287,35,174,11470,15225
33,29,21,18,3,4,5,1,3,276176,11128,419,0.9619846499607684,0.9619781799361407,2208125,15,336,11079,14775
34,27,23,21,22,2,2,5,5,276133,11099,462,0.9620713258058013,0.9620649556231781,2207752,95,709,11116,14547
35,27,28,16,16,4,4,4,4,276050,11129,545,0.9619562255381554,0.9619510096692322,2207060,750,1401,8831,11911
36,27,11,12,3,3,1,3,3,276184,11071,411,0.9621734534830816,0.9621670259350961,2208096,11,365,11392,14678
37,9,18,1,2,5,2,1,3,275086,25023,1509,0.9180589210900382,0.9180527418333532,2199012,27,9449,11180,14111
38,24,7,19,3,1,3,3,4,276208,12149,387,0.9586502595291657,0.9586440040772668,2208206,72,255,11132,14285
39,22,30,16,10,4,2,3,1,276213,12546,382,0.957358579976162,0.9573521152063766,2208231,33,230,10934,14763
40,1,29,26,21,3,1,1,2,276129,31186,466,0.9003210296947578,0.9003116668794234,2208302,122,159,15658,21381
41,17,22,20,9,5,4,3,4,276277,20777,318,0.9313393707666967,0.9313344154503728,2208279,693,182,8158,11316
42,13,8,11,23,1,1,1,1,276279,21809,316,0.9281755237736822,0.9281703788451305,2208277,13,184,8904,11749
43,26,22,15,3,3,3,1,3,276172,11629,423,0.9603414572131111,0.9603347226947525,2208092,25,369,11732,15379
44,12,19,20,2,2,4,3,5,276260,22090,335,0.9273117927300717,0.927306810263729,2208058,690,403,8342,11378
45,20,5,3,20,1,3,5,3,276168,15902,427,0.9465571933143793,0.9465517405396473,2207760,80,701,9902,12452
46,12,20,14,17,5,2,5,5,276164,21915,431,0.9278166669421586,0.9278118881009564,2207461,120,1000,8018,10913
47,6,3,4,1,1,4,1,2,273354,26119,3241,0.914180217583413,0.9141748558926148,2185190,9,23271,10308,12244
48,26,1,25,9,1,4,4,5,275943,11543,652,0.9605762810207523,0.9605698263227481,2206864,380,1597,12388,14740
49,23,25,9,6,4,5,5,3,276054,12398,541,0.957806269947358,0.9578007501733863,2207049,24,1412,9444,12605
50,12,24,11,28,5,3,4,4,276171,21927,424,0.9277821454335996,0.9277771888035651,2207512,141,949,8262,11319
51,4,28,16,25,2,5,2,1,276185,28943,410,0.9068407282516979,0.906832890654352,2208341,100,120,12527,17898
52,28,3,10,29,5,3,4,3,276003,10916,592,0.9626471840155427,0.9626418976441515,2206810,14,1651,9629,12072
53,9,10,21,23,4,4,1,3,276229,25062,366,0.9183234092564994,0.9183175571137498,2208257,32,204,9598,13364
54,2,17,14,27,2,1,1,4,276170,30294,425,0.9029099023620165,0.9029023664802014,2208315,449,146,12516,17209
