observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,276248,22023,347,0.9275125481185241,0.9275065834345678,2208287,128,174,9952,13621
2,19,22,1,30,5,2,1,1,276208,20165,387,0.9332062605852662,0.9331994494337902,2208341,186,120,11886,15554
3,10,16,13,9,4,1,2,2,276228,23449,367,0.923174532216528,0.9231684641873391,2208190,31,271,9930,13857
4,14,24,6,16,3,1,4,1,276229,21672,366,0.9285792467585835,0.9285737957354657,2207914,53,547,9126,12448
5,2,29,29,25,2,1,4,3,276018,30408,577,0.9025228380608821,0.902514360248578,2207534,123,927,13820,19360
6,4,15,2,28,2,4,2,3,276189,28934,406,0.9068684526054035,0.9068612276350934,2208327,138,134,12137,16499
7,17,6,30,24,5,5,3,5,276266,20686,329,0.9316162148283401,0.9316114775879731,2208248,365,213,8141,10818
8,3,6,2,10,2,2,5,2,275954,28233,641,0.9088341416059986,0.9088280306622639,2206258,93,2203,11197,13955
9,9,17,5,25,1,5,4,1,276177,25069,418,0.9182851654537222,0.9182793273238855,2207782,84,679,9565,13332
10,1,25,22,22,4,1,2,1,276133,31089,462,0.9006016970252647,0.9005926893496917,2208323,123,138,15019,20570
11,27,1,12,1,5,3,1,4,275974,10990,621,0.9623980084574857,0.9623912227044142,2206911,247,1550,13232,15496
12,27,1,13,1,5,3,1,4,275981,10993,614,0.9623895294295616,0.9623827099579184,2206963,250,1498,13288,15573
13,26,1,12,1,5,3,1,4,275975,11466,620,0.9608351778861995,0.9608283925710316,2206903,249,1558,13241,15495
14,26,12,11,1,5,3,1,4,276134,11531,461,0.9606545423171711,0.960648440131507,2207685,112,776,10685,13935
15,26,21,12,4,5,3,1,4,276185,11567,410,0.9605470560416093,0.960540670094459,2208210,115,251,11042,14583
16,30,1,18,7,4,4,2,4,276121,10313,474,0.9646579155568937,0.9646509213617429,2208204,408,257,13399,15972
17,22,1,18,8,4,4,2,4,276136,12328,459,0.9580516886330622,0.9580449037557979,2208138,491,323,13025,15494
18,30,1,19,8,4,4,2,4,276121,10307,474,0.9646777323545354,0.9646707372835774,2208223,398,238,13394,15974
19,30,1,17,8,4,4,2,4,276123,10317,472,0.9646450866413898,0.9646381038317308,2208223,425,238,13385,15946
20,30,1,18,7,4,4,2,4,276121,10313,474,0.9646579155568937,0.9646509213617429,2208204,408,257,13399,15972
21,20,6,24,12,3,5,3,5,276259,15917,336,0.9465320845250114,0.9465268274931565,2208226,381,235,9245,12005
22,21,6,23,12,3,5,3,5,276250,14261,345,0.9518225170232382,0.9518170585557604,2208226,393,235,9678,12465
23,21,6,23,12,3,5,3,5,276250,14261,345,0.9518225170232382,0.9518170585557604,2208226,393,235,9678,12465
24,22,7,22,11,3,5,3,5,276234,12596,361,0.9572005226877462,0.9571947909684669,2208226,460,235,10125,13089
25,21,6,23,12,3,5,3,5,276250,14261,345,0.9518225170232382,0.9518170585557604,2208226,393,235,9678,12465
26,30,9,19,5,4,4,2,3,276182,10242,413,0.9649040612531112,0.9648976888809703,2208223,10,238,11160,14552
27,30,9,19,5,4,4,2,3,276182,10242,413,0.9649040612531112,0.9648976888809703,2208223,10,238,11160,14552
28,30,10,18,5,4,4,2,3,276183,10240,412,0.9649108586893649,0.9649044775591534,2208222,10,239,11171,14572
29,30,9,19,5,4,4,2,3,276182,10242,413,0.9649040612531112,0.9648976888809703,2208223,10,238,11160,14552
30,29,11,17,6,4,4,2,3,276192,11094,403,0.9620994970672533,0.9620931969491945,2208242,14,219,10887,14387
31,23,13,27,4,4,2,3,2,276196,12419,399,0.957768125209363,0.9577619678478544,2208166,8,295,10609,14061
32,24,13,27,3,4,2,3,2,276183,12080,412,0.9588700662890112,0.9588638357976134,2208150,8,311,10718,14228
33,23,12,26,4,4,2,3,2,276198,12417,397,0.9577750606329406,0.957768918160152,2208166,8,295,10597,14027
34,24,12,15,4,4,4,3,2,276203,12099,392,0.9588122743023119,0.9588062215997465,2208179,13,282,10411,13822
35,24,13,26,4,4,2,3,2,276185,12081,410,0.958867222589889,0.9588609885952629,2208160,8,301,10719,14236
36,28,9,20,15,3,4,2,3,276210,11102,385,0.9620768068956049,0.9620703749685842,2208253,16,208,11289,14688
37,28,9,15,16,3,4,2,3,276211,11105,384,0.9620671540713918,0.9620607335298628,2208270,17,191,11290,14662
38,28,9,20,15,3,4,2,3,276210,11102,385,0.9620768068956049,0.9620703749685842,2208253,16,208,11289,14688
39,28,9,20,18,3,4,2,3,276210,11102,385,0.9620768068956049,0.9620703749685842,2208253,16,208,11289,14688
40,28,9,20,14,3,4,2,3,276210,11102,385,0.9620768068956049,0.9620703749685842,2208253,16,208,11289,14688
41,15,4,8,6,1,3,5,3,276148,21315,447,0.9296483866923615,0.9296436871116979,2207480,10,981,8363,10732
42,17,4,10,6,1,3,5,3,276153,20534,442,0.9320514061521002,0.9320466986891731,2207492,10,969,8391,10750
43,17,16,9,6,1,3,5,3,276204,20624,391,0.9317889745119261,0.9317838965826143,2207748,17,713,8667,11596
44,12,17,10,6,1,3,5,3,276197,21937,398,0.9277595317914265,0.9277544284637099,2207697,16,764,8651,11654
45,17,4,16,6,1,3,5,3,276150,20537,445,0.9320412807715378,0.9320365855699095,2207477,10,984,8341,10722
46,30,15,14,3,4,4,1,3,276160,10255,435,0.9648569310310372,0.9648504421765578,2208061,11,400,11298,14818
47,30,10,21,10,4,4,1,3,276185,10241,410,0.9649079350274944,0.9649015289367818,2208230,12,231,11199,14629
48,7,20,14,9,4,4,1,3,276184,26443,411,0.914194590276087,0.9141877278898981,2208148,43,313,11007,15671
49,6,15,14,9,4,4,1,3,276184,27988,411,0.9096356681628109,0.909628945905751,2208172,37,289,10822,15351
50,8,20,14,9,4,4,1,3,276205,25273,390,0.9176845238463084,0.917678088853963,2208155,41,306,10393,14695
51,26,30,21,2,5,5,1,2,276163,11570,432,0.9605327448511053,0.9605262713232494,2207935,11,526,11024,14783
52,26,11,21,2,5,5,4,2,276011,11444,584,0.9609146149984438,0.9609093929988711,2206800,6,1661,9087,11925
53,26,30,21,2,5,5,1,2,276163,11570,432,0.9605327448511053,0.9605262713232494,2207935,11,526,11024,14783
54,26,11,21,2,5,5,1,2,276186,11529,409,0.9606716833755026,0.960665526889801,2208107,6,354,10639,14059
