observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,276188,26431,407,0.9142315559837898,0.9142242390537387,2208272,75,189,11839,16709
2,8,29,21,7,2,,,,276146,25287,449,0.9176229489675289,0.9176156578737861,2207873,45,588,11862,16650
3,19,23,11,11,5,,,,276169,19942,426,0.9338846373544116,0.9338802626981659,2207384,736,1077,7259,9990
4,4,8,24,3,5,,,,276023,27253,572,0.9117421881931429,0.9117374649656887,2206754,1076,1707,7809,10786
5,2,24,12,30,2,,,,276143,30397,452,0.9026018406810984,0.9025932350009641,2208343,117,118,14114,19652
6,19,23,8,7,5,,,,276170,19933,425,0.9339127783561919,0.9339083923144544,2207352,716,1109,7297,10016
7,1,1,25,30,4,,,,275930,21804,665,0.9280847187670886,0.9280792375286274,2206393,713,2068,10115,12517
8,30,30,28,27,2,,,,276182,10305,413,0.9646959738189179,0.9646887838808901,2208259,37,202,12492,16419
9,29,2,2,26,1,,,,276156,11332,439,0.9613111895305234,0.9613037499874845,2208245,137,216,14370,16989
10,26,2,30,3,4,,,,275931,11449,664,0.9608819759280662,0.9608767456083266,2206521,303,1940,9516,11944
11,29,3,1,30,4,,,,276071,11481,524,0.9608055270810306,0.9607998903868169,2207156,1321,1305,10565,12872
12,1,27,26,4,2,,,,275991,31111,604,0.9004839475997829,0.9004750016686073,2207192,54,1269,15217,20429
13,30,4,30,1,3,,,,276158,10241,437,0.9649028039266687,0.9648960834212229,2208119,5,342,12233,15347
14,17,16,30,30,5,,,,276164,20673,431,0.9316263120708629,0.9316221817647858,2207326,584,1135,6918,9432
15,10,11,5,9,5,,,,276156,23553,439,0.9228371826431382,0.9228328163070595,2207327,1060,1134,7282,9971
16,7,2,1,24,1,,,,275239,26445,1356,0.9138620467038193,0.9138540435789397,2201803,169,6658,15446,18276
17,21,28,30,1,1,,,,276094,14232,501,0.9518796290505495,0.9518732435413026,2207277,6,1184,10964,14582
18,27,16,16,30,3,,,,276200,11098,395,0.9620879523946899,0.962081292319931,2208277,37,184,11580,15209
19,2,30,21,22,1,,,,276133,30478,462,0.9023639305660834,0.9023548094734967,2208300,127,161,14991,20829
20,26,1,12,1,1,,,,275915,11506,680,0.9606918387902583,0.9606847193546985,2206529,2,1932,14362,16258
21,25,30,30,4,3,,,,276180,12118,415,0.9587454785211922,0.9587385412535,2208122,20,339,11913,15842
22,21,1,1,30,3,,,,275983,14574,612,0.950754890763936,0.9507472204457378,2207139,132,1322,15212,17516
23,30,14,2,1,5,,,,275076,10275,1519,0.964583680779735,0.9645785822689573,2198827,611,9634,9315,11643
24,30,10,24,22,2,,,,276182,10260,413,0.9648445985408447,0.9648378338071426,2208229,9,232,12025,15448
25,26,29,11,30,1,,,,276205,11647,390,0.9602893137309917,0.9602824421488287,2208300,39,161,11936,15692
26,24,5,2,24,2,,,,276186,12352,409,0.9579841271812326,0.9579773243499236,2208322,97,139,12561,15535
27,13,30,27,3,4,,,,276152,21911,443,0.9278252283579235,0.9278207573629016,2207195,752,1266,7375,10210
28,30,20,29,27,5,,,,276008,10283,587,0.9647354667164026,0.9647300857578494,2206865,657,1596,9228,12288
29,29,4,23,2,2,,,,276172,11047,423,0.9622499168311578,0.9622433377685516,2208161,6,300,11928,15024
30,30,27,1,8,5,,,,276010,10571,585,0.9637850630460203,0.9637794123388936,2206505,1227,1956,10157,12904
31,30,24,2,23,3,,,,276189,10379,406,0.9644530086999081,0.9644456107577044,2208352,112,109,13254,16894
32,21,1,27,5,2,,,,276109,13940,486,0.9528230941605615,0.952815839850715,2208093,4,368,14129,16566
33,30,11,30,27,5,,,,276001,10238,594,0.9648828657420699,0.9648776205336104,2206819,502,1642,9108,11978
34,26,29,18,2,3,,,,276179,11634,416,0.9603265275012254,0.9603196638013259,2208074,11,387,11902,15674
35,21,3,9,28,2,,,,276221,14167,374,0.9521180327028025,0.9521120522543192,2208268,13,193,11056,13657
36,30,2,9,28,5,,,,275977,10211,618,0.9649675691427164,0.9649623243721603,2206723,483,1738,9704,11977
37,24,28,30,3,1,,,,276176,12197,419,0.9584870331325217,0.9584801939552198,2208089,20,372,11773,15618
38,30,29,1,15,3,,,,276116,10530,479,0.9639407889082225,0.9639330489633634,2207924,129,537,14042,17675
39,20,15,19,17,4,,,,276133,15877,462,0.9466280107383674,0.9466235896643478,2207203,600,1258,7509,10096
40,27,10,6,1,2,,,,276091,11073,504,0.9621483853327423,0.9621419980718814,2207292,14,1169,11509,14586
41,30,1,30,30,3,,,,276112,10247,483,0.9648742335331677,0.9648666713771409,2208210,10,251,14811,17269
