observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,276246,22013,349,0.927542456709246,0.9275364101373299,2208284,46,177,10038,13808
2,5,2,26,19,4,,,,275930,25751,665,0.9161652820207287,0.9161600328711373,2206519,761,1942,9408,11987
3,1,30,25,7,1,,,,276046,31179,549,0.9003093156049788,0.9003000491284207,2207694,75,767,15708,21161
4,6,10,16,13,2,,,,276185,26438,410,0.9142097627546472,0.9142031105621518,2208279,36,182,11087,15191
5,19,5,9,11,3,,,,276250,19837,345,0.9342328482289111,0.934227571053494,2208272,13,189,9385,12051
6,24,6,16,18,1,,,,276208,12136,387,0.9586926504418362,0.958686352513295,2208266,13,195,11268,14382
7,19,6,2,29,5,,,,276150,19988,445,0.9337368401939576,0.9337325334127587,2207403,886,1058,7573,9835
8,25,10,3,21,3,,,,276219,12185,376,0.9585352035490986,0.9585285123831893,2208334,75,127,12003,15280
9,4,15,2,28,2,,,,276189,28859,406,0.9070873670277492,0.9070799327395526,2208325,136,136,12668,16977
10,20,10,16,17,1,,,,276253,15852,342,0.9467372276682107,0.9467316154965946,2208266,13,195,9832,12816
11,30,24,29,27,3,,,,276178,10301,417,0.9647084203747559,0.9647013057561349,2208260,37,201,12406,16247
12,28,3,6,2,2,,,,276123,11050,472,0.962230326137198,0.9622238232698057,2207738,23,723,12195,14850
13,12,9,25,11,2,,,,276269,21940,326,0.9277723255196042,0.9277671284805327,2208248,9,213,8942,11868
14,17,5,25,3,5,,,,276120,20598,475,0.9318444790306981,0.9318405773102627,2207096,327,1365,6850,8910
15,24,6,1,25,4,,,,276074,12483,521,0.9575337988197467,0.9575284257434569,2207196,1289,1265,9801,12270
16,22,24,3,11,1,,,,276216,12622,379,0.9571121475721841,0.9571053543747526,2208269,84,192,11823,15513
17,26,19,10,2,2,,,,276163,11609,432,0.960405073983008,0.9603984638292513,2207939,9,522,11612,15095
18,10,22,20,27,3,,,,276239,23494,356,0.923041997092661,0.9230353821219655,2208304,73,157,10718,15106
19,4,22,23,17,4,,,,276124,29086,471,0.9064012760075331,0.9063957698085707,2207408,1798,1053,8760,12574
20,15,16,13,1,1,,,,276204,21421,391,0.9293402116523175,0.9293348241252113,2207765,2,696,9185,12303
21,1,20,10,16,5,,,,276092,31368,503,0.8997835047077869,0.8997774423713438,2207390,2195,1071,9885,13844
22,8,13,23,7,1,,,,276187,25252,408,0.9177412586845605,0.9177348876261301,2208107,30,354,10614,14549
23,9,5,28,25,4,,,,276085,24985,510,0.9185060241765517,0.9185016779840353,2206994,698,1467,7379,9925
24,27,25,6,27,3,,,,276218,11138,377,0.9619601924881587,0.9619533353568122,2208348,60,113,11994,15659
25,25,27,10,4,2,,,,276186,12119,409,0.9587434755622577,0.9587366298164028,2208142,24,319,11868,15633
26,13,25,26,1,3,,,,276187,21848,408,0.9280283811291565,0.9280226480961666,2207703,9,758,9606,13092
27,13,7,4,11,5,,,,276175,21874,420,0.9279452800067954,0.9279413117250238,2207398,697,1063,6908,9062
28,10,16,22,11,5,,,,276158,23554,437,0.9228347995449687,0.9228302431587588,2207298,1026,1163,7416,10405
29,29,8,15,10,2,,,,276197,11105,398,0.9620643659400994,0.962057822347679,2208264,14,197,11596,14943
30,2,19,16,2,2,,,,275957,30216,638,0.9030554997057414,0.9030477378657058,2206702,18,1759,12982,17725
31,28,8,5,15,5,,,,276080,11101,515,0.9620541961843443,0.9620492360510815,2207098,609,1363,8772,11327
32,8,21,23,8,4,,,,276122,25386,473,0.9173191538586095,0.917314165699521,2207222,1290,1239,8044,11391
33,12,19,20,17,1,,,,276264,21970,331,0.9276792082987436,0.9276736377279626,2208287,37,174,9368,12721
34,26,10,6,2,3,,,,276172,11599,423,0.9604396463498829,0.9604332354422315,2207925,22,536,11492,14640
35,21,1,16,7,4,,,,275875,13880,720,0.9529630891099506,0.9529577825949971,2206247,485,2214,10216,12118
36,6,21,12,29,1,,,,276192,27924,403,0.9098264697861991,0.9098189417866475,2208346,90,115,12221,17191
37,11,4,28,27,2,,,,276217,23229,378,0.9238367246846356,0.9238309417306435,2208221,8,240,10042,13206
38,20,25,17,16,2,,,,276239,15900,356,0.9465811587999129,0.9465749414456209,2208285,44,176,10547,14198
39,3,27,28,19,2,,,,276155,30229,440,0.903092342798555,0.9030838001765288,2208284,107,177,13910,19508
40,11,22,27,27,4,,,,276167,23459,428,0.9231248615732208,0.9231201103199409,2207475,1153,986,7620,10850
41,20,3,5,27,4,,,,276092,15853,503,0.9466941893717554,0.946689764356604,2207055,646,1406,8090,10105
42,1,4,20,1,1,,,,275689,28055,906,0.9092614530122622,0.909254897158543,2204333,1,4128,11868,14971
43,17,21,20,7,4,,,,276172,20710,423,0.9315147189188098,0.9315104550521567,2207365,664,1096,7093,9737
44,8,10,23,20,5,,,,276108,25248,487,0.9177267970919971,0.9177222118041544,2207137,1033,1324,7565,10471
45,20,18,3,12,2,,,,276242,15954,353,0.9464102826061231,0.9464040113896972,2208298,83,163,10883,14321
46,8,30,12,27,4,,,,276148,25477,447,0.9170562066707313,0.9170507906798957,2207533,1677,928,8557,12368
47,24,16,18,15,1,,,,276208,12173,387,0.958572009230899,0.9585654621352504,2208264,35,197,11359,14951
48,22,9,1,20,1,,,,276141,12816,454,0.9564657599382855,0.9564584197993475,2208102,151,359,13438,16762
49,29,29,28,12,1,,,,276186,11149,409,0.9619176916148707,0.9619106645769553,2208263,30,198,12102,16047
50,28,13,29,29,5,,,,276025,11073,570,0.9621352504395968,0.962130166817539,2206916,537,1545,8715,11609
51,9,12,26,10,1,,,,276223,25053,372,0.9183483420804104,0.9183421930390688,2208218,27,243,10175,14042
52,17,29,21,18,1,,,,276249,20699,346,0.9315712022764884,0.9315652445989886,2208289,48,172,9918,13605
53,19,30,5,16,5,,,,276183,20007,412,0.933687538898999,0.9336829308401728,2207467,915,994,7634,10523
54,23,21,22,11,2,,,,276205,12488,390,0.9575455162165475,0.9575388596450168,2208230,25,231,11473,15201
55,25,25,27,28,3,,,,276192,12116,403,0.9587545188950579,0.958747631548368,2208254,38,207,11834,15728
56,16,24,20,22,4,,,,276167,21213,428,0.9299670027676726,0.9299626228565846,2207439,787,1022,7232,10002
57,27,11,12,3,3,,,,276184,11074,411,0.9621635986083564,0.9621571592369758,2208093,11,368,11389,14705
58,2,14,17,9,3,,,,276159,30230,436,0.9030909524713961,0.90308337674036,2208189,56,272,12542,17300
59,1,2,25,11,1,,,,276131,25627,464,0.9166030051510561,0.9165957701089648,2208037,9,424,13384,16522
60,16,24,7,19,1,,,,276273,21181,322,0.9300968142602657,0.9300909739409114,2208357,61,104,9798,13337
61,2,16,17,20,4,,,,276074,30508,521,0.9022549215761725,0.9022493221037586,2207267,1846,1194,9012,12787
62,30,16,10,24,2,,,,276194,10291,401,0.9647444943399496,0.9647375842222762,2208281,37,180,12226,15780
63,14,3,1,29,5,,,,276084,22041,511,0.9274074352759071,0.9274026205266156,2206982,1385,1479,8912,10995
64,21,13,6,5,2,,,,276239,14210,356,0.9519839135364994,0.9519778967420233,2208252,29,209,10592,13740
65,17,22,20,9,5,,,,276168,20712,427,0.9315073852944421,0.9315031025979372,2207364,686,1097,7108,9780
66,23,17,19,13,2,,,,276209,12472,386,0.9575984241813388,0.9575918617590666,2208262,25,199,11344,14986
67,11,23,1,4,1,,,,275773,23478,822,0.9229416219418961,0.9229349123840386,2204636,61,3825,11849,15322
