observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,276246,22013,349,0.927542456709246,0.9275364101373299,2208284,46,177,10038,13808
2,5,2,26,19,4,,,,275930,25751,665,0.9161652820207287,0.9161600328711373,2206519,761,1942,9408,11987
3,1,30,25,7,1,,,,276046,31179,549,0.9003093156049788,0.9003000491284207,2207694,75,767,15708,21161
4,6,10,16,13,2,,,,276185,26438,410,0.9142097627546472,0.9142031105621518,2208279,36,182,11087,15191
5,19,5,9,11,3,,,,276250,19837,345,0.9342328482289111,0.934227571053494,2208272,13,189,9385,12051
6,24,6,16,18,1,,,,276208,12136,387,0.9586926504418362,0.958686352513295,2208266,13,195,11268,14382
7,19,6,2,29,5,,,,276150,19988,445,0.9337368401939576,0.9337325334127587,2207403,886,1058,7573,9835
8,25,10,3,21,3,,,,276219,12185,376,0.9585352035490986,0.9585285123831893,2208334,75,127,12003,15280
9,4,15,2,28,2,,,,276189,28859,406,0.9070873670277492,0.9070799327395526,2208325,136,136,12668,16977
10,20,10,16,17,1,,,,276253,15852,342,0.9467372276682107,0.9467316154965946,2208266,13,195,9832,12816
11,30,22,10,1,2,,,,276084,10291,511,0.964723526571095,0.9647165945582451,2207468,4,993,12304,15830
12,28,22,10,3,2,,,,276171,11119,424,0.9620132083444076,0.9620064576236184,2208046,22,415,11808,15416
13,30,21,11,5,2,,,,276180,10298,415,0.9647187089410332,0.9647117344515411,2208201,19,260,12295,15927
14,29,22,30,1,2,,,,276145,11131,450,0.9619686146265493,0.9619617255282452,2207946,7,515,11950,15732
15,29,22,10,3,2,,,,276166,11142,429,0.961936683119597,0.9619298544519798,2208046,22,415,11945,15594
16,13,18,7,7,4,,,,276197,21891,398,0.9279000399585914,0.9278958930121802,2207439,734,1022,6934,9470
17,13,17,7,7,4,,,,276198,21878,397,0.9279400609542102,0.9279359477263708,2207425,711,1036,6891,9393
18,14,18,7,6,4,,,,276194,21710,401,0.9284524136959186,0.9284482229591546,2207409,730,1052,6995,9570
19,13,17,12,7,4,,,,276188,21858,407,0.9279981269885877,0.9279940404728635,2207386,658,1075,6836,9332
20,13,18,7,7,4,,,,276197,21891,398,0.9279000399585914,0.9278958930121802,2207439,734,1022,6934,9470
21,24,26,19,11,3,,,,276201,12200,394,0.958482518758011,0.9584757062928244,2208260,32,201,11708,15557
22,25,26,19,1,3,,,,276138,12105,457,0.9587790758961043,0.9587722494180048,2207778,8,683,11796,15589
23,25,26,20,12,3,,,,276197,12117,398,0.9587523060465021,0.9587454331506285,2208265,32,196,11820,15695
24,25,26,20,11,3,,,,276196,12118,399,0.9587488347839392,0.9587419632017763,2208262,32,199,11817,15692
25,22,25,19,11,3,,,,276215,12570,380,0.9572809706204868,0.9572743543360807,2208254,33,207,11323,15109
26,29,22,12,4,2,,,,276183,11140,412,0.9619466428782102,0.9619397997597765,2208196,22,265,11929,15627
27,30,22,13,4,2,,,,276178,10297,417,0.9647216301391588,0.9647146398851397,2208189,19,272,12301,15963
28,30,22,13,4,2,,,,276178,10297,417,0.9647216301391588,0.9647146398851397,2208189,19,272,12301,15963
29,29,21,13,3,2,,,,276170,11139,425,0.9619473322254063,0.9619405053094032,2208087,22,374,11909,15590
30,30,21,13,4,2,,,,276178,10297,417,0.9647216301391588,0.9647146486432103,2208189,19,272,12293,15943
31,27,13,15,9,1,,,,276207,11080,388,0.9621484641754735,0.9621419551774318,2208262,23,199,11411,14864
32,27,14,14,24,1,,,,276210,11085,385,0.9621326385236222,0.9621261111336323,2208277,28,184,11453,14906
33,27,15,14,9,1,,,,276204,11091,391,0.9621117384988904,0.9621051449854678,2208265,26,196,11528,15057
34,27,13,4,9,1,,,,276206,11143,389,0.9619413826133812,0.9619347654531681,2208169,65,292,11847,15111
35,27,14,14,1,1,,,,276134,11076,461,0.9621470834086824,0.9621406015606594,2207718,2,743,11434,14802
36,8,29,5,5,2,,,,276123,25293,472,0.9175973195230435,0.917590057768837,2207646,51,815,11956,16583
37,30,29,5,5,2,,,,276167,10328,428,0.964617163295459,0.964610018899398,2208091,39,370,12680,16315
38,30,29,9,15,2,,,,276193,10314,402,0.9646683531443466,0.9646612411531468,2208283,41,178,12486,16241
39,10,29,9,15,2,,,,276221,23520,374,0.9229576720085882,0.922950727296536,2208218,78,243,11229,15859
40,30,28,9,5,2,,,,276183,10310,412,0.9646796535490102,0.9646725765900925,2208174,22,287,12456,16161
41,17,24,16,2,3,,,,276234,20676,361,0.9316376153147498,0.9316319098696821,2208049,12,412,9591,13029
42,21,24,16,2,5,,,,276053,14238,542,0.9518508358197386,0.9518460092470519,2206870,660,1591,8164,11022
43,22,24,16,2,3,,,,276186,12560,409,0.9573072694084478,0.9573007407047474,2208026,11,435,11246,14909
44,23,24,17,2,5,,,,276020,12488,575,0.9575059803363336,0.9575009015312147,2206797,676,1664,8640,11598
45,21,24,17,2,3,,,,276196,14231,399,0.951906452916343,0.9519000971845362,2208042,12,419,10896,14514
46,28,20,11,4,2,,,,276184,11118,411,0.9620190836352328,0.9620123460515494,2208178,22,283,11768,15386
47,28,20,11,4,2,,,,276184,11118,411,0.9620190836352328,0.9620123460515494,2208178,22,283,11768,15386
48,28,20,11,4,2,,,,276184,11118,411,0.9620190836352328,0.9620123460515494,2208178,22,283,11768,15386
49,28,20,11,4,2,,,,276184,11118,411,0.9620190836352328,0.9620123460515494,2208178,22,283,11768,15386
50,28,20,11,4,2,,,,276184,11118,411,0.9620190836352328,0.9620123460515494,2208178,22,283,11768,15386
51,1,22,13,8,1,,,,276110,31032,485,0.9007570064841065,0.9007483863531558,2208012,64,449,14622,19685
52,1,22,13,21,1,,,,276153,31046,442,0.9007331428229227,0.9007243676741231,2208348,113,113,14807,20039
53,3,22,13,8,1,,,,276142,30132,453,0.9033682955552077,0.9033603318416457,2208004,44,457,13151,18186
54,1,22,13,8,1,,,,276110,31032,485,0.9007570064841065,0.9007483863531558,2208012,64,449,14622,19685
55,3,22,13,8,1,,,,276142,30132,453,0.9033682955552077,0.9033603318416457,2208004,44,457,13151,18186
56,30,3,8,6,2,,,,276183,10259,412,0.9648480920509162,0.9648413864341904,2208227,17,234,12505,15313
57,30,27,8,6,2,,,,276190,10315,405,0.9646644788038564,0.9646573856425082,2208242,27,219,12485,16198
58,30,17,8,6,2,,,,276192,10295,403,0.9647309035382269,0.9647239544471394,2208237,23,224,12300,15869
59,30,27,8,6,2,,,,276190,10315,405,0.9646644788038564,0.9646573856425082,2208242,27,219,12485,16198
60,30,27,8,5,2,,,,276186,10315,409,0.9646637155728227,0.9646566316074486,2208203,27,258,12477,16177
61,24,3,6,13,2,,,,276200,12140,395,0.958677926909312,0.9586714722113078,2208297,34,164,12075,14740
62,26,2,6,13,2,,,,276170,11579,425,0.9605047085841862,0.9604979858892229,2208280,36,181,12804,15352
63,25,2,6,1,2,,,,275835,12026,760,0.9589735181671479,0.9589669837707016,2205810,14,2651,12600,14922
64,26,2,5,1,2,,,,275647,11583,948,0.9603846179306962,0.9603780966713557,2204098,13,4363,12658,14892
65,24,8,6,1,2,,,,276080,12151,515,0.9586168361838828,0.958610542634377,2207219,14,1242,11339,14372
66,29,17,10,6,3,,,,276185,11128,410,0.9619864447982059,0.961979635398344,2208220,18,241,11885,15550
67,29,16,10,6,3,,,,276187,11125,408,0.9619966947832317,0.9619899186640378,2208221,18,240,11842,15474
