observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,237440,10267,1213,0.9592530753950939,0.9592351201257432,1906375,1284,2826,21786,29009
2,19,23,11,11,5,4,3,5,237704,5164,949,0.9790772609528565,0.979059521698846,1907490,3081,1711,21607,28660
3,2,24,12,30,2,4,5,1,237560,33774,1093,0.8776402633984774,0.8776213840291185,1907114,1578,2087,22799,30502
4,12,26,22,29,4,1,1,3,237678,6587,975,0.9734807011806871,0.973461558136443,1907343,1379,1858,23572,30928
5,27,10,28,28,3,4,4,1,237171,2855,1482,0.9882185116626127,0.9881991959298874,1905328,1067,3873,23176,31207
6,18,24,10,12,4,5,4,5,237361,5390,1292,0.9781264227196019,0.9781105267139669,1906158,3130,3043,19553,25682
7,29,2,28,26,3,1,1,1,237430,2827,1223,0.9883654035559674,0.9883434027958905,1906281,810,2920,27875,35545
8,3,26,25,29,1,2,2,3,237780,26509,873,0.9014457251425337,0.9014260479400129,1907792,1550,1409,24156,31791
9,2,16,30,6,5,5,2,1,237614,35999,1039,0.8706558627669249,0.8706369988714441,1906721,1043,2480,23334,30477
10,20,15,30,21,2,5,3,5,237634,5190,1019,0.9789628087730532,0.9789442370243936,1906893,2870,2308,22327,30005
11,26,30,11,29,2,4,1,3,237675,3000,978,0.9877010185070675,0.9876808207632827,1907697,1313,1504,24935,32632
12,4,2,25,2,5,5,5,4,236702,20661,1951,0.921059594815027,0.9210434537031608,1901703,2127,7498,21349,26078
13,28,10,2,4,1,2,4,2,236782,3571,1871,0.9852820625918051,0.985263388096594,1901385,1022,7816,25678,30171
14,3,3,4,29,1,3,2,4,237765,25692,888,0.9041837851799422,0.9041663783048363,1907498,3109,1703,25574,28123
15,29,1,30,24,5,2,2,4,237377,2904,1276,0.9880480389383592,0.9880256816601277,1905915,1207,3286,28752,36121
16,8,8,14,20,1,2,4,3,237351,9945,1302,0.960456394330373,0.9604388939930425,1906292,1254,2909,22217,28274
17,30,24,29,4,5,5,1,3,237345,2686,1308,0.9889233254323356,0.9889027915959155,1905467,769,3734,24727,33175
18,24,28,1,29,2,3,5,1,237584,4032,1069,0.983553594902796,0.9835328561922281,1907306,1665,1895,28172,33506
19,5,26,1,1,2,1,1,4,232943,24692,5710,0.9054932810729387,0.9054762598068784,1867966,1157,41235,23172,27500
20,1,26,26,30,3,4,1,4,237888,45032,765,0.8434707989436476,0.8434527619722199,1907912,3862,1289,22040,29141
21,15,1,14,1,4,1,4,5,236018,6002,2635,0.9754718133704339,0.9754538451030255,1897018,1304,12183,24469,29030
22,30,24,29,30,3,3,5,3,237183,2647,1470,0.9890600945445758,0.9890403331641573,1905237,1088,3964,23789,31927
23,30,30,1,5,1,1,3,1,235914,3494,2739,0.9854678229805478,0.9854482268611489,1893355,1043,15846,27741,31660
24,9,16,1,30,5,5,1,3,237856,8917,797,0.9645003093946489,0.9644799172989535,1908514,1753,687,27648,32946
25,9,28,26,6,1,5,3,5,237641,8923,1012,0.9644294870031054,0.9644123128551281,1906665,3006,2536,21025,27747
26,22,7,18,1,3,1,1,4,237037,4622,1616,0.9811179588249749,0.981098434504371,1902841,996,6360,24381,31544
27,16,30,1,25,2,5,3,3,237781,7345,872,0.9705484003978179,0.9705277947626028,1907977,1747,1224,27517,33291
28,29,17,30,30,5,5,4,1,237053,2563,1600,0.9893832445299547,0.9893642915049353,1904792,1096,4409,22302,30621
29,27,1,3,24,4,1,1,1,237623,3399,1030,0.9860913983389622,0.9860705519302018,1907202,1423,1999,30942,33680
30,15,27,30,5,1,5,1,1,237467,6289,1186,0.974607675131377,0.9745886156460754,1905960,880,3241,23259,30793
31,26,10,16,2,3,1,5,5,237030,2944,1623,0.9878407608861904,0.9878224781895762,1904162,1321,5039,22703,29538
32,14,28,27,30,5,2,2,4,237665,6515,988,0.973759683001716,0.9737411075393255,1907204,1906,1997,22969,30011
33,13,3,1,22,5,5,2,3,237602,7793,1051,0.9687753608250113,0.9687550510503481,1906880,1666,2321,30386,32813
34,30,30,6,16,5,5,1,1,237680,2878,973,0.9881926609814824,0.988172751670788,1907697,1278,1504,25114,32166
35,28,1,23,28,1,3,4,3,236900,2636,1753,0.9890683110111733,0.9890478254532533,1904306,773,4895,26266,33097
36,24,14,30,27,2,1,5,2,237192,2931,1461,0.9879147132618281,0.9878954971808787,1905441,1101,3760,23156,31046
37,29,1,6,2,4,5,5,5,236119,3114,2534,0.987031260581202,0.9870148093728159,1896895,2477,12306,22610,26579
38,25,30,4,17,1,1,1,5,237787,3500,866,0.9857096618756404,0.9856907794115057,1907984,2631,1217,24521,30507
39,30,27,26,6,3,5,1,1,237404,2673,1249,0.9889833938572086,0.9889627467519998,1906006,839,3195,25046,33358
40,21,2,3,28,1,2,2,4,237788,5514,865,0.9777104484035997,0.9776916699239268,1907935,2979,1266,27065,30339
41,6,3,25,20,2,3,1,4,237590,17401,1063,0.9329539161053787,0.9329350423066158,1906692,1679,2509,25105,30493
42,23,28,2,5,2,5,5,1,236975,3270,1678,0.9865196394735409,0.9865011698524776,1902904,1043,6297,24548,29840
43,28,30,29,30,5,2,4,2,237065,2570,1588,0.9893564419242572,0.9893372765976284,1904905,1113,4296,22662,30964
44,26,6,1,27,5,2,2,5,237773,4913,880,0.9800814771843027,0.9800620358036861,1907707,3698,1494,27987,31410
