observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,237707,6735,946,0.9729082699351712,0.9728898696370825,1907290,1939,1911,23070,29728
2,19,22,1,30,5,2,1,1,237767,6063,886,0.9755485719523437,0.9755274024490057,1908100,1768,1101,29160,34202
3,10,16,13,9,4,1,2,2,237664,6866,989,0.9723890508691742,0.9723704005132131,1907362,1154,1839,23590,30132
4,14,24,6,16,3,1,4,1,237478,6396,1175,0.974190462977374,0.9741721759480739,1906865,1309,2336,22863,29545
5,2,29,29,25,2,1,4,3,237528,33906,1125,0.8772044503700775,0.8771848171133708,1906991,1570,2210,23669,31720
6,4,15,2,28,2,4,2,3,237882,25868,771,0.9036419869532942,0.9036225845668509,1908542,1626,659,25242,31347
7,17,6,30,24,5,5,3,5,237596,5497,1057,0.9777444175861981,0.9777261707889814,1906778,2716,2423,22093,29480
8,3,6,2,10,2,2,5,2,237192,25857,1461,0.9033783681876993,0.9033609427439394,1904586,1306,4615,24947,28153
9,9,17,5,25,1,5,4,1,237546,8420,1107,0.966342247371997,0.9663242085437038,1907241,1458,1960,22513,29144
10,1,25,22,22,4,1,2,1,237799,43911,854,0.8467152047546144,0.846694855985778,1907883,1518,1318,25155,32876
11,26,19,10,2,2,2,4,4,236960,2918,1693,0.9879363861690574,0.987918528075662,1903270,1438,5931,22638,28852
12,27,15,4,22,4,3,4,3,237375,3047,1278,0.9874717652754552,0.9874531112057633,1906600,1409,2601,23755,30138
13,16,13,1,4,1,4,2,3,236153,7206,2500,0.9707648716082652,0.9707464849271893,1894866,1057,14335,25611,29706
14,28,8,13,23,2,1,2,1,237594,2798,1059,0.9885036946258574,0.9884833563792582,1907347,1133,1854,25455,32859
15,28,25,20,27,5,1,5,3,237104,2613,1549,0.989187458165711,0.9891684420072684,1905228,1129,3973,22617,30723
16,25,27,10,4,2,3,5,5,237263,2939,1390,0.9878918780459023,0.9878738992562567,1905496,1673,3705,22599,29047
17,1,16,13,7,1,2,5,2,237330,46002,1323,0.8402893628989995,0.8402707051155768,1905939,1139,3262,23464,30144
18,16,22,11,30,5,2,3,2,237695,6037,958,0.9756376071592374,0.9756184263587304,1907702,1383,1499,23736,30989
19,9,2,19,16,1,2,5,2,237073,8173,1580,0.967194303845547,0.9671759481122276,1904916,911,4285,24529,29656
20,5,15,30,8,4,4,2,4,237733,25449,920,0.9049895881639377,0.9049728101472433,1907097,3082,2104,20691,27107
21,12,19,20,17,1,5,2,1,237678,6635,975,0.9732931804202953,0.9732743332366031,1907279,1259,1922,23217,30450
22,2,18,21,1,3,2,4,1,236108,33254,2545,0.8785485218075444,0.878530410561501,1896124,334,13077,22820,29261
23,21,12,29,5,2,1,5,5,237141,4584,1512,0.9812857180453686,0.9812676266058894,1905017,1413,4184,22264,29229
24,8,20,25,17,3,2,1,5,237740,10125,913,0.9598646257383902,0.9598463071423785,1907506,1958,1695,22999,29596
25,28,19,11,11,4,5,5,4,237266,3027,1387,0.9875376779008759,0.9875210484334125,1905786,2853,3415,20310,26867
26,20,3,5,27,4,1,1,4,237730,5156,923,0.9791132124723859,0.9790947348049059,1907951,2656,1250,25112,29853
27,1,5,17,21,4,2,4,2,237155,33538,1498,0.8781820699849883,0.8781641147156376,1905260,1107,3941,23419,29009
28,10,23,20,26,4,3,1,2,237710,6845,943,0.9724797755625828,0.9724607092687747,1907461,1387,1740,23576,30804
29,8,8,30,12,5,4,4,3,237209,9829,1444,0.9608648751996496,0.9608476602006337,1905617,1133,3584,21095,27813
30,18,15,6,22,2,1,4,1,237442,5152,1211,0.9790809795906384,0.9790626808011909,1906824,1356,2377,23087,29564
31,29,29,28,12,1,5,3,5,237563,3123,1090,0.9871913580375169,0.9871718361927335,1906536,2552,2665,23307,31540
32,29,26,9,12,5,2,1,3,237629,2744,1024,0.9887259058678048,0.9887058857641422,1907484,1179,1717,25037,32345
33,29,21,18,3,4,5,1,3,237334,2694,1319,0.9888896064799864,0.9888695145775287,1905264,760,3937,24511,32461
34,27,23,21,22,2,2,5,5,237272,2966,1381,0.9877842504547132,0.9877655716268161,1905727,1705,3474,22941,30178
35,27,28,16,16,4,4,4,4,237213,3174,1440,0.986938674026529,0.9869216849461354,1905483,2800,3718,20505,27448
36,27,11,12,3,3,1,3,3,237377,2908,1276,0.9880319177717962,0.9880119385191721,1905593,841,3608,25108,32279
37,9,18,1,2,5,2,1,3,234527,8554,4126,0.9651617144961381,0.9651441962091087,1880591,757,28610,24598,28303
38,24,7,19,3,1,3,3,4,237477,3104,1176,0.9872561365886203,0.9872365565620548,1906179,1381,3022,24289,31634
39,22,30,16,10,4,2,3,1,237551,4530,1102,0.9815652451584721,0.9815453494647906,1906863,1035,2338,24402,32144
40,1,29,26,21,3,1,1,2,237789,44296,864,0.8455731380635181,0.8455524668190593,1907881,1550,1320,25504,33397
41,17,22,20,9,5,4,3,4,237639,5526,1014,0.9776374972045638,0.977619694198175,1906913,2839,2288,21456,28763
42,13,8,11,23,1,1,1,1,237681,6669,972,0.973160965665758,0.9731420225440207,1907684,1248,1517,24229,30605
43,26,22,15,3,3,3,1,3,237362,2909,1291,0.9880259062405614,0.9880058564270526,1905395,803,3806,24894,32393
44,12,19,20,2,2,4,3,5,237354,7025,1299,0.9717090262161736,0.9716919851435492,1904516,2575,4685,20976,27532
45,20,5,3,20,1,3,5,3,237450,5070,1203,0.9794068420136952,0.9793884225279974,1906842,1341,2359,24776,29759
46,12,20,14,17,5,2,5,5,237346,6585,1307,0.9734259066650305,0.9734089930971627,1906117,1962,3084,20961,27326
47,6,3,4,1,1,4,1,2,233107,17008,5546,0.9328542770904593,0.9328375281646559,1870155,354,39046,24513,27060
48,26,1,25,9,1,4,4,5,236936,3150,1717,0.986997523175088,0.986978442645312,1904215,2011,4986,24300,30827
49,23,25,9,6,4,5,5,3,237149,2820,1504,0.9883568859029167,0.9883389139217775,1905284,1016,3917,21973,29036
50,12,24,11,28,5,3,4,4,237404,6641,1249,0.9732178565988059,0.9732008105745403,1906465,2178,2736,21060,27540
51,4,28,16,25,2,5,2,1,237796,25783,857,0.9038907029514315,0.9038714738724243,1907806,1528,1395,23394,31067
52,28,3,10,29,5,3,4,3,237053,2615,1600,0.9891728566558329,0.9891542595300129,1905418,1111,3783,23450,30046
53,9,10,21,23,4,4,1,3,237666,8434,987,0.9663141927503788,0.9662957478875207,1907295,1264,1906,23111,29800
54,2,17,14,27,2,1,1,4,237810,36218,843,0.8700774365625704,0.8700588394367504,1907830,2222,1371,23731,30046
55,19,4,3,22,1,5,4,1,237444,5117,1209,0.9792198078841372,0.9792016106033309,1906815,1323,2386,24408,29400
56,3,30,12,12,5,5,5,4,237546,27022,1107,0.899626093118076,0.8996099699559085,1906672,3568,2529,19538,26049
57,12,3,24,17,3,5,1,3,237556,6716,1097,0.9729536767791497,0.9729342762495716,1906822,1023,2379,24803,31344
58,1,15,2,4,1,4,4,3,237044,45774,1609,0.8407762506708113,0.8407582458850502,1902832,1081,6369,23834,29089
59,29,12,9,27,2,5,1,5,237723,3310,930,0.9864622504101908,0.9864436217176592,1907676,3101,1525,23002,30097
60,2,27,16,30,1,3,5,3,237540,33903,1113,0.8772201935689723,0.8772006073528554,1907102,1580,2099,23727,31644
61,19,21,14,19,3,5,1,2,237645,4709,1008,0.9808693231690048,0.9808497493319905,1907375,1248,1826,24028,31624
62,29,27,14,19,2,1,3,2,237611,2702,1042,0.9888929489703256,0.9888724268940531,1907216,1164,1985,25281,33156
63,18,3,30,30,4,3,2,5,237492,5182,1161,0.9789706718537233,0.9789509024268882,1906544,1482,2657,24927,31940
64,21,5,28,25,5,4,4,3,237010,4419,1643,0.9819222890600905,0.9819039995549699,1904790,1012,4411,21894,29549
65,28,26,2,1,2,5,5,1,230846,3253,7807,0.9857206590475566,0.9857039608760738,1851004,290,58197,22740,26978
66,18,12,30,26,5,3,3,2,237572,5093,1081,0.9793360473263036,0.9793164437794432,1906833,1160,2368,23911,31672
67,2,26,25,30,5,3,4,5,237508,33994,1145,0.8769147758374882,0.8768964671447586,1906835,2216,2366,22348,29580
68,26,8,14,4,5,4,2,4,237539,3363,1114,0.9862241092246344,0.9862054545359874,1906452,2522,2749,22741,30139
69,19,11,4,21,3,4,3,5,237811,5543,842,0.9776001790347925,0.9775826570340324,1907972,3472,1229,22331,28309
70,17,17,27,13,1,1,4,4,237281,5125,1372,0.9791609771331716,0.9791433195812382,1905711,1666,3490,21937,28528
71,22,7,5,1,2,3,2,3,235823,4612,2830,0.980963510052606,0.980944907975145,1892717,492,16484,24728,30054
72,28,11,16,24,2,4,5,5,237299,3084,1354,0.98731258456474,0.9872949598174284,1905828,2768,3373,21508,28475
73,5,28,15,8,3,5,3,2,237668,24939,985,0.9066870862134792,0.9066682390297869,1907168,1176,2033,23148,30450
74,20,8,3,4,1,1,1,4,237441,5241,1212,0.9787288137060367,0.9787108652451925,1905331,2184,3870,24375,28998
75,6,11,27,15,4,1,1,1,237702,17808,951,0.9315332359405307,0.9315144747916014,1907386,1213,1815,23642,30311
76,6,9,6,3,1,3,2,2,237479,17775,1174,0.9315752215638682,0.9315570688478312,1905940,919,3261,23972,29328
77,16,21,2,24,4,1,5,5,237546,6379,1107,0.9742696607277941,0.9742523720731178,1907148,2748,2053,22498,27932
78,2,9,25,23,1,2,2,3,237682,35436,971,0.8724558021970519,0.8724366542011667,1907189,1230,2012,24652,30936
79,19,12,14,23,1,2,4,5,237346,4771,1307,0.9805752353296283,0.9805575604469513,1906142,1882,3059,22062,28556
80,16,16,4,14,3,2,2,2,237740,6306,913,0.9745913451664427,0.9745720634762496,1907942,1350,1259,24956,31152
81,1,10,7,10,1,5,3,4,237779,45983,874,0.840624872065605,0.8406081757509877,1906996,3443,2205,21810,26975
82,24,15,3,17,3,4,3,1,237742,3322,911,0.986416740015944,0.9863969309759806,1907916,1420,1285,25902,32004
83,9,11,20,18,2,5,4,2,237372,8357,1281,0.966547643226764,0.9665300884213821,1906189,1245,3012,21691,28362
84,4,5,8,5,1,2,1,5,237639,25410,1014,0.9050808291922018,0.9050634080811278,1906892,2072,2309,24003,28146
85,3,16,13,30,1,2,5,5,237498,26540,1155,0.9012170517014554,0.9011996553485866,1906795,2184,2406,21896,28106
86,25,8,6,21,5,3,3,2,237679,3054,974,0.9874843887234858,0.9874648804957152,1907803,1279,1398,25107,31518
87,24,6,10,13,3,2,1,4,237665,3200,988,0.986895814131639,0.9868768004490168,1907581,2026,1620,24319,30719
88,9,18,5,15,3,1,2,1,237779,8523,874,0.9659961270615662,0.9659770570540274,1908083,1390,1118,24346,30810
89,2,30,10,25,2,4,4,3,237576,34323,1077,0.8759076293067598,0.8758883934192462,1907294,1593,1907,23104,31078
90,15,13,11,28,5,5,1,4,237770,6870,883,0.9723938621691306,0.9723766830695122,1907754,3300,1447,21115,27755
91,29,6,2,23,3,5,1,4,237854,4549,799,0.9815374203558813,0.9815188566536384,1908138,3977,1063,25423,29992
92,7,5,5,25,4,3,2,5,237798,10614,855,0.9580253264061639,0.9580078427806218,1908071,2442,1130,23814,28247
93,12,25,14,12,3,2,4,3,237417,6529,1236,0.9736583976698834,0.9736401261144615,1906381,1214,2820,22471,29520
94,7,27,12,17,5,4,1,5,237828,10882,825,0.9570202044305381,0.9570031596441829,1907787,3513,1414,20792,27538
95,19,11,5,24,4,3,5,4,237374,4906,1279,0.9800441324144186,0.9800273116898202,1906468,2310,2733,21382,27176
96,5,10,8,23,1,3,4,5,237464,24993,1189,0.9064171543484922,0.9064004735077531,1906741,2233,2460,21548,26950
97,11,25,4,26,1,2,4,1,237581,6797,1072,0.972642249046624,0.9726235596964897,1907423,1520,1778,23500,30195
98,7,22,22,20,4,3,2,2,237720,10325,933,0.9591007982178122,0.9590817771077286,1907523,1364,1678,23571,30731
99,6,28,18,13,3,5,1,3,237760,17953,893,0.931034671800097,0.9310157354868661,1907619,1357,1582,23161,30594
100,16,19,1,27,5,3,4,5,237585,7537,1068,0.9697639055413179,0.969745906326153,1907130,3217,2071,24260,29080
101,22,5,18,19,3,4,5,5,237220,4872,1433,0.9801538877137492,0.9801365965832525,1905526,2589,3675,21258,27936
102,14,4,30,26,1,5,5,3,237153,6357,1500,0.9742829528398786,0.9742650105685856,1905191,1027,4010,22174,28988
103,18,12,2,11,5,1,2,2,237685,5549,968,0.9775547973166997,0.9775353274641472,1907469,1425,1732,26173,31456
104,17,28,11,11,4,3,2,3,237640,5046,1013,0.9795332617163331,0.9795139577437554,1907467,1227,1734,23952,31188
105,5,6,15,13,5,2,3,4,237711,24592,942,0.9078829775044878,0.9078652698171888,1907333,1967,1868,23318,28609
106,1,20,6,29,1,3,1,5,237882,44071,771,0.8462931405579054,0.8462741287321487,1908246,2521,955,24392,30716
107,16,18,3,23,2,5,2,1,237795,6375,858,0.974331440107718,0.9743120073924733,1908253,1514,948,24976,31396
