observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,237707,6735,946,0.9729082699351712,0.9728898696370825,1907290,1939,1911,23070,29728
2,19,22,1,30,5,2,1,1,237767,6063,886,0.9755485719523437,0.9755274024490057,1908100,1768,1101,29160,34202
3,10,16,13,9,4,1,2,2,237664,6866,989,0.9723890508691742,0.9723704005132131,1907362,1154,1839,23590,30132
4,14,24,6,16,3,1,4,1,237478,6396,1175,0.974190462977374,0.9741721759480739,1906865,1309,2336,22863,29545
5,2,29,29,25,2,1,4,3,237528,33906,1125,0.8772044503700775,0.8771848171133708,1906991,1570,2210,23669,31720
6,4,15,2,28,2,4,2,3,237882,25868,771,0.9036419869532942,0.9036225845668509,1908542,1626,659,25242,31347
7,17,6,30,24,5,5,3,5,237596,5497,1057,0.9777444175861981,0.9777261707889814,1906778,2716,2423,22093,29480
8,3,6,2,10,2,2,5,2,237192,25857,1461,0.9033783681876993,0.9033609427439394,1904586,1306,4615,24947,28153
9,9,17,5,25,1,5,4,1,237546,8420,1107,0.966342247371997,0.9663242085437038,1907241,1458,1960,22513,29144
10,1,25,22,22,4,1,2,1,237799,43911,854,0.8467152047546144,0.846694855985778,1907883,1518,1318,25155,32876
11,29,1,30,1,5,5,3,5,237232,3038,1421,0.9874888058766474,0.9874675453869054,1904553,1731,4648,26639,34349
12,29,1,30,1,5,5,3,5,237232,3038,1421,0.9874888058766474,0.9874675453869054,1904553,1731,4648,26639,34349
13,30,1,29,1,5,5,3,5,237201,3047,1452,0.987448385016658,0.9874270601555825,1904377,1716,4824,26700,34453
14,29,2,30,1,5,5,3,5,237259,3021,1394,0.9875609090726701,0.9875405015030965,1904585,1752,4616,24996,32971
15,26,2,30,4,5,5,3,5,237472,3317,1181,0.9863994575534045,0.9863792666181261,1906231,2087,2970,24793,32621
16,23,9,22,7,4,4,5,4,237081,3205,1572,0.9867958547423317,0.9867791305747334,1904843,2467,4358,20094,27020
17,23,10,24,8,4,4,5,4,237088,3200,1565,0.9868169401465858,0.9868002184548081,1904857,2489,4344,20032,27016
18,23,9,23,8,4,4,5,4,237091,3207,1562,0.9867891757895759,0.9867724373860097,1904892,2482,4309,20089,27043
19,26,9,23,8,4,4,5,4,237051,3155,1602,0.9869930643055433,0.9869760139485919,1904781,2430,4420,20404,27547
20,23,9,21,7,4,4,5,4,237082,3202,1571,0.9868080674500185,0.9867913618510742,1904859,2469,4342,20084,26990
21,19,4,16,13,3,3,2,3,237567,4726,1086,0.9807893809021708,0.9807693849377582,1907013,974,2188,25266,32306
22,19,5,16,12,3,3,2,3,237578,4726,1075,0.9807911440559751,0.9807712799290051,1907092,993,2109,24959,32093
23,19,5,15,13,3,3,2,3,237578,4730,1075,0.980775272266713,0.9807554279463072,1907109,1033,2092,24969,32061
24,27,5,17,13,3,3,2,3,237552,2972,1101,0.9877973232435671,0.9877767293684995,1906973,989,2228,25682,33272
25,27,5,14,14,3,3,2,3,237566,2959,1087,0.9878515129847049,0.9878310986066248,1907122,1038,2079,25651,32982
26,27,13,11,20,3,2,1,2,237651,3012,1002,0.987649549419257,0.987629417284716,1907640,1242,1561,25255,32526
27,26,12,10,18,3,2,1,2,237648,3053,1005,0.9874842537215567,0.987464218762971,1907629,1229,1572,25258,32369
28,26,13,11,20,3,2,1,2,237653,3054,1000,0.9874809029878432,0.9874608271782189,1907656,1243,1545,25184,32435
29,26,13,10,19,3,2,1,2,237653,3054,1000,0.9874809029878432,0.9874608649344818,1907686,1249,1515,25221,32374
30,26,13,11,19,3,2,1,2,237652,3053,1001,0.9874847899951454,0.9874647178992519,1907651,1243,1550,25183,32429
31,21,19,19,15,2,3,2,3,237577,4600,1076,0.9812912101665002,0.9812712439119339,1906999,1083,2202,24505,32258
32,21,19,19,16,2,3,2,3,237583,4603,1070,0.9812802443661768,0.9812602768737002,1907024,1112,2177,24514,32260
33,21,20,18,15,2,3,2,3,237586,4597,1067,0.9813045511093196,0.9812845916632597,1907025,1087,2176,24515,32247
34,21,19,19,17,2,3,2,3,237585,4606,1068,0.9812686456943874,0.9812486769640005,1907032,1124,2169,24518,32262
35,21,19,19,15,2,3,2,3,237577,4600,1076,0.9812912101665002,0.9812712439119339,1906999,1083,2202,24505,32258
36,28,3,26,22,1,2,1,4,237459,2902,1194,0.9880669175361353,0.9880461751118366,1906470,1443,2731,25987,33512
37,28,7,26,21,1,2,1,4,237512,2888,1141,0.9881303047955471,0.9881100860072879,1906647,1552,2554,24857,32666
38,29,3,26,4,1,2,1,4,237436,2864,1217,0.9882170281685719,0.9881962312762218,1906226,1280,2975,26060,33600
39,28,3,7,21,3,2,1,4,237673,3197,980,0.9869089531406249,0.9868896528817779,1907694,2332,1507,25646,31182
40,28,3,8,4,1,2,1,4,237550,3113,1103,0.9872298053218564,0.9872105267264389,1906647,1999,2554,25536,31147
41,13,6,27,28,1,1,1,4,237621,6744,1032,0.9728567477128831,0.9728381091170695,1907019,1689,2182,23713,30113
42,13,6,26,28,1,1,1,4,237621,6746,1032,0.9728489410476165,0.9728303278289632,1907037,1703,2164,23702,30072
43,13,7,26,30,1,1,1,4,237624,6765,1029,0.9727753572746178,0.9727567997619262,1907084,1722,2117,23547,29982
44,13,7,26,29,1,1,1,4,237624,6765,1029,0.9727753572746178,0.9727568028567019,1907081,1722,2120,23546,29977
45,13,7,26,29,1,1,1,4,237624,6765,1029,0.9727753572746178,0.9727568028567019,1907081,1722,2120,23546,29977
46,30,4,14,24,1,2,4,3,237181,2657,1472,0.9890194204432344,0.9890000019639577,1905686,1068,3515,24231,31373
47,30,4,13,13,1,2,2,3,237565,2878,1088,0.9881775587420011,0.9881568460275486,1907217,1031,1984,26320,33464
48,30,4,14,23,1,2,4,3,237181,2657,1472,0.9890194204432344,0.9890000019639577,1905686,1068,3515,24231,31373
49,30,4,14,22,1,2,4,3,237181,2655,1472,0.989027503755645,0.9890080834195029,1905684,1052,3517,24232,31376
50,30,4,28,23,1,2,4,3,237029,2633,1624,0.9890969781484718,0.9890772706171496,1904750,951,4451,24079,31840
51,9,30,13,25,1,2,4,3,237500,8362,1153,0.9665558647720381,0.9665372862148721,1906835,1435,2366,22715,30016
52,9,26,14,26,1,2,4,3,237484,8350,1169,0.9665986922239285,0.9665802003204805,1906755,1420,2446,22637,29876
53,7,30,13,25,1,2,4,3,237520,10283,1133,0.9592116953396334,0.9591929997999478,1906890,1469,2311,22840,30205
54,30,30,13,25,1,2,4,3,237351,2663,1302,0.9890169783518907,0.9889974199887547,1906310,1209,2891,24004,31599
55,6,29,13,25,1,2,4,3,237531,17867,1122,0.9312636755375435,0.9312449280056271,1906960,1510,2241,22729,30289
56,30,27,28,23,1,2,4,2,237193,2628,1460,0.989138175004558,0.9891184055777229,1905333,1070,3868,23843,31940
57,30,1,28,23,1,2,4,2,236812,2605,1841,0.9891825338598235,0.9891617561550824,1903747,704,5454,26654,33569
58,30,26,28,23,1,2,4,2,237194,2628,1459,0.9891383027975725,0.9891185438929746,1905330,1070,3871,23838,31923
59,30,23,28,23,1,2,4,2,237195,2651,1458,0.989045465110102,0.9890257229172926,1905328,1069,3873,23782,31896
60,30,1,28,23,1,2,4,2,236812,2605,1841,0.9891825338598235,0.9891617561550824,1903747,704,5454,26654,33569
61,16,27,28,27,2,1,3,1,237625,6071,1028,0.9754915471630511,0.9754719702312612,1907097,1298,2104,23972,31629
62,24,27,28,27,2,1,3,1,237561,2993,1092,0.9877139972154863,0.987693543843233,1906821,1127,2380,24855,33045
63,24,27,28,27,2,1,3,1,237561,2993,1092,0.9877139972154863,0.987693543843233,1906821,1127,2380,24855,33045
64,24,27,28,23,2,1,3,1,237556,2988,1097,0.987733454500005,0.9877130147447647,1906791,1108,2410,24840,33023
65,24,27,28,27,2,1,3,1,237561,2993,1092,0.9877139972154863,0.987693543843233,1906821,1127,2380,24855,33045
66,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
67,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
68,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
69,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
70,29,23,24,22,1,2,4,2,237236,2647,1417,0.989066882794182,0.9890472588218022,1905593,1088,3608,23669,31705
71,27,25,30,21,1,2,5,2,237209,2835,1444,0.9883042051581691,0.9882846294642894,1905402,1086,3799,23594,31627
72,27,25,30,21,1,2,5,2,237209,2835,1444,0.9883042051581691,0.9882846294642894,1905402,1086,3799,23594,31627
73,27,25,30,21,1,2,5,2,237209,2835,1444,0.9883042051581691,0.9882846294642894,1905402,1086,3799,23594,31627
74,27,25,21,21,1,2,5,2,237250,2827,1403,0.9883418568879325,0.9883223492791171,1905712,1106,3489,23617,31517
75,27,1,30,21,1,2,5,2,236817,2774,1836,0.9884993353153104,0.9884786151733964,1903764,699,5437,26527,33476
76,29,16,25,24,1,3,4,2,237210,2648,1443,0.9890595116036558,0.9890399575732057,1905498,1099,3703,23606,31592
77,29,21,24,24,1,2,4,2,237230,2647,1423,0.9890661144606695,0.9890465474321617,1905587,1096,3614,23628,31613
78,29,22,25,24,1,3,4,2,237231,2650,1422,0.989054119205638,0.9890345286568353,1905540,1094,3661,23636,31651
79,29,21,25,24,1,3,4,2,237223,2650,1430,0.9890530943270048,0.9890335235847663,1905527,1094,3674,23623,31619
80,29,22,25,24,1,3,4,2,237231,2650,1422,0.989054119205638,0.9890345286568353,1905540,1094,3661,23636,31651
81,25,1,29,19,1,2,4,2,236821,2804,1832,0.9883785668412703,0.9883580336238054,1903822,698,5379,26359,33174
82,25,2,29,19,1,2,4,2,236954,2829,1699,0.9882949811561876,0.9882752179189037,1904531,822,4670,24654,31930
83,25,2,29,19,1,2,4,2,236954,2829,1699,0.9882949811561876,0.9882752179189037,1904531,822,4670,24654,31930
84,25,2,29,19,1,2,4,2,236954,2829,1699,0.9882949811561876,0.9882752179189037,1904531,822,4670,24654,31930
85,25,2,29,19,1,2,4,2,236954,2829,1699,0.9882949811561876,0.9882752179189037,1904531,822,4670,24654,31930
86,28,24,23,22,1,2,4,2,237234,2673,1419,0.9889615690919934,0.9889420162994536,1905649,1101,3552,23625,31590
87,28,21,23,22,1,2,4,2,237229,2668,1424,0.9889811287781172,0.9889616347863146,1905640,1090,3561,23581,31495
88,28,21,23,22,1,2,4,2,237229,2668,1424,0.9889811287781172,0.9889616347863146,1905640,1090,3561,23581,31495
89,28,21,23,22,1,2,4,2,237229,2668,1424,0.9889811287781172,0.9889616347863146,1905640,1090,3561,23581,31495
90,28,24,21,22,1,2,4,2,237246,2675,1407,0.988955030612478,0.9889354710114318,1905711,1102,3490,23659,31601
91,30,18,27,26,2,2,4,1,237169,2665,1484,0.988985547664784,0.9889658803655451,1905232,1076,3969,23712,31775
92,30,17,22,26,2,2,4,2,237214,2670,1439,0.9889711213295056,0.988951502927722,1905558,1092,3643,23738,31696
93,30,18,27,20,2,2,4,1,237165,2660,1488,0.9890052425013416,0.9889855826295644,1905214,1041,3987,23708,31763
94,30,17,27,26,2,2,4,1,237169,2663,1484,0.9889936308324787,0.9889739517730924,1905231,1076,3970,23713,31794
95,30,28,27,26,2,2,4,1,237193,2647,1460,0.9890613755714478,0.9890416104772985,1905346,1089,3855,23849,31933
96,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
97,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
98,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
99,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
100,29,23,24,23,1,2,4,2,237237,2648,1416,0.989062969804598,0.9890433377858016,1905603,1091,3598,23671,31718
101,26,26,22,25,1,2,3,2,237553,2979,1100,0.987769279636509,0.9877486492430887,1906886,1127,2315,25113,33331
102,26,26,20,25,1,2,3,2,237573,2995,1080,0.9877075471345118,0.9876869761607839,1906943,1136,2258,25117,33235
103,26,20,25,25,1,2,3,2,237544,2990,1109,0.9877238069030396,0.9877032062194656,1906758,1105,2443,25054,33283
104,26,26,27,25,1,2,3,2,237542,2991,1111,0.9877195156331473,0.9876988456265987,1906749,1117,2452,25115,33395
105,26,26,22,25,1,2,3,2,237553,2979,1100,0.987769279636509,0.9877486492430887,1906886,1127,2315,25113,33331
106,28,24,4,20,1,2,4,2,237519,2920,1134,0.9880023267569396,0.9879829862660091,1907092,1383,2109,24897,31247
107,28,24,4,20,1,2,4,2,237519,2920,1134,0.9880023267569396,0.9879829862660091,1907092,1383,2109,24897,31247
