observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,237699,10349,954,0.9590046966010262,0.9589856371157245,1907383,1285,1818,23639,30793
2,8,29,21,7,2,,,,237610,9965,1043,0.9604418105086021,0.9604227070774862,1906939,1128,2262,23741,30864
3,19,23,11,11,5,,,,237332,5027,1321,0.9795576182880253,0.9795415409285374,1906039,3045,3162,19692,25975
4,4,8,24,3,5,,,,237170,25908,1483,0.9031968148002874,0.9031817531461669,1904694,2721,4507,19088,24334
5,2,24,12,30,2,,,,237829,33781,824,0.8777569482525355,0.8777369535260332,1908091,1579,1110,24792,32304
6,19,16,26,7,5,,,,237120,4945,1533,0.9798478293676329,0.9798315056640035,1904939,2655,4262,19713,26373
7,4,30,2,29,3,,,,237887,25797,766,0.9038830643485164,0.9038628375138406,1908591,1711,610,25496,32679
8,29,1,8,25,2,,,,237606,2857,1047,0.9882675309075362,0.9882461825261657,1907507,1101,1694,29686,34491
9,3,3,2,1,1,,,,215748,24144,22905,0.8994476193954306,0.8994336229630879,1729599,230,179602,22584,22613
10,29,27,1,1,4,,,,221524,3292,17129,0.9841454682190105,0.9841316104326169,1776224,1508,132977,19075,22389
11,24,14,29,16,1,,,,237527,3058,1126,0.9874479081703835,0.9874275067903612,1906695,1031,2506,24833,32961
12,3,29,4,1,4,,,,236099,26545,2554,0.9005768827762817,0.9005613309096987,1895131,2268,14070,19596,25126
13,13,1,1,30,5,,,,237201,8852,1452,0.9646042170757,0.9645867538756772,1903366,4116,5835,26680,28214
14,30,27,9,28,4,,,,237326,3065,1327,0.9873927134157202,0.9873757831360639,1906149,3091,3052,20722,27353
15,1,1,21,5,1,,,,236585,7772,2068,0.9686462968916356,0.9686262433643961,1899891,751,9310,26674,32399
16,27,4,4,22,2,,,,237704,3256,949,0.9866763165888425,0.9866562995799555,1907929,1296,1272,27379,32340
17,13,28,30,5,2,,,,237494,6584,1159,0.9734577477922445,0.97343860351009,1906095,916,3106,23664,30930
18,11,11,23,30,5,,,,237325,7130,1328,0.9712941399112118,0.9712786443695456,1905831,3071,3370,19147,25035
19,9,27,3,19,5,,,,237582,9001,1071,0.9641171896938778,0.9641013339203263,1907170,3816,2031,19904,25617
20,11,2,13,1,2,,,,236750,6594,1903,0.9732777998355439,0.9732580050315484,1900354,399,8847,27342,31981
