observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,237684,6606,969,0.9734075974150911,0.9733884147577186,1907274,1301,1927,23758,30992
2,5,2,26,19,4,,,,237027,20425,1626,0.9220113178973287,0.9219950728010007,1904499,2520,4702,21493,26246
3,1,30,25,7,1,,,,237640,44558,1013,0.844710658873603,0.8446901801241894,1907035,1175,2166,25551,33086
4,6,10,16,13,2,,,,237725,17890,928,0.9312478395911935,0.9312292765079057,1907553,1205,1648,23835,29991
5,19,5,9,11,3,,,,237632,4737,1021,0.9807561602260522,0.9807366891355894,1907532,1106,1669,25102,31458
6,24,6,16,18,1,,,,237587,2987,1066,0.9877416056285726,0.987721365795839,1907141,1086,2060,25237,32700
7,19,6,2,29,5,,,,237519,5502,1134,0.9777114441622825,0.9776954039401023,1906975,3675,2226,21726,25915
8,25,10,3,21,3,,,,237759,3312,894,0.9864591973600488,0.9864391871596683,1908007,1420,1194,26560,32329
9,4,15,2,28,2,,,,237868,25810,785,0.9038310645856883,0.9038114276152508,1908532,1601,669,25964,31726
10,20,10,16,17,1,,,,237609,4730,1044,0.9807802422204289,0.9807604467974783,1907153,1102,2048,24612,31982
11,30,24,29,27,3,,,,237501,2741,1152,0.9887214623923997,0.9887004829082864,1906443,1079,2758,25408,33895
12,28,3,6,2,2,,,,236963,2840,1690,0.9882517307531905,0.9882320473611184,1902228,714,6973,26701,31801
13,12,9,25,11,2,,,,237638,6683,1015,0.9730981389443836,0.9730791599232488,1907098,1107,2103,23779,30663
14,17,5,25,3,5,,,,237047,5249,1606,0.9786306956469972,0.9786145359664771,1904416,2403,4785,19761,26108
15,24,6,1,25,4,,,,237528,4724,1125,0.9807910660838165,0.980773814566448,1906607,4104,2594,24343,27872
16,22,24,3,11,1,,,,237673,4914,980,0.9800612201676214,0.980041430315267,1907446,1296,1755,25950,31973
17,26,19,10,2,2,,,,237123,2884,1530,0.9880951706292759,0.9880754897130242,1903659,702,5542,24935,31797
18,10,22,20,27,3,,,,237717,6868,936,0.9723914570495509,0.972372367854403,1907455,1362,1746,23700,30841
19,4,22,23,17,4,,,,237492,26232,1161,0.9022478238759,0.902232051661291,1906454,3459,2747,19232,25482
20,15,16,13,1,1,,,,236594,6143,2059,0.9750208649865992,0.9750021329285611,1899065,331,10136,23826,30264
21,1,20,10,16,5,,,,237599,44501,1054,0.8448533387457275,0.844837110361188,1906950,3802,2251,20133,26219
22,8,13,23,7,1,,,,237631,10054,1022,0.9601083391015821,0.960089636134435,1907012,1059,2189,23664,30217
23,9,5,28,25,4,,,,237170,8748,1483,0.964997332901498,0.9649818806866909,1905189,2834,4012,19499,24965
24,27,25,6,27,3,,,,237714,3078,939,0.987392607128696,0.9873724570444562,1907918,1372,1283,25584,32555
25,25,27,10,4,2,,,,237436,2904,1217,0.9880558250958589,0.9880360500984275,1906101,926,3100,24862,31949
26,13,25,26,1,3,,,,236652,6425,2001,0.9739225540367094,0.9739037501798762,1899485,471,9716,23473,30380
27,13,7,4,11,5,,,,237411,7075,1242,0.9715253149188028,0.9715102068430477,1906335,3414,2866,19611,24409
28,10,16,22,11,5,,,,237361,7256,1292,0.9708106889503919,0.9707952602558797,1905881,3071,3320,19109,24927
29,29,8,15,10,2,,,,237574,2770,1079,0.988613965500754,0.988593522650738,1907011,1008,2190,25412,33028
30,2,19,16,2,2,,,,237164,33527,1489,0.8782217708823364,0.8782026965421117,1903365,712,5836,24254,30817
31,28,8,5,15,5,,,,237371,3246,1282,0.9866707523872118,0.9866544874843197,1906248,3187,2953,20736,26278
32,8,21,23,8,4,,,,237366,10355,1287,0.9589009663260397,0.9588853612293156,1905907,3112,3294,19165,25212
33,12,19,20,17,1,,,,237674,6660,979,0.9731947841535584,0.9731757568539234,1907293,1259,1908,23687,30741
34,26,10,6,2,3,,,,237052,2980,1601,0.9876984765530569,0.9876791373000366,1903032,784,6169,25149,31245
35,21,1,16,7,4,,,,236940,4745,1713,0.9806130474592878,0.9805952295979758,1904256,2181,4945,23086,28787
36,6,21,12,29,1,,,,237785,17949,868,0.9310575358591356,0.9310384410933916,1907920,1471,1281,23713,30850
37,11,4,28,27,2,,,,237567,6873,1086,0.9723430657274886,0.9723235599755387,1906776,1026,2425,25104,31514
38,20,25,17,16,2,,,,237613,4666,1040,0.9810348591829583,0.9810149108780907,1907127,1139,2074,24514,32229
39,3,27,28,19,2,,,,237760,26499,893,0.9014703794789913,0.9014506880405024,1907699,1473,1502,24163,31814
40,11,22,27,27,4,,,,237391,7178,1262,0.9711202276058304,0.9711045265710612,1906012,3257,3189,19212,25367
