observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,237684,6606,969,0.9734075974150911,0.9733884147577186,1907274,1301,1927,23758,30992
2,5,2,26,19,4,,,,237027,20425,1626,0.9220113178973287,0.9219950728010007,1904499,2520,4702,21493,26246
3,1,30,25,7,1,,,,237640,44558,1013,0.844710658873603,0.8446901801241894,1907035,1175,2166,25551,33086
4,6,10,16,13,2,,,,237725,17890,928,0.9312478395911935,0.9312292765079057,1907553,1205,1648,23835,29991
5,19,5,9,11,3,,,,237632,4737,1021,0.9807561602260522,0.9807366891355894,1907532,1106,1669,25102,31458
6,24,6,16,18,1,,,,237587,2987,1066,0.9877416056285726,0.987721365795839,1907141,1086,2060,25237,32700
7,19,6,2,29,5,,,,237519,5502,1134,0.9777114441622825,0.9776954039401023,1906975,3675,2226,21726,25915
8,25,10,3,21,3,,,,237759,3312,894,0.9864591973600488,0.9864391871596683,1908007,1420,1194,26560,32329
9,4,15,2,28,2,,,,237868,25810,785,0.9038310645856883,0.9038114276152508,1908532,1601,669,25964,31726
10,20,10,16,17,1,,,,237609,4730,1044,0.9807802422204289,0.9807604467974783,1907153,1102,2048,24612,31982
11,30,22,10,1,2,,,,236451,2579,2202,0.9892417641421648,0.9892219018720602,1898267,400,10934,25217,32090
12,28,22,10,3,2,,,,237353,2722,1300,0.9887790102053535,0.9887591510300245,1905400,878,3801,25062,32085
13,30,21,11,5,2,,,,237502,2703,1151,0.988874897178695,0.988854779280122,1906535,957,2666,25211,32503
14,29,22,30,1,2,,,,236739,2587,1914,0.9892461130536663,0.9892254752327845,1900517,331,8684,25196,33343
15,29,22,10,3,2,,,,237353,2701,1300,0.9888637888281928,0.9888439098462998,1905377,874,3824,25110,32117
16,13,18,30,9,4,,,,237285,6943,1368,0.9720154106748213,0.9719996811681162,1905451,2954,3750,19178,25413
17,13,26,20,1,4,,,,236315,6658,2338,0.9729437523519208,0.9729281918199659,1897893,1992,11308,19197,25140
18,14,26,29,1,4,,,,236379,6489,2274,0.9736197281777977,0.9736040252861632,1898535,1946,10666,19283,25370
19,13,25,30,9,4,,,,237292,6937,1361,0.9720401832756915,0.9720243980630248,1905441,2975,3760,19209,25503
20,13,26,30,1,4,,,,236303,6681,2350,0.9728511686704896,0.972835527674368,1897813,1952,11388,19230,25270
21,25,15,5,24,3,,,,237723,3263,930,0.9866508308688818,0.9866309791210145,1907954,1366,1247,25492,32073
22,25,16,6,23,3,,,,237707,3112,946,0.9872550250922354,0.987235163441086,1907895,1368,1306,25304,32089
23,24,17,7,13,3,,,,237669,3118,984,0.9872257837692704,0.9872061888877818,1907623,1254,1578,24891,31658
24,25,16,6,24,3,,,,237708,3112,945,0.987255160030877,0.9872352934280865,1907904,1368,1297,25308,32097
25,24,16,6,24,3,,,,237716,3116,937,0.9872401671143488,0.9872204131613919,1907912,1368,1289,25176,31915
26,30,20,12,5,2,,,,237485,2700,1168,0.9888848155827777,0.9888646456919739,1906496,931,2705,25195,32587
27,30,20,13,5,2,,,,237479,2704,1174,0.9888679022154265,0.9888476790944815,1906489,913,2712,25216,32673
28,30,20,13,5,2,,,,237479,2704,1174,0.9888679022154265,0.9888476790944815,1906489,913,2712,25216,32673
29,29,20,12,5,2,,,,237487,2702,1166,0.9888770022836606,0.9888569233792607,1906481,935,2720,25075,32440
30,30,20,11,5,2,,,,237501,2703,1152,0.9888747685105962,0.9888546555636641,1906538,957,2663,25215,32495
31,27,24,19,8,1,,,,237499,2952,1154,0.9878708087480716,0.9878503875614851,1906638,956,2563,25106,32993
32,27,24,19,8,1,,,,237499,2952,1154,0.9878708087480716,0.9878503875614851,1906638,956,2563,25106,32993
33,27,24,20,8,1,,,,237495,2955,1158,0.9878581976445138,0.9878377356068887,1906594,952,2607,25114,33059
34,21,24,21,8,1,,,,237496,4576,1157,0.9813737496984549,0.9813538311034335,1906568,953,2633,24430,32181
35,9,13,19,3,1,,,,237435,8418,1218,0.9663260198039144,0.966307463529133,1905551,860,3650,23603,29980
36,22,28,24,3,2,,,,237324,4505,1329,0.981628973664892,0.9816089665592871,1905174,758,4027,24574,32324
37,17,28,24,11,2,,,,237575,5088,1078,0.9793563269943294,0.9793367215906036,1906928,1116,2273,24072,31675
38,22,29,14,3,2,,,,237341,4481,1312,0.9817271458614379,0.9817074531850388,1905260,817,3941,24551,31816
39,16,28,14,3,2,,,,237360,5943,1293,0.9759467127174049,0.9759275913365902,1905346,841,3855,23845,30893
40,22,28,14,3,2,,,,237342,4481,1311,0.9817273026593363,0.9817076118398026,1905265,817,3936,24537,31813
