observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,178606,10235,2235,0.9466029965921317,0.946568197345888,1440651,751,6069,32538,42105
2,19,23,11,11,5,4,3,5,179068,4374,1773,0.9764328454586232,0.9763966056450787,1443819,4745,2901,32752,43848
3,2,24,12,30,2,4,5,1,178896,24681,1945,0.8807305628904916,0.8806938197462034,1442570,968,4150,33873,44457
4,12,26,22,29,4,1,1,3,178829,6082,2012,0.9675344208936232,0.9674937626791663,1443999,912,2721,40550,49194
5,27,10,28,28,3,4,4,1,178424,4021,2417,0.978132470002673,0.9780954260170208,1439455,719,7265,33708,44821
6,18,24,10,12,4,5,4,5,178854,4136,1987,0.9776272934098625,0.9775995763329827,1440568,4868,6152,25196,33536
7,29,2,28,26,3,1,1,1,178635,4246,2206,0.9770006814693925,0.976953794020428,1443048,454,3672,46069,56731
8,2,25,28,30,1,4,1,1,179028,24819,1813,0.8802337692578794,0.8801943987105796,1444533,966,2187,38096,47636
9,22,12,17,30,1,4,5,3,178541,3690,2300,0.979900462780017,0.9798644411591102,1440184,807,6536,33387,43584
10,13,30,23,19,3,3,5,1,178556,4519,2285,0.9755542141870264,0.9755172834301293,1440657,771,6063,35200,44684
11,30,23,1,1,1,3,1,5,152333,2678,28508,0.9794595943099489,0.9794325698293961,1222236,1350,224484,29820,32698
12,19,2,30,25,2,1,3,1,178677,3985,2164,0.9783788229447377,0.9783333760630741,1443057,494,3663,45394,54988
13,12,30,25,5,3,2,3,1,178430,5863,2411,0.9685493678455289,0.9685098320007763,1440488,341,6232,40029,47836
14,17,30,5,30,4,5,3,5,179309,4730,1532,0.9746376464981337,0.9746030621385786,1445212,5791,1508,31746,41845
15,11,1,5,2,3,5,3,2,175159,6495,5682,0.9643315315418481,0.964297075287819,1412331,179,34389,39586,41690
16,8,8,14,20,1,2,4,3,178609,7080,2232,0.962374248378325,0.9623401723084372,1440545,755,6175,33427,41230
17,30,24,29,4,5,5,1,3,178539,4245,2302,0.9769835739544154,0.9769403428851061,1441336,321,5384,40468,52307
18,29,30,2,30,2,3,2,3,179043,4275,1798,0.9769438778500131,0.976900725296994,1445235,986,1485,46749,52212
19,2,30,6,2,2,3,2,5,178006,23847,2835,0.883699354563776,0.8836645255639909,1434588,2114,12132,36184,42141
20,28,6,1,1,1,1,1,1,152146,2629,28695,0.9797141361752809,0.9796867695290009,1220370,31,226350,32264,33112
21,4,21,25,11,4,1,1,3,178796,22673,2045,0.8892826312850264,0.8892435739763995,1443503,672,3217,39480,47257
22,26,1,1,28,2,3,2,4,179099,5836,1742,0.9688719346473569,0.9688348485108542,1442826,6311,3894,42403,44872
23,26,25,6,1,5,2,5,2,175088,3227,5753,0.9816246996616835,0.9815940444225808,1410798,60,35922,30917,37091
24,1,9,1,2,1,5,4,4,168576,24719,12265,0.8732430087100521,0.8732219423761843,1354371,3337,92349,23441,25489
25,25,28,27,28,4,5,5,4,178592,4172,2249,0.9773784223048405,0.9773478827739547,1439103,4270,7617,26532,36951
26,15,1,15,3,1,1,3,2,178608,4533,2233,0.9754935962205414,0.9754494444444203,1441919,205,4801,47213,53421
27,28,28,30,30,2,3,2,4,178821,4627,2020,0.9750547258809442,0.9750117427578141,1443307,2435,3413,40844,52007
28,14,26,1,16,5,3,5,3,178768,4483,2073,0.9757929463960157,0.9757539064436214,1442163,794,4557,40692,47236
29,30,4,5,21,5,5,5,4,178945,4381,1896,0.9763673753780495,0.9763398740143455,1441252,5025,5468,26386,33275
30,27,27,11,1,3,1,1,5,177217,3914,3624,0.9784226601268073,0.9783850227232997,1428758,1925,17962,37583,45539
