observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,178942,6268,1899,0.966613372261045,0.9665753191344437,1443827,2795,2893,38074,46042
2,19,22,1,30,5,2,1,1,179027,4389,1814,0.9763449304527322,0.9763015035059415,1445044,1008,1676,47941,52544
3,10,16,13,9,4,1,2,2,178805,6867,2036,0.963516819957475,0.9634783916056558,1443478,574,3242,39247,46496
4,14,24,6,16,3,1,4,1,178756,4440,2085,0.9760145979582733,0.9759778250604436,1442228,732,4492,36248,44493
5,2,29,29,25,2,1,4,3,178751,24631,2090,0.880845417643558,0.8808057404694832,1442166,928,4554,37391,48007
6,4,15,2,28,2,4,2,3,179220,22725,1621,0.8893281220815975,0.8892890837821777,1445956,921,764,39860,47234
7,17,6,30,24,5,5,3,5,178942,4579,1899,0.9753340375456349,0.9752952736399867,1443391,4254,3329,34723,46902
8,3,6,2,10,2,2,5,2,178668,20463,2173,0.8988897452874043,0.898855755172192,1440744,635,5976,37842,41126
9,9,17,5,25,1,5,4,1,178902,6924,1939,0.9632561462754602,0.9632205188889782,1442855,842,3865,34201,43107
10,1,25,22,22,4,1,2,1,178990,33021,1851,0.846738408496998,0.8466967865983914,1444655,843,2065,41323,50360
11,26,19,10,2,2,2,4,4,177891,3998,2950,0.9781322765671197,0.9781003948209174,1433607,2060,13113,31576,38575
12,27,15,4,22,4,3,4,3,178833,3999,2008,0.978340539513233,0.9783044897917592,1442231,823,4489,35668,43618
13,16,13,1,4,1,4,2,3,176105,3648,4736,0.9795869008530452,0.9795526255997269,1418355,368,28365,37814,41471
14,28,8,13,23,2,1,2,1,178850,4333,1991,0.9765957744227028,0.9765532921508546,1444025,622,2695,42279,51401
15,28,25,20,27,5,1,5,3,178422,3868,2419,0.9789366920035891,0.9789002125087382,1439254,698,7466,32808,44138
16,25,27,10,4,2,3,5,5,178459,4150,2382,0.9774631211822254,0.9774306947809163,1438355,2514,8365,31855,39234
17,1,16,13,7,1,2,5,2,178566,32186,2275,0.8496920683510903,0.8496563103796206,1440012,481,6708,35001,43265
18,16,22,11,30,5,2,3,2,178859,4179,1982,0.977403310249524,0.9773624710343563,1444508,847,2212,40866,49413
19,9,2,19,16,1,2,5,2,178377,6389,2464,0.9658314720812183,0.9657975827974522,1438422,505,8298,33868,41004
20,5,15,30,8,4,4,2,4,178999,12890,1842,0.9339011344823059,0.9338683840979893,1442753,4702,3967,30054,39626
21,12,19,20,17,1,5,2,1,178852,6010,1989,0.9679103295902113,0.9678706920875252,1443782,739,2938,38956,47959
22,2,18,21,1,3,2,4,1,175814,22599,5027,0.88767350918573,0.8876413745344249,1416106,46,30614,32723,38881
23,21,12,29,5,2,1,5,5,178391,3785,2450,0.9793669259228557,0.9793334581475941,1438442,1898,8278,31875,40494
24,8,20,25,17,3,2,1,5,178943,7628,1898,0.9597042525759375,0.9596671532156387,1443854,2777,2866,37542,44888
25,28,19,11,11,4,5,5,4,178760,4215,2081,0.9771920019382031,0.9771633963875146,1439742,4461,6978,25635,34611
