observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,178942,6268,1899,0.966613372261045,0.9665753191344437,1443827,2795,2893,38074,46042
2,19,22,1,30,5,2,1,1,179027,4389,1814,0.9763449304527322,0.9763015035059415,1445044,1008,1676,47941,52544
3,10,16,13,9,4,1,2,2,178805,6867,2036,0.963516819957475,0.9634783916056558,1443478,574,3242,39247,46496
4,14,24,6,16,3,1,4,1,178756,4440,2085,0.9760145979582733,0.9759778250604436,1442228,732,4492,36248,44493
5,2,29,29,25,2,1,4,3,178751,24631,2090,0.880845417643558,0.8808057404694832,1442166,928,4554,37391,48007
6,4,15,2,28,2,4,2,3,179220,22725,1621,0.8893281220815975,0.8892890837821777,1445956,921,764,39860,47234
7,17,6,30,24,5,5,3,5,178942,4579,1899,0.9753340375456349,0.9752952736399867,1443391,4254,3329,34723,46902
8,3,6,2,10,2,2,5,2,178668,20463,2173,0.8988897452874043,0.898855755172192,1440744,635,5976,37842,41126
9,9,17,5,25,1,5,4,1,178902,6924,1939,0.9632561462754602,0.9632205188889782,1442855,842,3865,34201,43107
10,1,25,22,22,4,1,2,1,178990,33021,1851,0.846738408496998,0.8466967865983914,1444655,843,2065,41323,50360
11,27,1,12,1,5,3,1,4,178152,4005,2689,0.9781548062083775,0.9781140347651655,1437011,2047,9709,40970,49331
12,27,1,13,1,5,3,1,4,178184,3990,2657,0.9782410218013616,0.978199947863811,1437353,2013,9367,41163,49697
13,26,1,12,1,5,3,1,4,178151,4031,2690,0.9780177538733732,0.9779769964804447,1436990,2045,9730,41020,49314
14,26,12,11,1,5,3,1,4,177361,4219,3480,0.976844574087482,0.976807587129451,1430111,1881,16609,36695,44752
15,26,21,12,4,5,3,1,4,178671,4438,2170,0.9760048472760621,0.9759666379433679,1441543,2441,5177,37127,46231
16,30,1,18,7,4,4,2,4,178798,4235,2043,0.9770961296286621,0.9770532473369782,1442768,3031,3952,40545,51885
17,22,1,18,8,4,4,2,4,178818,4269,2023,0.9769229020998887,0.9768805537189773,1442858,3100,3862,40274,51239
18,30,1,19,8,4,4,2,4,178790,4271,2051,0.9769059200094418,0.9768628005159131,1442753,3009,3967,40719,52172
19,30,1,17,8,4,4,2,4,178805,4205,2036,0.9772547582723012,0.9772121743425196,1442801,3090,3919,40386,51524
20,30,1,18,7,4,4,2,4,178798,4235,2043,0.9770961296286621,0.9770532473369782,1442768,3031,3952,40545,51885
21,23,6,8,13,3,2,3,5,179056,4558,1785,0.9754708225506699,0.9754331694439042,1444341,3238,2379,37732,45558
22,22,6,8,12,3,2,3,5,179051,4209,1790,0.9772906325483067,0.9772531687071245,1444293,3206,2427,37583,45329
23,21,6,8,13,3,2,3,5,179057,4241,1784,0.9771247690162984,0.9770874051800751,1444353,3217,2367,37574,45208
24,22,7,8,13,3,2,3,5,179053,4227,1788,0.977197008239098,0.9771595601011739,1444340,3224,2380,37538,45310
25,22,6,8,14,3,2,3,5,179068,4221,1773,0.9772318320821147,0.9771943302225183,1444426,3276,2294,37615,45375
