observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,178809,10532,2032,0.9452241622658863,0.9451845164983276,1443658,751,3062,40337,47969
2,8,29,21,7,2,,,,178630,7295,2211,0.9612894657139912,0.9612506613104671,1441992,469,4728,39576,46951
3,19,23,11,11,5,,,,178792,3962,2049,0.9785254406653745,0.9784975070488315,1440018,4674,6702,25182,33798
4,4,8,24,3,5,,,,178401,21309,2440,0.8949914971267624,0.8949667397007743,1436422,3963,10298,23391,29955
5,2,24,12,30,2,,,,179023,24798,1818,0.8803194706566733,0.8802783496093486,1445025,969,1695,41230,49754
6,19,16,26,7,5,,,,178509,3852,2332,0.9790402708047907,0.9790116454184079,1438302,3910,8418,25331,34635
7,4,30,2,29,3,,,,179150,22829,1691,0.8888338063857512,0.8887917464488948,1445986,990,734,42850,50890
8,29,1,8,25,2,,,,178899,3969,1942,0.9785127463894101,0.9784696310283179,1444314,510,2406,46545,52167
9,3,3,2,1,1,,,,158923,16499,21918,0.9053874320787093,0.9053609365500054,1277011,43,169709,34424,32058
10,29,27,1,1,4,,,,152132,2539,28709,0.9802673292335291,0.9802475497403311,1220052,1859,226668,20664,23932
11,24,14,29,16,1,,,,178725,4406,2116,0.9761848581971673,0.9761410973495219,1443234,583,3486,42502,52948
12,3,29,4,1,4,,,,175502,21843,5339,0.890805630355305,0.8907812704696909,1411940,3133,34780,23886,29474
13,13,1,1,30,5,,,,179107,5924,1734,0.968422338916188,0.9683917150836012,1442305,6401,4415,33969,37053
14,30,27,9,28,4,,,,178912,4308,1929,0.9767409307580258,0.9767117193921729,1440930,5013,5790,26147,35344
15,1,1,21,5,1,,,,177958,6421,2883,0.965545544789533,0.9655035683278903,1436798,302,9922,43410,50789
16,17,1,30,25,5,,,,178265,3904,2576,0.9787120453640568,0.9786807653005826,1436930,2967,9790,28933,37847
17,29,25,6,1,1,,,,174987,3491,5854,0.9801806198181704,0.9801439378339398,1410288,43,36432,39111,44383
18,11,28,13,28,2,,,,178887,6909,1954,0.9633278746171853,0.9632872709508877,1444463,875,2257,41069,49128
19,10,8,2,14,5,,,,179166,7030,1675,0.9627978885360708,0.9627718864202635,1442734,5815,3986,25846,31461
20,11,22,30,3,2,,,,178194,6640,2647,0.9644925954027337,0.9644539397669171,1438265,252,8455,39336,46771
21,15,1,26,22,3,,,,178670,4619,2171,0.9750598177123297,0.9750142493370384,1442926,400,3794,46717,55135
22,27,30,3,6,3,,,,178457,3999,2384,0.9782555665738608,0.9782168051476744,1439744,466,6976,41967,46899
23,22,11,1,30,2,,,,178980,4216,1861,0.9772376465269516,0.9771941253606127,1444843,997,1877,49003,52658
