observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,178818,6051,2023,0.967690403144266,0.9676497350119619,1443764,774,2956,41028,49206
2,5,2,26,19,4,,,,178468,9840,2373,0.9484974010763046,0.9484691798421938,1438005,3694,8715,27065,34146
3,1,30,25,7,1,,,,178745,32969,2096,0.8467452853561694,0.8467049874901595,1442282,476,4438,40736,48758
4,6,10,16,13,2,,,,178898,11229,1943,0.9418595052112949,0.9418214181987158,1444019,647,2701,39684,46083
5,19,5,9,11,3,,,,178891,3938,1950,0.9786735805674339,0.9786334446929278,1444252,612,2468,41517,48562
6,24,6,16,18,1,,,,178802,4328,2039,0.9766106549215435,0.9765681123161251,1443724,594,2996,42047,51474
7,19,6,2,29,5,,,,179162,4204,1679,0.9773423414823078,0.9773148533424001,1443008,6014,3712,27541,33259
8,25,10,3,21,3,,,,179039,4186,1802,0.9774081201755763,0.9773675487422822,1445189,818,1531,43684,49089
9,4,15,2,28,2,,,,179179,22716,1662,0.8893409132060368,0.8893006037692053,1445936,914,784,42787,48772
10,20,10,16,17,1,,,,178834,4026,2007,0.9781991670259461,0.9781576211641678,1443821,621,2899,41407,50268
11,30,24,29,27,3,,,,178731,4426,2110,0.9760817883478998,0.9760364580009405,1443361,678,3359,43522,54847
12,28,3,6,2,2,,,,177904,4082,2937,0.9776927300095459,0.9776540768531911,1435492,187,11228,41619,46768
13,12,9,25,11,2,,,,178801,6004,2040,0.9679269351338841,0.9678868711637698,1443519,608,3201,40604,48475
14,17,5,25,3,5,,,,178317,3917,2524,0.9786552747344299,0.9786270931717078,1436619,3375,10101,25097,34098
15,24,6,1,25,4,,,,179053,4783,1788,0.9742997049126627,0.9742700323669167,1441752,6233,4968,31060,35902
16,22,24,3,11,1,,,,178832,3747,2009,0.9796638886003745,0.9796242915955643,1443310,639,3410,42527,47910
17,26,19,10,2,2,,,,177911,4076,2930,0.9777259336018407,0.9776864903236616,1435724,172,10996,40274,47724
18,10,22,20,27,3,,,,178835,6977,2006,0.9629665367849608,0.9629262066859476,1444000,874,2720,40826,48797
19,4,22,23,17,4,,,,178927,23251,1914,0.8868693062933038,0.8868423512376813,1441065,5410,5655,24541,32614
20,15,16,13,1,1,,,,176602,4285,4239,0.9763161432875321,0.976278448029916,1424227,43,22493,39268,45609
21,1,20,10,16,5,,,,179165,33797,1676,0.8438458666883195,0.8438182884613,1442256,5731,4464,25166,33368
22,8,13,23,7,1,,,,178709,7327,2132,0.9611519474044556,0.9611134479747319,1442561,450,4159,39629,46582
23,9,5,28,25,4,,,,178620,6946,2221,0.9630590144577469,0.9630319494793182,1438806,4485,7914,24699,32747
24,27,25,6,27,3,,,,179005,4366,1836,0.9764597938909145,0.9764182174491075,1445010,884,1710,42573,50305
25,25,27,10,4,2,,,,178448,4155,2393,0.9774343509500255,0.9773940861435062,1440415,303,6305,40915,48718
26,13,25,26,1,3,,,,176478,4412,4363,0.9756147719745509,0.9755768180264213,1423731,109,22989,38661,45922
27,13,7,4,11,5,,,,178998,4775,1843,0.9743277553262575,0.9743021135588971,1441607,5360,5113,24885,31025
