observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,178818,6051,2023,0.967690403144266,0.9676497350119619,1443764,774,2956,41028,49206
2,5,2,26,19,4,,,,178468,9840,2373,0.9484974010763046,0.9484691798421938,1438005,3694,8715,27065,34146
3,1,30,25,7,1,,,,178745,32969,2096,0.8467452853561694,0.8467049874901595,1442282,476,4438,40736,48758
4,6,10,16,13,2,,,,178898,11229,1943,0.9418595052112949,0.9418214181987158,1444019,647,2701,39684,46083
5,19,5,9,11,3,,,,178891,3938,1950,0.9786735805674339,0.9786334446929278,1444252,612,2468,41517,48562
6,24,6,16,18,1,,,,178802,4328,2039,0.9766106549215435,0.9765681123161251,1443724,594,2996,42047,51474
7,19,6,2,29,5,,,,179162,4204,1679,0.9773423414823078,0.9773148533424001,1443008,6014,3712,27541,33259
8,25,10,3,21,3,,,,179039,4186,1802,0.9774081201755763,0.9773675487422822,1445189,818,1531,43684,49089
9,4,15,2,28,2,,,,179179,22716,1662,0.8893409132060368,0.8893006037692053,1445936,914,784,42787,48772
10,20,10,16,17,1,,,,178834,4026,2007,0.9781991670259461,0.9781576211641678,1443821,621,2899,41407,50268
11,29,22,8,1,4,,,,175995,3378,4846,0.9810071617786967,0.9809807488987192,1416901,2831,29819,24980,31958
12,12,22,9,2,4,,,,177747,5615,3094,0.9696441435942018,0.9696186679507814,1431101,3501,15619,23930,30824
13,30,21,9,3,4,,,,178270,4028,2571,0.9780606517207602,0.9780329792741925,1435588,3833,11132,25316,33482
14,29,22,10,1,4,,,,176382,3384,4459,0.981058193700897,0.9810311700468315,1420098,2741,26622,25087,32697
15,29,21,8,3,4,,,,178267,4034,2574,0.9780284169026696,0.9780010849688547,1435449,3964,11271,25333,33070
16,27,24,6,8,5,,,,178865,4306,1976,0.9767404016067764,0.9767129390879739,1440252,4726,6468,25584,33228
17,26,26,6,8,5,,,,178862,4244,1979,0.9770638919221877,0.9770365145315733,1440187,4711,6533,25506,33125
18,25,26,12,9,5,,,,178727,4160,2114,0.9774724183313089,0.9774438879909615,1439335,4312,7385,25540,34520
19,26,25,12,7,5,,,,178671,4164,2170,0.977438566193671,0.9774100565155052,1438923,4189,7797,25576,34495
20,26,26,12,7,5,,,,178674,4164,2167,0.9774392572875228,0.977410731906099,1438923,4193,7797,25590,34514
21,22,17,21,1,3,,,,177225,3757,3616,0.9792562879332308,0.9792157917102776,1430096,113,16624,40122,48998
22,22,17,21,1,3,,,,177225,3757,3616,0.9792562879332308,0.9792157917102776,1430096,113,16624,40122,48998
23,22,17,20,1,3,,,,177214,3755,3627,0.979264442622621,0.9792239959889036,1430025,113,16695,40083,48938
24,22,18,21,1,3,,,,177189,3756,3652,0.9792535679207565,0.9792131039308065,1429842,113,16878,40121,48959
25,22,18,21,1,3,,,,177189,3756,3652,0.9792535679207565,0.9792131039308065,1429842,113,16878,40121,48959
26,16,20,18,4,4,,,,178350,3917,2491,0.9786626841927129,0.9786352753955824,1436784,3782,9936,24676,33163
27,15,13,29,4,4,,,,178321,4442,2520,0.9759005576480797,0.9758729372702097,1436609,3655,10111,24809,33419
