observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,7411,817,672,0.9010224799698485,0.9009816582171543,58049,59,231,1095,2303
2,19,23,11,11,5,4,3,5,7421,782,662,0.9049337853327806,0.9048898261722588,58200,342,80,1292,2480
3,2,24,12,30,2,4,5,1,7425,880,658,0.8945179602340083,0.8944706155091076,58091,75,189,1267,2671
4,12,26,22,29,4,1,1,3,7409,816,674,0.9011014137404284,0.9010517469792259,58202,31,78,1424,2802
5,27,10,28,28,3,4,4,1,7373,744,710,0.9084166223115895,0.9083656615912264,57947,18,333,1748,2875
6,18,24,10,12,4,5,4,5,7388,757,695,0.9071976580842265,0.9071717079991443,57752,352,528,798,1464
7,29,2,28,26,3,1,1,1,7376,756,707,0.9071432612390574,0.9070807789645253,58169,7,111,2150,3525
8,22,12,17,30,1,4,5,3,7386,753,697,0.9076073866903912,0.9075595456523878,57971,22,309,1581,2699
9,25,16,16,4,1,1,1,5,7384,761,699,0.9067064844740023,0.9066499402312342,58189,51,91,1944,3190
10,30,24,30,30,4,5,4,3,7340,711,743,0.9116155218067375,0.91157368970237,57612,18,668,1352,2360
11,30,30,11,3,1,5,5,3,7376,745,707,0.908347536526014,0.9082956718067854,57953,16,327,1822,2926
12,19,7,30,27,3,5,1,5,7418,790,665,0.904027786240936,0.9039826749249973,58189,302,91,1364,2545
13,28,3,1,19,1,3,4,3,7413,759,670,0.9073195091441847,0.9072619545497433,58110,64,170,2065,3247
14,20,1,17,1,5,5,1,1,7361,762,722,0.9062815493339244,0.906227362578394,57982,0,298,1783,3057
15,19,30,4,27,5,5,2,5,7436,797,647,0.9035236938031591,0.9034837051474586,58249,484,31,1197,2256
16,22,28,7,25,1,4,5,3,7394,763,689,0.9066252059954485,0.9065755569597139,58021,36,259,1676,2801
17,1,4,30,1,4,2,5,1,7369,804,714,0.9018259252007049,0.9017916086947492,57686,1,594,909,1936
18,28,6,1,1,1,1,1,1,7284,720,799,0.9098653689051885,0.9098113771298056,56946,0,1334,2144,3046
19,27,2,29,29,3,1,3,4,7375,755,708,0.9072389673590797,0.9071777435927723,58169,17,111,2112,3454
20,1,1,4,23,5,5,1,3,7424,837,659,0.8990679920168961,0.8990222248586431,58225,62,55,1385,2582
21,30,24,29,30,3,3,5,3,7376,749,707,0.9079092484638411,0.9078558416289007,57972,18,308,1858,3013
22,20,2,6,1,3,2,3,5,7397,776,686,0.9052525944781672,0.9052019705416953,58193,78,87,1705,2856
23,29,29,1,10,1,5,2,4,7435,810,648,0.90211314088253,0.902062180162167,58260,542,20,1809,2875
24,26,4,11,29,1,5,1,2,7388,758,695,0.9070885012904034,0.9070307517158146,58190,22,90,1967,3258
25,27,11,30,1,5,5,1,2,7361,746,722,0.9080345203613881,0.9079769480414789,58033,3,247,1913,3248
26,29,19,26,9,4,1,4,5,7337,712,746,0.9114648035698313,0.9114249921688103,57615,46,665,1322,2246
27,2,1,2,27,5,4,3,2,7427,853,656,0.8974077036657541,0.8973596676476032,58220,76,60,1484,2710
28,2,29,9,2,3,4,3,5,7448,901,635,0.8926516836695559,0.8926187497501005,58078,498,202,879,1858
29,27,28,1,29,1,4,5,1,7415,759,668,0.9073466321104038,0.907288900261283,58138,69,142,2030,3257
30,23,2,2,1,1,1,5,5,7363,747,720,0.9079519474786237,0.9079076160832749,57658,79,622,1593,2501
31,30,29,12,1,2,2,4,5,7379,752,704,0.9076216107177825,0.9075699232532334,57984,47,296,1856,2916
32,8,2,26,26,2,5,5,1,7396,813,687,0.9012390208713116,0.9012014606047205,57941,40,339,1050,2119
33,30,7,1,28,1,2,5,5,7416,765,667,0.906707877697138,0.9066579273284483,58103,242,177,1812,2818
34,30,2,29,5,5,1,2,1,7371,746,712,0.908170205216157,0.9081087687442342,58168,7,112,2061,3466
35,7,1,6,2,5,2,5,4,7350,794,733,0.9026401302749184,0.902610865527329,57615,91,665,926,1651
36,29,21,3,6,5,5,5,5,7398,743,685,0.9088630734756458,0.9088303522618058,57867,391,413,1143,1846
37,20,5,30,29,3,2,4,3,7383,750,700,0.9078947368421052,0.9078492710168075,57940,20,340,1467,2565
38,14,2,13,1,1,1,1,2,7391,826,692,0.8997701574810818,0.8997179028015583,58164,4,116,1619,2948
39,16,30,11,25,5,1,4,5,7376,784,707,0.9040921938699215,0.9040548463089458,57788,82,492,1100,2107
40,26,30,29,1,3,2,1,3,7382,760,701,0.9067882596593464,0.9067280994211161,58167,16,113,2063,3394
41,29,7,26,20,2,5,5,5,7384,757,699,0.9071431379486574,0.9070975657705519,57946,212,334,1582,2571
42,21,30,1,3,1,1,5,2,7395,759,688,0.9070748155798534,0.9070226849786055,58000,43,280,1809,2941
43,18,2,1,27,5,4,1,2,7427,817,656,0.9012496389904839,0.9011894787522536,58271,93,9,2051,3394
44,28,30,13,28,5,4,3,3,7387,743,696,0.9087151527974945,0.9086569778116749,58188,19,92,1955,3282
45,22,1,14,2,3,3,2,4,7381,772,702,0.9054664115020364,0.9054102749450313,58179,51,101,1945,3167
46,30,24,30,2,5,4,5,4,7346,718,737,0.9109193763190724,0.9108850775385846,57577,186,703,1150,1935
47,17,1,2,29,2,2,5,1,7397,800,686,0.9026543920963744,0.902608447683442,57969,55,311,1544,2592
48,29,30,10,26,5,2,1,1,7389,743,694,0.9087420766398312,0.9086832103607614,58191,21,89,1985,3321
49,25,12,3,1,5,1,1,1,7343,740,740,0.9084498329828036,0.9083995281047548,57664,0,616,1803,2838
50,25,1,30,23,1,5,1,5,7390,769,693,0.9059170233944797,0.9058617199344683,58179,183,101,1854,3120
51,25,26,27,2,5,3,4,4,7339,716,744,0.9110477732150216,0.9110080504413404,57623,42,657,1327,2241
52,28,2,4,29,3,1,3,1,7392,753,691,0.9076888316944508,0.9076286360052847,58212,34,68,2126,3396
53,15,10,29,25,5,1,4,4,7370,777,713,0.9047696213471614,0.9047365988003662,57730,60,550,958,1863
54,18,14,1,1,5,5,5,4,7286,733,797,0.9084470866353794,0.9084226254896052,56940,244,1340,833,1380
55,27,28,3,18,4,4,1,4,7423,772,660,0.9060438728828868,0.9059990806253712,58249,446,31,1516,2527
56,25,14,26,2,5,3,5,2,7335,715,748,0.9111054248968408,0.9110653830647364,57606,16,674,1292,2259
57,28,4,2,27,1,1,2,4,7414,774,669,0.9057037100379923,0.9056495587333979,58248,242,32,1936,3055
58,21,29,14,23,2,5,5,1,7391,761,692,0.906802181919903,0.9067529051189955,58010,23,270,1637,2780
59,30,28,2,4,5,1,3,4,7410,756,673,0.9076055137341168,0.9075561837568054,58200,254,80,1743,2783
60,18,2,30,28,4,1,5,1,7338,730,745,0.9094852695115452,0.9094508466527818,57550,7,730,1054,1942
61,30,16,26,20,5,5,4,1,7338,711,745,0.9115890321105932,0.9115479090249438,57607,18,673,1324,2320
62,23,3,3,3,1,5,1,1,7406,768,677,0.9062453347821513,0.9061919456726788,58182,38,98,1850,3012
63,17,30,18,3,1,2,5,1,7398,802,685,0.9024526511223935,0.9024051291428132,58005,23,275,1449,2681
64,22,25,2,29,4,3,4,2,7393,751,690,0.9079208820574791,0.9078735018816425,57980,71,300,1517,2673
65,15,3,29,7,3,2,5,5,7390,799,693,0.9026637742338961,0.9026245477733176,57912,48,368,1227,2213
66,22,13,30,5,5,3,5,5,7354,729,729,0.9098107138438699,0.9097741816544201,57671,55,609,1178,2061
67,30,28,3,30,4,2,3,4,7411,760,672,0.9071835323726565,0.9071330325144602,58249,247,31,1769,2849
68,16,6,1,18,5,5,5,2,7410,807,673,0.9020831913049409,0.902037743205111,57998,65,282,1343,2564
69,30,4,21,25,4,2,1,2,7378,743,705,0.9085938346649853,0.9085353051698066,58185,17,95,1951,3302
70,26,19,4,1,1,1,3,1,7378,756,705,0.9071705574094612,0.9071129141876801,58043,1,237,2020,3252
71,26,22,22,7,5,2,5,3,7340,710,743,0.9117264919894768,0.9116850852963401,57630,19,650,1332,2336
72,30,2,7,29,1,5,3,1,7390,759,693,0.9070066571097539,0.9069475603996008,58194,22,86,2034,3334
73,21,14,30,30,2,4,4,4,7399,770,684,0.9059319626607636,0.9058933388660955,57975,282,305,1274,2179
74,23,30,2,23,5,2,4,1,7393,749,690,0.9081394748931926,0.9080912261694263,57975,63,305,1552,2722
75,23,1,2,1,5,2,3,3,7268,741,815,0.9073114220371313,0.9072626238238585,56912,20,1368,1795,2753
76,30,28,28,5,5,4,5,1,7337,711,746,0.9115757824244909,0.9115346061624375,57597,15,683,1353,2323
77,24,1,1,22,2,1,5,3,7402,759,681,0.9071700999088173,0.9071139633518122,58054,60,226,2093,3167
78,19,17,24,30,4,1,5,4,7366,734,717,0.9094208892718955,0.9093863246093884,57712,60,568,1053,1950
