observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,7411,827,672,0.8999502119029982,0.8999010591803663,58204,72,76,1455,2773
2,19,22,1,30,5,2,1,1,7426,809,657,0.9020937905432,0.902033151717335,58270,85,10,2034,3421
3,10,16,13,9,4,1,2,2,7404,827,679,0.8998497819650851,0.8998021890836331,58202,30,78,1374,2685
4,14,24,6,16,3,1,4,1,7404,810,679,0.9016754796392324,0.9016312368712234,58025,36,255,1306,2496
5,2,29,29,25,2,1,4,3,7427,887,656,0.8938091650640602,0.8937565381497097,58108,78,172,1467,2969
6,4,15,2,28,2,4,2,3,7432,840,651,0.8988633587398497,0.8988169357392825,58253,65,27,1281,2619
7,17,6,30,24,5,5,3,5,7418,824,665,0.9003716551642105,0.9003293090212723,58189,304,91,1203,2389
8,3,6,2,10,2,2,5,2,7412,819,671,0.900822066980715,0.9007839040482135,57999,56,281,1041,2153
9,9,17,5,25,1,5,4,1,7410,814,673,0.9013304659428453,0.9012892896807919,58038,50,242,1160,2323
10,1,25,22,22,4,1,2,1,7430,887,653,0.8938539421004004,0.8938000212268893,58243,67,37,1555,3042
11,26,19,10,2,2,2,4,4,7377,752,706,0.9075944134408127,0.9075449948361616,57975,52,305,1760,2788
12,27,15,4,22,4,3,4,3,7369,717,714,0.9113349839350775,0.9112914501857865,57825,49,455,1420,2456
13,16,13,1,4,1,4,2,3,7414,815,669,0.9012798319491179,0.9012260528793504,58204,67,76,1712,3034
14,28,8,13,23,2,1,2,1,7386,756,697,0.9072796106534723,0.907220549394255,58186,18,94,2021,3332
15,28,25,20,27,5,1,5,3,7339,709,744,0.9118242697578491,0.9117821717714623,57630,19,650,1364,2375
16,25,27,10,4,2,3,5,5,7379,757,704,0.9070749138899611,0.9070251762268868,57996,57,284,1779,2806
17,1,16,13,7,1,2,5,2,7411,855,672,0.8969613935035353,0.8969175761467572,58019,58,261,1168,2472
