observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,7411,827,672,0.8999502119029982,0.8999010591803663,58204,72,76,1455,2773
2,19,22,1,30,5,2,1,1,7426,809,657,0.9020937905432,0.902033151717335,58270,85,10,2034,3421
3,10,16,13,9,4,1,2,2,7404,827,679,0.8998497819650851,0.8998021890836331,58202,30,78,1374,2685
4,14,24,6,16,3,1,4,1,7404,810,679,0.9016754796392324,0.9016312368712234,58025,36,255,1306,2496
5,2,29,29,25,2,1,4,3,7427,887,656,0.8938091650640602,0.8937565381497097,58108,78,172,1467,2969
6,4,15,2,28,2,4,2,3,7432,840,651,0.8988633587398497,0.8988169357392825,58253,65,27,1281,2619
7,17,6,30,24,5,5,3,5,7418,824,665,0.9003716551642105,0.9003293090212723,58189,304,91,1203,2389
8,3,6,2,10,2,2,5,2,7412,819,671,0.900822066980715,0.9007839040482135,57999,56,281,1041,2153
9,9,17,5,25,1,5,4,1,7410,814,673,0.9013304659428453,0.9012892896807919,58038,50,242,1160,2323
10,1,25,22,22,4,1,2,1,7430,887,653,0.8938539421004004,0.8938000212268893,58243,67,37,1555,3042
11,27,1,12,1,5,3,1,4,7375,743,708,0.9085533367006271,0.9084961897919487,58180,50,100,1955,3224
12,27,1,13,1,5,3,1,4,7375,743,708,0.9085533367006271,0.9084961897919487,58180,50,100,1955,3224
13,26,1,12,1,5,3,1,4,7375,744,708,0.9084436604798061,0.9083868858059547,58180,49,100,1936,3203
14,26,12,11,1,5,3,1,4,7385,750,698,0.9079218486444487,0.9078670769484759,58182,59,98,1850,3090
15,26,21,12,4,5,3,1,4,7386,742,697,0.9088112610894414,0.9087553372380518,58187,56,93,1884,3155
16,30,20,19,7,4,4,2,4,7392,752,691,0.9077980738764894,0.9077447911198245,58187,230,93,1731,3006
17,22,20,18,7,4,4,2,4,7405,783,678,0.9046042585421272,0.9045562225239764,58196,306,84,1498,2710
