observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,7414,827,669,0.8999932021015218,0.8999460523567685,58229,59,51,1329,2660
2,8,29,21,7,2,,,,7416,829,667,0.899807808041001,0.8997576981430997,58228,51,52,1447,2827
3,19,23,11,11,5,,,,7388,754,695,0.9075252861505353,0.9074990701834338,57745,343,535,806,1479
4,4,8,24,3,5,,,,7424,831,659,0.899708661150134,0.899689340390066,57898,439,382,482,1090
5,2,24,12,30,2,,,,7430,885,653,0.8940647577240938,0.8940116522221085,58243,67,37,1534,2996
6,19,23,8,7,5,,,,7390,755,693,0.9074432448893386,0.9074171884514486,57764,352,516,804,1470
7,1,1,25,30,4,,,,7349,786,734,0.903495960147333,0.9034693719454044,57615,221,665,814,1500
8,30,30,28,27,2,,,,7386,762,697,0.9066247683110953,0.9065633495646404,58180,18,100,2111,3465
9,29,2,2,26,1,,,,7407,768,676,0.9062590234376912,0.9061946268126203,58271,79,9,2394,3633
10,26,2,30,3,4,,,,7343,725,740,0.9101049787439733,0.9100728070196398,57567,184,713,1077,1815
11,21,1,30,21,2,,,,7377,765,706,0.9061740709166889,0.906114531069837,58177,8,103,2035,3359
12,23,30,1,2,4,,,,7326,748,757,0.9073367202613764,0.9073062147310303,57336,324,944,1092,1721
13,26,20,12,30,4,,,,7356,727,727,0.9100581467277001,0.9100260813561744,57632,239,648,1075,1809
14,14,7,11,8,5,,,,7389,804,694,0.9021096840357475,0.9020876690045507,57751,326,529,626,1242
15,26,15,26,1,3,,,,7379,758,704,0.9069656535462494,0.9069064682087564,58169,16,111,2017,3339
16,30,8,29,2,5,,,,7347,719,736,0.9108220084945589,0.9107886668893405,57581,203,699,1112,1881
17,17,30,1,26,2,,,,7420,826,663,0.9001861031647244,0.9001273077875264,58272,87,8,1862,3317
18,13,1,23,30,1,,,,7380,824,703,0.8998266187734558,0.8997697022958608,58172,5,108,1874,3211
19,12,24,14,1,1,,,,7396,817,687,0.9008087303907241,0.9007590636295215,58087,0,193,1466,2802
