observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,7410,825,673,0.9001501465021696,0.9000987958215116,58204,32,76,1495,2897
2,5,2,26,19,4,,,,7391,816,692,0.9008449001282222,0.9008247639966283,57762,316,518,539,1136
3,1,30,25,7,1,,,,7430,901,653,0.8923810118615814,0.8923244321678775,58242,67,38,1642,3192
4,6,10,16,13,2,,,,7419,832,664,0.8995300473832514,0.8994843156759343,58231,55,49,1304,2580
5,19,5,9,11,3,,,,7403,776,680,0.905335400901055,0.9052839438675894,58196,24,84,1649,2903
6,24,6,16,18,1,,,,7386,763,697,0.9065157198122656,0.9064590160402861,58187,19,93,1908,3199
7,19,6,2,29,5,,,,7408,760,675,0.9071427696753731,0.9071169436685665,57918,436,362,814,1457
8,25,10,3,21,3,,,,7402,765,681,0.906516829713961,0.9064585129243977,58239,52,41,2013,3290
9,4,15,2,28,2,,,,7430,832,653,0.8996878337502815,0.8996404358489769,58253,65,27,1337,2674
10,20,10,16,17,1,,,,7396,770,687,0.9058907394841468,0.9058377580604372,58196,24,84,1729,2989
11,30,24,29,27,3,,,,7385,760,698,0.9068292778765582,0.9067683022668022,58179,18,101,2087,3440
12,28,3,6,2,2,,,,7387,756,696,0.9072932275418212,0.9072350880069374,58195,24,85,2029,3280
13,12,9,25,11,2,,,,7405,826,678,0.8999713175920391,0.8999236538087152,58192,27,88,1405,2689
14,17,5,25,3,5,,,,7380,784,703,0.9041480548565493,0.9041241077493456,57707,284,573,699,1351
15,24,6,1,25,4,,,,7436,795,647,0.9037389220276032,0.903705544971449,58029,588,251,1156,1883
16,22,24,3,11,1,,,,7412,772,671,0.9058931945568188,0.9058365085103072,58241,54,39,1916,3198
17,26,19,10,2,2,,,,7387,760,696,0.9068566069052215,0.9067978469789595,58182,20,98,2011,3315
18,10,22,20,27,3,,,,7406,826,677,0.899985660503924,0.8999366141340999,58204,34,76,1431,2767
19,4,22,23,17,4,,,,7438,859,645,0.8969312843071996,0.8969094465306823,57992,562,288,541,1232
20,15,16,13,1,1,,,,7396,813,687,0.9012390208713116,0.9011887159932628,58095,0,185,1561,2838
21,1,20,10,16,5,,,,7443,899,640,0.8927864581459118,0.8927643190364394,58029,596,251,550,1249
22,8,13,23,7,1,,,,7413,830,670,0.8996577586834632,0.899611335682896,58229,49,51,1357,2619
23,9,5,28,25,4,,,,7401,809,682,0.9017406115899438,0.9017203691055422,57811,363,469,530,1142
24,27,25,6,27,3,,,,7391,758,692,0.9071293914341262,0.9070700111164858,58205,29,75,2042,3350
25,25,27,10,4,2,,,,7387,763,696,0.9065294171066162,0.9064708167095656,58185,21,95,2019,3306
26,13,25,26,1,3,,,,7398,821,685,0.9004074836787451,0.9003571610752283,58149,23,131,1505,2839
27,13,7,4,11,5,,,,7409,810,674,0.9017462890748612,0.9017245576511517,57883,401,397,615,1226
28,10,16,22,11,5,,,,7394,811,689,0.9014258963055436,0.9014047852732123,57788,367,492,562,1191
29,29,8,15,10,2,,,,7385,756,698,0.9072659904862994,0.9072064860903833,58187,19,93,2036,3357
30,2,19,16,2,2,,,,7424,874,659,0.8951372728697686,0.8950890950478742,58202,41,78,1393,2718
31,28,8,5,15,5,,,,7379,730,704,0.9100349263980425,0.9100035700452348,57771,313,509,1076,1769
32,8,21,23,8,4,,,,7412,823,671,0.9003931020072984,0.9003723100333902,57884,444,396,545,1173
33,12,19,20,17,1,,,,7406,828,677,0.8997713516494998,0.8997232092785412,58201,28,79,1411,2716
34,26,10,6,2,3,,,,7388,758,695,0.9070885012904034,0.9070307162648787,58194,25,86,1987,3260
35,21,1,16,7,4,,,,7348,733,735,0.9092889034084721,0.9092588410148249,57587,201,693,1004,1696
36,6,21,12,29,1,,,,7420,838,663,0.8989036283239444,0.8988542451702292,58235,60,45,1391,2786
37,11,4,28,27,2,,,,7400,829,683,0.8995779277614611,0.8995305298601565,58187,22,93,1397,2674
38,20,25,17,16,2,,,,7399,768,684,0.9061494221904347,0.9060940123776157,58199,28,81,1807,3126
39,3,27,28,19,2,,,,7430,861,653,0.8966023236842994,0.8965490586531025,58235,65,45,1537,3005
40,11,22,27,27,4,,,,7395,811,688,0.9014401100012922,0.9014182544993069,57782,368,498,585,1233
41,20,3,5,27,4,,,,7396,747,687,0.9083986342086516,0.9083724005160821,57828,351,452,848,1480
42,1,4,20,1,1,,,,7397,836,686,0.8987849331713246,0.8987385633471612,58084,1,196,1361,2616
43,17,21,20,7,4,,,,7389,794,694,0.9031903190319032,0.9031660528662764,57764,338,516,709,1369
44,8,10,23,20,5,,,,7407,815,676,0.9011804039799398,0.9011604451030255,57841,416,439,522,1126
45,20,18,3,12,2,,,,7412,780,671,0.9050259956873289,0.9049713126186959,58241,54,39,1787,3085
46,8,30,12,27,4,,,,7415,831,668,0.8995795087555838,0.8995574405479831,57907,495,373,579,1245
47,24,16,18,15,1,,,,7385,763,698,0.9065020192225073,0.9064451204703802,58188,20,92,1920,3210
48,22,9,1,20,1,,,,7415,785,668,0.9045264136351105,0.9044641617916619,58270,79,10,2197,3512
49,29,29,28,12,1,,,,7385,759,698,0.9069384166095609,0.9068774941762087,58180,18,100,2094,3437
50,28,13,29,29,5,,,,7348,722,735,0.9105035029850339,0.9104704449873028,57611,220,669,1108,1865
51,9,12,26,10,1,,,,7410,828,673,0.899828777520067,0.8997813441678265,58199,36,81,1397,2676
52,17,29,21,18,1,,,,7411,812,672,0.9015595727597869,0.9015058645918913,58202,30,78,1638,3030
53,19,30,5,16,5,,,,7406,762,677,0.9068978607202773,0.9068710775382013,57876,440,404,826,1511
54,23,21,22,11,2,,,,7394,770,689,0.9058632408684723,0.9058066966257042,58196,23,84,1900,3190
55,25,25,27,28,3,,,,7384,765,699,0.9062702511635214,0.9062106935912015,58181,19,99,2032,3360
56,16,24,20,22,4,,,,7390,794,693,0.9032043588471251,0.9031793836627803,57773,355,507,727,1409
57,27,11,12,3,3,,,,7384,754,699,0.9074709041526872,0.9074123569320406,58181,17,99,2005,3303
58,2,14,17,9,3,,,,7424,867,659,0.8958782841227778,0.8958303899083706,58239,61,41,1369,2702
59,1,2,25,11,1,,,,7387,830,696,0.8992832029918484,0.8992311255670044,58170,8,110,1561,2938
60,16,24,7,19,1,,,,7412,809,671,0.9018962697609221,0.9018443164143537,58216,38,64,1582,2931
61,2,16,17,20,4,,,,7439,886,644,0.8940933828195611,0.8940716868467874,58002,562,278,538,1224
62,30,16,10,24,2,,,,7386,756,697,0.9072796106534723,0.9072199644538126,58189,21,91,2049,3365
63,14,3,1,29,5,,,,7439,866,644,0.8962045934250221,0.8961783420069847,58021,560,259,791,1481
64,21,13,6,5,2,,,,7396,773,687,0.9055646433084209,0.9055108465131855,58212,32,68,1780,3035
65,17,22,20,9,5,,,,7389,794,694,0.9031903190319032,0.9031656274550456,57763,346,517,722,1393
66,23,17,19,13,2,,,,7392,773,691,0.9055094960898454,0.9054535722384558,58195,22,85,1864,3155
67,11,23,1,4,1,,,,7410,829,673,0.8997217055129507,0.8996698407937221,58130,55,150,1655,2926
68,2,26,22,15,1,,,,7431,887,652,0.8938688607412218,0.8938145321819478,58245,69,35,1572,3065
69,15,15,6,14,2,,,,7409,817,674,0.9009940241805442,0.9009438965571749,58214,34,66,1536,2828
70,19,20,2,12,4,,,,7417,776,666,0.9055281535381159,0.9055007854155974,57967,485,313,850,1544
71,16,26,20,5,1,,,,7408,807,675,0.9020549513172829,0.9020024662066759,58193,23,87,1612,2961
72,20,1,18,29,3,,,,7383,768,700,0.9059295870737849,0.9058733441639721,58187,19,93,1889,3173
