observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,7410,825,673,0.9001501465021696,0.9000987958215116,58204,32,76,1495,2897
2,5,2,26,19,4,,,,7391,816,692,0.9008449001282222,0.9008247639966283,57762,316,518,539,1136
3,1,30,25,7,1,,,,7430,901,653,0.8923810118615814,0.8923244321678775,58242,67,38,1642,3192
4,6,10,16,13,2,,,,7419,832,664,0.8995300473832514,0.8994843156759343,58231,55,49,1304,2580
5,19,5,9,11,3,,,,7403,776,680,0.905335400901055,0.9052839438675894,58196,24,84,1649,2903
6,24,6,16,18,1,,,,7386,763,697,0.9065157198122656,0.9064590160402861,58187,19,93,1908,3199
7,19,6,2,29,5,,,,7408,760,675,0.9071427696753731,0.9071169436685665,57918,436,362,814,1457
8,25,10,3,21,3,,,,7402,765,681,0.906516829713961,0.9064585129243977,58239,52,41,2013,3290
9,4,15,2,28,2,,,,7430,832,653,0.8996878337502815,0.8996404358489769,58253,65,27,1337,2674
10,20,10,16,17,1,,,,7396,770,687,0.9058907394841468,0.9058377580604372,58196,24,84,1729,2989
11,29,22,8,29,5,,,,7363,729,720,0.9099312639183769,0.9098982059206457,57666,259,614,1119,1865
12,12,22,9,30,5,,,,7396,809,687,0.9016697226231811,0.9016477784938561,57789,368,491,587,1238
13,30,21,9,30,5,,,,7358,727,725,0.9100848983792128,0.9100519644597573,57640,247,640,1116,1858
14,29,22,9,29,5,,,,7358,727,725,0.9100848983792128,0.9100519290088214,57642,252,638,1115,1860
15,29,22,8,28,5,,,,7363,729,720,0.9099312639183769,0.9098982059206457,57666,259,614,1119,1865
16,30,18,11,23,4,,,,7356,725,727,0.9102788749962876,0.9102460474296398,57637,241,643,1111,1852
17,30,18,12,24,4,,,,7355,723,728,0.9104863767470074,0.9104533187492763,57623,234,657,1112,1865
18,30,17,12,24,4,,,,7355,723,728,0.9104863767470074,0.9104533719256801,57622,233,658,1110,1862
19,30,19,13,24,4,,,,7355,723,728,0.9104863767470074,0.9104533187492763,57623,234,657,1112,1865
20,30,18,12,24,4,,,,7355,723,728,0.9104863767470074,0.9104533187492763,57623,234,657,1112,1865
21,24,26,21,14,3,,,,7389,767,694,0.9061210074388011,0.9060630274331289,58189,20,91,1968,3271
22,25,26,21,1,3,,,,7383,759,700,0.9069110974078778,0.9068517170902374,58176,18,104,2034,3350
23,25,26,20,3,3,,,,7384,760,699,0.9068156084285711,0.9067562281109307,58183,18,97,2035,3350
24,25,26,21,3,3,,,,7384,760,699,0.9068156084285711,0.9067562281109307,58183,18,97,2035,3350
25,22,26,20,3,3,,,,7393,769,690,0.9059582717556204,0.9059017275128524,58190,21,90,1912,3190
26,27,13,13,25,4,,,,7354,722,729,0.9105835213356877,0.9105511546312066,57625,229,655,1085,1826
27,27,15,13,25,4,,,,7355,723,728,0.9104863767470074,0.9104539214151867,57628,235,652,1087,1831
28,27,14,13,25,4,,,,7354,722,729,0.9105835213356877,0.9105511546312066,57625,229,655,1085,1826
29,27,14,13,25,4,,,,7354,722,729,0.9105835213356877,0.9105511546312066,57625,229,655,1085,1826
30,27,14,13,25,4,,,,7354,722,729,0.9105835213356877,0.9105511546312066,57625,229,655,1085,1826
31,13,12,4,21,2,,,,7413,832,670,0.8994438081186543,0.8993952403364649,58233,49,47,1463,2740
32,15,12,5,21,2,,,,7411,817,672,0.9010224799698485,0.9009725473266268,58218,38,62,1535,2817
33,16,12,29,21,2,,,,7405,815,678,0.9011519654970148,0.9011015188152224,58191,25,89,1553,2846
34,16,13,18,21,2,,,,7406,815,677,0.9011661864340783,0.9011157397522859,58199,26,81,1554,2846
35,10,12,18,20,2,,,,7406,829,677,0.899664235491912,0.8996165362576523,58205,32,75,1410,2691
36,27,8,14,26,4,,,,7352,721,731,0.91066739335084,0.9106353634302501,57610,221,670,1075,1807
37,27,14,14,27,4,,,,7354,722,729,0.9105835213356877,0.9105511546312066,57625,229,655,1085,1826
38,27,8,14,27,4,,,,7352,721,731,0.91066739335084,0.9106353634302501,57610,221,670,1075,1807
39,27,8,14,26,4,,,,7352,721,731,0.91066739335084,0.9106353634302501,57610,221,670,1075,1807
40,27,8,14,26,4,,,,7352,721,731,0.91066739335084,0.9106353634302501,57610,221,670,1075,1807
41,21,1,17,10,5,,,,7349,735,734,0.9090819126222479,0.9090520452087482,57591,209,689,996,1685
42,22,1,17,27,5,,,,7349,737,734,0.9088615547481185,0.9088312087469841,57592,212,688,1025,1712
43,22,1,17,10,5,,,,7349,737,734,0.9088615547481185,0.9088312087469841,57592,212,688,1025,1712
44,21,1,24,27,5,,,,7350,734,733,0.9092056140663387,0.9091757289273711,57592,205,688,990,1686
45,22,1,17,27,5,,,,7349,737,734,0.9088615547481185,0.9088312087469841,57592,212,688,1025,1712
46,18,8,15,17,4,,,,7381,750,702,0.9078676119674688,0.9078426722340598,57716,308,564,769,1407
47,24,8,15,18,4,,,,7353,732,730,0.9094664661297026,0.9094366341671388,57626,239,654,987,1683
48,18,8,15,19,4,,,,7381,750,702,0.9078676119674688,0.9078426722340598,57716,308,564,769,1407
49,28,8,15,16,4,,,,7349,720,734,0.910738008843416,0.910705659864403,57608,218,672,1088,1825
50,18,8,15,18,4,,,,7381,750,702,0.9078676119674688,0.9078426722340598,57716,308,564,769,1407
51,1,4,10,7,3,,,,7416,843,667,0.8983123937069679,0.8982674950966446,58222,43,58,1280,2533
52,1,4,11,15,3,,,,7416,843,667,0.8983123937069679,0.8982674950966446,58222,43,58,1280,2533
53,28,4,10,14,3,,,,7386,754,697,0.9074981016997467,0.9074388986367858,58186,18,94,2025,3340
54,1,4,11,15,3,,,,7416,843,667,0.8983123937069679,0.8982674950966446,58222,43,58,1280,2533
55,26,5,10,7,3,,,,7385,757,698,0.9071567729049408,0.9070982079588262,58186,18,94,1990,3304
56,28,10,7,23,4,,,,7364,727,719,0.9101650755669375,0.9101333824302387,57690,257,590,1086,1788
57,28,10,7,23,4,,,,7364,727,719,0.9101650755669375,0.9101333824302387,57690,257,590,1086,1788
58,28,10,14,23,4,,,,7353,721,730,0.9106807130878926,0.9106485236380911,57611,222,669,1084,1816
59,28,10,14,23,4,,,,7353,721,730,0.9106807130878926,0.9106485236380911,57611,222,669,1084,1816
60,28,10,7,23,4,,,,7364,727,719,0.9101650755669375,0.9101333824302387,57690,257,590,1086,1788
61,24,6,19,30,4,,,,7351,731,732,0.9095498402627066,0.909519937398271,57621,235,659,987,1687
62,24,6,19,30,4,,,,7351,731,732,0.9095498402627066,0.909519937398271,57621,235,659,987,1687
63,24,7,19,30,4,,,,7351,733,732,0.9093293155104293,0.9092993949205257,57622,235,658,988,1688
64,24,6,18,30,4,,,,7351,731,732,0.9095498402627066,0.909519937398271,57621,235,659,987,1687
65,29,6,19,30,4,,,,7347,720,736,0.9107113638730088,0.9106787667374444,57603,213,677,1094,1839
66,29,9,16,29,4,,,,7350,721,733,0.9106407441731382,0.9106082356649136,57609,218,671,1093,1834
67,29,9,16,28,4,,,,7350,721,733,0.9106407441731382,0.9106082356649136,57609,218,671,1093,1834
68,29,9,14,28,4,,,,7353,722,730,0.910570193036423,0.9105378263319419,57611,221,669,1090,1826
69,29,9,23,28,4,,,,7348,722,735,0.9105035029850339,0.9104708881240016,57607,216,673,1096,1840
70,29,9,23,29,4,,,,7348,722,735,0.9105035029850339,0.9104708881240016,57607,216,673,1096,1840
71,26,11,12,26,5,,,,7354,723,729,0.9104730398954082,0.9104412581313696,57624,225,656,1065,1793
72,26,11,12,26,5,,,,7354,723,729,0.9104730398954082,0.9104412581313696,57624,225,656,1065,1793
