observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,253003,8728,13701,0.9662855880098902,0.966284613383242,2001852,22,87,1013,1592
2,19,23,11,11,5,4,3,5,253014,6436,13690,0.9746486720780687,0.9746478547875063,2001902,312,37,795,1335
3,2,24,12,30,2,4,5,1,253003,52299,13701,0.8307981701903694,0.8307972659670281,2001844,25,95,835,1477
4,12,26,22,29,4,1,1,3,253002,8262,13702,0.9679737141737779,0.9679726250652306,2001902,22,37,1125,1779
5,27,10,28,28,3,4,4,1,253001,4086,13703,0.9833708373163582,0.983369762900675,2001852,22,87,1125,1755
6,18,24,10,12,4,5,4,5,253006,6427,13698,0.9746804067919053,0.9746797694889274,2001760,315,179,651,1041
7,29,2,28,26,3,1,1,1,252993,4059,13711,0.9834708572029223,0.9834696744273668,2001895,16,44,1303,1932
8,3,26,25,29,1,2,2,3,253009,47720,13695,0.8432270116331194,0.8432260192525939,2001904,23,35,958,1621
9,10,15,29,6,4,1,1,1,253003,8280,13701,0.9679085870530868,0.967907523044849,2001902,22,37,1104,1738
10,19,17,26,25,4,5,5,4,253006,6426,13698,0.9746840865677696,0.9746834523258051,2001758,312,181,650,1036
11,23,3,2,4,1,2,2,3,252998,6381,13706,0.9748483289696004,0.9748472116997304,2001910,28,29,1206,1825
12,14,30,29,28,4,4,3,4,253015,8243,13689,0.968045229289154,0.9680444340378876,2001902,321,37,780,1299
13,25,25,18,1,4,5,5,1,252963,6345,13741,0.9749748627820864,0.9749739781492305,2001509,10,430,920,1445
14,25,6,19,28,5,1,1,2,253000,6388,13704,0.9748229058877455,0.9748218308598596,2001902,22,37,1107,1756
15,15,20,1,20,5,1,4,3,252997,7772,13707,0.9697544192386226,0.9697534164506516,2001781,28,158,1014,1638
16,8,8,14,20,1,2,4,3,253005,8703,13699,0.9663764182535045,0.9663754473000723,2001838,22,101,1035,1586
17,30,24,29,4,5,5,1,3,253002,4086,13702,0.9833709783943055,0.9833698813271237,2001894,22,45,1131,1792
18,26,30,2,28,3,5,1,4,253016,5318,13688,0.9787799988704124,0.9787791019935032,2001924,347,15,880,1465
19,28,6,1,1,1,1,1,1,252994,4081,13710,0.9833885793149683,0.9833874375569915,2001771,10,168,1263,1865
20,1,26,26,30,3,4,1,4,253020,52330,13684,0.8307256737768974,0.8307249948441381,2001908,334,31,613,1109
21,4,21,25,11,4,1,1,3,253008,29122,13696,0.8977598158947999,0.8977588290240983,2001902,22,37,971,1612
22,24,4,4,28,2,4,5,4,253009,6392,13695,0.9748097320000465,0.9748089281779428,2001840,275,99,847,1313
23,22,30,3,1,4,3,5,5,252994,6397,13710,0.9747887451689982,0.9747878072745101,2001763,40,176,968,1532
24,21,1,28,3,1,2,4,2,252983,6245,13721,0.9753466684391153,0.9753456246335656,2001736,15,203,1165,1705
25,9,28,7,30,5,2,2,2,253003,8538,13701,0.9669732483334433,0.9669721849374082,2001902,22,37,1085,1737
26,28,28,30,30,2,3,2,4,253003,4090,13701,0.9833561368196742,0.9833550317938575,2001902,42,37,1180,1805
27,16,6,1,1,1,1,1,5,252998,7772,13706,0.9697546095139122,0.9697535461178771,2001860,74,79,1149,1737
28,17,3,18,26,5,3,5,1,252985,7741,13719,0.9698650803180241,0.9698641595652108,2001728,22,211,946,1504
29,30,30,7,5,5,2,2,1,253001,4088,13703,0.983363345878616,0.983362223098922,2001900,20,39,1157,1834
30,28,1,28,5,4,5,2,5,253003,3980,13701,0.9837683261617604,0.983767407245555,2001901,252,38,955,1501
31,13,27,9,26,2,1,4,5,253002,8260,13702,0.9679809729348539,0.9679799523930055,2001860,42,79,1093,1667
32,30,2,29,5,5,1,2,1,252992,4058,13712,0.9834744631420211,0.9834733140376124,2001894,14,45,1247,1877
33,5,1,1,8,2,3,1,1,252998,20701,13706,0.9248385449433048,0.924837491954715,2001842,38,97,1329,1720
34,5,2,28,30,1,5,4,5,253011,20651,13693,0.9250086756923114,0.9250080414503469,2001821,283,118,668,1036
35,5,29,26,5,4,4,2,2,253007,20698,13697,0.9248515654306338,0.9248506165164977,2001891,22,48,928,1550
36,30,28,3,1,1,5,5,4,253006,4072,13698,0.9834239849944719,0.9834231315839521,2001809,246,130,893,1394
37,19,1,30,27,2,3,3,5,252997,6259,13707,0.9752974653992739,0.9752963573124439,2001899,64,40,1206,1810
38,30,19,13,29,4,1,5,1,252989,4078,13715,0.983399112507849,0.983398122576134,2001739,22,200,996,1617
39,23,16,26,3,5,1,1,5,253003,6406,13701,0.9747571708336079,0.9747561153962074,2001902,44,37,1106,1724
40,18,7,2,14,2,3,1,3,253003,6415,13701,0.9747240484918308,0.9747228895921793,2001924,39,15,1178,1893
41,27,30,26,2,1,5,2,3,252997,4086,13707,0.9833702729938211,0.9833691655191938,2001879,20,60,1161,1809
42,11,5,2,25,4,1,5,1,252991,8227,13713,0.9680986004852451,0.9680976815690397,2001747,24,192,969,1501
43,21,18,28,29,4,1,4,5,252994,6396,13710,0.974792425937522,0.9747914978382767,2001754,44,185,961,1516
44,30,1,1,2,3,5,1,3,252977,4059,13727,0.9834686056055187,0.9834674479302726,2001813,32,126,1319,1891
45,26,30,4,30,5,4,2,1,253003,5291,13701,0.9788781492999751,0.9788770534571986,2001907,25,32,1106,1790
46,28,30,21,3,5,2,4,3,252988,4080,13716,0.9833914792744108,0.9833904973013307,2001743,20,196,992,1604
47,8,3,30,29,5,5,1,1,253001,8676,13703,0.9664732887321044,0.9664722785977014,2001902,22,37,1076,1650
48,20,14,1,21,1,1,5,1,253001,6415,13703,0.9747237035224294,0.9747226248213275,2001866,26,73,1099,1762
49,30,1,23,15,3,1,1,5,252987,3962,13717,0.9838335781377058,0.9838323488347475,2001894,46,45,1396,2008
50,18,30,27,29,2,4,3,5,253014,6438,13690,0.9746413133216003,0.9746404770527551,2001902,319,37,817,1366
51,27,3,3,11,4,1,4,5,252982,4050,13722,0.9835030314264405,0.9835021425081658,2001725,50,214,954,1452
52,30,29,30,30,1,5,5,4,253012,4109,13692,0.9832862479444269,0.9832854086145684,2001861,301,78,875,1371
53,20,16,24,3,1,5,1,1,253001,6413,13703,0.9747310639012667,0.9747299784659356,2001888,20,51,1104,1773
54,22,20,4,28,1,3,1,1,253003,6410,13701,0.9747424495149115,0.9747413089813401,2001909,26,30,1172,1863
55,26,1,26,28,5,2,1,3,252988,5133,13716,0.9794625987436112,0.9794614165802584,2001895,15,44,1293,1931
56,29,30,6,3,2,3,3,4,253003,4089,13701,0.9833598824397484,0.9833587627210677,2001902,42,37,1194,1829
57,18,2,30,28,4,1,5,1,252979,6340,13725,0.9749960206839645,0.9749951127874071,2001657,17,282,954,1483
58,26,11,1,28,2,5,2,5,253016,5314,13688,0.9787948416363674,0.9787939355764181,2001926,345,13,895,1480
59,30,2,25,3,3,5,1,5,253008,4077,13696,0.9834055368567576,0.9834046014110801,2001902,259,37,969,1528
60,27,24,29,18,5,1,2,5,253003,4090,13701,0.9833561368196742,0.9833550691382204,2001902,42,37,1131,1744
61,27,3,26,3,1,1,3,1,252996,4064,13708,0.983452546770322,0.9834514178686014,2001900,20,39,1210,1844
62,24,30,6,29,5,5,4,5,253006,6418,13698,0.9747135257749753,0.9747128664327014,2001764,313,175,682,1077
63,30,9,1,16,1,3,5,4,253003,4085,13701,0.9833748652053915,0.9833738171144231,2001862,54,77,1132,1712
64,22,25,30,17,2,5,1,1,253002,6407,13702,0.9747533180841509,0.9747521904068356,2001902,22,37,1156,1842
65,29,29,10,1,2,1,3,4,253002,4089,13702,0.9833597413216857,0.9833586173175863,2001897,36,42,1197,1836
66,29,2,2,23,1,3,4,4,252997,4060,13707,0.9834676735007208,0.9834666425514271,2001850,61,89,1138,1684
67,21,30,22,2,5,2,1,1,253001,6405,13703,0.9747605065282496,0.974759392319393,2001880,12,59,1135,1820
68,23,17,30,30,4,2,2,5,253003,6407,13701,0.9747534904622465,0.9747524289028193,2001902,44,37,1110,1734
69,22,1,29,6,2,4,5,3,252993,6248,13711,0.9753373160580509,0.9753362685792851,2001805,20,134,1129,1711
70,30,19,2,2,3,5,3,1,252992,4086,13712,0.9833695675664665,0.9833684521332046,2001801,12,138,1187,1822
71,29,7,6,2,5,5,1,5,253011,4104,13693,0.9833048316876843,0.9833039592988818,2001898,266,41,880,1425
72,11,30,27,23,1,1,3,4,253004,8265,13700,0.967963219509545,0.9679621542769019,2001902,43,37,1137,1740
73,30,1,28,30,5,1,4,1,252960,3947,13744,0.983886065246862,0.9838851065374832,2001593,14,346,1059,1566
74,27,29,2,16,2,2,5,1,253001,4090,13703,0.9833558545550145,0.9833547421827659,2001864,23,75,1161,1817
75,11,2,25,1,1,2,2,4,252995,8202,13709,0.9681901535488087,0.9681890950503949,2001898,37,41,1179,1729
76,28,2,4,29,1,2,2,5,252999,4066,13705,0.9834454763622699,0.983444388478128,2001904,52,35,1201,1777
77,18,25,30,2,1,3,3,1,253001,6415,13703,0.9747237035224294,0.9747225813549382,2001880,12,59,1144,1833
78,30,30,1,12,2,5,1,3,253004,4095,13700,0.9833375503466696,0.98333632532913,2001927,43,12,1265,2001
79,20,4,20,12,5,4,5,4,253002,6393,13702,0.9748048459978491,0.9748042050216552,2001737,272,202,669,1047
80,29,25,21,29,5,4,4,2,252989,4079,13715,0.9833953663816226,0.9833943844085424,2001741,22,198,985,1604
81,28,2,30,21,5,2,4,5,252980,4049,13724,0.9835064972931994,0.9835056126603434,2001701,36,238,947,1445
82,21,30,1,3,2,4,3,4,253014,6427,13690,0.9746817878573388,0.9746809203661576,2001899,304,40,860,1417
83,28,15,1,28,5,2,1,2,253002,4097,13702,0.9833297770501972,0.9833285875404124,2001927,43,12,1265,1943
84,26,30,22,23,2,5,5,1,253001,5289,13703,0.9788852576129501,0.9788841715654162,2001861,22,78,1108,1774
85,29,8,13,1,3,5,1,1,252972,4055,13732,0.9834828898189858,0.9834818019348439,2001684,10,255,1167,1777
86,30,1,8,27,4,4,1,4,253005,3980,13699,0.9837686053990798,0.9837676797486451,2001899,254,40,972,1512
87,26,29,30,1,2,5,2,2,252992,5254,13712,0.9790137699351694,0.979012703478121,2001740,10,199,1114,1742
88,21,9,1,4,2,1,5,2,253000,6402,13704,0.9747713756574699,0.9747703030783947,2001857,24,82,1111,1752
89,25,22,24,30,1,2,5,5,253002,6390,13702,0.9748158884024181,0.9748148439846657,2001858,44,81,1102,1706
90,19,1,30,13,5,3,4,4,252987,6243,13717,0.975354719656312,0.975353827677024,2001697,64,242,964,1457
91,6,30,19,10,1,4,2,3,253003,20554,13701,0.9253275382914647,0.9253265250960484,2001902,22,37,1013,1655
92,30,6,1,29,2,2,5,1,253000,4084,13704,0.9833781878166827,0.9833770907495009,2001857,26,82,1154,1792
93,19,1,27,2,4,1,4,1,252965,6236,13739,0.9753767730889552,0.9753758351944671,2001592,12,347,1049,1532
94,29,25,30,26,1,1,1,5,253003,4090,13701,0.9833561368196742,0.9833550201620068,2001902,42,37,1194,1824
95,30,21,9,1,2,5,3,5,253009,4104,13695,0.9833045490558631,0.983303633200671,2001872,260,67,931,1496
96,28,1,30,4,1,5,4,2,252991,3964,13713,0.9838266368910469,0.9838255820658491,2001812,20,127,1146,1723
97,23,26,1,30,3,2,4,1,253002,6408,13702,0.9747496377273365,0.9747485149476425,2001877,28,62,1153,1834
98,26,30,19,5,3,1,1,5,253003,5290,13701,0.9788818608841977,0.9788807638170158,2001902,42,37,1147,1792
99,21,5,3,11,5,4,1,5,253012,6425,13692,0.9746888020194286,0.9746879571797462,2001909,288,30,847,1380
100,30,10,21,28,4,4,2,4,253012,4107,13692,0.9832937378818682,0.9832928679418763,2001902,282,37,875,1421
101,29,3,30,2,4,1,2,1,252997,4060,13707,0.9834676735007208,0.9834665635772829,2001882,12,57,1176,1813
102,25,29,4,26,2,5,4,4,253013,6412,13691,0.9747368133938753,0.9747360083473663,2001863,308,76,821,1315
103,20,11,28,30,5,5,5,5,253004,6425,13700,0.9746874211449893,0.9746867813932008,2001752,299,187,654,1045
104,20,1,2,9,2,1,5,5,252989,6387,13715,0.9748246934678819,0.974823712719207,2001775,113,164,1165,1602
105,23,28,27,4,2,5,5,5,253012,6423,13692,0.9746961615511929,0.9746953528314678,2001855,291,84,828,1321
106,27,2,1,9,5,5,2,1,253000,4093,13704,0.9833444766084893,0.9833433189332432,2001924,43,15,1246,1891
107,30,29,28,29,2,3,1,3,253002,4089,13702,0.9833597413216857,0.9833585756878049,2001902,22,37,1214,1904
108,22,14,30,1,5,1,5,3,252992,6394,13712,0.9747994431214666,0.974798478290061,2001744,18,195,972,1576
109,19,4,19,28,3,2,3,2,252999,6389,13705,0.9748190528327814,0.9748179631120315,2001901,22,38,1138,1780
110,28,27,5,2,1,4,5,5,253011,4106,13693,0.9832973415516318,0.9832965144658268,2001845,272,94,870,1351
111,28,3,26,6,2,1,5,1,252993,4059,13711,0.9834708572029223,0.9834697980923058,2001828,22,111,1131,1730
112,30,23,4,30,1,2,1,4,253004,4093,13700,0.9833450413025593,0.9833439258692973,2001909,51,30,1194,1822
113,19,13,4,2,4,2,5,5,252994,6402,13710,0.9747703417433221,0.9747694418053995,2001756,46,183,925,1470
114,30,30,14,8,5,5,4,3,252989,4079,13715,0.9833953663816226,0.9833943886939611,2001743,22,196,981,1597
115,19,2,13,23,1,4,2,5,253007,6371,13697,0.9748866889340553,0.9748858079744154,2001901,266,38,894,1439
116,23,30,23,28,1,5,5,4,253013,6427,13691,0.9746816152287218,0.9746808181408474,2001863,315,76,818,1302
117,3,1,5,2,3,1,5,2,252921,20579,13783,0.925216656116634,0.9252157690349674,2001229,17,710,1177,1449
118,30,10,17,9,5,5,3,1,253002,4086,13702,0.9833709783943055,0.9833698758172996,2001902,22,37,1136,1801
119,1,25,4,25,5,1,1,5,253012,52304,13692,0.8307902943077868,0.8307893643719334,2001909,66,30,901,1519
120,7,5,24,24,4,5,1,2,253005,8724,13699,0.9663004600339535,0.9662994670412253,2001902,22,37,1045,1622
121,16,27,30,26,5,3,3,3,253002,7780,13702,0.969726229668298,0.9697251258668868,2001902,22,37,1121,1803
122,29,1,1,6,3,1,5,3,252986,4084,13718,0.9833762129819996,0.9833750767338469,2001802,23,137,1351,1856
123,9,15,20,3,1,2,1,1,253002,8539,13702,0.9669694263501137,0.9669683500978226,2001900,20,39,1120,1758
124,7,17,2,30,2,2,4,5,253006,8730,13698,0.9662789624747399,0.9662780209070357,2001866,56,73,1023,1538
125,29,2,24,30,5,1,1,2,252993,4058,13711,0.9834746038450801,0.9834734565772794,2001895,16,44,1246,1874
126,15,4,30,3,1,2,5,2,252993,7748,13711,0.9698410942318313,0.969840070016767,2001821,20,118,1090,1673
127,29,26,2,23,4,4,1,5,253017,4119,13687,0.9832495075533361,0.9832486302669121,2001924,363,15,882,1433
