observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,253003,8261,13701,0.967977540126593,0.9679764706085312,2001902,42,37,1136,1747
2,19,22,1,30,5,2,1,1,253005,6423,13699,0.974694953475994,0.9746937768224652,2001927,43,12,1213,1922
3,10,16,13,9,4,1,2,2,253003,8280,13701,0.9679085870530868,0.967907523044849,2001902,22,37,1104,1738
4,14,24,6,16,3,1,4,1,253001,8220,13703,0.9681259749621418,0.9681249097294987,2001859,22,80,1097,1740
5,2,29,29,25,2,1,4,3,253003,53539,13701,0.8274961206264405,0.8274951974248165,2001843,25,96,862,1508
6,4,15,2,28,2,4,2,3,253008,29122,13696,0.8977598158947999,0.8977588431047597,2001911,28,28,954,1589
7,17,6,30,24,5,5,3,5,253012,7794,13692,0.9696771427200477,0.9696763156342426,2001902,286,37,817,1351
8,3,6,2,10,2,2,5,2,253000,33842,13704,0.8832588719338873,0.8832579940352607,2001830,25,109,908,1434
9,9,17,5,25,1,5,4,1,253002,8537,13702,0.9669766700567912,0.9669756489027402,2001859,23,80,1050,1668
10,1,25,22,22,4,1,2,1,253008,52302,13696,0.8307932005043183,0.83079220751159,2001906,25,33,945,1622
11,26,19,10,2,2,2,4,4,253001,5288,13703,0.9788889692804189,0.9788879205772478,2001854,40,85,1104,1713
12,27,15,4,22,4,3,4,3,252989,4077,13715,0.9834028586626166,0.9834018870969817,2001746,23,193,987,1587
13,16,13,1,4,1,4,2,3,253003,7780,13701,0.9697264200401822,0.9697252758333949,2001916,38,23,1165,1869
14,28,8,13,23,2,1,2,1,253000,4087,13704,0.983366950490467,0.9833658264863676,2001902,22,37,1188,1836
15,28,25,20,27,5,1,5,3,252989,4079,13715,0.9833953663816226,0.9833943893061637,2001740,22,199,987,1596
16,25,27,10,4,2,3,5,5,253002,6391,13702,0.9748122075730983,0.9748111600943326,2001860,42,79,1106,1711
17,1,16,13,7,1,2,5,2,253004,52303,13700,0.8307880862537481,0.8307871238711533,2001843,28,96,926,1572
18,16,22,11,30,5,2,3,2,253002,7781,13702,0.96972258717488,0.9697214864344821,2001902,22,37,1121,1798
19,9,2,19,16,1,2,5,2,252990,8468,13714,0.9672242533460017,0.9672232738217321,2001799,20,140,1058,1600
20,5,15,30,8,4,4,2,4,253020,20725,13684,0.9247665733761816,0.924765889545801,2001899,313,40,652,1117
21,12,19,20,17,1,5,2,1,253002,8261,13702,0.9679773435407076,0.9679762483101337,2001902,22,37,1129,1789
22,2,18,21,1,3,2,4,1,253001,52295,13703,0.8308076442933134,0.8308067192550814,2001787,10,152,877,1511
23,21,12,29,5,2,1,5,5,253002,6403,13702,0.9747680397893315,0.9747670186352805,2001853,44,86,1088,1668
24,8,20,25,17,3,2,1,5,253004,8712,13700,0.9663436609010857,0.9663426256663733,2001902,45,37,1109,1691
25,28,19,11,11,4,5,5,4,253000,4100,13704,0.9833182583777939,0.98331759903552,2001740,299,199,693,1077
26,20,3,5,27,4,1,1,4,252999,6391,13705,0.974811691066852,0.9748106668517876,2001906,58,33,1091,1673
27,1,5,17,21,4,2,4,2,252998,33797,13706,0.8833939411546045,0.8833930920295033,2001761,25,178,843,1387
28,10,23,20,26,4,3,1,2,253003,8281,13701,0.9679049582160767,0.9679038831881909,2001902,22,37,1109,1756
29,8,8,30,12,5,4,4,3,252996,8691,13708,0.9664180093659227,0.9664171290184854,2001754,22,185,899,1438
30,18,15,6,22,2,1,4,1,253000,6412,13704,0.9747345716854479,0.974733513187034,2001854,22,85,1083,1729
31,29,29,28,12,1,5,3,5,253013,4110,13691,0.9832826444140641,0.9832817365175067,2001902,301,37,917,1483
32,29,26,9,12,5,2,1,3,253002,4088,13702,0.983363486984024,0.9833623611433167,2001902,22,37,1162,1839
33,29,21,18,3,4,5,1,3,253001,4084,13703,0.9833783288682435,0.983377242208507,2001889,20,50,1126,1775
34,27,23,21,22,2,2,5,5,253002,4089,13702,0.9833597413216857,0.9833586901697039,2001856,42,83,1134,1717
35,27,28,16,16,4,4,4,4,253000,4101,13704,0.9833145130303943,0.9833138494027017,2001745,303,194,694,1084
36,27,11,12,3,3,1,3,3,253001,4088,13703,0.983363345878616,0.9833622108548686,2001900,20,39,1193,1854
37,9,18,1,2,5,2,1,3,253002,8537,13702,0.9669766700567912,0.9669755693163933,2001886,31,53,1169,1798
38,24,7,19,3,1,3,3,4,253003,6404,13701,0.9747645316597068,0.9747634560196182,2001902,44,37,1147,1757
39,22,30,16,10,4,2,3,1,253002,6406,13702,0.9747569984687575,0.9747558873209142,2001902,22,37,1128,1815
40,1,29,26,21,3,1,1,2,253008,53542,13696,0.8274912553620066,0.827490259308265,2001908,26,31,942,1627
41,17,22,20,9,5,4,3,4,253014,7799,13690,0.9696593142964101,0.9696584957814424,2001902,315,37,802,1337
42,13,8,11,23,1,1,1,1,253000,8258,13704,0.9679878387058316,0.9679867618413378,2001902,22,37,1137,1759
43,26,22,15,3,3,3,1,3,253001,5291,13703,0.9788778343624536,0.9788766938288822,2001900,20,39,1171,1863
44,12,19,20,2,2,4,3,5,253014,8284,13690,0.9678962374714104,0.9678954097734026,2001891,302,48,828,1352
45,20,5,3,20,1,3,5,3,252998,6410,13706,0.9747415874127426,0.9747405515658276,2001842,22,97,1076,1692
46,12,20,14,17,5,2,5,5,252997,8252,13707,0.9680090266955567,0.9680081071671486,2001765,44,174,965,1502
47,6,3,4,1,1,4,1,2,252990,15983,13714,0.9407363959120302,0.9407354310806246,2001758,10,181,1059,1576
48,26,1,25,9,1,4,4,5,253002,5145,13702,0.9794201831896127,0.9794193438597542,2001805,242,134,902,1371
49,23,25,9,6,4,5,5,3,252994,6395,13710,0.9747961067338431,0.9747951492488696,2001751,22,188,956,1564
50,12,24,11,28,5,3,4,4,252997,8252,13707,0.9680090266955567,0.9680081083915539,2001765,42,174,963,1500
51,4,28,16,25,2,5,2,1,253008,29125,13696,0.8977504504400293,0.8977494813232051,2001904,23,35,957,1583
52,28,3,10,29,5,3,4,3,252981,4050,13723,0.9835028908215027,0.9835019590490413,2001714,22,225,967,1522
53,9,10,21,23,4,4,1,3,253003,8536,13701,0.966980492068752,0.966979467241485,2001902,22,37,1052,1674
54,2,17,14,27,2,1,1,4,253011,52302,13693,0.8307950310240841,0.8307940992516227,2001906,63,33,918,1522
55,19,4,3,22,1,5,4,1,252998,6386,13706,0.9748299235850599,0.9748289054920223,2001843,22,96,1057,1663
56,3,30,12,12,5,5,5,4,253015,47738,13689,0.843180913701984,0.8431804000639451,2001791,327,148,501,839
57,12,3,24,17,3,5,1,3,253000,8235,13704,0.968071324127957,0.968070258895314,2001902,22,37,1135,1740
58,1,15,2,4,1,4,4,3,253003,52302,13701,0.8307901495594993,0.8307892220724565,2001851,28,88,882,1515
59,29,12,9,27,2,5,1,5,253012,4109,13692,0.9832862479444269,0.9832853369868562,2001902,290,37,924,1488
60,2,27,16,30,1,3,5,3,253004,53540,13700,0.8274940866179641,0.8274931426014493,2001844,27,95,881,1542
61,19,21,14,19,3,5,1,2,253002,6416,13702,0.9747201958732907,0.9747190865620554,2001902,22,37,1120,1812
62,29,27,14,19,2,1,3,2,253002,4089,13702,0.9833597413216857,0.9833585744633996,2001902,22,37,1218,1906
63,18,3,30,30,4,3,2,5,252998,6387,13706,0.974826242591551,0.9748252122544601,2001901,41,38,1092,1683
64,21,5,28,25,5,4,4,3,252991,6391,13713,0.9748103136596513,0.9748093812749873,2001740,22,199,944,1523
65,28,26,2,1,2,5,5,1,252971,4053,13733,0.9834902432803976,0.9834892257995625,2001626,10,313,1112,1662
66,18,12,30,26,5,3,3,2,253002,6414,13702,0.9747275561700613,0.9747264768567568,2001902,22,37,1098,1763
