observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,253003,8261,13701,0.967977540126593,0.9679764706085312,2001902,42,37,1136,1747
2,19,22,1,30,5,2,1,1,253005,6423,13699,0.974694953475994,0.9746937768224652,2001927,43,12,1213,1922
3,10,16,13,9,4,1,2,2,253003,8280,13701,0.9679085870530868,0.967907523044849,2001902,22,37,1104,1738
4,14,24,6,16,3,1,4,1,253001,8220,13703,0.9681259749621418,0.9681249097294987,2001859,22,80,1097,1740
5,2,29,29,25,2,1,4,3,253003,53539,13701,0.8274961206264405,0.8274951974248165,2001843,25,96,862,1508
6,4,15,2,28,2,4,2,3,253008,29122,13696,0.8977598158947999,0.8977588431047597,2001911,28,28,954,1589
7,17,6,30,24,5,5,3,5,253012,7794,13692,0.9696771427200477,0.9696763156342426,2001902,286,37,817,1351
8,3,6,2,10,2,2,5,2,253000,33842,13704,0.8832588719338873,0.8832579940352607,2001830,25,109,908,1434
9,9,17,5,25,1,5,4,1,253002,8537,13702,0.9669766700567912,0.9669756489027402,2001859,23,80,1050,1668
10,1,25,22,22,4,1,2,1,253008,52302,13696,0.8307932005043183,0.83079220751159,2001906,25,33,945,1622
11,27,1,12,1,5,3,1,4,252997,3969,13707,0.9838087272723879,0.9838076369394353,2001891,61,48,1193,1781
12,27,1,13,1,5,3,1,4,252997,3969,13707,0.9838087272723879,0.9838076369394353,2001891,61,48,1193,1781
13,26,1,12,1,5,3,1,4,252996,5137,13708,0.9794489772958589,0.979447889411717,2001891,63,48,1176,1777
14,26,12,11,1,5,3,1,4,253002,5289,13702,0.9788854150553553,0.9788843688009949,2001897,39,42,1097,1709
15,26,21,12,4,5,3,1,4,253003,5290,13701,0.9788818608841977,0.9788808005491759,2001902,44,37,1104,1732
16,30,1,18,7,4,4,2,4,253003,3979,13701,0.9837720749225707,0.9837711247840292,2001899,241,40,988,1552
17,22,1,18,8,4,4,2,4,253003,6265,13701,0.9752763815686205,0.9752754485717537,2001899,248,40,961,1524
18,30,1,19,8,4,4,2,4,253003,3979,13701,0.9837720749225707,0.9837711247840292,2001899,241,40,988,1552
19,30,1,17,8,4,4,2,4,253003,3979,13701,0.9837720749225707,0.9837711247840292,2001899,241,40,988,1552
20,30,1,18,7,4,4,2,4,253003,3979,13701,0.9837720749225707,0.9837711247840292,2001899,241,40,988,1552
21,23,6,8,13,3,2,3,5,253001,6404,13703,0.9747641869816867,0.9747631217490436,2001902,44,37,1139,1740
22,22,6,8,12,3,2,3,5,253001,6404,13703,0.9747641869816867,0.9747631217490436,2001902,44,37,1139,1740
23,21,6,8,13,3,2,3,5,253001,6404,13703,0.9747641869816867,0.9747631327686915,2001902,44,37,1129,1722
24,22,7,8,13,3,2,3,5,253001,6404,13703,0.9747641869816867,0.9747631217490436,2001902,44,37,1139,1740
25,22,6,8,14,3,2,3,5,253001,6404,13703,0.9747641869816867,0.9747631217490436,2001902,44,37,1139,1740
26,27,9,15,4,5,3,1,3,253002,4086,13702,0.9833709783943055,0.9833698837759343,2001902,22,37,1140,1788
27,27,9,15,4,5,3,1,3,253002,4086,13702,0.9833709783943055,0.9833698837759343,2001902,22,37,1140,1788
28,27,10,15,4,5,3,1,3,253002,4089,13702,0.9833597413216857,0.9833586362958691,2001902,22,37,1146,1805
29,28,9,15,4,5,3,1,3,253002,4086,13702,0.9833709783943055,0.9833698850003396,2001902,22,37,1139,1786
30,27,11,15,4,5,3,1,3,253002,4089,13702,0.9833597413216857,0.9833586362958691,2001902,22,37,1146,1805
31,24,3,22,1,4,5,2,4,253006,6391,13698,0.9748128962298908,0.9748120207800749,2001879,247,60,882,1430
32,24,3,21,1,4,5,2,4,253006,6391,13698,0.9748128962298908,0.9748120207800749,2001879,247,60,882,1430
33,24,3,21,1,4,5,2,4,253006,6391,13698,0.9748128962298908,0.9748120207800749,2001879,247,60,882,1430
34,24,4,22,1,4,5,2,4,253006,6390,13698,0.9748165770062175,0.9748157095150363,2001868,247,71,874,1417
35,24,3,21,1,4,5,2,4,253006,6391,13698,0.9748128962298908,0.9748120207800749,2001879,247,60,882,1430
36,19,4,19,6,5,4,1,5,253011,6403,13693,0.9747695906685088,0.9747687507264476,2001902,273,37,834,1372
37,30,4,19,6,5,4,1,5,253010,4076,13694,0.9834095646443018,0.9834086787870405,2001902,261,37,906,1447
38,30,4,19,6,5,4,1,2,253000,4062,13704,0.9834606027237427,0.9834595105541821,2001902,22,37,1146,1784
39,30,4,25,6,5,4,1,2,253000,4062,13704,0.9834606027237427,0.9834595105541821,2001902,22,37,1146,1784
40,30,4,27,17,5,4,1,2,253000,4062,13704,0.9834606027237427,0.9834595105541821,2001902,22,37,1146,1784
41,13,27,10,10,1,3,5,4,253002,8260,13702,0.9679809729348539,0.9679799523930055,2001860,42,79,1093,1667
42,13,15,10,10,1,3,5,4,253001,8257,13703,0.96799166474472,0.9679906588957357,2001854,44,85,1080,1643
43,13,13,13,10,1,3,5,4,253001,8257,13703,0.96799166474472,0.9679906637933571,2001852,44,87,1077,1635
44,13,13,10,10,1,3,5,4,253001,8257,13703,0.96799166474472,0.9679906637933571,2001852,44,87,1077,1635
45,13,15,10,10,1,3,5,4,253001,8257,13703,0.96799166474472,0.9679906588957357,2001854,44,85,1080,1643
46,28,1,17,8,4,4,2,3,252996,3966,13708,0.9838198353969506,0.9838187150660673,2001899,20,40,1203,1830
47,28,1,13,20,4,4,2,3,252996,3967,13708,0.9838160861684082,0.9838149688985383,2001899,20,40,1202,1825
48,28,1,17,20,4,4,2,3,252996,3966,13708,0.9838198353969506,0.9838187150660673,2001899,20,40,1203,1830
49,28,1,17,20,4,4,2,3,252996,3966,13708,0.9838198353969506,0.9838187150660673,2001899,20,40,1203,1830
50,28,1,17,21,4,4,2,3,252996,3966,13708,0.9838198353969506,0.9838187150660673,2001899,20,40,1203,1830
51,9,2,16,20,4,4,2,3,252998,8470,13706,0.9672185998601079,0.9672175750328409,2001901,22,38,1094,1674
52,9,2,17,21,4,4,2,3,252998,8470,13706,0.9672185998601079,0.9672175750328409,2001901,22,38,1094,1674
53,8,20,16,20,4,4,2,3,253004,8711,13700,0.9663472780260915,0.9663462391181632,2001902,22,37,1071,1697
54,28,20,17,20,4,4,2,3,253002,4089,13702,0.9833597413216857,0.9833586399690851,2001902,22,37,1134,1799
55,6,2,17,20,4,4,2,3,252999,8651,13705,0.9665633471311752,0.9665623388333803,2001899,22,40,1074,1647
56,28,2,13,24,3,4,4,2,252993,4059,13711,0.9834708572029223,0.9834698048265351,2001826,22,113,1120,1719
57,28,2,14,24,3,4,3,2,252997,4062,13707,0.9834601804690268,0.9834590619747515,2001901,22,38,1200,1827
58,28,2,13,24,3,4,4,2,252993,4059,13711,0.9834708572029223,0.9834698048265351,2001826,22,113,1120,1719
59,28,2,13,26,3,4,4,2,252993,4059,13711,0.9834708572029223,0.9834698048265351,2001826,22,113,1120,1719
60,28,2,13,24,3,4,4,2,252993,4059,13711,0.9834708572029223,0.9834698048265351,2001826,22,113,1120,1719
61,16,7,24,18,2,5,3,3,253001,7774,13703,0.9697478949079545,0.9697468180434607,2001902,22,37,1115,1759
62,25,5,5,18,4,5,3,3,253001,6387,13703,0.9748267589427094,0.9748256918734582,2001902,22,37,1097,1743
63,26,7,11,18,2,5,3,3,253001,5286,13703,0.9788963926997987,0.9788952864495768,2001902,22,37,1140,1807
64,16,1,24,18,4,5,3,3,252996,7615,13708,0.9703264866576465,0.9703253889782619,2001901,22,38,1181,1793
65,25,1,24,18,2,5,3,3,252996,6237,13708,0.9753783621881547,0.975377224103394,2001901,22,38,1214,1859
66,29,5,14,16,4,3,2,3,253000,4085,13704,0.9833744420127415,0.9833733418845463,2001902,22,37,1154,1797
