observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,253005,8730,13699,0.9662787598786684,0.9662777130121053,2001902,22,37,1095,1710
2,8,29,21,7,2,,,,253005,8710,13699,0.9663510975201629,0.966350026165493,2001902,22,37,1117,1750
3,19,23,11,11,5,,,,253006,6426,13698,0.9746840865677696,0.9746834523258051,2001758,312,181,650,1036
4,4,8,24,3,5,,,,253013,29129,13691,0.8977400962356322,0.89773958871962,2001766,288,173,518,829
5,2,24,12,30,2,,,,253008,52301,13696,0.8307958739975352,0.8307948926366576,2001906,25,33,939,1603
6,19,14,20,6,5,,,,253005,6426,13699,0.9746839139419653,0.9746832784755954,2001754,302,185,651,1038
7,4,30,2,29,3,,,,253009,29126,13695,0.8977477551959473,0.8977467573055977,2001909,26,30,988,1630
8,30,1,4,25,5,,,,252987,4062,13717,0.983458772883599,0.9834580896654209,2001715,269,224,776,1116
9,1,1,25,30,4,,,,253000,6783,13704,0.9733711057749685,0.9733704672475854,2001722,273,217,701,1043
10,26,25,29,30,1,,,,253002,5291,13702,0.9788779918318113,0.9788768525226453,2001902,22,37,1167,1861
11,24,14,29,16,1,,,,253002,6407,13702,0.9747533180841509,0.9747521842848089,2001902,22,37,1174,1852
12,3,29,4,1,4,,,,253008,47698,13696,0.8432870275625483,0.843286494334024,2001732,263,207,523,871
13,13,1,1,30,5,,,,253000,8262,13704,0.9679733209718422,0.9679726812200536,2001755,306,184,781,1045
14,30,27,9,28,4,,,,253000,4100,13704,0.9833182583777939,0.9833175812816425,2001741,298,198,708,1106
15,1,1,21,5,1,,,,252986,6773,13718,0.9734053257067486,0.9734041257895184,2001893,17,46,1400,1960
16,24,28,25,5,5,,,,253005,6415,13699,0.9747243934560225,0.9747237316649379,2001754,295,185,684,1081
17,1,5,2,29,3,,,,253004,33833,13700,0.8832879465499841,0.8832869713111332,2001911,28,28,1020,1593
18,30,3,30,29,1,,,,252997,4062,13707,0.9834601804690268,0.9834590393232528,2001901,22,38,1222,1864
19,28,1,2,1,5,,,,252269,3967,14435,0.9837144255602831,0.9837137558105638,1996288,253,5651,739,1094
20,29,30,1,30,5,,,,253001,4103,13703,0.9833071637335988,0.9833064768422048,2001765,312,174,715,1122
21,16,8,13,14,5,,,,253004,7787,13700,0.9697011137128672,0.969700482531916,2001748,294,191,658,1031
22,28,28,28,29,4,,,,253000,4101,13704,0.9833145130303943,0.9833138494027017,2001745,303,194,694,1084
23,10,25,25,1,3,,,,253002,8280,13702,0.9679083902226876,0.967907283360263,2001897,18,42,1146,1808
24,10,25,3,30,5,,,,253010,8295,13694,0.9678555364771864,0.9678549206013018,2001772,329,167,644,1006
25,28,5,30,3,4,,,,252997,4094,13707,0.9833403074883302,0.9833396505948669,2001726,270,213,703,1073
26,24,3,19,1,4,,,,252997,6380,13707,0.9748518381030099,0.9748511695776959,2001711,247,228,710,1092
27,4,27,1,26,1,,,,253010,29131,13694,0.8977325732689366,0.8977315086484962,2001927,43,12,1064,1739
