observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,253002,8261,13702,0.9679773435407076,0.9679762281074457,2001902,22,37,1156,1822
2,5,2,26,19,4,,,,253002,20640,13702,0.9250420580026767,0.9250415002860457,2001744,276,195,596,911
3,1,30,25,7,1,,,,253008,53548,13696,0.827475342014507,0.8274743073919973,2001910,28,29,982,1690
4,6,10,16,13,2,,,,253003,20551,13701,0.9253374881591124,0.9253364902687629,2001902,22,37,1029,1630
5,19,5,9,11,3,,,,253000,6413,13704,0.9747308914410999,0.9747298017203501,2001902,22,37,1131,1780
6,24,6,16,18,1,,,,253000,6404,13704,0.9747640146407245,0.9747629004318679,2001902,22,37,1165,1820
7,19,6,2,29,5,,,,253003,6420,13701,0.9747056481634799,0.9747050182069341,2001756,288,183,654,1029
8,25,10,3,21,3,,,,253003,6394,13701,0.9748013374578115,0.9748002012096588,2001909,26,30,1167,1856
9,4,15,2,28,2,,,,253009,29123,13695,0.8977571205574667,0.8977561404209945,2001911,28,28,974,1601
10,20,10,16,17,1,,,,253002,6414,13702,0.9747275561700613,0.9747264584906767,2001902,22,37,1130,1793
11,30,24,29,27,3,,,,253002,4090,13702,0.983355995687882,0.9833548331150146,2001902,22,37,1214,1899
12,28,3,6,2,2,,,,252994,4062,13710,0.9834597582046591,0.9834586305273438,2001895,18,44,1216,1842
13,12,9,25,11,2,,,,253002,8258,13702,0.9679882318047964,0.9679871475938706,2001902,22,37,1144,1771
14,17,5,25,3,5,,,,253003,7783,13701,0.9697154926809195,0.969714858438955,2001743,282,196,666,1036
15,24,6,1,25,4,,,,253006,6414,13698,0.974728246045471,0.9747275799689678,2001770,299,169,699,1088
16,22,24,3,11,1,,,,253003,6410,13701,0.9747424495149115,0.9747413102057455,2001909,26,30,1168,1861
17,26,19,10,2,2,,,,253001,5291,13703,0.9788778343624536,0.9788766938288822,2001897,18,42,1172,1863
18,10,22,20,27,3,,,,253003,8281,13701,0.9679049582160767,0.9679038550268682,2001902,22,37,1145,1802
19,4,22,23,17,4,,,,253015,29134,13689,0.8977253414258654,0.8977248302366372,2001780,319,159,518,835
20,15,16,13,1,1,,,,252999,7778,13705,0.9697329436907968,0.9697318270331294,2001864,10,75,1173,1824
21,1,20,10,16,5,,,,253015,52315,13689,0.8307627184201813,0.8307622115163719,2001787,322,152,477,828
22,8,13,23,7,1,,,,253006,8710,13698,0.9663512998606348,0.9663502548306797,2001902,22,37,1110,1707
23,9,5,28,25,4,,,,253005,8547,13699,0.9669410533808178,0.9669404613808374,2001754,297,185,637,967
24,27,25,6,27,3,,,,253002,4091,13702,0.9833522500826127,0.9833510979171907,2001902,22,37,1205,1882
25,25,27,10,4,2,,,,253001,6392,13703,0.9748083545908784,0.9748072097718884,2001900,20,39,1169,1870
26,13,25,26,1,3,,,,253001,8261,13703,0.9679771469533481,0.9679760309078835,2001897,18,42,1156,1823
27,13,7,4,11,5,,,,253006,8270,13698,0.9679454670161084,0.9679448505280213,2001752,298,187,651,1007
28,10,16,22,11,5,,,,253010,8294,13694,0.9678591648432359,0.9678585508039594,2001769,325,170,643,1003
29,29,8,15,10,2,,,,253002,4086,13702,0.9833709783943055,0.9833698335753155,2001902,22,37,1202,1870
30,2,19,16,2,2,,,,253007,52301,13697,0.8307952638230656,0.830794284298796,2001898,19,41,941,1600
31,28,8,5,15,5,,,,252999,4096,13705,0.9833330988353169,0.9833324437784616,2001737,281,202,694,1070
32,8,21,23,8,4,,,,253012,8727,13692,0.9662910277067945,0.9662904381556248,2001764,319,175,626,963
33,12,19,20,17,1,,,,253002,8262,13702,0.9679737141737779,0.967972600577124,2001902,22,37,1160,1819
34,26,10,6,2,3,,,,253001,5290,13703,0.9788815459736285,0.9788804182963132,2001900,20,39,1164,1842
35,21,1,16,7,4,,,,252995,6253,13709,0.9753192325342703,0.9753185382964443,2001707,250,232,758,1134
36,6,21,12,29,1,,,,253003,20555,13701,0.9253242217164657,0.9253231919915773,2001902,22,37,1044,1682
37,11,4,28,27,2,,,,253000,8238,13704,0.9680604339084098,0.9680593582683212,2001901,22,38,1160,1757
