observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,253002,8261,13702,0.9679773435407076,0.9679762281074457,2001902,22,37,1156,1822
2,5,2,26,19,4,,,,253002,20640,13702,0.9250420580026767,0.9250415002860457,2001744,276,195,596,911
3,1,30,25,7,1,,,,253008,53548,13696,0.827475342014507,0.8274743073919973,2001910,28,29,982,1690
4,6,10,16,13,2,,,,253003,20551,13701,0.9253374881591124,0.9253364902687629,2001902,22,37,1029,1630
5,19,5,9,11,3,,,,253000,6413,13704,0.9747308914410999,0.9747298017203501,2001902,22,37,1131,1780
6,24,6,16,18,1,,,,253000,6404,13704,0.9747640146407245,0.9747629004318679,2001902,22,37,1165,1820
7,19,6,2,29,5,,,,253003,6420,13701,0.9747056481634799,0.9747050182069341,2001756,288,183,654,1029
8,25,10,3,21,3,,,,253003,6394,13701,0.9748013374578115,0.9748002012096588,2001909,26,30,1167,1856
9,4,15,2,28,2,,,,253009,29123,13695,0.8977571205574667,0.8977561404209945,2001911,28,28,974,1601
10,20,10,16,17,1,,,,253002,6414,13702,0.9747275561700613,0.9747264584906767,2001902,22,37,1130,1793
11,30,22,8,1,4,,,,252994,4063,13710,0.9834560116904207,0.9834553229624187,2001693,244,246,723,1125
12,28,22,9,24,4,,,,253000,4100,13704,0.9833182583777939,0.98331759903552,2001740,299,199,693,1077
13,30,21,9,24,4,,,,253000,4099,13704,0.9833220037537248,0.9833213309429921,2001739,295,200,705,1099
14,29,22,8,1,4,,,,252994,4063,13710,0.9834560116904207,0.983455324186824,2001693,246,246,723,1123
15,30,21,8,24,4,,,,253000,4099,13704,0.9833220037537248,0.9833213303307895,2001743,296,196,706,1100
16,13,24,6,3,5,,,,253008,8273,13696,0.9679349733535545,0.9679343446214139,2001758,306,181,656,1027
17,13,26,12,1,5,,,,253005,8268,13699,0.9679525285672345,0.9679518918764592,2001729,282,210,665,1040
18,25,26,12,1,5,,,,253001,6395,13703,0.9747973123133444,0.9747966480734491,2001720,262,219,688,1085
19,13,25,12,2,5,,,,253008,8272,13696,0.9679386023439137,0.9679379717751652,2001754,300,185,658,1030
20,13,26,6,1,5,,,,253005,8268,13699,0.9679525285672345,0.9679518918764592,2001729,282,210,665,1040
21,22,17,21,6,3,,,,253002,6408,13702,0.9747496377273365,0.9747484935205492,2001902,22,37,1177,1869
22,22,17,30,6,3,,,,253002,6408,13702,0.9747496377273365,0.9747484935205492,2001902,22,37,1177,1869
23,22,17,20,6,3,,,,253002,6408,13702,0.9747496377273365,0.9747484935205492,2001902,22,37,1177,1869
24,22,18,21,7,3,,,,253002,6408,13702,0.9747496377273365,0.9747484935205492,2001902,22,37,1177,1869
25,23,18,19,6,3,,,,253002,6408,13702,0.9747496377273365,0.9747484935205492,2001902,22,37,1177,1869
26,30,22,5,11,4,,,,253000,4099,13704,0.9833220037537248,0.9833213303307895,2001747,298,192,707,1100
27,30,21,5,11,4,,,,253000,4099,13704,0.9833220037537248,0.9833213303307895,2001747,298,192,707,1100
28,30,21,5,10,4,,,,253000,4099,13704,0.9833220037537248,0.9833213303307895,2001747,298,192,707,1100
29,28,21,5,13,4,,,,253000,4100,13704,0.9833182583777939,0.9833175984233172,2001748,302,191,695,1078
30,30,21,5,11,4,,,,253000,4099,13704,0.9833220037537248,0.9833213303307895,2001747,298,192,707,1100
31,27,14,14,4,2,,,,253001,4091,13703,0.9833521089360157,0.9833509677902417,2001900,20,39,1197,1864
32,27,28,14,4,2,,,,253001,4091,13703,0.9833521089360157,0.9833509586072016,2001900,20,39,1201,1879
33,27,15,11,4,2,,,,253001,4091,13703,0.9833521089360157,0.9833509677902417,2001900,20,39,1197,1864
34,27,28,11,4,2,,,,253001,4091,13703,0.9833521089360157,0.9833509586072016,2001900,20,39,1201,1879
35,27,13,11,22,2,,,,253002,4091,13702,0.9833522500826127,0.983351110161244,2001902,22,37,1195,1862
36,10,13,15,20,2,,,,253003,8280,13701,0.9679085870530868,0.9679075003933503,2001902,22,37,1141,1775
37,17,12,14,20,2,,,,253002,7779,13702,0.96972987218908,0.9697287622656421,2001902,22,37,1146,1813
