observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,39882,4429,1886,0.901081650442136,0.9010312904003601,324886,42,2130,17811,21988
2,19,23,11,11,5,4,3,5,39983,3339,1785,0.9235885954837643,0.9235264997291424,326908,2060,108,19389,27112
3,2,24,12,30,2,4,5,1,40001,6320,1767,0.8652617762428416,0.8652134294117589,325228,41,1788,17663,21109
4,12,26,22,29,4,1,1,3,39863,3631,1905,0.9172452132423121,0.9171815806681508,326918,33,98,22013,27783
5,27,10,28,28,3,4,4,1,39712,2528,2056,0.9403616717372444,0.9402986942009196,324308,30,2708,20807,27497
6,18,24,10,12,4,5,4,5,39748,2936,2020,0.9316152936036646,0.9315732978911849,323031,2153,3985,13092,18336
7,29,2,28,26,3,1,1,1,39813,2674,1955,0.9373803641028032,0.937300016612102,326883,29,133,26990,35081
8,2,25,28,30,1,4,1,1,40109,6441,1659,0.8634065779832076,0.863352257939966,326963,44,53,20370,23717
9,22,12,17,30,1,4,5,3,39770,2617,1998,0.9385334900938345,0.9384730227724354,324464,30,2552,20296,26401
10,13,30,23,19,3,3,5,1,39762,3346,2006,0.9229547923456172,0.9228973276626922,324763,32,2253,20438,25090
11,30,23,1,1,1,3,1,5,35418,2194,6350,0.9395911194870847,0.9395321523397516,285567,928,41449,23039,25746
12,20,1,24,29,4,4,3,2,39774,3276,1994,0.9244530307946475,0.9243800559151195,326879,29,137,24352,31862
13,30,30,30,17,4,1,1,3,39790,2499,1978,0.9411385150589259,0.9410626612193964,326893,30,123,24380,33119
14,24,28,2,29,5,5,5,3,39817,2312,1951,0.9452829391350508,0.945232954709377,323973,39,3043,18269,21824
15,28,5,14,9,5,2,5,5,39562,2131,2206,0.9488541654175011,0.9488047283835858,322474,506,4542,15635,21585
16,8,8,14,20,1,2,4,3,39788,4065,1980,0.9081675275556763,0.9081159971490947,324507,38,2509,19081,22499
17,26,30,26,5,4,3,5,2,39524,2124,2244,0.948946468701381,0.9488934197979968,322467,30,4549,16608,23162
18,26,25,1,29,1,1,2,2,39975,2857,1793,0.9337614504030766,0.9336914598392859,326759,43,257,29203,30559
19,3,26,2,2,1,5,4,5,40040,6398,1728,0.8639625760066977,0.8639232989302735,324429,2930,2587,14520,17149
20,1,26,26,30,3,4,1,4,40245,9530,1523,0.8111481116746071,0.8111011963073278,326972,3192,44,16541,20484
21,30,15,4,1,4,4,2,4,39612,2371,2156,0.9436214079997713,0.9435627523389618,322839,1786,4177,19472,25610
22,1,26,23,28,5,1,4,3,39866,8984,1902,0.8184631960509449,0.8184100990503769,324519,44,2497,19312,23183
23,17,1,28,13,2,4,2,1,39809,3341,1959,0.9231637600539488,0.9230882039588905,326875,29,141,26359,32989
24,18,11,1,29,2,2,5,1,39959,3308,1809,0.9241848767560761,0.9241244414994662,325533,40,1483,24643,26387
25,13,30,16,8,2,5,1,5,40035,3678,1733,0.9166760162201396,0.9166140143695432,326899,2245,117,19854,27071
26,10,2,3,22,3,4,2,2,39939,3971,1829,0.9104532866955599,0.910392235336929,326843,34,173,24143,26656
27,21,29,27,1,5,1,5,4,39557,2586,2211,0.9388045709674739,0.9387539154715691,322469,225,4547,16182,22117
28,6,30,18,30,2,5,1,5,40165,4991,1603,0.8908087785196317,0.8907571748221035,326948,2832,68,17341,22531
29,23,10,29,30,1,4,5,3,39746,2612,2022,0.9385966155168587,0.9385357473855946,324353,30,2663,20317,26576
30,4,24,6,4,1,2,2,1,39995,5202,1773,0.8862486211571334,0.8861902861442159,326830,36,186,22627,25470
31,30,27,4,1,5,5,5,1,39086,1895,2682,0.9533928795313968,0.9533465733951123,317503,12,9513,16145,20218
32,20,2,25,28,2,2,1,5,39865,3351,1903,0.9230778492807102,0.9230028474484365,326884,282,132,25604,32747
33,18,29,6,29,1,5,3,5,40083,3449,1685,0.9215177604196362,0.9214548309804952,326944,2445,72,20545,27476
34,27,24,30,14,4,1,4,5,39521,2126,2247,0.9488967673499416,0.9488442795803683,322420,237,4596,16400,22917
35,21,5,1,7,2,1,3,5,39930,3320,1838,0.9238701389807952,0.9238098800805258,325183,1857,1833,23621,26310
