observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,39923,3709,1845,0.9157760389331552,0.9157106313438776,326920,292,96,23218,28558
2,19,22,1,30,5,2,1,1,40008,3468,1760,0.9209554659747379,0.9208928045056208,326807,49,209,27070,27359
3,10,16,13,9,4,1,2,2,39910,3873,1858,0.9123808086835062,0.9123201856188453,326930,37,86,21355,26469
4,14,24,6,16,3,1,4,1,39831,3337,1937,0.9232962447844228,0.9232392473312833,324924,33,2092,20764,24886
5,2,29,29,25,2,1,4,3,39913,6224,1855,0.8667389654898346,0.8666842469270701,325296,42,1720,20917,23891
6,4,15,2,28,2,4,2,3,40114,5286,1654,0.8849842567491247,0.8849303764515635,326984,45,32,20893,23525
7,17,6,30,24,5,5,3,5,39937,3340,1831,0.9234667427570397,0.9234022925307539,326902,1744,114,20015,28140
8,3,6,2,10,2,2,5,2,39907,6100,1861,0.8690128656672086,0.8689656960719578,324387,36,2629,20005,20595
9,9,17,5,25,1,5,4,1,39901,4073,1867,0.9082883904986766,0.9082369998029622,325079,40,1937,18509,22438
10,1,25,22,22,4,1,2,1,40032,9118,1736,0.8169402453269597,0.8168801055244789,326968,44,48,22794,26258
11,26,19,10,2,2,2,4,4,39759,2536,2009,0.9402745121966793,0.9402147846557738,324407,594,2609,20940,26078
12,27,15,4,22,4,3,4,3,39724,2180,2044,0.9480378642370831,0.947987790488068,323426,36,3590,17707,21863
13,16,13,1,4,1,4,2,3,39764,3235,2004,0.9252954900105599,0.925234601266217,324037,40,2979,24465,26585
14,28,8,13,23,2,1,2,1,39883,2657,1885,0.9378815442182119,0.9378069775509345,326920,31,96,25403,32557
15,28,25,20,27,5,1,5,3,39533,2118,2235,0.9490955587235023,0.9490425098201181,322496,30,4520,16613,23162
16,25,27,10,4,2,3,5,5,39785,2604,1983,0.9388440501805478,0.9387843592851157,324668,628,2348,20960,26062
17,1,16,13,7,1,2,5,2,39889,8943,1879,0.8192320836496154,0.8191809174074255,324543,44,2473,19393,22340
18,16,22,11,30,5,2,3,2,39866,3136,1902,0.9276055370600121,0.9275398752427632,326924,31,92,22363,28669
19,9,2,19,16,1,2,5,2,39666,3961,2102,0.9099831107354883,0.9099304672226532,323513,32,3503,19301,22985
20,5,15,30,8,4,4,2,4,40142,5700,1626,0.8772190525806962,0.8771705866518251,326897,2557,119,16129,21161
21,12,19,20,17,1,5,2,1,39965,3735,1803,0.9153402459291238,0.915275527732814,326917,38,99,22062,28257
22,2,18,21,1,3,2,4,1,39777,6122,1991,0.8681829511628811,0.8681322681828713,324057,12,2959,19643,22129
23,21,12,29,5,2,1,5,5,39728,2957,2040,0.931125145488304,0.931065351527478,324364,249,2652,20654,26107
24,8,20,25,17,3,2,1,5,39952,4195,1816,0.9059529581114673,0.9058917441385482,326942,310,74,22450,26727
25,28,19,11,11,4,5,5,4,39677,2263,2091,0.9461195672701814,0.9460745941129907,322743,1857,4273,13756,19636
26,20,3,5,27,4,1,1,4,39973,3295,1795,0.9244877191359452,0.9244270159093112,326952,1449,64,21431,26504
27,1,5,17,21,4,2,4,2,39690,7048,2078,0.8510118228248703,0.8509647769080921,323075,35,3941,17468,20541
28,10,23,20,26,4,3,1,2,39899,3883,1869,0.9121497737171743,0.9120885551635711,326932,37,84,21572,26729
29,8,8,30,12,5,4,4,3,39690,3839,2078,0.9125442764459653,0.9125015684370971,323026,38,3990,14159,18647
30,18,15,6,22,2,1,4,1,39845,3115,1923,0.9280056716762747,0.9279474099543039,324814,34,2202,21009,25438
31,29,29,28,12,1,5,3,5,39935,2838,1833,0.9340886817034634,0.9340130019299324,326890,1584,126,23622,33043
32,29,26,9,12,5,2,1,3,39863,2532,1905,0.9405541820838148,0.9404856733713535,326913,34,103,23291,29912
33,29,21,18,3,4,5,1,3,39828,2580,1940,0.9394459750160395,0.9393737925948731,326739,29,277,23094,31516
34,27,23,21,22,2,2,5,5,39707,2541,2061,0.9400687526042654,0.9400061163289113,324429,292,2587,21362,27348
35,27,28,16,16,4,4,4,4,39647,2259,2121,0.9461559535730412,0.9461097001146246,322655,1769,4361,13955,20195
36,27,11,12,3,3,1,3,3,39868,2642,1900,0.938177430088509,0.9381036421375406,326804,30,212,25257,32217
37,9,18,1,2,5,2,1,3,39377,4109,2391,0.9062258639719929,0.9061726730673993,320403,35,6613,22666,23224
38,24,7,19,3,1,3,3,4,39877,2718,1891,0.9365533652461832,0.9364785764157234,326881,295,135,25035,32654
39,22,30,16,10,4,2,3,1,39830,2675,1938,0.9373912986176126,0.9373216584761611,326906,31,110,23187,30406
40,1,29,26,21,3,1,1,2,40043,9130,1725,0.8167890194574595,0.8167277207418834,326971,45,45,23417,26764
41,17,22,20,9,5,4,3,4,39946,3321,1822,0.9238842084861537,0.9238206148478079,326895,1902,121,19642,27766
42,13,8,11,23,1,1,1,1,39912,3453,1856,0.9210519635585394,0.9209861368366602,326929,33,87,23417,28741
43,26,22,15,3,3,3,1,3,39849,2659,1919,0.9377735731834741,0.9376988553536191,326819,30,197,25356,32623
44,12,19,20,2,2,4,3,5,40001,3865,1767,0.9127638620264129,0.9127027694416244,326628,1991,388,19699,26674
45,20,5,3,20,1,3,5,3,39872,3200,1896,0.9262666473384702,0.9262089650730471,324868,35,2148,21802,25185
46,12,20,14,17,5,2,5,5,39638,3295,2130,0.9237538365451169,0.9237070700500732,323075,320,3941,15811,20419
47,6,3,4,1,1,4,1,2,39291,4584,2477,0.8963823031396994,0.8963278823214059,320208,16,6808,21960,23761
48,26,1,25,9,1,4,4,5,39642,2547,2126,0.939816379954946,0.9397557477289168,323594,1174,3422,19957,26473
49,23,25,9,6,4,5,5,3,39639,2247,2129,0.9464077143247339,0.9463593125254411,322876,32,4140,15670,21133
50,12,24,11,28,5,3,4,4,39660,3314,2108,0.9234018814487956,0.9233550920503311,323212,440,3804,15877,20429
