observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,39923,3709,1845,0.9157760389331552,0.9157106313438776,326920,292,96,23218,28558
2,19,22,1,30,5,2,1,1,40008,3468,1760,0.9209554659747379,0.9208928045056208,326807,49,209,27070,27359
3,10,16,13,9,4,1,2,2,39910,3873,1858,0.9123808086835062,0.9123201856188453,326930,37,86,21355,26469
4,14,24,6,16,3,1,4,1,39831,3337,1937,0.9232962447844228,0.9232392473312833,324924,33,2092,20764,24886
5,2,29,29,25,2,1,4,3,39913,6224,1855,0.8667389654898346,0.8666842469270701,325296,42,1720,20917,23891
6,4,15,2,28,2,4,2,3,40114,5286,1654,0.8849842567491247,0.8849303764515635,326984,45,32,20893,23525
7,17,6,30,24,5,5,3,5,39937,3340,1831,0.9234667427570397,0.9234022925307539,326902,1744,114,20015,28140
8,3,6,2,10,2,2,5,2,39907,6100,1861,0.8690128656672086,0.8689656960719578,324387,36,2629,20005,20595
9,9,17,5,25,1,5,4,1,39901,4073,1867,0.9082883904986766,0.9082369998029622,325079,40,1937,18509,22438
10,1,25,22,22,4,1,2,1,40032,9118,1736,0.8169402453269597,0.8168801055244789,326968,44,48,22794,26258
11,29,1,30,1,5,5,3,5,39802,2728,1966,0.9361925129061061,0.9361172202003876,326832,1062,184,23742,32874
12,29,1,30,1,5,5,3,5,39802,2728,1966,0.9361925129061061,0.9361172202003876,326832,1062,184,23742,32874
13,30,1,29,1,5,5,3,5,39795,2599,1973,0.9389714564002957,0.9388958682404481,326829,1055,187,23773,33003
14,29,2,30,1,5,5,3,5,39832,2710,1936,0.9366390666341851,0.9365654573298994,326762,1146,254,22758,32139
15,26,2,30,4,5,5,3,5,39839,2726,1929,0.9363074060860571,0.9362351732773648,326880,1281,136,22464,31538
16,23,9,22,7,4,4,5,4,39649,2347,2119,0.9442162497880521,0.9441706101413144,322498,1626,4518,13680,19927
17,23,10,24,8,4,4,5,4,39646,2350,2122,0.9441448066558327,0.9440991212022534,322480,1634,4536,13681,19947
18,24,9,24,8,4,4,5,4,39620,2278,2148,0.9456885481460973,0.9456420106852621,322398,1563,4618,13860,20319
19,22,9,24,8,4,4,5,4,39653,2355,2115,0.9440471202194118,0.9440017096068828,322475,1636,4541,13609,19827
20,22,9,25,7,4,4,5,4,39654,2354,2114,0.9440709279293007,0.9440254577678774,322466,1634,4550,13616,19853
21,25,13,17,12,3,3,4,4,39735,2582,2033,0.9392280342135706,0.9391666553360214,324472,374,2544,21069,26799
22,25,12,17,12,3,3,4,4,39733,2579,2035,0.9392895507258437,0.9392283115591619,324448,369,2568,21026,26738
23,25,12,17,12,3,3,4,4,39733,2579,2035,0.9392895507258437,0.9392283115591619,324448,369,2568,21026,26738
24,25,12,17,11,3,3,4,4,39733,2579,2035,0.9392895507258437,0.9392283115591619,324448,369,2568,21026,26738
25,25,13,15,12,3,3,4,4,39744,2578,2024,0.9393319738734113,0.9392712156785673,324522,432,2494,20963,26528
26,21,7,26,5,4,4,5,3,39580,2586,2188,0.938848200722804,0.938798669784863,322457,30,4559,15257,21626
27,20,8,26,5,4,4,5,3,39592,2804,2176,0.9341384276500445,0.9340894922010459,322535,31,4481,15188,21366
28,21,8,26,5,4,4,5,3,39579,2578,2189,0.9390209356187375,0.9389713771966915,322458,30,4558,15256,21638
29,21,7,26,5,4,4,5,3,39580,2586,2188,0.938848200722804,0.938798669784863,322457,30,4559,15257,21626
30,19,7,21,4,4,4,5,3,39590,2738,2178,0.9355622353297035,0.9355136709161227,322558,31,4458,15113,21204
31,16,4,20,15,4,2,5,4,39559,2706,2209,0.9361955704239918,0.9361486871215018,322391,266,4625,15279,20470
32,16,4,20,15,4,2,5,4,39559,2706,2209,0.9361955704239918,0.9361486871215018,322391,266,4625,15279,20470
33,16,4,20,16,4,2,5,4,39559,2706,2209,0.9361955704239918,0.9361486871215018,322391,266,4625,15279,20470
34,16,18,21,17,4,3,5,4,39620,2707,2148,0.936292856903163,0.9362447345256046,322785,272,4231,15747,21011
35,16,4,20,16,4,2,5,4,39559,2706,2209,0.9361955704239918,0.9361486871215018,322391,266,4625,15279,20470
36,27,10,24,8,3,4,1,5,39942,2808,1826,0.934745225642845,0.9346705307164108,326891,1555,125,23421,32613
37,23,10,24,8,3,4,1,5,39966,2888,1802,0.933081311571553,0.9330089894395194,326891,1659,125,22740,31577
38,23,10,24,8,3,4,1,2,39907,2751,1861,0.9359008635043926,0.9358260586415383,326890,30,126,24504,32661
39,27,10,24,7,3,4,1,2,39888,2681,1880,0.937372658742114,0.9372956276667526,326886,30,130,25064,33633
40,23,10,24,7,3,4,1,2,39907,2751,1861,0.9359008635043926,0.935826079254617,326884,30,132,24497,32652
41,13,15,28,10,1,3,4,4,39784,3336,1984,0.9232134436808239,0.9231587251180594,324640,265,2376,19735,23891
42,13,19,11,19,1,3,4,4,39817,3363,1951,0.9227201856888341,0.9226655427073583,324814,391,2202,19837,23858
43,13,15,9,19,1,3,4,4,39823,3358,1945,0.9228382716833275,0.9227840753185585,324783,424,2233,19678,23663
44,12,15,10,3,1,3,4,4,39811,3589,1957,0.9179945470510541,0.9179408339484652,324729,399,2287,19594,23452
45,18,19,11,10,1,3,4,4,39803,3117,1965,0.927874609296323,0.9278173140987124,324711,503,2305,20351,25016
46,23,9,28,7,4,4,5,3,39581,2227,2187,0.9467507989054518,0.946700576284201,322472,30,4544,15431,21928
47,22,9,28,14,4,4,5,3,39589,2237,2179,0.9465427721899237,0.9464927579898027,322476,30,4540,15376,21837
48,23,9,22,6,4,4,5,3,39586,2227,2182,0.946759430882448,0.9467094121016428,322496,30,4520,15422,21839
49,23,9,28,7,4,4,5,3,39581,2227,2187,0.9467507989054518,0.946700576284201,322472,30,4544,15431,21928
50,23,9,28,14,4,4,5,3,39581,2228,2187,0.9467286066984978,0.9466783611738262,322476,30,4540,15438,21938
