observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,39946,4530,1822,0.8992423546615809,0.8991809872357421,326939,42,77,22573,26794
2,8,29,21,7,2,,,,39938,4209,1830,0.905635493618737,0.9055728687950934,326915,41,101,22861,27343
3,19,23,11,11,5,,,,39719,2918,2049,0.9319416738112634,0.9318991948366037,322903,2061,4113,13145,18547
4,4,8,24,3,5,,,,39819,5055,1949,0.8885813315576138,0.8885477780460613,323160,2279,3856,11676,14650
5,2,24,12,30,2,,,,40032,6318,1736,0.865400329799846,0.8653416214611686,326967,42,49,22854,25633
6,19,23,8,7,5,,,,39752,2930,2016,0.9317518491120794,0.9317101167889397,322995,2143,4021,13082,18221
7,1,1,25,30,4,,,,39611,3944,2157,0.9101947045974587,0.9101470975468696,322413,1651,4603,15931,20786
8,30,30,28,27,2,,,,39831,2566,1937,0.9397556932476603,0.9396761771511362,326894,30,122,26178,34718
9,29,2,2,26,1,,,,39987,2859,1781,0.933742507782939,0.9336724324764912,326892,46,124,29136,30596
10,26,2,30,3,4,,,,39536,2219,2232,0.9468507680229988,0.9468025357090204,322031,1238,4985,14452,21059
11,25,30,23,18,3,,,,39856,2729,1912,0.9362756544368557,0.9361986004580735,326896,30,120,25667,33643
12,14,1,2,2,1,,,,38608,3326,3160,0.9207577840378454,0.9206999712229234,314334,18,12682,27244,25242
13,13,2,29,29,5,,,,39603,3142,2165,0.9269180483955,0.9268762015552559,322325,1599,4691,13218,18271
14,23,15,1,29,2,,,,39976,2931,1792,0.9321843792425278,0.9321154101713074,326779,43,237,28782,30113
15,24,7,30,1,4,,,,39557,2247,2211,0.9462654605093189,0.9462186573688018,321890,1237,5126,13979,20435
16,21,1,22,23,5,,,,39507,2684,2261,0.9365723353785713,0.9365249459104804,321985,1285,5031,14635,20691
