observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,39911,3699,1857,0.9159537660339531,0.9158872819838954,326918,38,98,23502,29028
2,5,2,26,19,4,,,,39672,5370,2096,0.8820602394315967,0.8820202340263894,322371,1750,4645,13781,17467
3,1,30,25,7,1,,,,40040,9183,1728,0.8159123281418433,0.8158502232258531,326914,41,102,23995,27116
4,6,10,16,13,2,,,,39976,4744,1792,0.8950994335992779,0.8950406680020483,326936,41,80,22250,25658
5,19,5,9,11,3,,,,39912,3280,1856,0.9246697210978161,0.9245996251782895,326911,33,105,24559,30605
6,24,6,16,18,1,,,,39871,2675,1897,0.9374697275645396,0.9373955937719164,326911,31,105,25180,32368
7,19,6,2,29,5,,,,39933,3117,1835,0.9281486116237406,0.928109160481318,323860,2729,3156,13810,17225
8,25,10,3,21,3,,,,39991,2714,1777,0.936858839354865,0.9367907200005583,326924,35,92,25685,29742
9,4,15,2,28,2,,,,40061,5260,1707,0.8853271407652695,0.8852702120223925,326984,45,32,23194,24856
10,20,10,16,17,1,,,,39889,3320,1879,0.9237803084655971,0.9237082543035875,326915,31,101,24672,31460
11,30,24,29,27,3,,,,39828,2571,1940,0.9396414602992754,0.9395616831037535,326894,30,122,26221,34832
12,28,3,6,2,2,,,,39859,2589,1909,0.9393086740946025,0.9392376093603738,326272,32,744,25351,31028
13,12,9,25,11,2,,,,39913,3704,1855,0.9158554768905567,0.9157894623606265,326916,37,100,23300,28823
14,17,5,25,3,5,,,,39639,2868,2129,0.9328531199358376,0.9328098530835006,322464,1645,4552,13160,18891
15,24,6,1,25,4,,,,40034,2801,1734,0.935075394161583,0.935032127309246,324590,3109,2426,16270,18891
16,22,24,3,11,1,,,,39975,2728,1793,0.9365270134452245,0.9364599705516979,326856,35,160,25315,29272
17,26,19,10,2,2,,,,39865,2618,1903,0.9386913185475421,0.9386187490585632,326569,31,447,25126,31685
18,10,22,20,27,3,,,,39928,3914,1840,0.9115873510177506,0.9115228870494123,326932,37,84,23029,28146
19,4,22,23,17,4,,,,39947,5164,1821,0.8868412184137604,0.886807158736607,323903,2845,3113,11820,14871
20,15,16,13,1,1,,,,39827,3390,1941,0.9221770296484998,0.9221092355227691,326232,12,784,23777,29600
21,1,20,10,16,5,,,,40068,9312,1700,0.8139310015324687,0.8138964906579245,324444,3271,2572,12196,15068
22,8,13,23,7,1,,,,39927,4212,1841,0.9055470454903182,0.9054856872258478,326914,34,102,22560,26790
23,9,5,28,25,4,,,,39689,4006,2079,0.9091208952810191,0.9090834825430526,322759,1953,4257,12154,16335
24,27,25,6,27,3,,,,39934,2650,1834,0.9381295856386818,0.9380582895799024,326940,34,76,25334,31129
25,25,27,10,4,2,,,,39886,2673,1882,0.9375415754064458,0.9374691524993604,326805,32,211,25136,31621
26,13,25,26,1,3,,,,39868,3468,1900,0.9206403747958648,0.9205725715087658,326650,29,366,23677,29604
27,13,7,4,11,5,,,,39879,3262,1889,0.9249762371635454,0.924938721360185,323407,2479,3609,12566,16380
28,10,16,22,11,5,,,,39790,3724,1978,0.9151527585220295,0.9151150892657494,323195,2241,3821,12068,16447
29,29,8,15,10,2,,,,39866,2632,1902,0.9383900535267893,0.9383145592709672,326911,31,105,25511,32962
30,2,19,16,2,2,,,,40013,6306,1755,0.8655580451492796,0.8655005025947237,326769,33,247,22569,25124
31,28,8,5,15,5,,,,39792,2312,1976,0.9452392173556108,0.9451963994103225,323096,2153,3920,13690,18695
32,8,21,23,8,4,,,,39823,4045,1945,0.9086615251220738,0.9086251567800983,323403,2421,3613,12000,15879
33,12,19,20,17,1,,,,39918,3710,1850,0.9157436890353012,0.9156776722150289,326917,38,99,23353,28824
34,26,10,6,2,3,,,,39896,2619,1872,0.938728086501525,0.9386577707091582,326447,32,569,25007,30701
35,21,1,16,7,4,,,,39539,2642,2229,0.9375487577994694,0.9375023234040282,322108,1362,4908,14618,20274
36,6,21,12,29,1,,,,39990,4761,1778,0.8948042282912082,0.894744667945275,326954,42,62,22374,26005
37,11,4,28,27,2,,,,39875,3952,1893,0.9106829562630093,0.9106167653767385,326905,31,111,23708,28900
38,20,25,17,16,2,,,,39884,3345,1884,0.9232454424536422,0.9231718148266198,326895,30,121,24946,32147
39,3,27,28,19,2,,,,40008,6240,1760,0.866754480224618,0.8666957192080725,326952,43,64,22666,25656
40,11,22,27,27,4,,,,39787,3749,1981,0.914630221532373,0.9145916109454957,323173,2351,3843,12320,16858
41,20,3,5,27,4,,,,39807,3062,1961,0.9290503087965593,0.9290096781279626,323161,2267,3855,13456,17740
42,1,4,20,1,1,,,,39622,5958,2146,0.8707412310543129,0.8706735445746603,323986,12,3030,25992,29553
43,17,21,20,7,4,,,,39701,2833,2067,0.9337307743325992,0.9336878235474699,322763,1918,4253,13134,18753
44,8,10,23,20,5,,,,39770,3999,1998,0.9094655306389492,0.9094293317822879,323158,2256,3858,11846,15805
45,20,18,3,12,2,,,,39989,3361,1779,0.923142058009583,0.9230757228317609,326897,35,119,25056,28963
46,8,30,12,27,4,,,,39845,4077,1923,0.9080670171462744,0.9080304335121427,323574,2592,3442,12107,15973
47,24,16,18,15,1,,,,39865,2702,1903,0.9368753087470053,0.9367998396849462,326896,30,120,25370,32951
48,22,9,1,20,1,,,,39986,2956,1782,0.9316723875846605,0.9316042659400117,326559,49,457,29061,29743
49,29,29,28,12,1,,,,39846,2698,1922,0.9369250911389263,0.9368465003406047,326894,30,122,26001,34314
50,28,13,29,29,5,,,,39599,2230,2169,0.9467153169496445,0.9466670113447193,322370,1516,4646,14256,21091
51,9,12,26,10,1,,,,39925,4131,1843,0.907175239217055,0.9071126647809372,326914,39,102,22673,27321
52,17,29,21,18,1,,,,39900,3188,1868,0.9265795975997175,0.9265086794473822,326908,31,108,24329,30964
53,19,30,5,16,5,,,,39822,2990,1946,0.9306136413349313,0.9305728388906782,323321,2400,3695,13155,17815
54,23,21,22,11,2,,,,39864,2746,1904,0.9359249231566759,0.9358493899650383,326896,30,120,25325,32979
55,25,25,27,28,3,,,,39855,2733,1913,0.9361875052852136,0.936110309305222,326896,30,120,25692,33705
56,16,24,20,22,4,,,,39722,2857,2046,0.9332567092657011,0.9332143677115666,322843,1997,4173,12988,18487
57,27,11,12,3,3,,,,39867,2650,1901,0.9380024761176058,0.9379286790052691,326798,30,218,25251,32221
58,2,14,17,9,3,,,,40018,6275,1750,0.866143606947676,0.8660866346882994,326937,42,79,22284,24875
59,1,2,25,11,1,,,,39843,5135,1925,0.8870992879693992,0.8870227241238232,326739,30,277,28470,33429
60,16,24,7,19,1,,,,39963,3183,1805,0.9268192448520866,0.9267522157006125,326931,34,85,23998,29266
61,2,16,17,20,4,,,,40035,6378,1733,0.8643116055448931,0.8642779993554726,324209,3049,2807,11993,14673
62,30,16,10,24,2,,,,39887,2517,1881,0.9409246429926155,0.9408502481009945,326925,33,91,25596,32482
63,14,3,1,29,5,,,,40036,3578,1732,0.9187398513163344,0.9187003452057018,324425,3148,2591,15270,17249
64,21,13,6,5,2,,,,39938,3062,1830,0.9293232214925018,0.9292545616174629,326844,34,172,24589,29978
65,17,22,20,9,5,,,,39686,2870,2082,0.9329049389472179,0.9328617156113805,322775,1910,4241,13174,18872
66,23,17,19,13,2,,,,39866,2741,1902,0.9360364891282553,0.9359614369084558,326896,30,120,25241,32769
67,11,23,1,4,1,,,,39787,4005,1981,0.9093855482049538,0.9093256717918127,324284,39,2732,25537,26143
68,2,26,22,15,1,,,,40015,6327,1753,0.8651794617660515,0.8651199953241437,326954,44,62,23430,25964
69,15,15,6,14,2,,,,39959,3402,1809,0.9222200117519065,0.9221540911260018,326933,33,83,23800,28782
70,19,20,2,12,4,,,,39986,3131,1782,0.9279642942843842,0.9279241995558356,324182,2975,2834,14138,17506
71,16,26,20,5,1,,,,39894,3183,1874,0.9266722445704867,0.9266023937175633,326864,31,152,24063,30498
72,20,1,18,29,3,,,,39802,3355,1966,0.9228546215303685,0.9227775652612441,326877,29,139,27089,33644
73,12,20,14,17,5,,,,39751,3474,2017,0.9202502276838569,0.9202107627993817,323090,2239,3926,12459,17231
74,12,29,28,6,1,,,,39904,3698,1864,0.9159579224943144,0.915891339959547,326889,33,127,23512,29071
75,4,1,3,21,1,,,,39807,5084,1961,0.8879834141375115,0.8879257982920088,325412,43,1604,27946,25156
76,10,26,1,25,2,,,,40022,4040,1746,0.9092577901005359,0.9091956622811248,326942,48,74,25787,27126
77,4,21,19,27,4,,,,39947,5160,1821,0.886918403151672,0.8868843892813604,323914,2863,3102,11800,14851
78,25,9,6,23,5,,,,39767,2354,2001,0.9442716592178266,0.9442290932101677,323058,2165,3958,13487,18585
79,30,13,12,24,2,,,,39870,2525,1898,0.9407193447478037,0.9406440886875586,326921,31,95,25618,32858
80,28,26,13,23,4,,,,39669,2270,2099,0.9459509085125327,0.9459055551585558,322736,1862,4280,13824,19802
81,4,28,16,25,2,,,,40000,5170,1768,0.8868794172137974,0.8868200446759151,326960,44,56,22750,25923
82,27,12,1,28,1,,,,39998,2909,1770,0.9326973884566399,0.9326269833409317,326702,49,314,29944,30740
83,10,29,29,18,4,,,,39803,3747,1965,0.9147095349673074,0.9146714099329523,323324,2368,3692,12259,16646
84,14,9,10,21,4,,,,39771,3159,1997,0.9269168774337657,0.9268772316122659,323016,2161,4000,12546,17310
85,24,24,3,15,1,,,,39985,2707,1783,0.9369979322071392,0.9369299685960942,326912,35,104,25630,29674
86,17,14,27,11,1,,,,39900,3185,1868,0.9266428634797275,0.9265720964899699,326905,31,111,24229,30898
87,5,23,19,4,1,,,,39978,5565,1790,0.8792654093583328,0.8792065429860514,326846,35,170,22474,25702
88,22,3,25,22,1,,,,39855,2734,1913,0.9361659547060573,0.9360903390621048,326887,30,129,25467,33015
89,3,30,12,12,5,,,,40008,6315,1760,0.8653765041021461,0.8653418672587871,324222,3006,2794,12115,15123
90,29,30,23,12,1,,,,39851,2681,1917,0.9373018426633098,0.9372237786436679,326893,30,123,25927,34084
91,24,17,13,28,1,,,,39890,2703,1878,0.9369018120324593,0.936828617280091,326924,31,92,25108,31958
92,15,1,15,2,1,,,,39766,3509,2002,0.9195543701609855,0.9194801447546789,326603,18,413,27691,32408
93,4,20,23,18,5,,,,39939,5123,1829,0.8876098650283625,0.8875758328353142,323842,2812,3174,11764,14859
94,12,9,27,7,5,,,,39718,3432,2050,0.9210534859409365,0.9210139317331201,322839,2018,4177,12420,17270
