observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,39911,3699,1857,0.9159537660339531,0.9158872819838954,326918,38,98,23502,29028
2,5,2,26,19,4,,,,39672,5370,2096,0.8820602394315967,0.8820202340263894,322371,1750,4645,13781,17467
3,1,30,25,7,1,,,,40040,9183,1728,0.8159123281418433,0.8158502232258531,326914,41,102,23995,27116
4,6,10,16,13,2,,,,39976,4744,1792,0.8950994335992779,0.8950406680020483,326936,41,80,22250,25658
5,19,5,9,11,3,,,,39912,3280,1856,0.9246697210978161,0.9245996251782895,326911,33,105,24559,30605
6,24,6,16,18,1,,,,39871,2675,1897,0.9374697275645396,0.9373955937719164,326911,31,105,25180,32368
7,19,6,2,29,5,,,,39933,3117,1835,0.9281486116237406,0.928109160481318,323860,2729,3156,13810,17225
8,25,10,3,21,3,,,,39991,2714,1777,0.936858839354865,0.9367907200005583,326924,35,92,25685,29742
9,4,15,2,28,2,,,,40061,5260,1707,0.8853271407652695,0.8852702120223925,326984,45,32,23194,24856
10,20,10,16,17,1,,,,39889,3320,1879,0.9237803084655971,0.9237082543035875,326915,31,101,24672,31460
11,30,22,10,1,2,,,,39775,2475,1993,0.9416349671262271,0.9415609867865236,325822,16,1194,25439,32301
12,28,22,10,3,2,,,,39873,2636,1895,0.9383167294909561,0.9382433744146419,326736,32,280,25343,32028
13,30,21,11,5,2,,,,39857,2529,1911,0.9406083593479342,0.9405334743231069,326852,31,164,25579,32696
14,29,22,30,1,2,,,,39806,2683,1962,0.937172303999239,0.9370933581978941,326613,16,403,26080,34469
15,29,22,10,3,2,,,,39874,2627,1894,0.938513413958463,0.9384397405245989,326727,32,289,25417,32167
16,13,18,7,7,4,,,,39811,3251,1957,0.9250601587689596,0.9250216558281604,323259,2372,3757,12442,16811
17,13,17,7,7,4,,,,39812,3256,1956,0.9249570187258958,0.9249185615919382,323250,2367,3766,12421,16791
18,14,18,7,6,4,,,,39811,3210,1957,0.9259246338142625,0.9258857735800979,323225,2356,3791,12555,16967
19,13,17,12,7,4,,,,39763,3209,2005,0.9258422759472402,0.9258026438677929,323021,2130,3995,12478,17304
20,13,18,7,7,4,,,,39811,3251,1957,0.9250601587689596,0.9250216558281604,323259,2372,3757,12442,16811
21,24,26,19,11,3,,,,39863,2714,1905,0.9366125934603704,0.93653666174921,326896,30,120,25454,33153
22,25,26,19,1,3,,,,39847,2714,1921,0.9365817106254675,0.9365052864907587,326716,27,300,25556,33368
23,25,26,20,12,3,,,,39857,2720,1911,0.9364716187329098,0.9363949838867293,326896,30,120,25603,33460
24,25,26,20,11,3,,,,39857,2720,1911,0.9364716187329098,0.9363949838867293,326896,30,120,25603,33460
25,22,25,19,11,3,,,,39866,2749,1902,0.9358642154126269,0.9357890692888018,326896,30,120,25240,32810
26,30,22,13,4,2,,,,39864,2543,1904,0.9403168639498498,0.9402412208217922,326848,30,168,25632,33027
27,30,21,13,3,2,,,,39861,2541,1907,0.9403547874794878,0.9402791855775877,326810,30,206,25615,33009
28,30,22,13,3,2,,,,39861,2541,1907,0.9403547874794878,0.9402791855775877,326810,30,206,25615,33009
29,29,22,12,3,2,,,,39859,2653,1909,0.9379223815637389,0.9378477255731201,326785,30,231,25492,32596
30,30,21,13,4,2,,,,39864,2543,1904,0.9403168639498498,0.9402412208217922,326848,30,168,25632,33027
31,27,13,15,26,1,,,,39858,2655,1910,0.9378772227464286,0.9378022896244175,326917,31,99,25374,32717
32,27,14,5,23,1,,,,39955,2655,1813,0.9380614164340001,0.9379913021917369,326951,34,65,25538,30613
33,27,15,9,9,1,,,,39907,2649,1861,0.9381000201221243,0.9380273727615146,326904,33,112,25222,31719
34,27,12,4,23,1,,,,39973,2650,1795,0.9382033943655691,0.938134223744245,326946,35,70,25652,30201
35,27,14,5,14,1,,,,39953,2654,1815,0.9380792116124312,0.9380091798224831,326928,34,88,25509,30577
36,8,20,14,1,2,,,,39874,4201,1894,0.9056332596392458,0.9055714524677266,326409,16,607,22699,26986
37,22,20,14,1,2,,,,39809,2721,1959,0.9363571616069338,0.936284406600246,326259,16,757,24868,31766
38,22,29,14,2,2,,,,39851,2730,1917,0.9362444126288567,0.9361714675237758,326689,29,327,24899,31849
39,10,20,14,1,2,,,,39873,3915,1895,0.9114328557452294,0.9113694155598032,326455,16,561,22912,27699
40,22,20,14,1,2,,,,39809,2721,1959,0.9363571616069338,0.936284406600246,326259,16,757,24868,31766
41,17,24,11,5,3,,,,39907,3200,1861,0.926341601783835,0.9262716799303069,326892,32,124,24257,30529
42,18,24,11,5,3,,,,39908,3237,1860,0.9255647248237721,0.9254945327098779,326892,32,124,24347,30647
43,16,24,11,9,3,,,,39916,3211,1852,0.926129157847991,0.9260598841612732,326913,31,103,24055,30246
44,30,24,17,5,3,,,,39840,2557,1928,0.9399680354243375,0.9398900767604315,326879,30,137,25943,34038
45,18,24,17,5,3,,,,39881,3236,1887,0.9255275351461894,0.9254556894053095,326886,31,130,24517,31369
46,30,28,24,9,2,,,,39838,2565,1930,0.9397904709332089,0.9397112273873929,326893,30,123,26145,34599
47,30,30,9,9,2,,,,39895,2522,1873,0.940830609928021,0.9407566982985801,326896,33,120,25536,32271
48,30,3,8,9,2,,,,39896,2490,1872,0.9415287428693877,0.9414553442765738,326872,34,144,25604,32047
49,30,28,9,9,2,,,,39895,2524,1873,0.9407871248347521,0.9407132200763374,326896,33,120,25534,32268
50,30,28,9,9,2,,,,39895,2524,1873,0.9407871248347521,0.9407132200763374,326896,33,120,25534,32268
51,1,30,9,16,1,,,,40055,9188,1713,0.8158921242119629,0.8158303605569434,326968,46,48,23999,26967
52,1,2,9,15,1,,,,39909,4947,1859,0.8909404423425871,0.8908761616016156,326471,40,545,26273,28066
53,3,3,9,16,5,,,,39806,5334,1962,0.8831537414338126,0.8831191229131904,323066,2423,3950,12759,15115
54,1,1,9,16,5,,,,39734,4005,2034,0.9092535900802708,0.9092161636002518,322702,2357,4314,13923,16341
55,28,30,9,16,1,,,,39909,2661,1859,0.9378445625272008,0.9377715830669886,326919,33,97,25339,31864
56,28,28,6,8,2,,,,39927,2647,1841,0.9381811312029641,0.9381097091753701,326880,34,136,25346,31184
57,28,28,6,8,2,,,,39927,2647,1841,0.9381811312029641,0.9381097091753701,326880,34,136,25346,31184
58,28,28,6,8,2,,,,39927,2647,1841,0.9381811312029641,0.9381097091753701,326880,34,136,25346,31184
59,28,28,6,8,2,,,,39927,2647,1841,0.9381811312029641,0.9381097091753701,326880,34,136,25346,31184
60,28,28,6,9,2,,,,39928,2649,1840,0.9381398196745269,0.9380683632918015,326894,34,122,25364,31199
61,24,8,8,10,2,,,,39931,2672,1837,0.9376489622249409,0.9375779845237114,326905,33,111,24861,30990
62,26,8,8,13,2,,,,39925,2628,1843,0.9385880156944612,0.9385163440195798,326912,33,104,25042,31293
63,25,27,8,12,2,,,,39922,2685,1846,0.9373513449801387,0.9372797030797044,326913,33,103,25081,31280
64,26,9,3,12,2,,,,39980,2656,1788,0.9380871843869255,0.9380191016780921,326873,35,143,25698,29726
65,24,6,1,12,2,,,,39921,2849,1847,0.9338254351583019,0.9337580051969628,326140,42,876,28294,29441
66,29,17,12,6,2,,,,39869,2656,1899,0.9378765302920311,0.9378018422366231,326884,31,132,25500,32610
67,29,17,12,6,2,,,,39869,2656,1899,0.9378765302920311,0.9378018422366231,326884,31,132,25500,32610
68,29,17,12,6,2,,,,39869,2656,1899,0.9378765302920311,0.9378018422366231,326884,31,132,25500,32610
69,29,17,12,4,2,,,,39861,2652,1907,0.9379478141375732,0.9378731695986648,326836,30,180,25486,32591
70,29,16,12,6,2,,,,39870,2658,1898,0.9378351931653526,0.9377605234326813,326884,31,132,25497,32602
71,30,25,10,2,1,,,,39822,2495,1946,0.9412844791355934,0.9412105354413632,326217,18,799,25493,32285
72,30,25,10,10,1,,,,39884,2525,1884,0.9407451331700167,0.9406708138596845,326897,33,119,25607,32449
73,30,25,10,2,1,,,,39822,2495,1946,0.9412844791355934,0.9412105354413632,326217,18,799,25493,32285
74,30,25,10,2,1,,,,39822,2495,1946,0.9412844791355934,0.9412105354413632,326217,18,799,25493,32285
75,30,25,10,2,1,,,,39822,2495,1946,0.9412844791355934,0.9412105354413632,326217,18,799,25493,32285
76,27,25,10,2,1,,,,39836,2623,1932,0.9385282380708481,0.9384554349669765,326270,18,746,25248,31787
77,26,25,10,2,1,,,,39841,2605,1927,0.938927858025605,0.9388556252169127,326281,18,735,25105,31538
78,26,25,10,2,1,,,,39841,2605,1927,0.938927858025605,0.9388556252169127,326281,18,735,25105,31538
79,26,25,10,2,1,,,,39841,2605,1927,0.938927858025605,0.9388556252169127,326281,18,735,25105,31538
80,26,25,10,2,1,,,,39841,2605,1927,0.938927858025605,0.9388556252169127,326281,18,735,25105,31538
81,30,23,7,20,1,,,,39927,2520,1841,0.9409328779061409,0.9408601847386894,326930,34,86,25594,31739
82,30,23,30,4,1,,,,39827,2568,1941,0.9397047740975866,0.9396250747736955,326861,30,155,26196,34798
83,30,23,30,4,1,,,,39827,2568,1941,0.9397047740975866,0.9396250747736955,326861,30,155,26196,34798
84,30,23,7,4,1,,,,39898,2494,1870,0.9414453018816636,0.9413729385234725,326693,33,323,25472,31595
85,30,27,7,4,1,,,,39892,2496,1876,0.9413908003662486,0.9413184026529261,326694,33,322,25491,31610
86,29,23,8,1,1,,,,39728,2572,2040,0.939432519196318,0.9393610399101718,324833,12,2183,25172,31209
87,29,23,7,18,1,,,,39939,2645,1829,0.9382470456458984,0.9381751289044139,326925,34,91,25401,31400
88,29,23,7,24,1,,,,39940,2645,1828,0.9382489371288644,0.9381770020646432,326936,34,80,25410,31408
89,29,23,7,22,1,,,,39940,2647,1828,0.9382057390754468,0.9381338131725939,326933,34,83,25405,31404
90,29,23,7,21,1,,,,39940,2647,1828,0.9382057390754468,0.9381338131725939,326933,34,83,25405,31404
91,27,27,5,3,1,,,,39911,2630,1857,0.9385183586146114,0.9384486222787923,326537,33,479,25419,30448
92,27,27,4,3,1,,,,39901,2610,1867,0.9389323359721613,0.9388636875488328,326336,34,680,25427,29973
93,27,27,4,3,1,,,,39901,2610,1867,0.9389323359721613,0.9388636875488328,326336,34,680,25427,29973
94,27,27,5,3,1,,,,39911,2630,1857,0.9385183586146114,0.9384486222787923,326537,33,479,25419,30448
95,27,27,4,3,1,,,,39901,2610,1867,0.9389323359721613,0.9388636875488328,326336,34,680,25427,29973
