observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,21464,99,968,0.9946071385211939,0.994597500636745,170731,15,165,746,1491
2,19,23,11,11,5,4,3,5,21440,93,992,0.9948503501928915,0.9948390639781043,170821,135,75,911,1746
3,2,24,12,30,2,4,5,1,21488,211,944,0.9896074636887563,0.9895966816691315,170786,30,110,783,1668
4,12,26,22,29,4,1,1,3,21441,78,991,0.9955305363820653,0.9955183193454401,170819,11,77,1005,1890
5,27,10,28,28,3,4,4,1,21425,67,1007,0.9960113059486398,0.9959999680215283,170693,10,203,1005,1754
6,18,24,10,12,4,5,4,5,21419,82,1013,0.9953242668783187,0.9953160446187487,170607,140,289,647,1272
7,29,2,28,26,3,1,1,1,21426,57,1006,0.9964663719341196,0.9964528491613047,170802,3,94,1177,2092
8,3,26,25,29,1,2,2,3,21481,201,951,0.9900447066414714,0.9900327158462651,170841,22,55,881,1855
9,2,16,30,6,5,5,2,1,21486,209,946,0.9896940267363865,0.9896829021226129,170840,21,56,794,1721
10,22,12,17,30,1,4,5,3,21425,69,1007,0.9959205606347118,0.9959094877332626,170703,10,193,964,1713
11,7,27,9,23,2,3,1,5,21470,104,962,0.9943884441595541,0.9943774876108346,170831,49,65,861,1695
12,27,4,25,2,5,4,5,2,21408,59,1024,0.9963558174278492,0.99634581755713,170548,7,348,830,1547
13,29,4,1,30,1,1,1,2,21433,88,999,0.9950685308010225,0.9950531980968558,170883,41,13,1441,2372
14,1,5,3,1,3,3,2,5,21478,167,954,0.991563538457135,0.9915532024563075,170677,63,219,853,1599
15,30,24,30,25,1,2,3,2,21428,58,1004,0.9964231440991179,0.9964097182869113,170805,7,91,1156,2077
16,15,7,30,6,5,3,3,1,21435,78,997,0.9955237425562132,0.9955114867353447,170814,11,82,997,1896
17,25,30,2,25,1,5,3,4,21450,111,982,0.9940486838239314,0.9940371455115631,170852,181,44,1012,1785
18,10,2,9,27,2,1,5,2,21436,81,996,0.9953889660232271,0.9953793475309,170649,4,247,805,1488
19,26,16,29,30,3,1,1,5,21432,74,1000,0.9957016463084891,0.9956885113781069,170808,15,88,1142,2032
20,29,26,20,3,2,3,2,5,21429,60,1003,0.9963334334517707,0.9963203502337128,170807,20,89,1137,2024
21,19,7,30,26,5,2,1,1,21435,81,997,0.9953878274308173,0.9953752031596379,170813,10,83,1047,1953
22,10,30,1,4,3,3,5,4,21441,95,991,0.9947610457865668,0.9947516535356585,170708,74,188,795,1453
23,28,1,15,7,1,4,5,5,21423,61,1009,0.9962814421828435,0.9962708088361512,170690,90,206,936,1645
24,30,30,30,6,5,3,1,5,21427,54,1005,0.9966037240895589,0.9965906796557442,170804,12,92,1115,2018
25,30,14,1,27,5,2,5,5,21431,88,1001,0.9950662247658244,0.9950563606399566,170689,150,207,899,1526
26,20,18,28,12,5,4,5,3,21417,62,1015,0.9962294272134323,0.9962196083358483,170580,9,316,812,1519
27,28,1,2,2,3,1,4,1,21407,66,1025,0.9960366979989932,0.9960251596866249,170462,3,434,1128,1785
28,29,27,10,29,3,1,3,1,21428,58,1004,0.9964231440991179,0.9964098734238842,170816,9,80,1149,2053
29,18,1,15,30,5,5,2,5,21436,87,996,0.9951172591287945,0.9951057143523856,170810,111,86,975,1786
30,21,29,12,1,3,3,3,3,21431,74,1001,0.995700521382635,0.9956875480532663,170797,6,99,1119,2007
31,28,28,30,13,1,1,4,3,21421,52,1011,0.9966880977174023,0.99667663050948,170690,7,206,1018,1774
32,13,8,3,30,5,5,1,3,21440,87,992,0.9951218606550911,0.9951096242263442,170850,22,46,1024,1893
33,22,3,18,2,1,5,3,5,21434,85,998,0.9952055182506966,0.9951935533116525,170816,112,80,997,1851
34,13,27,1,3,2,1,5,3,21427,83,1005,0.9952880933314258,0.9952774082724091,170653,15,243,980,1653
35,9,22,29,29,1,5,2,5,21468,111,964,0.9940702146595258,0.994060421638104,170817,156,79,718,1515
36,4,25,18,10,3,3,2,3,21479,196,953,0.990265622997362,0.9902539230839801,170837,19,59,879,1810
37,23,4,3,29,3,2,5,5,21433,86,999,0.9951590870890726,0.9951486929118804,170743,76,153,962,1608
38,23,6,30,6,4,5,4,1,21411,62,1021,0.9962228122042529,0.9962130321109122,170566,10,330,800,1513
39,5,1,30,29,2,3,2,2,21471,90,961,0.9950218783395633,0.9950095320221273,170801,7,95,1156,1910
40,16,15,2,1,4,1,4,1,21364,63,1068,0.9961253502804576,0.9961163070877387,170093,0,803,801,1399
41,6,3,25,20,2,3,1,4,21477,113,955,0.9939907918048174,0.9939798805043818,170823,23,73,893,1688
42,26,29,6,4,1,3,5,2,21430,74,1002,0.9956993963543371,0.9956880519631851,170717,13,179,1044,1755
43,24,7,1,27,5,1,2,1,21448,129,984,0.9932342630625957,0.9932198805723886,170876,40,20,1345,2225
44,14,30,23,30,3,5,3,1,21438,80,994,0.9954365377864702,0.9954241591488314,170815,11,81,1014,1915
45,24,13,29,8,5,1,5,5,21411,62,1021,0.9962228122042529,0.9962130450389932,170566,14,330,808,1511
46,30,27,18,10,1,2,5,5,21420,54,1012,0.9965961263955605,0.9965849048211788,170694,20,202,1004,1736
47,15,1,1,30,4,5,4,2,21445,120,987,0.9936364638866775,0.9936248092215795,170730,33,166,1015,1803
48,12,3,30,6,5,3,4,3,21418,69,1014,0.995912749524549,0.9959034348421273,170587,9,309,756,1441
49,19,16,1,2,2,5,1,5,21391,95,1041,0.9947026075893329,0.9946925107580056,170310,173,586,939,1562
50,17,30,30,27,3,1,3,1,21434,79,998,0.9954772987147131,0.9954646809075742,170813,10,83,1037,1952
51,30,1,23,1,4,2,1,1,21424,53,1008,0.9966459032103498,0.9966326260710756,170790,0,106,1148,2054
52,15,26,2,23,2,5,5,4,21441,100,991,0.9945349513563359,0.9945257724187656,170757,182,139,789,1420
53,8,1,27,28,5,5,5,3,21444,75,988,0.9956698298669376,0.9956609418111918,170596,10,300,753,1375
54,13,28,29,8,5,1,1,5,21437,79,995,0.9954807024322104,0.995468685780842,170814,20,82,993,1859
55,30,29,30,30,1,5,5,4,21423,58,1009,0.9964176777509974,0.9964068310909672,170690,82,206,943,1678
56,30,2,30,5,4,4,5,4,21407,44,1025,0.9970368810961212,0.9970276116619833,170542,80,354,750,1434
57,21,29,8,29,5,5,2,5,21441,90,991,0.9949872430393586,0.9949759051122471,170827,144,69,949,1754
58,12,11,1,1,2,2,4,2,21353,71,1079,0.9957489591571786,0.9957389722145406,170018,2,878,945,1545
59,13,7,26,29,2,2,1,3,21439,80,993,0.9954376740588171,0.9954254117739081,170816,12,80,1020,1897
60,28,30,18,1,1,2,4,1,21414,54,1018,0.9965896102252124,0.9965781494813306,170658,0,238,1019,1773
61,22,27,27,2,2,5,5,4,21425,80,1007,0.9954217568299638,0.9954115501099473,170691,107,205,875,1579
62,6,3,4,30,3,3,3,2,21479,114,953,0.9939481105314354,0.9939367532122023,170837,15,59,943,1757
63,29,20,3,18,5,5,1,5,21440,83,992,0.9953029499776705,0.9952915926584375,170850,174,46,976,1757
64,26,1,30,23,5,1,3,3,21426,72,1006,0.9957855951754638,0.9957722340036625,170802,3,94,1181,2067
65,12,30,19,30,2,1,5,5,21433,76,999,0.9956121158743299,0.9956019091543133,170714,24,182,893,1579
