observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,21441,82,991,0.9953493726898899,0.9953373818946836,170820,24,76,1013,1855
2,19,22,1,30,5,2,1,1,21440,106,992,0.9942625854908151,0.994247950903027,170883,42,13,1348,2264
3,10,16,13,9,4,1,2,2,21451,82,981,0.9953607678165911,0.9953492747525066,170822,13,74,868,1778
4,14,24,6,16,3,1,4,1,21434,76,998,0.9956132446196753,0.9956026112729829,170725,13,171,920,1645
5,2,29,29,25,2,1,4,3,21490,206,942,0.9898335937269699,0.9898223075121827,170786,39,110,843,1746
6,4,15,2,28,2,4,2,3,21483,172,949,0.9913458547871904,0.9913343229388626,170857,24,39,864,1784
7,17,6,30,24,5,5,3,5,21437,91,995,0.9949373621559003,0.9949260242287888,170813,122,83,889,1754
8,3,6,2,10,2,2,5,2,21458,128,974,0.9932916476106008,0.9932818933734223,170728,22,168,759,1509
9,9,17,5,25,1,5,4,1,21458,95,974,0.9947808542932085,0.994771028951584,170739,13,157,771,1520
10,1,25,22,22,4,1,2,1,21499,215,933,0.989444210239521,0.9894317928176389,170860,31,36,936,1921
11,26,19,10,2,2,2,4,4,21423,70,1009,0.9958729589090257,0.9958621251770765,170703,33,193,990,1676
12,27,15,4,22,4,3,4,3,21415,72,1017,0.9957732529212915,0.9957630979135993,170618,16,278,892,1571
13,16,13,1,4,1,4,2,3,21425,92,1007,0.9948781767609459,0.9948657916592666,170701,26,195,1122,1916
14,28,8,13,23,2,1,2,1,21430,59,1002,0.9963799280821058,0.9963666444787911,170814,8,82,1150,2055
15,28,25,20,27,5,1,5,3,21408,43,1024,0.997083456369681,0.9970734952832051,170545,7,351,827,1541
16,25,27,10,4,2,3,5,5,21423,70,1009,0.9958729589090257,0.9958620734647522,170706,33,190,980,1684
17,1,16,13,7,1,2,5,2,21494,197,938,0.9902413269805056,0.990230202366732,170780,23,116,860,1721
18,16,22,11,30,5,2,3,2,21436,77,996,0.9955701863977134,0.9955578530083584,170821,11,75,1008,1908
19,9,2,19,16,1,2,5,2,21447,87,985,0.9951299092982726,0.9951204200867563,170669,6,227,777,1468
20,5,15,30,8,4,4,2,4,21486,170,946,0.9914394560233892,0.991430600287846,170829,205,67,640,1370
21,12,19,20,17,1,5,2,1,21443,83,989,0.9953063759392353,0.9952942041508939,170820,12,76,1009,1883
22,2,18,21,1,3,2,4,1,21466,167,966,0.9915478696917822,0.9915377599323738,170593,0,303,776,1564
23,21,12,29,5,2,1,5,5,21423,70,1009,0.9958729589090257,0.9958620411445495,170698,17,198,971,1689
24,8,20,25,17,3,2,1,5,21462,100,970,0.9945596263102775,0.9945488313625716,170823,30,73,842,1670
25,28,19,11,11,4,5,5,4,21412,51,1020,0.996723826689594,0.9967149192417265,170552,94,344,732,1378
26,20,3,5,27,4,1,1,4,21437,83,995,0.9952995230808087,0.9952878296314674,170834,70,62,1045,1809
27,1,5,17,21,4,2,4,2,21470,162,962,0.9917775314116779,0.9917684106504725,170678,13,218,698,1411
28,10,23,20,26,4,3,1,2,21452,83,980,0.9953166482159743,0.995305109903606,170821,13,75,869,1785
29,8,8,30,12,5,4,4,3,21445,87,987,0.9951276102088168,0.9951189742506521,170646,14,250,637,1336
30,18,15,6,22,2,1,4,1,21432,77,1000,0.9955656635757307,0.9955549397324708,170723,13,173,937,1659
31,29,29,28,12,1,5,3,5,21432,66,1000,0.9960644486045246,0.9960517338367776,170805,86,91,1068,1967
32,29,26,9,12,5,2,1,3,21432,56,1000,0.9965183234388253,0.9965052014365241,170818,8,78,1128,2030
33,29,21,18,3,4,5,1,3,21428,57,1004,0.9964685541347308,0.9964554515245512,170805,6,91,1109,2027
34,27,23,21,22,2,2,5,5,21424,67,1008,0.9960101944135282,0.995998908198741,170694,17,202,1012,1746
35,27,28,16,16,4,4,4,4,21417,72,1015,0.9957754978877489,0.9957664870152327,170570,109,326,736,1394
36,27,11,12,3,3,1,3,3,21432,73,1000,0.9957469821414137,0.9957338601391125,170815,11,81,1142,2030
37,9,18,1,2,5,2,1,3,21404,93,1028,0.9948084422073183,0.9947980027818423,170232,15,664,925,1615
38,24,7,19,3,1,3,3,4,21432,76,1000,0.9956109870262114,0.9955981882259374,170813,21,83,1104,1980
39,22,30,16,10,4,2,3,1,21431,74,1001,0.995700521382635,0.9956876967261987,170812,10,84,1079,1984
40,1,29,26,21,3,1,1,2,21503,220,929,0.9892267534243172,0.9892141291531378,170864,33,32,957,1953
41,17,22,20,9,5,4,3,4,21438,91,994,0.9949385206148774,0.9949272602562524,170815,124,81,882,1742
42,13,8,11,23,1,1,1,1,21439,80,993,0.9954376740588171,0.9954253794537054,170826,12,70,1027,1902
43,26,22,15,3,3,3,1,3,21433,74,999,0.9957027711319133,0.9956895327768823,170809,9,87,1147,2048
44,12,19,20,2,2,4,3,5,21443,94,989,0.9948086050039667,0.9947976872394905,170813,135,83,881,1689
45,20,5,3,20,1,3,5,3,21428,76,1004,0.9956064706057274,0.9955951908549808,170746,19,150,1034,1745
46,12,20,14,17,5,2,5,5,21423,69,1009,0.9959183293973259,0.9959092344922827,170608,24,288,749,1407
47,6,3,4,1,1,4,1,2,21460,103,972,0.9944217849732024,0.9944108348885236,170682,2,214,923,1694
48,26,1,25,9,1,4,4,5,21424,74,1008,0.9956926440324437,0.9956821011823189,170668,85,228,933,1631
49,23,25,9,6,4,5,5,3,21413,63,1019,0.9961795979738657,0.9961697597041601,170585,12,311,812,1522
50,12,24,11,28,5,3,4,4,21422,70,1010,0.9958718411216689,0.9958626945043013,170613,29,283,757,1415
51,4,28,16,25,2,5,2,1,21482,203,950,0.9899566542580303,0.9899452904747567,170839,21,57,844,1758
52,28,3,10,29,5,3,4,3,21406,44,1026,0.9970358142940451,0.9970259049198935,170559,8,337,833,1533
53,9,10,21,23,4,4,1,3,21462,92,970,0.994921090546998,0.9949098883647378,170816,12,80,838,1733
54,2,17,14,27,2,1,1,4,21493,183,939,0.9908663084248301,0.9908551967391377,170856,58,40,842,1719
55,19,4,3,22,1,5,4,1,21431,85,1001,0.9952020774280312,0.9951909528142576,170748,19,148,980,1721
56,3,30,12,12,5,5,5,4,21486,222,946,0.9891135818746295,0.9891065489985194,170728,246,168,465,1088
57,12,3,24,17,3,5,1,3,21440,83,992,0.9953029499776705,0.9952907329410453,170814,10,82,1018,1890
58,1,15,2,4,1,4,4,3,21492,201,940,0.9900597850171691,0.9900492098468416,170777,20,119,814,1636
59,29,12,9,27,2,5,1,5,21436,70,996,0.9958874808822682,0.9958752121333186,170819,118,77,1048,1898
60,2,27,16,30,1,3,5,3,21485,223,947,0.9890675466153037,0.9890559889108138,170795,39,101,875,1788
61,19,21,14,19,3,5,1,2,21437,81,995,0.995390104512014,0.9953773380319427,170821,11,75,1067,1975
62,29,27,14,19,2,1,3,2,21430,59,1002,0.9963799280821058,0.9963665927664668,170811,7,85,1150,2063
63,18,3,30,30,4,3,2,5,21433,80,999,0.995430854873213,0.9954185538040607,170812,15,84,1024,1903
64,21,5,28,25,5,4,4,3,21411,63,1021,0.9961773885273267,0.9961676278261076,170571,10,325,805,1510
65,28,26,2,1,2,5,5,1,21365,49,1067,0.9967640741314413,0.9967535183532354,170125,0,771,1025,1633
66,18,12,30,26,5,3,3,2,21435,78,997,0.9955237425562132,0.9955112346377636,170813,10,83,1022,1935
67,2,26,25,30,5,3,4,5,21486,202,946,0.9900068562329055,0.9899968369700647,170755,71,141,748,1550
68,26,8,14,4,5,4,2,4,21436,84,996,0.9952530940318245,0.9952410773804561,170814,108,82,1005,1859
69,19,11,4,21,3,4,3,5,21445,104,987,0.9943588854277855,0.9943478771667417,170839,172,57,916,1703
70,17,17,27,13,1,1,4,4,21429,74,1003,0.9956982712235811,0.9956879352227537,170705,21,191,885,1599
71,22,7,5,1,2,3,2,3,21431,76,1001,0.9956098580753059,0.9955970980592751,170777,9,119,1118,1974
72,28,11,16,24,2,4,5,5,21424,62,1008,0.996237140152114,0.9962265649817865,170697,95,199,923,1636
73,5,28,15,8,3,5,3,2,21477,186,955,0.9907105604754598,0.9906993324370376,170829,18,67,853,1737
74,20,8,3,4,1,1,1,4,21434,89,998,0.9950244137043559,0.9950125198697578,170831,73,65,1078,1840
75,6,11,27,15,4,1,1,1,21468,141,964,0.9927187676007818,0.9927076623791299,170828,16,68,849,1718
76,6,9,6,3,1,3,2,2,21469,146,963,0.9924951482432435,0.9924838749565374,170832,14,64,884,1744
77,16,21,2,24,4,1,5,5,21433,85,999,0.9952043714141904,0.9951955156786472,170660,84,236,761,1370
78,2,9,25,23,1,2,2,3,21475,196,957,0.9902601744333498,0.9902484292716841,170853,22,43,906,1817
79,19,12,14,23,1,2,4,5,21427,76,1005,0.9956053412435331,0.9955947531451245,170706,24,190,923,1638
80,16,16,4,14,3,2,2,2,21438,86,994,0.9951648302677168,0.9951523869896726,170840,17,56,1048,1925
81,1,10,7,10,1,5,3,4,21510,386,922,0.9818904883980806,0.9818817684073888,170851,266,45,640,1349
82,24,15,3,17,3,4,3,1,21433,86,999,0.9951590870890726,0.9951460361912174,170843,21,53,1143,2019
83,9,11,20,18,2,5,4,2,21457,92,975,0.9949152998192581,0.9949057136471336,170716,13,180,748,1483
84,4,5,8,5,1,2,1,5,21472,165,960,0.9916454608851469,0.9916349180350221,170841,51,55,837,1631
85,3,16,13,30,1,2,5,5,21474,167,958,0.991558317426104,0.9915487183258984,170747,46,149,717,1485
86,25,8,6,21,5,3,3,2,21433,79,999,0.9954761639356445,0.9954634233117353,170826,14,70,1108,1971
87,24,6,10,13,3,2,1,4,21432,79,1000,0.9954750290532677,0.9954625599190613,170822,43,74,1094,1929
88,9,18,5,15,3,1,2,1,21463,98,969,0.9946511375717036,0.994639702683984,170830,13,66,885,1769
89,2,30,10,25,2,4,4,3,21489,215,943,0.9894302384688486,0.9894192819201291,170791,39,105,797,1695
90,15,13,11,28,5,5,1,4,21439,95,993,0.9947587133606409,0.9947479571971782,170827,155,69,849,1664
91,29,6,2,23,3,5,1,4,21448,105,984,0.9943172598975085,0.9943051721416941,170876,232,20,1087,1870
92,7,5,5,25,4,3,2,5,21466,104,966,0.9943837192711993,0.9943732345974394,170834,45,62,831,1622
93,12,25,14,12,3,2,4,3,21434,75,998,0.9956585681729287,0.9956480576430067,170715,11,181,906,1626
94,7,27,12,17,5,4,1,5,21478,120,954,0.9936765198466969,0.9936672956608428,170827,177,69,672,1427
95,19,11,5,24,4,3,5,4,21423,76,1009,0.9956008227660443,0.9955916826127172,170628,59,268,775,1414
96,5,10,8,23,1,3,4,5,21460,151,972,0.9922589009692326,0.9922494699340811,170746,46,150,774,1459
97,11,25,4,26,1,2,4,1,21445,85,987,0.995218126567428,0.9952078228868033,170744,13,152,865,1594
98,7,22,22,20,4,3,2,2,21469,100,963,0.9945678408394969,0.9945565352325881,170827,15,69,860,1749
99,6,28,18,13,3,5,1,3,21480,184,952,0.9908041565802681,0.9907928897576026,170829,17,67,850,1743
100,16,19,1,27,5,3,4,5,21439,133,993,0.9930428177051489,0.9930331410364568,170725,138,171,840,1497
101,22,5,18,19,3,4,5,5,21425,80,1007,0.9954217568299638,0.9954116729267176,170693,109,203,869,1560
102,14,4,30,26,1,5,5,3,21431,76,1001,0.9956098580753059,0.9955995931789244,170696,11,200,880,1588
103,18,12,2,11,5,1,2,2,21437,86,995,0.9951636818410133,0.9951509800013474,170852,22,44,1098,1965
104,17,28,11,11,4,3,2,3,21434,77,998,0.9955679251925971,0.9955555530189988,170821,10,75,1009,1914
105,5,6,15,13,5,2,3,4,21474,111,958,0.9940773837905299,0.9940667698359592,170826,31,70,843,1642
106,1,20,6,29,1,3,1,5,21502,235,930,0.988556795350997,0.9885451794701422,170860,72,36,926,1797
107,16,18,3,23,2,5,2,1,21437,89,995,0.9950278776761362,0.9950153374374838,170849,21,47,1057,1940
108,2,15,17,2,4,3,3,3,21486,178,946,0.9910809175178604,0.9910694567739786,170829,20,67,845,1773
109,13,17,5,6,5,5,2,2,21439,84,993,0.9952565272654516,0.995244497686002,170827,14,69,995,1861
110,20,13,1,5,4,4,1,2,21417,89,1015,0.9950047666568175,0.994992071281192,170681,27,215,1231,1964
111,7,21,1,4,4,1,4,2,21450,96,982,0.9947263273683761,0.9947165925233191,170655,19,241,779,1506
112,3,8,22,26,5,2,4,2,21466,157,966,0.9919969240978632,0.9919877774804956,170684,16,212,674,1415
113,9,27,1,3,2,1,1,3,21442,97,990,0.9946717657395372,0.9946600076497905,170653,19,243,1016,1819
114,13,27,25,11,2,2,3,2,21441,80,991,0.99543994629332,0.9954275999758839,170815,11,81,1025,1910
115,19,13,17,14,2,5,4,1,21428,76,1004,0.9956064706057274,0.9955955980895349,170703,9,193,929,1682
