observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,21441,82,991,0.9953493726898899,0.9953373818946836,170820,24,76,1013,1855
2,19,22,1,30,5,2,1,1,21440,106,992,0.9942625854908151,0.994247950903027,170883,42,13,1348,2264
3,10,16,13,9,4,1,2,2,21451,82,981,0.9953607678165911,0.9953492747525066,170822,13,74,868,1778
4,14,24,6,16,3,1,4,1,21434,76,998,0.9956132446196753,0.9956026112729829,170725,13,171,920,1645
5,2,29,29,25,2,1,4,3,21490,206,942,0.9898335937269699,0.9898223075121827,170786,39,110,843,1746
6,4,15,2,28,2,4,2,3,21483,172,949,0.9913458547871904,0.9913343229388626,170857,24,39,864,1784
7,17,6,30,24,5,5,3,5,21437,91,995,0.9949373621559003,0.9949260242287888,170813,122,83,889,1754
8,3,6,2,10,2,2,5,2,21458,128,974,0.9932916476106008,0.9932818933734223,170728,22,168,759,1509
9,9,17,5,25,1,5,4,1,21458,95,974,0.9947808542932085,0.994771028951584,170739,13,157,771,1520
10,1,25,22,22,4,1,2,1,21499,215,933,0.989444210239521,0.9894317928176389,170860,31,36,936,1921
11,28,1,10,1,3,3,5,4,21417,55,1015,0.9965474240619416,0.9965364287289789,170685,27,211,1011,1701
12,27,1,9,1,3,3,5,4,21419,70,1013,0.9958684871484194,0.9958577762332405,170681,34,215,997,1657
13,28,1,10,1,3,3,5,4,21417,55,1015,0.9965474240619416,0.9965364287289789,170685,27,211,1011,1701
14,28,11,10,1,3,3,5,4,21419,56,1013,0.9965041634603663,0.9964931745914442,170683,27,213,1001,1700
15,26,21,10,4,3,3,5,4,21423,70,1009,0.9958729589090257,0.9958620928568739,170704,33,192,990,1681
16,22,1,17,7,4,4,4,4,21412,71,1020,0.9958152691054497,0.995806478010312,170553,93,343,731,1360
17,22,1,16,8,4,4,4,4,21412,71,1020,0.9958152691054497,0.995806478010312,170553,93,343,731,1360
18,22,1,17,8,4,4,4,4,21412,71,1020,0.9958152691054497,0.995806478010312,170553,93,343,731,1360
19,30,1,16,8,4,4,4,4,21407,46,1025,0.9969458723637308,0.9969367774586876,170545,86,351,747,1407
20,22,1,17,7,4,4,4,4,21412,71,1020,0.9958152691054497,0.995806478010312,170553,93,343,731,1360
21,30,6,22,12,5,2,3,5,21428,54,1004,0.9966048090786476,0.996591790500995,170806,14,90,1113,2014
22,30,6,21,12,5,2,3,5,21429,56,1003,0.9965150572406731,0.9965022067280748,170810,21,86,1100,1988
23,30,6,21,12,5,2,3,5,21429,56,1003,0.9965150572406731,0.9965022067280748,170810,21,86,1100,1988
24,30,7,21,14,5,2,3,5,21429,56,1003,0.9965150572406731,0.9965022067280748,170810,21,86,1100,1988
25,30,6,22,14,5,2,3,5,21428,54,1004,0.9966048090786476,0.996591790500995,170806,14,90,1113,2014
26,25,11,26,19,5,2,3,5,21432,73,1000,0.9957469821414137,0.9957341187007341,170808,15,88,1093,1990
27,25,9,26,18,5,2,3,5,21431,73,1001,0.995745859228642,0.995733002252003,170808,15,88,1095,1989
28,25,10,25,17,5,2,3,5,21431,73,1001,0.995745859228642,0.995733002252003,170808,15,88,1095,1989
29,25,9,25,19,5,2,3,5,21431,73,1001,0.995745859228642,0.995733002252003,170808,15,88,1095,1989
30,25,10,24,19,5,2,3,5,21431,73,1001,0.995745859228642,0.9957330281081652,170809,17,87,1092,1985
31,20,4,19,5,4,5,2,3,21435,75,997,0.9956596948037107,0.995647018820207,170817,10,79,1076,1961
32,20,4,19,14,4,5,2,3,21435,75,997,0.9956596948037107,0.995647018820207,170817,10,79,1076,1961
33,20,3,19,14,4,5,2,3,21434,75,998,0.9956585681729287,0.9956458792613438,170816,9,80,1076,1963
34,19,4,19,14,4,5,2,3,21436,83,996,0.9952983805739449,0.9952858080150898,170817,10,79,1037,1945
35,19,4,19,14,4,5,2,3,21436,83,996,0.9952983805739449,0.9952858080150898,170817,10,79,1037,1945
36,28,3,14,11,2,3,1,4,21429,61,1003,0.9962880378486241,0.9962751938000662,170813,29,83,1126,1987
37,28,14,13,11,2,3,1,4,21430,61,1002,0.9962891367756679,0.9962762991911506,170813,29,83,1124,1986
38,28,13,13,4,2,3,1,4,21429,61,1003,0.9962880378486241,0.9962752067281473,170813,30,83,1124,1985
39,28,8,13,4,2,3,1,4,21430,61,1002,0.9962891367756679,0.9962763056551911,170814,30,82,1125,1985
40,28,13,13,4,2,3,1,4,21429,61,1003,0.9962880378486241,0.9962752067281473,170813,30,83,1124,1985
41,13,3,28,6,3,1,4,2,21429,74,1003,0.9956982712235811,0.9956879093665916,170689,9,207,887,1603
42,13,18,8,16,3,1,4,2,21434,74,998,0.9957038958529216,0.9956933594668375,170718,12,178,907,1630
43,13,3,7,6,3,1,4,2,21431,76,1001,0.9956098580753059,0.9955994121857893,170707,11,189,907,1616
44,13,3,7,6,3,1,4,2,21431,76,1001,0.9956098580753059,0.9955994121857893,170707,11,189,907,1616
45,13,19,6,16,3,1,4,5,21434,77,998,0.9955679251925971,0.995557938249959,170723,44,173,878,1545
46,30,5,11,2,1,4,5,5,21423,60,1009,0.9963268498994046,0.9963162941211987,170697,92,199,928,1633
47,10,7,4,2,1,4,5,5,21450,103,982,0.9944099787766484,0.9944020409348623,170724,174,172,612,1228
48,7,5,4,2,1,4,5,5,21462,117,970,0.9937923862037799,0.9937849073088723,170726,180,170,579,1157
49,6,26,11,2,1,4,5,5,21470,170,962,0.9914184811117924,0.9914108535439523,170725,190,171,567,1180
50,8,5,11,2,3,4,5,5,21460,105,972,0.9943314765683424,0.994323726183732,170707,151,189,589,1199
51,16,2,15,9,4,3,5,4,21413,70,1019,0.995861776450355,0.9958526686172307,170580,18,316,746,1409
52,23,2,15,9,4,3,5,4,21408,65,1024,0.9960832265503081,0.9960737179466702,170565,21,331,794,1471
53,27,2,23,10,4,3,5,4,21407,62,1025,0.9962184001868929,0.9962085554531467,170551,14,345,835,1523
54,23,2,15,10,4,3,5,4,21408,65,1024,0.9960832265503081,0.9960737179466702,170565,21,331,794,1471
55,27,2,15,9,4,3,5,4,21408,64,1024,0.9961286480047646,0.9961189907281942,170559,24,337,821,1494
56,30,7,21,12,5,2,3,5,21429,56,1003,0.9965150572406731,0.9965022067280748,170810,21,86,1100,1988
57,30,6,22,12,5,2,3,5,21428,54,1004,0.9966048090786476,0.996591790500995,170806,14,90,1113,2014
58,30,7,23,12,5,2,3,5,21428,54,1004,0.9966048090786476,0.996591790500995,170806,14,90,1113,2014
59,30,6,21,12,5,2,3,5,21429,56,1003,0.9965150572406731,0.9965022067280748,170810,21,86,1100,1988
60,30,7,21,12,5,2,3,5,21429,56,1003,0.9965150572406731,0.9965022067280748,170810,21,86,1100,1988
61,29,8,23,22,5,2,3,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
62,29,8,23,21,5,2,3,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
63,29,8,23,28,5,2,3,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
64,29,9,23,29,5,2,3,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
65,29,9,23,22,5,2,3,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
66,26,8,28,22,5,2,3,5,21431,73,1001,0.995745859228642,0.9957329376115976,170808,15,88,1115,1999
67,26,11,27,22,5,2,3,5,21432,73,1000,0.9957469821414137,0.9957340540603288,170808,15,88,1113,2000
68,26,12,28,23,5,2,3,5,21432,73,1000,0.9957469821414137,0.9957340540603288,170808,15,88,1113,2000
69,26,11,27,22,5,2,3,5,21432,73,1000,0.9957469821414137,0.9957340540603288,170808,15,88,1113,2000
70,26,11,28,23,5,2,3,5,21432,73,1000,0.9957469821414137,0.9957340540603288,170808,15,88,1113,2000
71,29,16,25,15,5,1,2,5,21428,55,1004,0.9965593866239296,0.9965463615822365,170806,14,90,1111,2015
72,29,5,24,26,5,1,2,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
73,29,5,25,15,5,1,2,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
74,29,5,25,20,5,1,2,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
75,29,5,25,20,5,1,2,5,21428,55,1004,0.9965593866239296,0.996546368046277,170806,14,90,1112,2014
76,27,8,22,26,5,2,3,5,21431,73,1001,0.995745859228642,0.9957329634677597,170809,17,87,1112,1995
77,27,8,22,27,5,2,3,5,21431,73,1001,0.995745859228642,0.9957329634677597,170809,17,87,1112,1995
78,27,8,22,26,5,2,3,5,21431,73,1001,0.995745859228642,0.9957329634677597,170809,17,87,1112,1995
79,27,8,22,27,5,2,3,5,21431,73,1001,0.995745859228642,0.9957329634677597,170809,17,87,1112,1995
80,27,7,20,27,5,2,3,5,21433,74,999,0.9957027711319133,0.9956900240439636,170813,23,83,1104,1972
81,24,10,18,13,5,2,4,5,21410,63,1022,0.996176283652938,0.9961666716246513,170571,22,325,800,1487
82,30,10,18,13,5,2,4,1,21405,40,1027,0.9972168309515979,0.9972069021853246,170550,7,346,824,1536
83,24,10,20,13,5,2,4,5,21410,63,1022,0.996176283652938,0.9961666651606108,170571,21,325,800,1488
84,30,10,30,13,5,2,4,1,21404,37,1028,0.9973523844848426,0.9973423975422046,170542,7,354,826,1545
85,30,10,18,13,5,2,4,5,21405,41,1027,0.9971713038276845,0.9971616659432356,170550,23,346,807,1491
86,30,13,17,17,5,2,4,1,21405,40,1027,0.9972168309515979,0.9972068957212841,170551,7,345,824,1537
87,30,12,17,11,5,2,4,1,21404,40,1028,0.9972157720734859,0.9972058433072126,170550,7,346,824,1536
88,30,13,30,17,5,2,4,1,21405,37,1027,0.99735343726994,0.9973434438632613,170543,7,353,826,1546
89,30,13,17,17,5,2,4,1,21405,40,1027,0.9972168309515979,0.9972068957212841,170551,7,345,824,1537
90,30,13,17,11,5,2,4,1,21404,40,1028,0.9972157720734859,0.9972058433072126,170550,7,346,824,1536
91,28,15,30,18,4,2,4,1,21408,42,1024,0.9971289690931009,0.9971189821504628,170543,7,353,828,1545
92,28,15,30,18,4,2,4,1,21408,42,1024,0.9971289690931009,0.9971189821504628,170543,7,353,828,1545
93,28,15,30,17,4,2,4,1,21408,42,1024,0.9971289690931009,0.9971189821504628,170543,7,353,828,1545
94,28,15,17,17,4,2,4,1,21408,44,1024,0.997037947800816,0.9970280125705022,170550,7,346,826,1537
95,28,15,30,18,4,2,4,1,21408,42,1024,0.9971289690931009,0.9971189821504628,170543,7,353,828,1545
96,30,13,29,16,5,2,4,1,21405,37,1027,0.99735343726994,0.9973434438632613,170543,7,353,826,1546
97,30,13,29,16,5,2,4,1,21405,37,1027,0.99735343726994,0.9973434438632613,170543,7,353,826,1546
98,30,13,29,16,5,2,4,1,21405,37,1027,0.99735343726994,0.9973434438632613,170543,7,353,826,1546
99,30,13,18,15,5,2,4,1,21406,40,1026,0.9972178897330256,0.9972079545027118,170551,7,345,824,1537
100,30,13,29,16,5,2,4,1,21405,37,1027,0.99735343726994,0.9973434438632613,170543,7,353,826,1546
101,29,14,27,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
102,29,14,29,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
103,29,14,29,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
104,29,14,27,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
105,29,14,29,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
106,29,14,29,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
107,29,14,29,15,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
108,29,14,29,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
109,29,14,27,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
110,29,14,29,16,5,2,4,1,21405,38,1027,0.9973078976721562,0.9972979042654776,170543,7,353,825,1546
111,28,17,26,14,5,2,4,1,21406,42,1026,0.9971268437017878,0.9971168502951092,170542,6,354,829,1546
112,28,17,26,19,5,2,4,1,21406,42,1026,0.9971268437017878,0.9971168502951092,170543,7,353,829,1546
113,28,16,26,19,5,2,4,1,21406,42,1026,0.9971268437017878,0.9971168502951092,170543,7,353,829,1546
114,1,17,29,19,5,2,4,1,21488,177,944,0.9911283679130494,0.9911177733506003,170760,28,136,785,1639
115,28,16,26,19,5,2,4,1,21406,42,1026,0.9971268437017878,0.9971168502951092,170543,7,353,829,1546
