observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,21469,101,963,0.9945226902559106,0.9945114040411234,170827,15,69,865,1746
2,8,29,21,7,2,,,,21461,99,971,0.9946036230433268,0.9945923497566208,170822,15,74,866,1744
3,19,23,11,11,5,,,,21420,82,1012,0.9953254091428678,0.9953169477137978,170599,127,297,671,1309
4,4,8,24,3,5,,,,21462,167,970,0.9915426429864367,0.9915359009921509,170678,188,218,458,1043
5,2,24,12,30,2,,,,21491,208,941,0.9897456255647368,0.9897333374236655,170859,30,37,919,1901
6,19,11,6,6,5,,,,21425,87,1007,0.9951045962917549,0.9950964580647119,170620,152,276,666,1259
7,3,29,28,29,1,,,,21483,202,949,0.9900027373347575,0.9899907336114702,170842,31,54,882,1857
8,28,2,29,25,4,,,,21410,49,1022,0.9968126206441243,0.9968034029223108,170542,83,354,749,1426
9,29,30,27,1,4,,,,21407,47,1025,0.996900374227655,0.9968911047935171,170530,77,366,750,1434
10,27,30,5,30,4,,,,21426,84,1006,0.9952416431473903,0.9952330718296309,170612,159,284,737,1326
11,25,7,30,12,5,,,,21413,71,1019,0.9958163899295726,0.9958073596649347,170560,97,336,728,1397
12,17,29,4,29,2,,,,21440,86,992,0.995167126807686,0.9951544960724661,170843,17,53,1063,1954
13,15,6,2,1,3,,,,21401,76,1031,0.9955759416824446,0.9955642288409816,170458,10,438,1029,1812
14,29,30,20,4,2,,,,21429,59,1003,0.9963788331919834,0.9963654720201821,170807,6,89,1152,2067
15,29,1,9,29,5,,,,21408,49,1024,0.9968104672549064,0.9968015985912821,170557,103,339,740,1372
16,12,6,30,29,5,,,,21424,83,1008,0.9952846623771805,0.9952766663590294,170601,135,295,625,1237
17,30,25,4,1,4,,,,21399,55,1033,0.9965278230530942,0.9965194391925106,170455,124,441,730,1297
18,12,30,2,27,2,,,,21445,94,987,0.9948109325755236,0.9947980820629252,170857,23,39,1110,1988
19,11,2,13,1,2,,,,21444,80,988,0.9954433538698069,0.9954314664992493,170800,2,96,987,1839
20,14,29,30,5,4,,,,21421,83,1011,0.9952812304855928,0.9952730857945093,170602,132,294,627,1260
21,30,4,27,22,5,,,,21407,44,1025,0.9970368810961212,0.9970276181260238,170542,81,354,749,1433
22,23,30,6,3,2,,,,21435,82,997,0.995342530635747,0.9953296478029459,170820,13,76,1126,1993
23,9,2,1,16,5,,,,21454,146,978,0.9924761665087636,0.99246861650941,170702,213,194,599,1168
24,29,20,3,30,5,,,,21430,67,1002,0.9960168621053461,0.9960082584673841,170627,159,269,737,1331
25,16,19,30,9,1,,,,21436,79,996,0.9954795679629822,0.9954671634691812,170814,11,82,1021,1919
26,30,9,16,26,5,,,,21408,47,1024,0.9969014470158615,0.9968924038231426,170551,91,345,734,1399
27,12,25,30,5,1,,,,21440,81,992,0.9953935193567828,0.9953811924314683,170815,12,81,1028,1907
28,30,30,2,8,1,,,,21433,75,999,0.9956574414395666,0.9956432464065353,170854,35,42,1301,2196
29,14,2,10,4,4,,,,21417,83,1015,0.9952766531713899,0.9952686959374821,170593,127,303,636,1231
30,11,1,29,29,1,,,,21444,81,988,0.9953980710332849,0.9953856018990785,170802,4,94,1124,1929
31,30,11,30,27,5,,,,21408,44,1024,0.997037947800816,0.9970286783666781,170543,81,353,749,1434
32,21,29,7,1,1,,,,21423,79,1009,0.995464810460675,0.9954519793401982,170731,0,165,1139,1985
33,20,1,16,11,3,,,,21430,74,1002,0.9956993963543371,0.995686429489009,170806,4,90,1159,2006
34,29,23,1,22,5,,,,21433,93,999,0.9948422121674034,0.9948328974849817,170688,212,208,827,1441
35,18,29,29,18,1,,,,21434,79,998,0.9954772987147131,0.9954645968750472,170813,10,83,1050,1965
36,30,8,27,1,4,,,,21406,43,1026,0.9970813269202643,0.9970720380940048,170538,77,358,751,1437
37,21,30,2,27,2,,,,21441,90,991,0.9949872430393586,0.994973687946341,170856,22,40,1210,2097
38,18,2,20,30,3,,,,21432,79,1000,0.9954750290532677,0.9954624435663315,170811,8,85,1061,1947
39,10,27,28,15,3,,,,21454,86,978,0.9951831908948208,0.9951715426937633,170816,12,80,886,1802
40,22,3,1,10,2,,,,21428,124,1004,0.9934352051034789,0.993421132887218,170848,33,48,1331,2177
41,20,3,29,1,4,,,,21411,72,1021,0.9957687617605449,0.9957600159136909,170558,97,338,717,1353
42,30,27,6,30,1,,,,21432,66,1000,0.9960644486045246,0.9960511779292909,170823,11,73,1171,2053
43,14,22,1,1,5,,,,21375,78,1057,0.9954555996531392,0.9954482500390425,170135,130,761,648,1137
