observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,21441,81,991,0.9953946574312217,0.9953823628261099,170820,12,76,1025,1902
2,5,2,26,19,4,,,,21469,121,963,0.9936205386812694,0.9936132601716187,170616,148,280,577,1126
3,1,30,25,7,1,,,,21494,243,938,0.9881889944783896,0.9881761568938723,170847,25,49,1008,1986
4,6,10,16,13,2,,,,21470,145,962,0.992541377464364,0.9925301558899823,170828,16,68,874,1736
5,19,5,9,11,3,,,,21438,81,994,0.995391242897193,0.9953784376328785,170825,11,71,1087,1981
6,24,6,16,18,1,,,,21433,75,999,0.9956574414395666,0.9956444163978735,170814,10,82,1118,2015
7,19,6,2,29,5,,,,21434,104,998,0.9943458582994522,0.9943377200724093,170653,180,243,692,1259
8,25,10,3,21,3,,,,21431,83,1001,0.9952926664796614,0.9952793570201844,170845,21,51,1174,2059
9,4,15,2,28,2,,,,21480,169,952,0.9914764413565689,0.9914646832668221,170857,24,39,900,1819
10,20,10,16,17,1,,,,21433,74,999,0.9957027711319133,0.9956898689069905,170818,10,78,1112,1996
11,30,24,29,27,3,,,,21428,58,1004,0.9964231440991179,0.9964097182869113,170805,7,91,1156,2077
12,28,3,6,2,2,,,,21432,65,1000,0.9961098174821177,0.9960966631596138,170805,8,91,1165,2035
13,12,9,25,11,2,,,,21439,81,993,0.9953923811787778,0.9953801253579093,170816,12,80,1022,1896
14,17,5,25,3,5,,,,21415,81,1017,0.9953650338001144,0.9953567792203417,170589,124,307,635,1277
15,24,6,1,25,4,,,,21451,146,981,0.9924723670634829,0.9924630653091423,170720,231,176,823,1439
16,22,24,3,11,1,,,,21429,82,1003,0.9953356848442736,0.9953227567631887,170840,20,56,1139,2000
17,26,19,10,2,2,,,,21431,74,1001,0.995700521382635,0.9956873218118473,170811,9,85,1153,2042
18,10,22,20,27,3,,,,21453,86,979,0.9951820441381537,0.9951704088651773,170816,12,80,884,1800
19,4,22,23,17,4,,,,21479,215,953,0.9894162540836051,0.9894092729198193,170715,225,181,473,1080
20,15,16,13,1,1,,,,21425,77,1007,0.9955577446725462,0.9955454177472317,170757,0,139,1026,1907
21,1,20,10,16,5,,,,21502,211,930,0.9896269131390901,0.9896195699890339,170775,279,121,504,1136
22,8,13,23,7,1,,,,21460,99,972,0.9946024510044744,0.9945913069985792,170822,15,74,861,1724
23,9,5,28,25,4,,,,21446,94,986,0.9948120962025879,0.994804875869302,170625,131,271,509,1117
24,27,25,6,27,3,,,,21436,81,996,0.9953889660232271,0.9953758052366827,170826,14,70,1167,2036
25,25,27,10,4,2,,,,21431,74,1001,0.995700521382635,0.9956873153478067,170817,11,79,1142,2043
26,13,25,26,1,3,,,,21439,79,993,0.995482971060926,0.9954705794952061,170793,6,103,1025,1917
27,13,7,4,11,5,,,,21425,94,1007,0.9947876377960799,0.9947799908361182,170641,174,255,618,1183
28,10,16,22,11,5,,,,21437,90,995,0.9949826178574245,0.9949752036029222,170636,141,260,520,1147
29,29,8,15,10,2,,,,21430,59,1002,0.9963799280821058,0.9963665798383856,170811,7,85,1152,2065
30,2,19,16,2,2,,,,21483,180,949,0.9909873339243984,0.9909757891479896,170814,17,82,881,1786
31,28,8,5,15,5,,,,21421,61,1011,0.9962792428259153,0.9962705680835073,170589,131,307,738,1342
32,8,21,23,8,4,,,,21453,102,979,0.9944586961016182,0.9944516309053053,170663,165,233,504,1093
33,12,19,20,17,1,,,,21441,81,991,0.9953946574312217,0.9953824274665154,170820,12,76,1019,1892
34,26,10,6,2,3,,,,21435,80,997,0.9954331283488768,0.9954201033071837,170812,13,84,1156,2015
35,21,1,16,7,4,,,,21411,72,1021,0.9957687617605449,0.9957600094496504,170555,94,341,736,1354
36,6,21,12,29,1,,,,21479,174,953,0.9912509264566481,0.9912394657127663,170830,17,66,876,1773
37,11,4,28,27,2,,,,21450,83,982,0.9953143662144366,0.9953026210527709,170815,11,81,942,1817
38,20,25,17,16,2,,,,21434,74,998,0.9957038958529216,0.9956909095954718,170817,10,79,1120,2009
39,3,27,28,19,2,,,,21482,201,950,0.9900460780220095,0.9900340549066006,170841,22,55,883,1860
40,11,22,27,27,4,,,,21439,86,993,0.9951659785899362,0.9951582605255285,170629,139,267,569,1194
41,20,3,5,27,4,,,,21423,83,1009,0.9952835185174862,0.9952752962579162,170624,156,272,709,1272
42,1,4,20,1,1,,,,21470,148,962,0.992406495617141,0.9923951382979079,170765,0,131,915,1757
43,17,21,20,7,4,,,,21417,81,1015,0.9953673150318729,0.9953591121644245,170597,126,299,634,1269
44,8,10,23,20,5,,,,21451,100,981,0.9945467072070445,0.994539693723056,170657,157,239,499,1085
