observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,21441,81,991,0.9953946574312217,0.9953823628261099,170820,12,76,1025,1902
2,5,2,26,19,4,,,,21469,121,963,0.9936205386812694,0.9936132601716187,170616,148,280,577,1126
3,1,30,25,7,1,,,,21494,243,938,0.9881889944783896,0.9881761568938723,170847,25,49,1008,1986
4,6,10,16,13,2,,,,21470,145,962,0.992541377464364,0.9925301558899823,170828,16,68,874,1736
5,19,5,9,11,3,,,,21438,81,994,0.995391242897193,0.9953784376328785,170825,11,71,1087,1981
6,24,6,16,18,1,,,,21433,75,999,0.9956574414395666,0.9956444163978735,170814,10,82,1118,2015
7,19,6,2,29,5,,,,21434,104,998,0.9943458582994522,0.9943377200724093,170653,180,243,692,1259
8,25,10,3,21,3,,,,21431,83,1001,0.9952926664796614,0.9952793570201844,170845,21,51,1174,2059
9,4,15,2,28,2,,,,21480,169,952,0.9914764413565689,0.9914646832668221,170857,24,39,900,1819
10,20,10,16,17,1,,,,21433,74,999,0.9957027711319133,0.9956898689069905,170818,10,78,1112,1996
11,29,22,10,1,2,,,,21422,59,1010,0.996371166166357,0.9963579019551638,170772,2,124,1164,2052
12,28,22,10,3,2,,,,21428,60,1004,0.996332336443036,0.9963190463756807,170812,8,84,1158,2056
13,30,21,11,5,2,,,,21427,58,1005,0.9964220510287883,0.9964087738895141,170815,9,81,1150,2054
14,29,22,30,1,2,,,,21424,58,1008,0.9964187712199433,0.9964053454077366,170782,2,114,1158,2077
15,29,21,10,3,2,,,,21428,59,1004,0.9963777382020749,0.9963644222785574,170812,8,84,1160,2060
16,13,18,30,8,4,,,,21425,83,1007,0.9952858061327259,0.9952778230426559,170602,137,294,617,1235
17,13,18,20,8,4,,,,21426,83,1006,0.9952869497841361,0.9952790442625526,170607,138,289,616,1223
18,14,17,29,8,4,,,,21421,83,1011,0.9952812304855928,0.9952731698270364,170601,133,295,621,1247
19,13,25,30,6,4,,,,21425,83,1007,0.9952858061327259,0.9952777390101288,170603,136,293,623,1248
20,13,18,30,7,4,,,,21425,83,1007,0.9952858061327259,0.9952778230426559,170602,137,294,617,1235
21,25,26,13,13,3,,,,21433,74,999,0.9957027711319133,0.9956895457049634,170814,10,82,1133,2046
22,25,26,6,1,3,,,,21429,76,1003,0.9956075998650779,0.995594600679547,170762,8,134,1145,2011
23,24,26,13,1,3,,,,21432,75,1000,0.9956563146036097,0.9956432055293896,170797,5,99,1119,2028
24,25,26,6,1,3,,,,21429,76,1003,0.9956075998650779,0.995594600679547,170762,8,134,1145,2011
25,24,25,6,24,3,,,,21436,82,996,0.9953436712375582,0.9953307302283921,170826,14,70,1131,2002
26,29,21,19,4,2,,,,21429,59,1003,0.9963788331919834,0.9963654720201821,170807,6,89,1152,2067
27,30,21,13,4,2,,,,21428,58,1004,0.9964231440991179,0.9964098217115599,170811,7,85,1152,2061
28,30,21,19,4,2,,,,21428,59,1004,0.9963777382020749,0.9963643641021925,170807,6,89,1153,2069
29,29,21,19,4,2,,,,21429,59,1003,0.9963788331919834,0.9963654720201821,170807,6,89,1152,2067
30,30,21,20,4,2,,,,21428,59,1004,0.9963777382020749,0.9963643641021925,170807,6,89,1153,2069
31,21,13,13,11,1,,,,21432,74,1000,0.9957016463084891,0.9956886988352825,170820,11,76,1113,2003
32,21,14,13,10,1,,,,21432,74,1000,0.9957016463084891,0.9956886988352825,170820,11,76,1113,2003
33,21,15,13,10,1,,,,21432,74,1000,0.9957016463084891,0.9956886988352825,170820,11,76,1113,2003
34,21,13,13,13,1,,,,21433,74,999,0.9957027711319133,0.9956898171946662,170820,10,76,1113,2004
35,9,14,13,11,1,,,,21462,95,970,0.9947855106723215,0.99477417274521,170822,13,74,871,1754
36,27,29,25,6,2,,,,21431,73,1001,0.995745859228642,0.9957325109849218,170808,10,88,1152,2065
37,27,28,25,6,2,,,,21431,73,1001,0.995745859228642,0.9957325109849218,170808,10,88,1152,2065
38,27,29,25,5,2,,,,21431,73,1001,0.995745859228642,0.9957325109849218,170808,10,88,1152,2065
39,27,29,24,5,2,,,,21431,73,1001,0.995745859228642,0.9957325109849218,170808,10,88,1152,2065
40,27,28,27,6,2,,,,21431,73,1001,0.995745859228642,0.9957325174489624,170807,10,89,1153,2064
41,16,23,22,3,3,,,,21434,79,998,0.9954772987147131,0.9954648166524256,170811,10,85,1026,1931
42,18,23,22,3,3,,,,21433,79,999,0.9954761639356445,0.9954635008802218,170810,9,86,1048,1959
43,18,23,22,3,3,,,,21433,79,999,0.9954761639356445,0.9954635008802218,170810,9,86,1048,1959
