observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,5,5,2,203,56,28,0.7854821235102926,0.7852567826923295,1643,2,4,249,562
2,19,23,11,11,5,4,3,5,200,40,31,0.8339588024351599,0.833736669315673,1642,38,5,227,554
3,2,24,12,30,2,4,5,1,206,95,25,0.6875834445927904,0.6873625143602323,1642,2,5,237,551
4,12,26,22,29,4,1,1,3,201,47,30,0.8115965436485505,0.811367995132111,1643,2,4,242,570
5,27,10,28,28,3,4,4,1,200,37,31,0.8443093549476529,0.8440539419564741,1636,0,11,320,637
6,18,24,10,12,4,5,4,5,190,30,41,0.8627735900463174,0.8625891473839277,1569,38,78,153,460
7,29,2,28,26,3,1,1,1,200,36,31,0.8478168715557439,0.8475470239214216,1640,0,7,339,673
8,2,25,28,30,1,4,1,1,206,95,25,0.6875834445927904,0.6873577028125177,1645,4,2,246,563
9,22,12,17,30,1,4,5,3,202,36,29,0.8492390481796014,0.8489976688692565,1639,2,8,294,602
10,13,30,23,19,3,3,5,1,203,49,28,0.8069003895381192,0.806669034285513,1643,2,4,261,577
11,18,9,28,16,3,3,5,2,202,42,29,0.8287519487978995,0.8285153810352692,1639,2,8,286,590
12,5,29,2,3,4,5,1,4,202,69,29,0.7475943745373798,0.7474083280257519,1647,90,0,167,464
13,29,20,4,30,2,2,2,5,202,37,29,0.8457544799866019,0.8455014727692803,1641,5,6,325,631
14,1,1,11,29,5,5,4,5,201,59,30,0.774805334978028,0.774637732732639,1599,65,48,148,418
15,28,1,13,1,2,1,2,5,199,36,32,0.8470968840456325,0.8468266354490006,1640,0,7,349,674
16,15,2,9,3,1,2,2,5,202,44,29,0.8221408221408222,0.8219046553405014,1642,2,5,277,589
17,24,28,30,30,2,1,4,3,202,36,29,0.8492390481796014,0.8489924563592325,1639,2,8,309,615
18,24,7,2,30,4,5,5,1,193,30,38,0.8648503316006453,0.8646366186896589,1571,3,76,208,533
19,14,30,3,18,4,5,1,5,202,48,29,0.8092300296450606,0.8090287465656701,1643,54,4,191,502
20,26,20,20,7,5,4,5,4,185,27,46,0.8710801393728224,0.870884870728075,1550,30,97,169,487
21,24,30,5,19,1,5,5,1,202,36,29,0.8492390481796014,0.8489912534723039,1639,2,8,308,618
22,6,1,29,5,2,1,4,5,197,46,34,0.8115010710166419,0.8112781359725361,1593,0,54,267,556
23,30,3,22,28,3,5,3,1,200,36,31,0.8478168715557439,0.8475542412429933,1640,0,7,329,655
24,30,30,30,6,5,3,1,5,196,36,35,0.8449004224502114,0.8446458113836516,1640,0,7,294,635
25,26,4,3,1,4,2,1,1,198,38,33,0.8393387028401865,0.8390973235298417,1622,0,25,286,602
26,27,30,28,30,2,4,2,4,200,38,31,0.8408307407718827,0.8405785354791802,1640,30,7,294,629
27,9,1,1,4,2,3,2,3,203,56,28,0.7854821235102926,0.7852499663330672,1646,5,1,284,579
28,28,20,11,8,3,1,5,1,200,36,31,0.8478168715557439,0.8475634633761128,1636,0,11,320,632
29,13,2,29,22,5,1,2,1,200,42,31,0.8271982794275788,0.8269605087780199,1640,0,7,270,593
30,17,28,2,22,1,3,1,2,202,45,29,0.818874655424031,0.8186296674529003,1647,5,0,296,611
31,30,6,28,16,5,1,5,5,185,25,46,0.8791939929664481,0.8789838887162476,1546,0,101,199,524
32,13,27,5,5,2,3,4,5,204,50,27,0.8046067681628146,0.8043830311940897,1644,5,3,254,558
33,30,26,12,30,4,4,1,1,197,36,34,0.8456387362637363,0.8453869319333434,1640,0,7,291,628
34,9,4,7,27,5,2,4,5,197,45,34,0.8147903052361652,0.8145950365914179,1588,4,59,180,487
35,30,2,2,2,2,3,5,1,201,37,30,0.845034894475742,0.844777877635325,1637,0,10,329,641
36,20,9,5,16,5,1,5,1,193,30,38,0.8648503316006453,0.8646406283127543,1572,2,75,198,523
37,26,28,25,1,2,5,2,3,200,37,31,0.8443093549476529,0.8440479275218309,1638,0,9,323,652
38,28,3,25,30,2,5,2,5,200,37,31,0.8443093549476529,0.8440551448434027,1640,28,7,296,634
39,16,30,19,27,2,1,5,5,202,42,29,0.8287519487978995,0.8285153810352692,1639,2,8,286,590
40,19,1,19,4,1,2,1,2,201,43,30,0.8246492163781077,0.8243954072361671,1640,0,7,314,633
41,23,2,1,14,5,2,5,5,195,35,36,0.8477523693591863,0.8475458737697718,1585,25,62,211,515
