observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,204,50,27,0.8046067681628146,0.8043826302317801,1643,4,4,254,559
2,19,22,1,30,5,2,1,1,197,49,34,0.8017908017908019,0.8015373936111707,1647,5,0,307,632
3,10,16,13,9,4,1,2,2,201,50,30,0.8020750199521149,0.8018508820210805,1643,2,4,235,559
4,14,24,6,16,3,1,4,1,203,43,28,0.8262108262108262,0.825975862297434,1643,2,4,274,586
5,2,29,29,25,2,1,4,3,206,94,25,0.6898399303462593,0.6896101789428912,1642,2,5,259,573
6,4,15,2,28,2,4,2,3,203,72,28,0.7405515832482125,0.7403250395433207,1645,3,2,244,565
7,17,6,30,24,5,5,3,5,200,45,31,0.8172605426610003,0.8170412162776803,1642,42,5,222,547
8,3,6,2,10,2,2,5,2,204,92,27,0.6922293858160841,0.6920080546212164,1636,2,11,256,552
9,9,17,5,25,1,5,4,1,203,56,28,0.7854821235102926,0.7852567826923295,1644,3,3,248,562
10,1,25,22,22,4,1,2,1,204,94,27,0.6876559023798287,0.6874253490518415,1643,2,4,253,575
11,26,19,10,2,2,2,4,4,200,37,31,0.8443093549476529,0.8440551448434027,1636,0,11,321,634
12,27,15,4,22,4,3,4,3,192,29,39,0.867992766726944,0.8677810586275054,1566,3,81,203,528
13,16,13,1,4,1,4,2,3,202,45,29,0.818874655424031,0.8186276626413526,1647,5,0,295,616
14,28,8,13,23,2,1,2,1,200,36,31,0.8478168715557439,0.8475570479791601,1640,0,7,325,648
15,28,25,20,27,5,1,5,3,185,25,46,0.8791939929664481,0.8789850916031762,1548,0,99,197,521
16,25,27,10,4,2,3,5,5,201,36,30,0.8485309017223911,0.8482774935427599,1637,0,10,320,632
17,1,16,13,7,1,2,5,2,203,93,28,0.6888361045130641,0.6886027444489101,1642,5,5,266,582
18,16,22,11,30,5,2,3,2,200,40,31,0.8339588024351599,0.8337258433333155,1643,2,4,257,581
19,9,2,19,16,1,2,5,2,202,54,29,0.7906066536203522,0.7903877281993418,1630,2,17,244,546
20,5,15,30,8,4,4,2,4,202,66,29,0.7558183042729926,0.7556318567990551,1644,76,3,166,465
21,12,19,20,17,1,5,2,1,203,51,28,0.8006626173384871,0.8004348707466667,1643,2,4,251,568
22,2,18,21,1,3,2,4,1,206,93,25,0.6921112753662143,0.6918863355105608,1633,0,14,255,561
23,21,12,29,5,2,1,5,5,202,36,29,0.8492390481796014,0.8489988717561852,1639,2,8,295,599
