observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,1,1,5,204,50,27,0.8046067681628146,0.8043826302317801,1643,4,4,254,559
2,19,22,1,30,5,2,1,1,197,49,34,0.8017908017908019,0.8015373936111707,1647,5,0,307,632
3,10,16,13,9,4,1,2,2,201,50,30,0.8020750199521149,0.8018508820210805,1643,2,4,235,559
4,14,24,6,16,3,1,4,1,203,43,28,0.8262108262108262,0.825975862297434,1643,2,4,274,586
5,2,29,29,25,2,1,4,3,206,94,25,0.6898399303462593,0.6896101789428912,1642,2,5,259,573
6,4,15,2,28,2,4,2,3,203,72,28,0.7405515832482125,0.7403250395433207,1645,3,2,244,565
7,17,6,30,24,5,5,3,5,200,45,31,0.8172605426610003,0.8170412162776803,1642,42,5,222,547
8,3,6,2,10,2,2,5,2,204,92,27,0.6922293858160841,0.6920080546212164,1636,2,11,256,552
9,9,17,5,25,1,5,4,1,203,56,28,0.7854821235102926,0.7852567826923295,1644,3,3,248,562
10,1,25,22,22,4,1,2,1,204,94,27,0.6876559023798287,0.6874253490518415,1643,2,4,253,575
11,28,1,10,1,3,3,5,4,200,35,31,0.8513536523071684,0.8510950316175132,1630,0,17,321,645
12,27,1,9,1,3,3,5,4,200,36,31,0.8478168715557439,0.8475574489414697,1630,0,17,322,647
13,28,1,10,1,3,3,5,4,200,35,31,0.8513536523071684,0.8510950316175132,1630,0,17,321,645
14,28,11,10,1,3,3,5,4,200,36,31,0.8478168715557439,0.8475634633761128,1636,0,11,320,632
15,26,21,10,4,3,3,5,4,200,37,31,0.8443093549476529,0.8440551448434027,1636,0,11,321,634
16,22,1,17,7,4,4,4,4,188,26,43,0.8771111318465988,0.8769150612772324,1558,30,89,171,489
17,22,1,16,8,4,4,4,4,188,26,43,0.8771111318465988,0.8769150612772324,1558,30,89,171,489
18,22,1,17,8,4,4,4,4,188,26,43,0.8771111318465988,0.8769150612772324,1558,30,89,171,489
19,30,1,16,8,4,4,4,4,185,25,46,0.8791939929664481,0.8789915070001288,1546,21,101,179,505
20,22,1,17,7,4,4,4,4,188,26,43,0.8771111318465988,0.8769150612772324,1558,30,89,171,489
21,30,6,21,12,5,5,3,5,196,37,35,0.8413461538461539,0.8411007649127136,1640,25,7,268,612
22,30,6,21,12,5,5,3,5,196,37,35,0.8413461538461539,0.8411007649127136,1640,25,7,268,612
23,24,6,21,12,5,5,3,5,196,38,35,0.8378216636744465,0.8375794824394827,1640,30,7,261,604
