observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,7,20,29,15,3,,,,203,55,28,0.7884719956498096,0.788246253869537,1643,2,4,254,563
2,8,29,21,7,2,,,,203,55,28,0.7884719956498096,0.788246253869537,1643,2,4,254,563
3,19,23,11,11,5,,,,190,30,41,0.8627735900463174,0.8625891473839277,1569,38,78,153,460
4,4,8,24,3,5,,,,197,67,34,0.7480823270296955,0.7479203382566402,1602,76,45,120,404
5,2,24,12,30,2,,,,206,94,25,0.6898399303462593,0.6896101789428912,1643,2,4,260,573
6,19,23,8,7,5,,,,191,32,40,0.855888151998566,0.855704912223105,1574,40,73,153,457
7,1,1,25,30,4,,,,197,57,34,0.776997712392522,0.7768172793532278,1580,53,67,165,450
8,30,30,28,27,2,,,,200,36,31,0.8478168715557439,0.8475566470168506,1640,0,7,329,649
9,29,2,2,26,1,,,,202,39,29,0.8388704318936877,0.8386029900332226,1647,5,0,350,667
10,26,2,30,3,4,,,,185,26,46,0.8751182592242195,0.874922188654853,1548,28,99,170,489
11,17,2,28,17,5,,,,190,34,41,0.8476844829124655,0.8475008421746948,1571,40,76,152,458
12,27,29,2,29,1,,,,202,39,29,0.8388704318936877,0.8386086035055562,1647,5,0,331,653
13,22,26,21,1,2,,,,202,37,29,0.8457544799866019,0.8455094920154712,1640,0,7,300,611
14,14,1,2,2,1,,,,201,45,30,0.818070818070818,0.8178362551197355,1600,0,47,327,585
15,13,27,27,30,4,,,,192,39,39,0.8311688311688313,0.8309984221872756,1580,54,67,129,425
16,22,2,1,25,5,,,,195,33,36,0.8550381478558274,0.8548436811356991,1585,46,62,178,485
17,18,30,29,4,1,,,,202,43,29,0.8254331480876104,0.8251921697395751,1642,2,5,289,601
18,29,13,30,30,3,,,,200,36,31,0.8478168715557439,0.8475566470168506,1640,0,7,329,649
19,29,16,6,6,2,,,,201,36,30,0.8485309017223911,0.8482714791081168,1641,1,6,329,647
20,17,30,5,30,4,,,,195,40,36,0.8300698109994892,0.8298893779601949,1583,48,64,151,450
21,25,12,17,25,5,,,,185,27,46,0.8710801393728224,0.870884870728075,1550,30,97,169,487
22,20,19,1,1,1,,,,202,41,29,0.8320975449003131,0.831858170401516,1630,0,17,299,597
23,23,2,30,1,5,,,,187,26,44,0.8764529433820772,0.8762600805111871,1555,30,92,166,481
24,19,1,5,19,2,,,,201,40,30,0.834717607973422,0.8344690113415054,1642,1,5,309,620
25,16,17,27,13,3,,,,202,43,29,0.8254331480876104,0.8251921697395751,1642,2,5,289,601
26,30,18,21,1,5,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
27,3,4,5,30,1,,,,203,78,28,0.7250000000000001,0.724779069767442,1643,2,4,275,551
28,21,30,30,30,3,,,,202,37,29,0.8457544799866019,0.8455098929777808,1642,2,5,298,610
29,8,30,7,5,1,,,,203,55,28,0.7884719956498096,0.788246253869537,1644,3,3,255,563
30,4,1,28,1,1,,,,204,53,27,0.7953836556456644,0.7951386676745337,1640,0,7,339,611
31,16,19,3,1,4,,,,193,39,38,0.8319682731269936,0.8317886420123184,1577,42,70,151,448
32,28,4,28,30,5,,,,185,26,46,0.8751182592242195,0.8749229905794721,1547,28,100,168,487
33,1,4,30,1,4,,,,196,79,35,0.7150153217568948,0.7148425070014818,1588,62,59,145,431
34,27,29,30,5,1,,,,200,37,31,0.8443093549476529,0.8440499323333787,1640,0,7,325,647
35,30,28,8,25,4,,,,191,31,40,0.8596633360338465,0.8594684683514087,1558,30,89,173,486
36,30,25,17,1,3,,,,200,36,31,0.8478168715557439,0.8475566470168506,1640,0,7,329,649
37,25,2,1,27,4,,,,195,37,36,0.8405897060091387,0.8403888238920577,1592,53,55,192,501
38,21,28,30,27,5,,,,189,27,42,0.8737864077669902,0.8735983564438146,1563,35,84,160,469
39,23,1,27,9,3,,,,201,37,30,0.845034894475742,0.8447766747483964,1642,2,5,324,644
40,20,16,13,17,5,,,,189,27,42,0.8737864077669902,0.8735983564438146,1563,35,84,160,469
41,30,12,10,1,4,,,,185,25,46,0.8791939929664481,0.878996719510153,1545,22,102,175,492
42,18,29,26,30,5,,,,190,30,41,0.8627735900463174,0.8625891473839277,1569,38,78,153,460
43,14,1,2,28,3,,,,202,45,29,0.818874655424031,0.8186392905483294,1642,2,5,292,587
44,1,30,1,1,3,,,,205,94,26,0.6887515118935627,0.6885237653017423,1640,2,7,258,568
45,20,1,30,10,5,,,,189,26,42,0.8777633289986998,0.877573673826286,1561,33,86,162,473
46,30,2,30,2,5,,,,185,25,46,0.8791939929664481,0.8789959175855339,1546,23,101,174,494
47,18,30,4,30,5,,,,195,35,36,0.8477523693591863,0.8475691295837252,1579,43,68,154,457
48,25,18,2,1,3,,,,201,38,30,0.8415675766203317,0.8413121636291528,1639,0,8,325,637
49,24,20,30,25,2,,,,202,37,29,0.8457544799866019,0.8455034775808281,1642,2,5,312,626
50,29,1,10,29,5,,,,186,25,45,0.8798486281929991,0.8796505528120849,1547,24,100,175,494
51,30,15,25,16,5,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
52,1,26,3,30,5,,,,205,103,26,0.66892906088886,0.6687642653796378,1625,89,22,122,411
53,17,4,6,2,2,,,,202,43,29,0.8254331480876104,0.8251905658903369,1643,3,4,291,605
54,2,2,26,28,5,,,,198,69,33,0.743578188373141,0.7434025668815613,1595,69,52,151,438
55,27,30,3,12,1,,,,201,38,30,0.8415675766203317,0.8413097578552956,1641,0,6,326,643
56,30,1,5,8,5,,,,193,30,38,0.8648503316006453,0.8646538600689693,1562,30,85,176,490
57,16,28,30,29,5,,,,191,37,40,0.8374989037972463,0.8373212774941189,1578,46,69,147,443
58,30,21,28,2,2,,,,200,36,31,0.8478168715557439,0.8475566470168506,1640,0,7,329,649
59,26,30,2,20,4,,,,195,33,36,0.8550381478558274,0.854842077286461,1582,44,65,178,489
60,28,2,24,30,4,,,,185,25,46,0.8791939929664481,0.8789983233593911,1546,26,101,169,488
61,27,5,30,16,5,,,,185,26,46,0.8751182592242195,0.8749233915417817,1548,28,99,168,486
62,20,29,2,1,4,,,,193,35,38,0.8462685258265368,0.8460776677671944,1581,39,66,169,476
63,30,19,5,30,2,,,,201,37,30,0.845034894475742,0.8447762737860868,1642,1,5,329,645
64,17,29,30,28,5,,,,190,35,41,0.8439943141435678,0.8438114753304163,1572,42,75,151,456
65,30,2,1,5,3,,,,202,38,29,0.8422983904595114,0.8420349582221417,1644,3,3,339,657
66,25,11,9,5,5,,,,186,27,45,0.8717660292463442,0.8715715625262158,1552,31,95,169,485
67,22,30,30,29,5,,,,188,27,43,0.8731190785807171,0.8729282205213748,1559,34,88,165,476
68,15,3,18,26,5,,,,191,37,40,0.8374989037972463,0.8373232823056665,1578,47,69,143,438
69,16,29,15,11,3,,,,202,43,29,0.8254331480876104,0.8251921697395751,1642,2,5,289,601
70,28,1,30,11,5,,,,185,25,46,0.8791939929664481,0.8789975214347721,1546,26,101,170,490
71,25,17,23,3,5,,,,185,27,46,0.8710801393728224,0.870884870728075,1550,30,97,169,487
72,29,7,1,30,5,,,,195,32,36,0.8587282015148847,0.8585285222847323,1584,43,63,189,498
73,19,1,30,22,5,,,,190,29,41,0.8666301769750044,0.8664441304633765,1567,36,80,155,464
74,21,26,15,26,1,,,,202,37,29,0.8457544799866019,0.8455098929777808,1642,2,5,298,610
75,28,1,10,8,1,,,,199,37,32,0.8435777871979652,0.8433075386013332,1640,0,7,350,674
76,30,12,13,20,5,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
77,20,29,30,2,5,,,,189,27,42,0.8737864077669902,0.8735983564438146,1563,35,84,160,469
78,22,29,2,29,5,,,,195,32,36,0.8587282015148847,0.8585381453801614,1572,41,75,167,474
79,22,2,30,29,5,,,,188,26,43,0.8771111318465988,0.8769194718626373,1558,32,89,166,478
80,18,3,19,4,3,,,,202,43,29,0.8254331480876104,0.8251909668526465,1642,2,5,290,604
81,20,30,18,11,5,,,,189,27,42,0.8737864077669902,0.8735983564438146,1563,35,84,160,469
