observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,203,50,28,0.803769401330377,0.8035412537762471,1643,2,4,256,569
2,5,2,26,19,4,,,,195,56,36,0.7781324820430965,0.7779672855715648,1590,60,57,134,412
3,1,30,25,7,1,,,,205,95,26,0.6864911928203068,0.686254224095367,1647,5,0,273,591
4,6,10,16,13,2,,,,202,61,29,0.7699344412257967,0.7697103032947622,1644,3,3,253,559
5,19,5,9,11,3,,,,202,39,29,0.8388704318936877,0.8386274487341047,1642,2,5,292,606
6,24,6,16,18,1,,,,202,37,29,0.8457544799866019,0.8455022746938994,1642,2,5,313,629
7,19,6,2,29,5,,,,195,35,36,0.8477523693591863,0.8475691295837252,1579,43,68,154,457
8,25,10,3,21,3,,,,201,38,30,0.8415675766203317,0.8413097578552956,1641,0,6,326,643
9,4,15,2,28,2,,,,203,72,28,0.7405515832482125,0.7403222328071539,1645,3,2,257,572
10,20,10,16,17,1,,,,202,39,29,0.8388704318936877,0.8386282506587238,1642,2,5,290,604
11,30,24,29,27,3,,,,200,36,31,0.8478168715557439,0.8475566470168506,1640,0,7,329,649
12,28,3,6,2,2,,,,201,36,30,0.8485309017223911,0.8482714791081168,1641,1,6,325,647
13,12,9,25,11,2,,,,203,50,28,0.803769401330377,0.8035412537762471,1643,2,4,255,569
14,17,5,25,3,5,,,,190,35,41,0.8439943141435678,0.8438114753304163,1572,42,75,151,456
15,24,6,1,25,4,,,,195,37,36,0.8405897060091387,0.8403888238920577,1594,53,53,190,501
16,22,24,3,11,1,,,,202,38,29,0.8422983904595114,0.8420542044129997,1643,2,4,299,609
17,26,19,10,2,2,,,,200,37,31,0.8443093549476529,0.8440499323333787,1640,0,7,325,647
18,10,22,20,27,3,,,,203,52,28,0.7975797579757976,0.7973528133085963,1643,2,4,254,566
19,4,22,23,17,4,,,,196,68,35,0.7442849548112705,0.7441229660382153,1606,82,41,121,404
20,15,16,13,1,1,,,,203,43,28,0.8262108262108262,0.8259786690336008,1635,0,12,275,579
21,1,20,10,16,5,,,,205,103,26,0.66892906088886,0.6687642653796378,1625,89,22,122,411
22,8,13,23,7,1,,,,203,55,28,0.7884719956498096,0.788246253869537,1644,3,3,254,563
23,9,5,28,25,4,,,,199,51,32,0.7972117618780546,0.7970457634819039,1593,65,54,119,414
24,27,25,6,27,3,,,,201,37,30,0.845034894475742,0.8447762737860868,1641,1,6,325,645
25,25,27,10,4,2,,,,201,37,30,0.845034894475742,0.8447770757107059,1640,0,7,323,643
26,13,25,26,1,3,,,,203,49,28,0.8069003895381192,0.8066718410216797,1641,2,6,260,570
27,13,7,4,11,5,,,,196,42,35,0.8240141259564449,0.8238425140879605,1584,53,63,133,428
28,10,16,22,11,5,,,,199,51,32,0.7972117618780546,0.797046565406523,1595,66,52,119,412
29,29,8,15,10,2,,,,200,36,31,0.8478168715557439,0.8475566470168506,1640,0,7,329,649
30,2,19,16,2,2,,,,206,92,25,0.6943976269129644,0.6941718851326917,1641,2,6,255,563
31,28,8,5,15,5,,,,193,31,38,0.8610689747479254,0.8608765128393449,1565,35,82,169,480
32,8,21,23,8,4,,,,199,54,32,0.7879315806145075,0.7877671860675949,1596,69,51,120,410
33,12,19,20,17,1,,,,203,50,28,0.803769401330377,0.8035412537762471,1643,2,4,256,569
34,26,10,6,2,3,,,,201,37,30,0.845034894475742,0.8447762737860868,1641,1,6,325,645
35,21,1,16,7,4,,,,189,26,42,0.8777633289986998,0.8775700651655001,1562,31,85,166,482
36,6,21,12,29,1,,,,202,61,29,0.7699344412257967,0.7697103032947622,1644,3,3,253,559
37,11,4,28,27,2,,,,202,50,29,0.8029255107719216,0.8026977641801013,1643,2,4,257,568
38,20,25,17,16,2,,,,202,37,29,0.8457544799866019,0.8455098929777808,1642,2,5,298,610
39,3,27,28,19,2,,,,206,93,25,0.6921112753662143,0.6918819249251558,1643,2,4,265,572
40,11,22,27,27,4,,,,198,49,33,0.8026593157126641,0.8024921144295848,1589,60,58,121,417
41,20,3,5,27,4,,,,195,33,36,0.8550381478558274,0.8548525023065091,1574,42,73,158,463
42,1,4,20,1,1,,,,202,78,29,0.7239624399684611,0.7237310847158549,1638,0,9,287,577
43,17,21,20,7,4,,,,190,35,41,0.8439943141435678,0.843812678217345,1573,43,74,150,453
44,8,10,23,20,5,,,,199,54,32,0.7879315806145075,0.7877671860675949,1595,67,52,119,410
