observation,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,validation_good,validation_bad,validation_missed,validation_f17,objective_score,train_good,train_bad,train_missed,n_patterns,trie_nodes
1,12,29,22,18,1,,,,203,50,28,0.803769401330377,0.8035412537762471,1643,2,4,256,569
2,5,2,26,19,4,,,,195,56,36,0.7781324820430965,0.7779672855715648,1590,60,57,134,412
3,1,30,25,7,1,,,,205,95,26,0.6864911928203068,0.686254224095367,1647,5,0,273,591
4,6,10,16,13,2,,,,202,61,29,0.7699344412257967,0.7697103032947622,1644,3,3,253,559
5,19,5,9,11,3,,,,202,39,29,0.8388704318936877,0.8386274487341047,1642,2,5,292,606
6,24,6,16,18,1,,,,202,37,29,0.8457544799866019,0.8455022746938994,1642,2,5,313,629
7,19,6,2,29,5,,,,195,35,36,0.8477523693591863,0.8475691295837252,1579,43,68,154,457
8,25,10,3,21,3,,,,201,38,30,0.8415675766203317,0.8413097578552956,1641,0,6,326,643
9,4,15,2,28,2,,,,203,72,28,0.7405515832482125,0.7403222328071539,1645,3,2,257,572
10,20,10,16,17,1,,,,202,39,29,0.8388704318936877,0.8386282506587238,1642,2,5,290,604
11,29,22,8,29,5,,,,187,28,44,0.8684748281627345,0.8682795595179871,1554,28,93,173,487
12,12,22,9,30,5,,,,192,46,39,0.8071975111410074,0.807030309857928,1580,57,67,120,417
13,30,21,9,30,5,,,,186,26,45,0.8757886806667294,0.8755922091350534,1549,26,98,173,490
14,29,22,9,29,5,,,,186,26,45,0.8757886806667294,0.8755922091350534,1549,26,98,173,490
15,29,22,8,28,5,,,,187,28,44,0.8684748281627345,0.8682795595179871,1554,28,93,173,487
16,30,18,11,23,4,,,,186,26,45,0.8757886806667294,0.8755922091350534,1549,26,98,173,490
17,30,18,12,24,4,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
18,30,17,12,24,4,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
19,30,19,13,24,4,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
20,30,18,12,24,4,,,,185,26,46,0.8751182592242195,0.8749209857679244,1547,25,100,173,492
21,25,26,5,14,5,,,,193,32,38,0.857320540156361,0.8571276772854709,1567,37,80,170,481
22,25,26,5,1,5,,,,193,32,38,0.857320540156361,0.8571276772854709,1567,37,80,170,481
23,24,26,20,3,5,,,,185,27,46,0.8710801393728224,0.870884870728075,1550,30,97,169,487
24,25,26,5,3,5,,,,193,32,38,0.857320540156361,0.8571276772854709,1567,37,80,170,481
25,24,25,20,3,5,,,,185,27,46,0.8710801393728224,0.870884870728075,1550,30,97,169,487
26,27,21,14,27,4,,,,185,26,46,0.8751182592242195,0.8749233915417817,1548,28,99,168,486
27,27,13,10,27,4,,,,186,26,45,0.8757886806667294,0.8755946149089107,1550,29,97,168,484
28,27,14,14,26,4,,,,185,26,46,0.8751182592242195,0.8749233915417817,1548,28,99,168,486
29,27,13,30,26,4,,,,185,26,46,0.8751182592242195,0.8749233915417817,1548,28,99,168,486
30,21,14,30,26,4,,,,189,27,42,0.8737864077669902,0.8735983564438146,1563,35,84,160,469
31,11,12,7,21,3,,,,203,50,28,0.803769401330377,0.8035412537762471,1643,2,4,255,569
32,16,12,6,21,3,,,,202,43,29,0.8254331480876104,0.8251921697395751,1643,3,4,289,601
33,14,24,7,30,3,,,,203,43,28,0.8262108262108262,0.825975862297434,1643,2,4,274,586
34,16,24,7,30,3,,,,202,43,29,0.8254331480876104,0.8251921697395751,1642,2,5,289,601
35,15,20,6,30,3,,,,203,43,28,0.8262108262108262,0.8259762632597436,1644,3,3,274,585
36,22,16,10,22,4,,,,188,27,43,0.8731190785807171,0.8729282205213748,1559,34,88,165,476
37,28,16,11,22,4,,,,186,26,45,0.8757886806667294,0.8755946149089107,1550,29,97,168,484
38,22,16,10,22,4,,,,188,27,43,0.8731190785807171,0.8729282205213748,1559,34,88,165,476
39,27,16,10,23,4,,,,186,26,45,0.8757886806667294,0.8755946149089107,1550,29,97,168,484
40,22,16,11,22,4,,,,188,27,43,0.8731190785807171,0.8729282205213748,1559,34,88,165,476
41,27,8,18,19,2,,,,200,37,31,0.8443093549476529,0.8440499323333787,1640,0,7,325,647
42,27,9,18,19,2,,,,200,37,31,0.8443093549476529,0.8440499323333787,1640,0,7,325,647
43,27,11,18,19,2,,,,200,37,31,0.8443093549476529,0.8440499323333787,1640,0,7,325,647
44,27,9,18,18,2,,,,200,37,31,0.8443093549476529,0.8440499323333787,1640,0,7,325,647
